# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 7.946652378665919160e-27
3.520080321285140368e+00 5.269159270655644704e-26
3.540160642570281180e+00 3.211357527542847924e-25
3.560240963855421548e+00 1.805853368772937453e-24
3.580321285140562360e+00 9.403819378211067896e-24
3.600401606425702727e+00 4.550552325462626922e-23
3.620481927710843539e+00 2.053070512178099047e-22
3.640562248995983907e+00 8.663638253039139322e-22
3.660642570281124719e+00 3.429794120652020389e-21
3.680722891566265087e+00 1.277504186078990525e-20
3.700803212851405455e+00 4.489331864656164544e-20
3.720883534136546267e+00 1.492349771239516707e-19
3.740963855421686635e+00 4.704590429902871716e-19
3.761044176706827447e+00 1.409868810041078974e-18
3.781124497991967814e+00 4.025664175572001468e-18
3.801204819277108626e+00 1.097613933742868779e-17
3.821285140562248994e+00 2.863671558126929370e-17
3.841365461847389362e+00 7.163505281534790602e-17
3.861445783132530174e+00 1.721411969212124866e-16
3.881526104417670542e+00 3.980994228308360419e-16
3.901606425702811354e+00 8.875660366921655775e-16
3.921686746987951722e+00 1.910878029447186749e-15
3.941767068273092534e+00 3.979024286004936746e-15
3.961847389558232901e+00 8.025804465451637423e-15
3.981927710843373269e+00 1.570349119157432309e-14
4.002008032128514081e+00 2.984684307326020661e-14
4.022088353413654893e+00 5.517811970091242079e-14
4.042168674698794817e+00 9.934535083993365840e-14
4.062248995983935629e+00 1.744060114416963258e-13
4.082329317269076441e+00 2.988863315029921143e-13
4.102409638554217253e+00 5.005600950463423637e-13
4.122489959839357176e+00 8.200970415774666860e-13
4.142570281124497988e+00 1.315727004636030450e-12
4.162650602409638800e+00 2.069049265578113474e-12
4.182730923694778724e+00 3.192085656920107273e-12
4.202811244979919536e+00 4.835630284275827111e-12
4.222891566265060348e+00 7.198889322531204588e-12
4.242971887550201160e+00 1.054033363530424004e-11
4.263052208835341084e+00 1.518960879687388580e-11
4.283132530120481896e+00 2.156026638619417758e-11
4.303212851405622708e+00 3.016300276575197999e-11
4.323293172690762631e+00 4.161902269985775932e-11
4.343373493975903443e+00 5.667309046559832117e-11
4.363453815261044255e+00 7.620579503406090355e-11
4.383534136546185067e+00 1.012445416256230330e-10
4.403614457831324991e+00 1.329727910896042327e-10
4.423694779116465803e+00 1.727371010828135131e-10
4.443775100401606615e+00 2.220515772760714494e-10
4.463855421686746539e+00 2.825994157498898031e-10
4.483935742971887350e+00 3.562313051993471068e-10
4.504016064257028162e+00 4.449605546820936798e-10
4.524096385542168974e+00 5.509549142212034771e-10
4.544176706827309786e+00 6.765251564919072602e-10
4.564257028112449710e+00 8.241105833612355559e-10
4.584337349397590522e+00 9.962617071705042219e-10
4.604417670682730446e+00 1.195620430171849570e-09
4.624497991967871258e+00 1.424898104231867517e-09
4.644578313253012070e+00 1.686851895555155326e-09
4.664658634538152882e+00 1.984259905445711613e-09
4.684738955823293693e+00 2.319895508521043125e-09
4.704819277108433617e+00 2.696501365513495242e-09
4.724899598393574429e+00 3.116763550541950739e-09
4.744979919678714353e+00 3.583286204574216524e-09
4.765060240963855165e+00 4.098567089977469570e-09
4.785140562248995977e+00 4.664974377867546105e-09
4.805220883534136789e+00 5.284724952647496450e-09
4.825301204819277601e+00 5.959864468728748708e-09
4.845381526104417524e+00 6.692249344778628893e-09
4.865461847389558336e+00 7.483530832483015751e-09
4.885542168674698260e+00 8.335141251002747433e-09
4.905622489959839072e+00 9.248282436015333211e-09
4.925702811244979884e+00 1.022391641404150100e-08
4.945783132530120696e+00 1.126275827915360469e-08
4.965863453815261508e+00 1.236527122021671998e-08
4.985943775100401432e+00 1.353166362339124693e-08
