# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 5.073634260869747577e-113
3.520080321285140368e+00 2.288300662953559262e-108
3.540160642570281180e+00 6.365860534680856335e-104
3.560240963855421548e+00 1.116433177941806096e-99
3.580321285140562360e+00 1.260355261171736257e-95
3.600401606425702727e+00 9.342902790756494521e-92
3.620481927710843539e+00 4.635031373834270243e-88
3.640562248995983907e+00 1.567061247423975184e-84
3.660642570281124719e+00 3.673720114513354762e-81
3.680722891566265087e+00 6.071518461832038044e-78
3.700803212851405455e+00 7.186533398089162943e-75
3.720883534136546267e+00 6.184750646372273666e-72
3.740963855421686635e+00 3.926081723208137015e-69
3.761044176706827447e+00 1.863811775421732397e-66
3.781124497991967814e+00 6.704273074928349451e-64
3.801204819277108626e+00 1.850341905414083502e-61
3.821285140562248994e+00 3.965524511497598760e-59
3.841365461847389362e+00 6.675141789839948611e-57
3.861445783132530174e+00 8.922162339475580830e-55
3.881526104417670542e+00 9.568722164038783173e-53
3.901606425702811354e+00 8.316334149955882520e-51
3.921686746987951722e+00 5.913285098533079205e-49
3.941767068273092534e+00 3.471226386884415970e-47
3.961847389558232901e+00 1.696893704787919647e-45
3.981927710843373269e+00 6.965211703276529000e-44
4.002008032128514081e+00 2.419636472651381541e-42
4.022088353413654893e+00 7.167624449416173610e-41
4.042168674698794817e+00 1.823622510498224410e-39
4.062248995983935629e+00 4.012483309674060264e-38
4.082329317269076441e+00 7.685272364355494442e-37
4.102409638554217253e+00 1.289416953286009834e-35
4.122489959839357176e+00 1.906395362653063324e-34
4.142570281124497988e+00 2.498032261100359503e-33
4.162650602409638800e+00 2.916865950342670841e-32
4.182730923694778724e+00 3.050907934306219146e-31
4.202811244979919536e+00 2.872728470057832436e-30
4.222891566265060348e+00 2.446661863515464758e-29
4.242971887550201160e+00 1.893368288047519889e-28
4.263052208835341084e+00 1.337078547684212108e-27
4.283132530120481896e+00 8.652335901330968893e-27
4.303212851405622708e+00 5.150830850015287474e-26
