# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 6.356046379174546778e-31
3.520080321285140368e+00 6.205515773997738454e-30
3.540160642570281180e+00 5.471897568126200090e-29
3.560240963855421548e+00 4.377909394035042325e-28
3.580321285140562360e+00 3.192077798407006652e-27
3.600401606425702727e+00 2.130006625739809558e-26
3.620481927710843539e+00 1.305959687743665078e-25
3.640562248995983907e+00 7.385532631845317952e-25
3.660642570281124719e+00 3.866552565006939037e-24
3.680722891566265087e+00 1.880490654921166046e-23
3.700803212851405455e+00 8.524526363735024074e-23
3.720883534136546267e+00 3.613286825289198274e-22
3.740963855421686635e+00 1.436436985158039656e-21
3.761044176706827447e+00 5.371331276766424726e-21
3.781124497991967814e+00 1.894483629707283233e-20
3.801204819277108626e+00 6.319188733673164971e-20
3.821285140562248994e+00 1.998432305703029285e-19
3.841365461847389362e+00 6.006503562632880368e-19
3.861445783132530174e+00 1.719718769063772757e-18
3.881526104417670542e+00 4.700570163604790026e-18
3.901606425702811354e+00 1.229169938259740918e-17
3.921686746987951722e+00 3.081138758093419986e-17
3.941767068273092534e+00 7.417863169811021046e-17
3.961847389558232901e+00 1.718332981820167919e-16
3.981927710843373269e+00 3.836662525434520508e-16
4.002008032128514081e+00 8.270660232454899966e-16
4.022088353413654893e+00 1.724077827940335254e-15
4.042168674698794817e+00 3.480664751558586386e-15
4.062248995983935629e+00 6.815297802583345649e-15
4.082329317269076441e+00 1.296059516322660923e-14
4.102409638554217253e+00 2.396930427671611407e-14
4.122489959839357176e+00 4.316414867686043471e-14
4.142570281124497988e+00 7.577923902483028496e-14
4.162650602409638800e+00 1.298478947163322612e-13
4.182730923694778724e+00 2.173966409932221124e-13
4.202811244979919536e+00 3.560065307180842754e-13
4.222891566265060348e+00 5.707995299646863173e-13
4.242971887550201160e+00 8.968984703021035157e-13
4.263052208835341084e+00 1.382393386927920663e-12
4.283132530120481896e+00 2.091824875091668266e-12
4.303212851405622708e+00 3.110167016395984896e-12
4.323293172690762631e+00 4.547259747014422856e-12
4.343373493975903443e+00 6.542605179921577393e-12
4.363453815261044255e+00 9.270406748254402953e-12
4.383534136546185067e+00 1.294469676789061904e-11
