# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 5.633736283302639095e-97
3.520080321285140368e+00 4.780650163524107673e-93
3.540160642570281180e+00 2.698456413885232008e-89
3.560240963855421548e+00 1.032005782238744520e-85
3.580321285140562360e+00 2.721610237480344979e-82
3.600401606425702727e+00 5.033156626960341057e-79
3.620481927710843539e+00 6.632690856171843670e-76
3.640562248995983907e+00 6.324457350463577543e-73
3.660642570281124719e+00 4.427819793944494069e-70
3.680722891566265087e+00 2.308085218674045205e-67
3.700803212851405455e+00 9.078145429327046251e-65
3.720883534136546267e+00 2.728678985367257988e-62
3.740963855421686635e+00 6.344460081001041302e-60
3.761044176706827447e+00 1.154415801647223430e-57
3.781124497991967814e+00 1.662133943284912284e-55
3.801204819277108626e+00 1.913812328144697956e-53
3.821285140562248994e+00 1.780115178273995204e-51
3.841365461847389362e+00 1.350516692294173902e-49
3.861445783132530174e+00 8.434383656624267257e-48
3.881526104417670542e+00 4.374476189753855380e-46
3.901606425702811354e+00 1.900042538043160959e-44
3.921686746987951722e+00 6.966997988182158385e-43
3.941767068273092534e+00 2.173183475215047690e-41
3.961847389558232901e+00 5.808828193584742268e-40
3.981927710843373269e+00 1.339836456759948900e-38
4.002008032128514081e+00 2.684596092572682955e-37
4.022088353413654893e+00 4.702535450673544660e-36
4.042168674698794817e+00 7.245167033586934685e-35
4.062248995983935629e+00 9.875201906289554414e-34
4.082329317269076441e+00 1.197371961146206724e-32
4.102409638554217253e+00 1.298354562327137542e-31
4.122489959839357176e+00 1.265407822531698369e-30
4.142570281124497988e+00 1.113867418740114585e-29
4.162650602409638800e+00 8.896116818437300390e-29
4.182730923694778724e+00 6.474993571413930406e-28
4.202811244979919536e+00 4.312923523669286442e-27
4.222891566265060348e+00 2.639593491284827020e-26
4.242971887550201160e+00 1.490033114425083647e-25
4.263052208835341084e+00 7.786351531874876846e-25
4.283132530120481896e+00 3.779769061043336694e-24
4.303212851405622708e+00 1.710153967661049861e-23
4.323293172690762631e+00 7.234758053010359741e-23
4.343373493975903443e+00 2.870446329876863873e-22
4.363453815261044255e+00 1.071197759134359321e-21
4.383534136546185067e+00 3.770387444780969308e-21
4.403614457831324991e+00 1.255004781733928818e-20
4.423694779116465803e+00 3.960435652694998191e-20
4.443775100401606615e+00 1.187747988163494188e-19
4.463855421686746539e+00 3.393029980743999445e-19
4.483935742971887350e+00 9.253079182100334681e-19
4.504016064257028162e+00 2.413959998024263485e-18
4.524096385542168974e+00 6.036537753123472285e-18
4.544176706827309786e+00 1.449737516305451024e-17
4.564257028112449710e+00 3.349858383868195385e-17
4.584337349397590522e+00 7.460282947469438267e-17
4.604417670682730446e+00 1.603976055654340403e-16
4.624497991967871258e+00 3.334597831377874241e-16
4.644578313253012070e+00 6.713517390030385103e-16
4.664658634538152882e+00 1.310829253172916476e-15
4.684738955823293693e+00 2.485600436225831787e-15
4.704819277108433617e+00 4.583300847144096323e-15
4.724899598393574429e+00 8.228752652333676730e-15
4.744979919678714353e+00 1.440191418368954012e-14
4.765060240963855165e+00 2.460001239718695822e-14
4.785140562248995977e+00 4.105396251216730439e-14
4.805220883534136789e+00 6.700908376058313617e-14
4.825301204819277601e+00 1.070791048904647448e-13
4.845381526104417524e+00 1.676803594688352484e-13
4.865461847389558336e+00 2.575498280829157221e-13
4.885542168674698260e+00 3.883463342539684520e-13
4.905622489959839072e+00 5.753289115999503608e-13
4.925702811244979884e+00 8.381004239898717910e-13
4.945783132530120696e+00 1.201398335570983469e-12
4.965863453815261508e+00 1.695908564816277138e-12
4.985943775100401432e+00 2.359073108840813224e-12
5.006024096385542244e+00 3.235858066237040448e-12
5.026104417670682167e+00 4.379446204790659847e-12
5.046184738955822979e+00 5.851817647259280279e-12
5.066265060240963791e+00 7.724183723950071160e-12
5.086345381526104603e+00 1.007724243081174773e-11
5.106425702811245415e+00 1.300122926438188305e-11
5.126506024096385339e+00 1.659574353655516440e-11
5.146586345381526151e+00 2.096933921071183336e-11
5.166666666666666963e+00 2.623887845797254293e-11
