# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 3.090410158576174527e-32
3.520080321285140368e+00 3.524607732706974817e-31
3.540160642570281180e+00 3.605252977147665296e-30
3.560240963855421548e+00 3.323751298925262181e-29
3.580321285140562360e+00 2.774790060744702930e-28
3.600401606425702727e+00 2.107120772775447634e-27
3.620481927710843539e+00 1.461730388115699560e-26
3.640562248995983907e+00 9.301232822177138523e-26
3.660642570281124719e+00 5.450116334998498311e-25
3.680722891566265087e+00 2.951773827011133446e-24
3.700803212851405455e+00 1.482925484635275466e-23
3.720883534136546267e+00 6.934123889729620017e-23
3.740963855421686635e+00 3.027682149277373291e-22
3.761044176706827447e+00 1.238289295241742803e-21
3.781124497991967814e+00 4.757875433386079151e-21
3.801204819277108626e+00 1.722308901444730409e-20
3.821285140562248994e+00 5.889637400858708606e-20
3.841365461847389362e+00 1.907502843718407496e-19
3.861445783132530174e+00 5.865567303841480889e-19
3.881526104417670542e+00 1.716500242868878790e-18
3.901606425702811354e+00 4.791169069618680575e-18
3.921686746987951722e+00 1.278302624515260417e-17
3.941767068273092534e+00 3.266699584687461259e-17
3.961847389558232901e+00 8.011553098203456235e-17
3.981927710843373269e+00 1.889150706349468174e-16
4.002008032128514081e+00 4.290744587329773919e-16
4.022088353413654893e+00 9.402725591336805714e-16
4.042168674698794817e+00 1.991294153346845043e-15
4.062248995983935629e+00 4.081796023563266673e-15
4.082329317269076441e+00 8.110444265220692642e-15
4.102409638554217253e+00 1.564334577152720833e-14
4.122489959839357176e+00 2.932869488887257224e-14
4.142570281124497988e+00 5.351725788399037106e-14
4.162650602409638800e+00 9.516288547223828995e-14
4.182730923694778724e+00 1.650913840985935621e-13
4.202811244979919536e+00 2.797380805428476974e-13
4.222891566265060348e+00 4.634622766092413367e-13
4.242971887550201160e+00 7.515484094521284874e-13
4.263052208835341084e+00 1.193997169180588043e-12
4.283132530120481896e+00 1.860193587380606923e-12
4.303212851405622708e+00 2.844512423918982123e-12
4.323293172690762631e+00 4.272884196512599536e-12
4.343373493975903443e+00 6.310299105537128609e-12
4.363453815261044255e+00 9.169173115995367572e-12
4.383534136546185067e+00 1.311844366231427703e-11
4.403614457831324991e+00 1.849320555998799867e-11
4.423694779116465803e+00 2.570464475183021802e-11
4.443775100401606615e+00 3.524998241003559166e-11
4.463855421686746539e+00 4.772210812374204472e-11
4.483935742971887350e+00 6.381856111987426031e-11
4.504016064257028162e+00 8.434951437109815656e-11
4.524096385542168974e+00 1.102444286446436641e-10
4.544176706827309786e+00 1.425570713833669805e-10
4.564257028112449710e+00 1.824686372147868804e-10
4.584337349397590522e+00 2.312887603571045124e-10
4.604417670682730446e+00 2.904542709529753568e-10
4.624497991967871258e+00 3.615256153094637765e-10
4.644578313253012070e+00 4.461809279615631627e-10
4.664658634538152882e+00 5.462078104299937979e-10
4.684738955823293693e+00 6.634929340844863166e-10
4.704819277108433617e+00 8.000096363454902666e-10
4.724899598393574429e+00 9.578037319365224697e-10
4.744979919678714353e+00 1.138977802130675243e-09
4.765060240963855165e+00 1.345674235195811965e-09
4.785140562248995977e+00 1.580057318002230892e-09
4.805220883534136789e+00 1.844294682750024409e-09
4.825301204819277601e+00 2.140538381506364504e-09
4.845381526104417524e+00 2.470905884799213355e-09
4.865461847389558336e+00 2.837461382126173246e-09
4.885542168674698260e+00 3.242197527925960203e-09
4.905622489959839072e+00 3.687017881784463933e-09
4.925702811244979884e+00 4.173720248429517385e-09
4.945783132530120696e+00 4.703981087339513581e-09
4.965863453815261508e+00 5.279340968204944937e-09
4.985943775100401432e+00 5.901191171596402757e-09
5.006024096385542244e+00 6.570762313318846226e-09
5.026104417670682167e+00 7.289114243946967707e-09
5.046184738955822979e+00 8.057127383802288075e-09
5.066265060240963791e+00 8.875495619347785186e-09
5.086345381526104603e+00 9.744720753570199269e-09
5.106425702811245415e+00 1.066510845639087570e-08
5.126506024096385339e+00 1.163676544849871757e-08
5.146586345381526151e+00 1.265959634204971078e-08
5.166666666666666963e+00 1.373330462536385312e-08
5.186746987951806886e+00 1.485739532515298308e-08
5.206827309236947698e+00 1.603117793866760516e-08
5.226907630522088510e+00 1.725377053432919796e-08
5.246987951807229322e+00 1.852410347998787969e-08
5.267068273092369246e+00 1.984092396189630663e-08
5.287148594377510058e+00 2.120280591205253174e-08
5.307228915662650870e+00 2.260815850543882064e-08
5.327309236947790794e+00 2.405523485943458608e-08
5.347389558232931606e+00 2.554213778823250770e-08
5.367469879518072418e+00 2.706682279497205200e-08
5.387550200803213230e+00 2.862709901355931398e-08
5.407630522088353153e+00 3.022065707135577893e-08
5.427710843373493965e+00 3.184508486749445606e-08
5.447791164658634777e+00 3.349787951747612891e-08
5.467871485943774701e+00 3.517645934471768100e-08
5.487951807228915513e+00 3.687817584021746931e-08
5.508032128514056325e+00 3.860030416029128327e-08
5.528112449799197137e+00 4.033999444895366115e-08
5.548192771084337949e+00 4.209435160345654212e-08
5.568273092369477872e+00 4.386046891798161868e-08
5.588353413654618684e+00 4.563543983384587080e-08
5.608433734939758608e+00 4.741636659459789545e-08
5.628514056224899420e+00 4.920036362131194512e-08
5.648594377510040232e+00 5.098457426332853364e-08
5.668674698795181044e+00 5.276616662278634530e-08
5.688755020080321856e+00 5.454215673887192512e-08
5.708835341365461780e+00 5.630949714857089692e-08
5.728915662650602592e+00 5.806523518379535281e-08
5.748995983935742515e+00 5.980652356474105032e-08
5.769076305220883327e+00 6.153062653225733596e-08
5.789156626506024139e+00 6.323492478103497132e-08
5.809236947791164951e+00 6.491691930080112837e-08
5.829317269076305763e+00 6.657423423207714067e-08
5.849397590361445687e+00 6.820461884054611577e-08
5.869477911646586499e+00 6.980594426626662532e-08
5.889558232931726423e+00 7.137594043672029858e-08
5.909638554216867234e+00 7.291208493467005804e-08
5.929718875502008046e+00 7.441202418318252080e-08
5.949799196787148858e+00 7.587360987550196889e-08
5.969879518072289670e+00 7.729489514884283432e-08
5.989959839357429594e+00 7.867412940955840134e-08
6.010040160642570406e+00 8.000974677818107165e-08
6.030120481927710330e+00 8.130036013278594288e-08
6.050200803212851142e+00 8.254475999421745685e-08
6.070281124497991954e+00 8.374190758179838697e-08
6.090361445783132766e+00 8.489092736748573601e-08
6.110441767068273577e+00 8.599109946701658582e-08
6.130522088353413501e+00 8.704185195319613434e-08
6.150602409638554313e+00 8.804264506694654498e-08
6.170682730923694237e+00 8.899247580570399584e-08
6.190763052208835049e+00 8.989034641027778940e-08
6.210843373493975861e+00 9.073549376392395368e-08
6.230923694779116673e+00 9.152737611118216374e-08
6.251004016064257485e+00 9.226565912674371799e-08
6.271084337349397408e+00 9.295020182726690045e-08
6.291164658634538220e+00 9.358104247576182596e-08
6.311244979919678144e+00 9.415838460695549243e-08
6.331325301204818956e+00 9.468258328253049741e-08
6.351405622489959768e+00 9.515413166737902434e-08
6.371485943775100580e+00 9.557364800204308285e-08
6.391566265060241392e+00 9.594186303228010048e-08
6.411646586345381316e+00 9.625960794411996309e-08
6.431726907630522128e+00 9.652780284175619563e-08
6.451807228915662051e+00 9.674744579601265778e-08
6.471887550200802863e+00 9.691960248280624794e-08
6.491967871485943675e+00 9.704539642384170810e-08
6.512048192771084487e+00 9.712599983559035468e-08
6.532128514056225299e+00 9.716261837757656829e-08
6.552208835341365223e+00 9.715620641067587046e-08
6.572289156626506035e+00 9.710740867077973256e-08
6.592369477911645959e+00 9.701695447036266941e-08
6.612449799196786770e+00 9.688567514422440294e-08
6.632530120481927582e+00 9.671449171004184152e-08
6.652610441767068394e+00 9.650440307224694188e-08
6.672690763052209206e+00 9.625647482550008332e-08
6.692771084337350018e+00 9.597182870028434899e-08
6.712851405622489942e+00 9.565163258039045984e-08
6.732931726907629866e+00 9.529708958668509046e-08
6.753012048192770678e+00 9.490942991256179915e-08
6.773092369477911490e+00 9.448990466101899663e-08
6.793172690763052302e+00 9.403977881179006597e-08
6.813253012048193114e+00 9.356032479849643346e-08
6.833333333333333925e+00 9.305281672948632099e-08
6.853413654618473849e+00 9.251852522499255117e-08
6.873493975903614661e+00 9.195871283957353567e-08
6.893574297188754585e+00 9.137463003607035921e-08
6.913654618473895397e+00 9.076751167543466884e-08
6.933734939759036209e+00 9.013857398568032623e-08
6.953815261044177021e+00 8.948901197278473083e-08
6.973895582329317833e+00 8.881999723654039554e-08
6.993975903614457756e+00 8.813267615502777014e-08
7.014056224899598568e+00 8.742816840248217828e-08
7.034136546184738492e+00 8.670756576676131061e-08
7.054216867469879304e+00 8.597193123432595897e-08
7.074297188755020116e+00 8.522229831254537969e-08
7.094377510040160928e+00 8.445967056117236122e-08
7.114457831325301740e+00 8.368502130694616625e-08
