# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 1.171628775273750176e-133
3.520080321285140368e+00 4.548004499813731734e-128
3.540160642570281180e+00 9.880408489707434349e-123
3.560240963855421548e+00 1.233224374747888630e-117
3.580321285140562360e+00 9.067715200640834090e-113
3.600401606425702727e+00 4.022779357294481379e-108
3.620481927710843539e+00 1.101645688284013576e-103
3.640562248995983907e+00 1.903320297956368245e-99
3.660642570281124719e+00 2.118239780663549601e-95
3.680722891566265087e+00 1.549038927537871028e-91
3.700803212851405455e+00 7.586024196607749177e-88
3.720883534136546267e+00 2.533373142616421701e-84
3.740963855421686635e+00 5.869890446665380020e-81
3.761044176706827447e+00 9.593567131092296687e-78
3.781124497991967814e+00 1.123566569176494807e-74
3.801204819277108626e+00 9.572510919835287755e-72
3.821285140562248994e+00 6.018740522316694045e-69
3.841365461847389362e+00 2.831393543655823069e-66
3.861445783132530174e+00 1.009723604849313162e-63
3.881526104417670542e+00 2.764063432352449763e-61
3.901606425702811354e+00 5.877960988222261870e-59
3.921686746987951722e+00 9.821867333525847476e-57
3.941767068273092534e+00 1.303712009329230932e-54
3.961847389558232901e+00 1.389016117891035771e-52
3.981927710843373269e+00 1.199732903657239734e-50
4.002008032128514081e+00 8.480710953977751214e-49
4.022088353413654893e+00 4.950886838114876174e-47
4.042168674698794817e+00 2.407641001473472734e-45
4.062248995983935629e+00 9.834306361568923242e-44
4.082329317269076441e+00 3.400652743358885994e-42
4.102409638554217253e+00 1.003034761449667050e-40
4.122489959839357176e+00 2.541708415165116893e-39
4.142570281124497988e+00 5.571490436802802641e-38
4.162650602409638800e+00 1.063403765634727138e-36
4.182730923694778724e+00 1.778372729817784799e-35
4.202811244979919536e+00 2.621434817393829795e-34
4.222891566265060348e+00 3.425497685571613095e-33
4.242971887550201160e+00 3.989710407762570835e-32
4.263052208835341084e+00 4.163417996495179427e-31
4.283132530120481896e+00 3.912059237610521304e-30
4.303212851405622708e+00 3.325569098082237596e-29
4.323293172690762631e+00 2.569194693625753602e-28
4.343373493975903443e+00 1.811653111113483022e-27
4.363453815261044255e+00 1.170824306571561122e-26
4.383534136546185067e+00 6.962380319211185845e-26
4.403614457831324991e+00 3.823898942392463454e-25
4.423694779116465803e+00 1.946691744542057231e-24
4.443775100401606615e+00 9.217624844921866267e-24
4.463855421686746539e+00 4.072804184737205489e-23
4.483935742971887350e+00 1.684527040489938570e-22
4.504016064257028162e+00 6.541363545259640482e-22
4.524096385542168974e+00 2.391672332861524951e-21
4.544176706827309786e+00 8.255804934426595238e-21
4.564257028112449710e+00 2.697548751754774445e-20
4.584337349397590522e+00 8.363884781351356113e-20
4.604417670682730446e+00 2.466627696701270611e-19
4.624497991967871258e+00 6.934855038638306594e-19
4.644578313253012070e+00 1.862714617832405290e-18
4.664658634538152882e+00 4.789882660569744030e-18
4.684738955823293693e+00 1.181481573233655935e-17
4.704819277108433617e+00 2.800707396199035179e-17
4.724899598393574429e+00 6.391833116162395323e-17
4.744979919678714353e+00 1.406834124808670930e-16
4.765060240963855165e+00 2.991088608353189958e-16
4.785140562248995977e+00 6.152640009485823935e-16
4.805220883534136789e+00 1.226268946203030529e-15
4.825301204819277601e+00 2.371475992293874948e-15
4.845381526104417524e+00 4.456041568781415241e-15
4.865461847389558336e+00 8.145901526891788455e-15
4.885542168674698260e+00 1.450523687896081970e-14
4.905622489959839072e+00 2.518941752800504359e-14
4.925702811244979884e+00 4.270783855686540721e-14
4.945783132530120696e+00 7.077167717384103039e-14
4.965863453815261508e+00 1.147410479432975232e-13
4.985943775100401432e+00 1.821840010819097553e-13
5.006024096385542244e+00 2.835561106921338471e-13
5.026104417670682167e+00 4.330039342460954550e-13
5.046184738955822979e+00 6.492885279267796882e-13
5.066265060240963791e+00 9.568167451161771287e-13
5.086345381526104603e+00 1.386758866071211324e-12
5.106425702811245415e+00 1.978221673162243567e-12
5.126506024096385339e+00 2.779436287170826541e-12
5.146586345381526151e+00 3.848913292545867859e-12
5.166666666666666963e+00 5.256511664303013352e-12
5.186746987951806886e+00 7.084364560599223897e-12
5.206827309236947698e+00 9.427605081848303858e-12
