# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 0.000000000000000000e+00
3.941767068273092534e+00 0.000000000000000000e+00
3.961847389558232901e+00 2.381583406920446338e-315
3.981927710843373269e+00 1.296631760101255617e-301
4.002008032128514081e+00 1.692667505104779004e-288
4.022088353413654893e+00 5.651367602947082967e-276
4.042168674698794817e+00 5.132381426817916826e-264
4.062248995983935629e+00 1.344668859751290395e-252
4.082329317269076441e+00 1.075068318471964906e-241
4.102409638554217253e+00 2.767401149766229046e-231
4.122489959839357176e+00 2.414138368630637757e-221
4.142570281124497988e+00 7.494453979638051714e-212
4.162650602409638800e+00 8.675210122755415220e-203
4.182730923694778724e+00 3.915078336469271455e-194
4.202811244979919536e+00 7.187948264607628829e-186
4.222891566265060348e+00 5.591416863513495492e-178
4.242971887550201160e+00 1.915764917404172224e-170
4.263052208835341084e+00 3.000236835860151045e-163
4.283132530120481896e+00 2.224971233767035332e-156
4.303212851405622708e+00 8.081969448243077342e-150
4.323293172690762631e+00 1.485044824621823044e-143
4.343373493975903443e+00 1.423522193336737447e-137
4.363453815261044255e+00 7.330941605898812061e-132
4.383534136546185067e+00 2.086016232805202529e-126
4.403614457831324991e+00 3.368826928947678576e-121
4.423694779116465803e+00 3.167798189322061664e-116
4.443775100401606615e+00 1.777323876359308834e-111
4.463855421686746539e+00 6.090302262961820457e-107
4.483935742971887350e+00 1.303315010893989144e-102
4.504016064257028162e+00 1.779246506265881331e-98
4.524096385542168974e+00 1.581319010706308350e-94
4.544176706827309786e+00 9.328706186865960355e-91
4.564257028112449710e+00 3.721201952927970139e-87
4.584337349397590522e+00 1.021604872767103038e-83
4.604417670682730446e+00 1.963141503602340731e-80
4.624497991967871258e+00 2.683421912591824216e-77
4.644578313253012070e+00 2.649588928747714061e-74
4.664658634538152882e+00 1.917792800097696075e-71
4.684738955823293693e+00 1.031933261965456059e-68
4.704819277108433617e+00 4.183560424224567360e-66
4.724899598393574429e+00 1.294314620481451272e-63
4.744979919678714353e+00 3.093405802879415570e-61
4.765060240963855165e+00 5.778316677638397087e-59
4.785140562248995977e+00 8.530382758219529597e-57
4.805220883534136789e+00 1.005901040811546519e-54
4.825301204819277601e+00 9.571273985569894572e-53
4.845381526104417524e+00 7.420291670460307917e-51
4.865461847389558336e+00 4.730725202833460601e-49
4.885542168674698260e+00 2.502229573615513446e-47
4.905622489959839072e+00 1.107345216025030899e-45
4.925702811244979884e+00 4.133267939607905255e-44
4.945783132530120696e+00 1.311290262728878693e-42
4.965863453815261508e+00 3.561951705351779677e-41
4.985943775100401432e+00 8.342691225916284963e-40
5.006024096385542244e+00 1.696136089234643683e-38
5.026104417670682167e+00 3.012504043577226772e-37
5.046184738955822979e+00 4.702811644357176668e-36
5.066265060240963791e+00 6.490547524295191618e-35
5.086345381526104603e+00 7.963707809808557092e-34
5.106425702811245415e+00 8.733066451175128466e-33
5.126506024096385339e+00 8.602776567395527405e-32
5.146586345381526151e+00 7.649523263362744129e-31
5.166666666666666963e+00 6.168254865876765789e-30
5.186746987951806886e+00 4.530436824002777899e-29
5.206827309236947698e+00 3.043677552535307626e-28
5.226907630522088510e+00 1.877959550923507180e-27
5.246987951807229322e+00 1.068248037288574973e-26
5.267068273092369246e+00 5.622766940182467823e-26
5.287148594377510058e+00 2.748159910346447738e-25
5.307228915662650870e+00 1.251413796087436769e-24
5.327309236947790794e+00 5.326161699165669750e-24
5.347389558232931606e+00 2.125235252568275348e-23
5.367469879518072418e+00 7.973406183883352805e-23
5.387550200803213230e+00 2.820543613734153295e-22
5.407630522088353153e+00 9.432506489670365719e-22
5.427710843373493965e+00 2.989702780856239664e-21
5.447791164658634777e+00 9.002996317454992578e-21
5.467871485943774701e+00 2.581715471726699336e-20
5.487951807228915513e+00 7.065627246692720027e-20
5.508032128514056325e+00 1.849394884777781136e-19
5.528112449799197137e+00 4.638947173635546376e-19
5.548192771084337949e+00 1.117261651754000426e-18
5.568273092369477872e+00 2.588411135390561333e-18
5.588353413654618684e+00 5.778509176916314449e-18
5.608433734939758608e+00 1.245172510830898286e-17
5.628514056224899420e+00 2.593992187703937884e-17
5.648594377510040232e+00 5.232343264634466526e-17
5.668674698795181044e+00 1.023399894443918457e-16
5.688755020080321856e+00 1.943661681827481589e-16
5.708835341365461780e+00 3.589215383039489960e-16
5.728915662650602592e+00 6.452579033996193824e-16
5.748995983935742515e+00 1.130703539489758817e-15
5.769076305220883327e+00 1.933520402899001740e-15
5.789156626506024139e+00 3.230083155425198832e-15
5.809236947791164951e+00 5.277181660937203034e-15
5.829317269076305763e+00 8.440176328912438181e-15
5.849397590361445687e+00 1.322757443941269984e-14
5.869477911646586499e+00 2.033234359428356472e-14
5.889558232931726423e+00 3.067994554657121323e-14
5.909638554216867234e+00 4.548266684487147970e-14
5.929718875502008046e+00 6.629935199715743327e-14
5.949799196787148858e+00 9.509900984934859014e-14
