# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 7.551298587829443845e-44
3.520080321285140368e+00 2.756257045891095219e-42
3.540160642570281180e+00 8.559025766774000864e-41
3.560240963855421548e+00 2.277744416677915413e-39
3.580321285140562360e+00 5.231038595832062756e-38
3.600401606425702727e+00 1.043668524509415129e-36
3.620481927710843539e+00 1.820488018665389298e-35
3.640562248995983907e+00 2.793172730770727486e-34
3.660642570281124719e+00 3.791469652872656090e-33
3.680722891566265087e+00 4.578451473032538962e-32
3.700803212851405455e+00 4.944515837462407988e-31
3.720883534136546267e+00 4.799680371198990326e-30
3.740963855421686635e+00 4.207988832230942507e-29
3.761044176706827447e+00 3.347390896273507431e-28
3.781124497991967814e+00 2.426685914282122381e-27
3.801204819277108626e+00 1.609961896010369911e-26
3.821285140562248994e+00 9.814087529866736736e-26
3.841365461847389362e+00 5.517921347077633478e-25
3.861445783132530174e+00 2.871946706036256779e-24
3.881526104417670542e+00 1.388561369455766115e-23
3.901606425702811354e+00 6.257284424521347358e-23
3.921686746987951722e+00 2.636440418748261236e-22
3.941767068273092534e+00 1.041785284969813770e-21
3.961847389558232901e+00 3.871901152055786583e-21
3.981927710843373269e+00 1.357241200852422190e-20
4.002008032128514081e+00 4.499076992661930097e-20
4.022088353413654893e+00 1.413900124144167750e-19
4.042168674698794817e+00 4.222688369273969792e-19
4.062248995983935629e+00 1.201250089998916288e-18
4.082329317269076441e+00 3.262167363554832936e-18
4.102409638554217253e+00 8.474596053535398205e-18
4.122489959839357176e+00 2.110291862568931880e-17
4.142570281124497988e+00 5.046713991145348247e-17
4.162650602409638800e+00 1.161214178122552487e-16
4.182730923694778724e+00 2.575211427715787605e-16
4.202811244979919536e+00 5.513610940636322126e-16
4.222891566265060348e+00 1.141499195051449762e-15
4.242971887550201160e+00 2.288728768215151559e-15
4.263052208835341084e+00 4.450676548268164552e-15
4.283132530120481896e+00 8.405753505916895324e-15
4.303212851405622708e+00 1.543922808021150798e-14
4.323293172690762631e+00 2.761384973017685441e-14
4.343373493975903443e+00 4.815160983489207744e-14
4.363453815261044255e+00 8.195665556058329129e-14
4.383534136546185067e+00 1.363114722754414649e-13
4.403614457831324991e+00 2.217786311735139728e-13
4.423694779116465803e+00 3.533381689832281176e-13
4.443775100401606615e+00 5.517857242923324159e-13
4.463855421686746539e+00 8.454088655865117475e-13
4.483935742971887350e+00 1.271948888345568025e-12
4.504016064257028162e+00 1.880843326149457724e-12
4.524096385542168974e+00 2.735731378852980719e-12
4.544176706827309786e+00 3.917191453420764450e-12
4.564257028112449710e+00 5.525668183088249959e-12
4.584337349397590522e+00 7.684536623006131581e-12
4.604417670682730446e+00 1.054324468810407217e-11
4.624497991967871258e+00 1.428047158044057665e-11
4.644578313253012070e+00 1.910724085693136738e-11
4.664658634538152882e+00 2.526993145369612204e-11
4.684738955823293693e+00 3.305313596456341370e-11
4.704819277108433617e+00 4.278232479536202835e-11
4.724899598393574429e+00 5.482627603898813897e-11
4.744979919678714353e+00 6.959925638673526180e-11
4.765060240963855165e+00 8.756295258930306601e-11
4.785140562248995977e+00 1.092281318316553050e-10
4.805220883534136789e+00 1.351560327230360260e-10
4.825301204819277601e+00 1.659594229736671941e-10
4.845381526104417524e+00 2.023031844211910021e-10
4.865461847389558336e+00 2.449048903698214604e-10
4.885542168674698260e+00 2.945350518444549009e-10
4.905622489959839072e+00 3.520170043239705009e-10
4.925702811244979884e+00 4.182264475908360190e-10
4.945783132530120696e+00 4.940901353816828259e-10
4.965863453815261508e+00 5.805817623934880040e-10
4.985943775100401432e+00 6.787206030776664973e-10
5.006024096385542244e+00 7.895697625898839484e-10
5.026104417670682167e+00 9.142331396038735276e-10
5.046184738955822979e+00 1.053851841580761758e-09
5.066265060240963791e+00 1.209600024104682916e-09
5.086345381526104603e+00 1.382677438550964025e-09
5.106425702811245415e+00 1.574284288602652010e-09
5.126506024096385339e+00 1.785619654521669882e-09
5.146586345381526151e+00 2.017882148189256897e-09
5.166666666666666963e+00 2.272262932776694141e-09
5.186746987951806886e+00 2.549938504685150083e-09
5.206827309236947698e+00 2.852063316250363892e-09
5.226907630522088510e+00 3.179762280112577225e-09
5.246987951807229322e+00 3.534121286320351928e-09
5.267068273092369246e+00 3.916113900179054862e-09
5.287148594377510058e+00 4.326562474110835809e-09
5.307228915662650870e+00 4.766196318599728484e-09
5.327309236947790794e+00 5.235651699539673507e-09
5.347389558232931606e+00 5.735468377922078116e-09
5.367469879518072418e+00 6.266087131454637282e-09
5.387550200803213230e+00 6.827848005191004540e-09
5.407630522088353153e+00 7.420989044006523636e-09
5.427710843373493965e+00 8.045645788068446712e-09
5.447791164658634777e+00 8.701851185897893696e-09
5.467871485943774701e+00 9.389430363429276850e-09
5.487951807228915513e+00 1.010779566825370440e-08
5.508032128514056325e+00 1.085617128568482034e-08
5.528112449799197137e+00 1.163365097562729670e-08
5.548192771084337949e+00 1.243920979892896369e-08
5.568273092369477872e+00 1.327171649547015245e-08
5.588353413654618684e+00 1.412994608299857719e-08
5.608433734939758608e+00 1.501259242875853138e-08
5.628514056224899420e+00 1.591828262259960476e-08
5.648594377510040232e+00 1.684559199896328436e-08
5.668674698795181044e+00 1.779305063012668768e-08
5.688755020080321856e+00 1.875915288600747251e-08
5.708835341365461780e+00 1.974236707481206108e-08
5.728915662650602592e+00 2.074110487126764875e-08
5.748995983935742515e+00 2.175331210410629152e-08
5.769076305220883327e+00 2.277662693743677964e-08
5.789156626506024139e+00 2.380867856185738022e-08
5.809236947791164951e+00 2.484712339810958827e-08
5.829317269076305763e+00 2.588965288955309839e-08
5.849397590361445687e+00 2.693400112181140299e-08
5.869477911646586499e+00 2.797795850796566572e-08
5.889558232931726423e+00 2.901938384331261607e-08
5.909638554216867234e+00 3.005621464335050453e-08
5.929718875502008046e+00 3.108647576457305943e-08
5.949799196787148858e+00 3.210828634081300770e-08
5.969879518072289670e+00 3.311986509749742440e-08
5.989959839357429594e+00 3.411953501550673586e-08
6.010040160642570406e+00 3.510574768960399155e-08
6.030120481927710330e+00 3.607708318093297016e-08
6.050200803212851142e+00 3.703222418653578166e-08
6.070281124497991954e+00 3.796995364957010876e-08
6.090361445783132766e+00 3.888915288568171779e-08
6.110441767068273577e+00 3.978879841103836303e-08
6.130522088353413501e+00 4.066776803129931275e-08
6.150602409638554313e+00 4.152457587782656845e-08
6.170682730923694237e+00 4.235777199385548532e-08
6.190763052208835049e+00 4.316601415585063648e-08
6.210843373493975861e+00 4.394807119749859960e-08
6.230923694779116673e+00 4.470282554741801840e-08
6.251004016064257485e+00 4.542927498627532762e-08
6.271084337349397408e+00 4.612654532733619077e-08
6.291164658634538220e+00 4.679392062973975013e-08
6.311244979919678144e+00 4.743080402631882913e-08
6.331325301204818956e+00 4.803670556358758296e-08
6.351405622489959768e+00 4.861124070608996171e-08
