# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 3.945961341221543961e-75
3.520080321285140368e+00 3.600835522662204652e-72
3.540160642570281180e+00 2.417638966595966680e-69
3.560240963855421548e+00 1.210989540519351494e-66
3.580321285140562360e+00 4.585652291677711308e-64
3.600401606425702727e+00 1.329428097600746643e-61
3.620481927710843539e+00 2.986584223718406085e-59
3.640562248995983907e+00 5.259412167403115987e-57
3.660642570281124719e+00 7.340614049499786754e-55
3.680722891566265087e+00 8.205869870485840952e-53
3.700803212851405455e+00 7.421164653341715948e-51
3.720883534136546267e+00 5.481962197722142570e-49
3.740963855421686635e+00 3.338027526776220887e-47
3.761044176706827447e+00 1.690159280798687209e-45
3.781124497991967814e+00 7.175824323192332412e-44
3.801204819277108626e+00 2.575024764827298989e-42
3.821285140562248994e+00 7.869719951122828994e-41
3.841365461847389362e+00 2.063284271194186730e-39
3.861445783132530174e+00 4.672959788969584723e-38
3.881526104417670542e+00 9.203086563957466109e-37
3.901606425702811354e+00 1.586094046596122239e-35
3.921686746987951722e+00 2.406577494389339749e-34
3.941767068273092534e+00 3.233325473432122584e-33
3.961847389558232901e+00 3.867833901752009652e-32
3.981927710843373269e+00 4.141305677387617970e-31
4.002008032128514081e+00 3.988752364567538467e-30
4.022088353413654893e+00 3.472546247611859136e-29
4.042168674698794817e+00 2.745093311576510752e-28
4.062248995983935629e+00 1.979071749440538796e-27
4.082329317269076441e+00 1.306691088507048852e-26
4.102409638554217253e+00 7.932701583952730841e-26
4.122489959839357176e+00 4.444857666066265679e-25
4.142570281124497988e+00 2.307067770104657518e-24
4.162650602409638800e+00 1.113101078594242827e-23
4.182730923694778724e+00 5.008626379339474553e-23
4.202811244979919536e+00 2.108558029867634951e-22
4.222891566265060348e+00 8.330028429534441692e-22
4.242971887550201160e+00 3.097086481921821215e-21
4.263052208835341084e+00 1.086679544026353867e-20
4.283132530120481896e+00 3.607716159521198710e-20
4.303212851405622708e+00 1.136150292711656950e-19
4.323293172690762631e+00 3.402141433706099025e-19
4.343373493975903443e+00 9.709026280047771972e-19
4.363453815261044255e+00 2.646393274928003695e-18
4.383534136546185067e+00 6.903896151720334784e-18
4.403614457831324991e+00 1.727269332626098906e-17
4.423694779116465803e+00 4.152192404892578656e-17
4.443775100401606615e+00 9.608038502242386919e-17
4.463855421686746539e+00 2.143800685492441019e-16
4.483935742971887350e+00 4.620031236650145778e-16
4.504016064257028162e+00 9.631680981728993158e-16
4.524096385542168974e+00 1.945407713439842778e-15
4.544176706827309786e+00 3.812373887908823764e-15
4.564257028112449710e+00 7.258604987287855919e-15
4.584337349397590522e+00 1.344475878887345515e-14
4.604417670682730446e+00 2.425707547140398007e-14
4.624497991967871258e+00 4.268035567558849415e-14
4.644578313253012070e+00 7.331902458148136001e-14
4.664658634538152882e+00 1.231052648574573586e-13
4.684738955823293693e+00 2.022360014431621761e-13
4.704819277108433617e+00 3.253809448207355353e-13
4.724899598393574429e+00 5.132012462048253633e-13
4.744979919678714353e+00 7.942120500942966486e-13
4.765060240963855165e+00 1.207012063675527354e-12
4.785140562248995977e+00 1.802889240910272572e-12
4.805220883534136789e+00 2.648794207476942573e-12
4.825301204819277601e+00 3.830652897398450833e-12
4.845381526104417524e+00 5.456968119653337215e-12
4.865461847389558336e+00 7.662637731822019481e-12
4.885542168674698260e+00 1.061289621255451352e-11
4.905622489959839072e+00 1.450726809482013356e-11
4.925702811244979884e+00 1.958340739005578106e-11
4.945783132530120696e+00 2.612068774288190137e-11
4.965863453815261508e+00 3.444340425765770052e-11
4.985943775100401432e+00 4.492345033523573220e-11
5.006024096385542244e+00 5.798234012942658189e-11
5.026104417670682167e+00 7.409246414842798393e-11
5.046184738955822979e+00 9.377748391451045058e-11
5.066265060240963791e+00 1.176117923501983591e-10
5.086345381526104603e+00 1.462189945714678990e-10
5.106425702811245415e+00 1.802693797087728599e-10
5.126506024096385339e+00 2.204763845986403327e-10
5.146586345381526151e+00 2.675921410868649424e-10
5.166666666666666963e+00 3.224021250309919743e-10
5.186746987951806886e+00 3.857189964404211008e-10
