# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 8.596635055592035227e-111
3.520080321285140368e+00 3.264578363038982143e-106
3.540160642570281180e+00 7.706585866063366351e-102
3.560240963855421548e+00 1.155479459524163545e-97
3.580321285140562360e+00 1.123143304068398361e-93
3.600401606425702727e+00 7.217483979330588227e-90
3.620481927710843539e+00 3.124171677166193219e-86
3.640562248995983907e+00 9.273338841503634180e-83
3.660642570281124719e+00 1.919963480953395746e-79
3.680722891566265087e+00 2.818216285659941317e-76
3.700803212851405455e+00 2.978720105641176702e-73
3.720883534136546267e+00 2.300931245271947983e-70
3.740963855421686635e+00 1.317496619691724426e-67
3.761044176706827447e+00 5.668166826563647507e-65
3.781124497991967814e+00 1.856063534127944515e-62
3.801204819277108626e+00 4.683349093799623593e-60
3.821285140562248994e+00 9.213996826547860317e-58
3.841365461847389362e+00 1.429389834221842345e-55
3.861445783132530174e+00 1.767368237335596145e-53
3.881526104417670542e+00 1.759661261852924755e-51
3.901606425702811354e+00 1.424647953162223319e-49
3.921686746987951722e+00 9.467192703749136139e-48
3.941767068273092534e+00 5.210091773393572196e-46
3.961847389558232901e+00 2.394860622413134422e-44
3.981927710843373269e+00 9.269554185194315909e-43
4.002008032128514081e+00 3.044770508039011640e-41
4.022088353413654893e+00 8.550437593613118348e-40
4.042168674698794817e+00 2.067452701924463767e-38
4.062248995983935629e+00 4.333439345714633657e-37
4.082329317269076441e+00 7.924712264185186873e-36
4.102409638554217253e+00 1.272228055859888270e-34
4.122489959839357176e+00 1.803570780620512343e-33
4.142570281124497988e+00 2.270537758340576412e-32
4.162650602409638800e+00 2.552006922551702747e-31
4.182730923694778724e+00 2.574053113067174447e-30
4.202811244979919536e+00 2.341316329548787109e-29
4.222891566265060348e+00 1.929469874390769165e-28
4.242971887550201160e+00 1.447064642105145406e-27
4.263052208835341084e+00 9.918798053442320498e-27
4.283132530120481896e+00 6.239027898227633757e-26
4.303212851405622708e+00 3.615324913357391636e-25
4.323293172690762631e+00 1.937134695789187691e-24
4.343373493975903443e+00 9.631438751348378997e-24
4.363453815261044255e+00 4.458704307197255430e-23
4.383534136546185067e+00 1.928027740814102294e-22
4.403614457831324991e+00 7.811646379514030257e-22
4.423694779116465803e+00 2.974223854754884986e-21
4.443775100401606615e+00 1.067150890614826185e-20
4.463855421686746539e+00 3.617955897903167010e-20
4.483935742971887350e+00 1.161976772543668182e-19
4.504016064257028162e+00 3.543966003822057773e-19
4.524096385542168974e+00 1.028851556109597492e-18
4.544176706827309786e+00 2.849405400476696178e-18
4.564257028112449710e+00 7.544276578382240188e-18
4.584337349397590522e+00 1.913482300174252941e-17
4.604417670682730446e+00 4.658182503237778648e-17
4.624497991967871258e+00 1.090428826341243045e-16
4.644578313253012070e+00 2.458861507380375957e-16
4.664658634538152882e+00 5.350065459963654624e-16
4.684738955823293693e+00 1.125049295004200032e-15
4.704819277108433617e+00 2.290017809146758662e-15
