# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 0.000000000000000000e+00
3.941767068273092534e+00 0.000000000000000000e+00
3.961847389558232901e+00 0.000000000000000000e+00
3.981927710843373269e+00 0.000000000000000000e+00
4.002008032128514081e+00 0.000000000000000000e+00
4.022088353413654893e+00 0.000000000000000000e+00
4.042168674698794817e+00 0.000000000000000000e+00
4.062248995983935629e+00 0.000000000000000000e+00
4.082329317269076441e+00 0.000000000000000000e+00
4.102409638554217253e+00 0.000000000000000000e+00
4.122489959839357176e+00 0.000000000000000000e+00
4.142570281124497988e+00 0.000000000000000000e+00
4.162650602409638800e+00 0.000000000000000000e+00
4.182730923694778724e+00 0.000000000000000000e+00
4.202811244979919536e+00 0.000000000000000000e+00
4.222891566265060348e+00 0.000000000000000000e+00
4.242971887550201160e+00 0.000000000000000000e+00
4.263052208835341084e+00 0.000000000000000000e+00
4.283132530120481896e+00 0.000000000000000000e+00
4.303212851405622708e+00 7.976575347640590234e-312
4.323293172690762631e+00 2.877466164075251866e-298
4.343373493975903443e+00 2.535623968162481887e-285
4.363453815261044255e+00 5.816987715193518587e-273
4.383534136546185067e+00 3.691970539512496181e-261
4.403614457831324991e+00 6.870367397700226742e-250
4.423694779116465803e+00 3.962222916909583930e-239
4.443775100401606615e+00 7.466598030222070529e-229
4.463855421686746539e+00 4.835936451663753253e-219
4.483935742971887350e+00 1.129716876830595076e-209
4.504016064257028162e+00 9.967820085394036915e-201
4.524096385542168974e+00 3.471190693361942744e-192
4.544176706827309786e+00 4.975621359963508837e-184
4.564257028112449710e+00 3.055802661469837207e-176
4.584337349397590522e+00 8.354951331592599370e-169
4.604417670682730446e+00 1.054831761453682159e-161
4.624497991967871258e+00 6.368037384470192351e-155
4.644578313253012070e+00 1.900590284432091239e-148
4.664658634538152882e+00 2.895043547084363618e-142
4.684738955823293693e+00 2.320085495827450144e-136
4.704819277108433617e+00 1.007018350594967450e-130
4.724899598393574429e+00 2.433817818321661484e-125
4.744979919678714353e+00 3.363141233367387670e-120
4.765060240963855165e+00 2.725074835823502338e-115
4.785140562248995977e+00 1.326362684872800900e-110
4.805220883534136789e+00 3.968237424600737490e-106
4.825301204819277601e+00 7.459909298451809747e-102
4.845381526104417524e+00 8.998861302032772958e-98
4.865461847389558336e+00 7.106655430047128645e-94
4.885542168674698260e+00 3.745233083318713676e-90
4.905622489959839072e+00 1.341420483919017139e-86
4.925702811244979884e+00 3.322779139099465907e-83
4.945783132530120696e+00 5.787939928081859993e-80
4.965863453815261508e+00 7.203459796236860767e-77
4.985943775100401432e+00 6.503531372924034820e-74
5.006024096385542244e+00 4.321620673847608390e-71
5.026104417670682167e+00 2.143122817988008467e-68
5.046184738955822979e+00 8.036971794168672009e-66
5.066265060240963791e+00 2.308156643902969782e-63
5.086345381526104603e+00 5.138073317720517405e-61
5.106425702811245415e+00 8.968001529774301120e-59
5.126506024096385339e+00 1.240862656310448358e-56
5.146586345381526151e+00 1.375438137594649355e-54
5.166666666666666963e+00 1.233668391605154485e-52
5.186746987951806886e+00 9.039615253184498973e-51
5.206827309236947698e+00 5.460871534796879975e-49
5.226907630522088510e+00 2.743605086618135855e-47
5.246987951807229322e+00 1.155965392719571586e-45
5.267068273092369246e+00 4.117031666495573263e-44
5.287148594377510058e+00 1.248924648122471264e-42
5.307228915662650870e+00 3.250487094891550673e-41
5.327309236947790794e+00 7.308463912372860006e-40
5.347389558232931606e+00 1.429021169391604814e-38
5.367469879518072418e+00 2.445264630030663607e-37
5.387550200803213230e+00 3.683864433259068951e-36
5.407630522088353153e+00 4.914390583596292571e-35
5.427710843373493965e+00 5.837256135078647305e-34
5.447791164658634777e+00 6.205801507013611488e-33
5.467871485943774701e+00 5.934869028015000246e-32
5.487951807228915513e+00 5.130082312912402979e-31
5.508032128514056325e+00 4.026423378115806146e-30
5.528112449799197137e+00 2.881965917553540723e-29
5.548192771084337949e+00 1.889032282776046216e-28
5.568273092369477872e+00 1.138403498546522641e-27
5.588353413654618684e+00 6.331499022561286523e-27
5.608433734939758608e+00 3.261692859901571361e-26
5.628514056224899420e+00 1.561735190807499923e-25
5.648594377510040232e+00 6.973218580122264682e-25
5.668674698795181044e+00 2.912658895317164752e-24
5.688755020080321856e+00 1.141519857889726369e-23
5.708835341365461780e+00 4.209812464012863887e-23
5.728915662650602592e+00 1.464937113129005886e-22
5.748995983935742515e+00 4.822695202535464945e-22
5.769076305220883327e+00 1.505779781866961656e-21
5.789156626506024139e+00 4.469624314707306424e-21
5.809236947791164951e+00 1.264179374308309947e-20
5.829317269076305763e+00 3.414443519416423579e-20
5.849397590361445687e+00 8.824851416517399821e-20
5.869477911646586499e+00 2.186920369512730500e-19
5.889558232931726423e+00 5.206184132098307482e-19
5.909638554216867234e+00 1.192759097683943032e-18
5.929718875502008046e+00 2.634406255075182520e-18
5.949799196787148858e+00 5.618569610016033051e-18
