# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 3.181490667990479920e-211
3.520080321285140368e+00 3.994629463835181143e-202
3.540160642570281180e+00 1.948260443455570253e-193
3.560240963855421548e+00 3.852102588701934012e-185
3.580321285140562360e+00 3.216223479456731552e-177
3.600401606425702727e+00 1.178986425334235793e-169
3.620481927710843539e+00 1.969417974272640286e-162
3.640562248995983907e+00 1.553302161607063111e-155
3.660642570281124719e+00 5.983958021910426926e-149
3.680722891566265087e+00 1.163043286290421268e-142
3.700803212851405455e+00 1.176258728262683257e-136
3.720883534136546267e+00 6.375698340504316717e-131
3.740963855421686635e+00 1.905064406454027248e-125
3.761044176706827447e+00 3.223551500584979790e-120
3.781124497991967814e+00 3.169280026933400700e-115
3.801204819277108626e+00 1.855416783698398321e-110
3.821285140562248994e+00 6.621396943160915208e-106
3.841365461847389362e+00 1.472983212254648384e-101
3.861445783132530174e+00 2.086699282445335252e-97
3.881526104417670542e+00 1.921279907028483151e-93
3.901606425702811354e+00 1.172316299839766953e-89
3.921686746987951722e+00 4.829420170429224010e-86
3.941767068273092534e+00 1.367253542561886349e-82
3.961847389558232901e+00 2.705618426468463238e-79
3.981927710843373269e+00 3.803421379937382224e-76
4.002008032128514081e+00 3.857289017874425961e-73
4.022088353413654893e+00 2.864151596941704720e-70
4.042168674698794817e+00 1.579183680219930435e-67
4.062248995983935629e+00 6.552883444113493076e-65
4.082329317269076441e+00 2.072868644972831430e-62
4.102409638554217253e+00 5.060285850096602492e-60
4.122489959839357176e+00 9.645528117963432891e-58
4.142570281124497988e+00 1.451706019573213397e-55
4.162650602409638800e+00 1.743683624868596883e-53
4.182730923694778724e+00 1.688566711807526836e-51
4.202811244979919536e+00 1.331237242056711639e-49
4.222891566265060348e+00 8.624096515944438123e-48
4.242971887550201160e+00 4.631743990917072717e-46
4.263052208835341084e+00 2.079821423463836093e-44
4.283132530120481896e+00 7.871720154824289659e-43
4.303212851405622708e+00 2.530627080871466549e-41
4.323293172690762631e+00 6.961499754578157647e-40
4.343373493975903443e+00 1.650251614840385319e-38
4.363453815261044255e+00 3.393818207745714044e-37
4.383534136546185067e+00 6.094028282241777440e-36
4.403614457831324991e+00 9.612985506662894294e-35
4.423694779116465803e+00 1.339954977809149206e-33
4.443775100401606615e+00 1.659684483255167480e-32
4.463855421686746539e+00 1.836453410643445408e-31
