# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 1.114646543768745901e-313
3.620481927710843539e+00 5.259617267328408280e-300
3.640562248995983907e+00 5.989399401492765489e-287
3.660642570281124719e+00 1.755175196443337729e-274
3.680722891566265087e+00 1.407346969976352582e-262
3.700803212851405455e+00 3.273839199402432719e-251
3.720883534136546267e+00 2.336532222665757305e-240
3.740963855421686635e+00 5.396722472636696967e-230
3.761044176706827447e+00 4.244927322076484376e-220
3.781124497991967814e+00 1.193795639064694059e-210
3.801204819277108626e+00 1.257453307856200820e-201
3.821285140562248994e+00 5.185928829584280952e-193
3.841365461847389362e+00 8.736429169555855202e-185
3.861445783132530174e+00 6.260119392718653689e-177
3.881526104417670542e+00 1.983111881583922721e-169
3.901606425702811354e+00 2.881671674749413882e-162
3.921686746987951722e+00 1.989607834077999988e-155
3.941767068273092534e+00 6.750223924733879532e-149
3.961847389558232901e+00 1.162087443243107742e-142
3.981927710843373269e+00 1.046746714312136914e-136
4.002008032128514081e+00 5.079691015399533933e-131
4.022088353413654893e+00 1.365721867183333849e-125
4.042168674698794817e+00 2.089317808244196218e-120
4.062248995983935629e+00 1.865642444004643506e-115
4.082329317269076441e+00 9.963190251884538752e-111
4.102409638554217253e+00 3.256878903782628235e-106
4.122489959839357176e+00 6.662991477745556660e-102
4.142570281124497988e+00 8.713596493993516515e-98
4.162650602409638800e+00 7.433044227368851851e-94
4.182730923694778724e+00 4.216584967469651316e-90
4.202811244979919536e+00 1.620260368371323487e-86
4.222891566265060348e+00 4.292218319318944742e-83
4.242971887550201160e+00 7.971676953305987796e-80
4.263052208835341084e+00 1.054767039439270917e-76
4.283132530120481896e+00 1.009614520858918905e-73
4.303212851405622708e+00 7.094133656162908885e-71
4.323293172690762631e+00 3.710678970139876149e-68
4.343373493975903443e+00 1.464229129313007003e-65
4.363453815261044255e+00 4.414647584745064652e-63
4.383534136546185067e+00 1.029423754252964338e-60
4.403614457831324991e+00 1.878212349458888743e-58
4.423694779116465803e+00 2.711196253480449580e-56
4.443775100401606615e+00 3.129239833798611802e-54
4.463855421686746539e+00 2.917202322031367364e-52
4.483935742971887350e+00 2.217858936455607722e-50
4.504016064257028162e+00 1.387846603466687808e-48
4.524096385542168974e+00 7.211222568989572564e-47
4.544176706827309786e+00 3.137496835758023680e-45
4.564257028112449710e+00 1.152250488707153422e-43
4.584337349397590522e+00 3.599354079391206651e-42
4.604417670682730446e+00 9.633650584340736837e-41
4.624497991967871258e+00 2.224728156143018319e-39
4.644578313253012070e+00 4.462485762296163353e-38
4.664658634538152882e+00 7.824450355229316971e-37
4.684738955823293693e+00 1.206552723974783488e-35
4.704819277108433617e+00 1.645785910236345293e-34
4.724899598393574429e+00 1.996825757840887748e-33
4.744979919678714353e+00 2.166423144892151674e-32
4.765060240963855165e+00 2.112396117547684718e-31
4.785140562248995977e+00 1.860072754146092015e-30
4.805220883534136789e+00 1.485955780714500139e-29
4.825301204819277601e+00 1.081712213745139238e-28
4.845381526104417524e+00 7.205592354070218723e-28
4.865461847389558336e+00 4.409806878775227483e-27
4.885542168674698260e+00 2.488986392824486520e-26
4.905622489959839072e+00 1.300362892401400223e-25
4.925702811244979884e+00 6.310445260779879754e-25
4.945783132530120696e+00 2.854004416330758550e-24
4.965863453815261508e+00 1.206782202592387355e-23
4.985943775100401432e+00 4.785207240579689035e-23
5.006024096385542244e+00 1.784549369190640240e-22
5.026104417670682167e+00 6.276445809481402631e-22
5.046184738955822979e+00 2.087389468118650235e-21
5.066265060240963791e+00 6.581014875416419412e-21
5.086345381526104603e+00 1.971639811576367993e-20
5.106425702811245415e+00 5.626080443202011975e-20
5.126506024096385339e+00 1.532431623016513924e-19
5.146586345381526151e+00 3.992667170676000337e-19
5.166666666666666963e+00 9.970588507151783076e-19
5.186746987951806886e+00 2.391022614533577781e-18
5.206827309236947698e+00 5.516247725039909556e-18
5.226907630522088510e+00 1.226470645605769102e-17
5.246987951807229322e+00 2.632363039981157009e-17
5.267068273092369246e+00 5.462593399407772252e-17
5.287148594377510058e+00 1.097676765675471997e-16
5.307228915662650870e+00 2.138950914202329106e-16
5.327309236947790794e+00 4.047414566375710898e-16
5.347389558232931606e+00 7.446937474272441410e-16
5.367469879518072418e+00 1.333974632078100439e-15
5.387550200803213230e+00 2.329213169408064866e-15
5.407630522088353153e+00 3.968816674173163603e-15
5.427710843373493965e+00 6.606610884042451565e-15
5.447791164658634777e+00 1.075514787977802167e-14
5.467871485943774701e+00 1.713986878516801870e-14
5.487951807228915513e+00 2.676491774081756506e-14
5.508032128514056325e+00 4.099083665199763869e-14
5.528112449799197137e+00 6.162364185221653435e-14
5.548192771084337949e+00 9.101392460010086254e-14
5.568273092369477872e+00 1.321636639914284631e-13
5.588353413654618684e+00 1.888373627361140441e-13
5.608433734939758608e+00 2.656735278960121170e-13
5.628514056224899420e+00 3.682916296890033246e-13
5.648594377510040232e+00 5.033891275937825712e-13
5.668674698795181044e+00 6.788230098358449676e-13
5.688755020080321856e+00 9.036703858312658525e-13
5.708835341365461780e+00 1.188263114866284243e-12
5.728915662650602592e+00 1.544192073818176901e-12
5.748995983935742515e+00 1.984275019992063646e-12
5.769076305220883327e+00 2.522487844868892899e-12
5.789156626506024139e+00 3.173862360340710159e-12
5.809236947791164951e+00 3.954347110425887384e-12
5.829317269076305763e+00 4.880634839473074098e-12
5.849397590361445687e+00 5.969960481240122517e-12
5.869477911646586499e+00 7.239874446361904642e-12
5.889558232931726423e+00 8.707993337499791836e-12
5.909638554216867234e+00 1.039174475661804572e-11
5.929718875502008046e+00 1.230810654465144832e-11
5.949799196787148858e+00 1.447333714445742317e-11
