# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 5.977999922276671046e-31
3.520080321285140368e+00 5.849216367845114658e-30
3.540160642570281180e+00 5.168077242211235753e-29
3.560240963855421548e+00 4.142402619168351852e-28
3.580321285140562360e+00 3.025378332990403070e-27
3.600401606425702727e+00 2.021794028042630242e-26
3.620481927710843539e+00 1.241273021423951667e-25
3.640562248995983907e+00 7.028062260059808730e-25
3.660642570281124719e+00 3.683251232980336157e-24
3.680722891566265087e+00 1.792967531573139574e-23
3.700803212851405455e+00 8.134076958540221459e-23
3.720883534136546267e+00 3.450030890532715565e-22
3.740963855421686635e+00 1.372265830081857603e-21
3.761044176706827447e+00 5.133531490833726872e-21
3.781124497991967814e+00 1.811182608305433427e-20
3.801204819277108626e+00 6.042648432556566890e-20
3.821285140562248994e+00 1.911220311398256069e-19
3.841365461847389362e+00 5.744633595732828232e-19
3.861445783132530174e+00 1.644692468264082644e-18
3.881526104417670542e+00 4.495059599027635938e-18
3.901606425702811354e+00 1.175247107495360809e-17
3.921686746987951722e+00 2.945367501605701776e-17
3.941767068273092534e+00 7.089257853955890022e-17
3.961847389558232901e+00 1.641761574330642293e-16
3.981927710843373269e+00 3.664618875002093422e-16
4.002008032128514081e+00 7.897402972722670345e-16
4.022088353413654893e+00 1.645778553721511034e-15
4.042168674698794817e+00 3.321650750200082055e-15
4.062248995983935629e+00 6.502288991586646569e-15
4.082329317269076441e+00 1.236272815537056974e-14
4.102409638554217253e+00 2.286005047310739439e-14
4.122489959839357176e+00 4.116311109800359168e-14
4.142570281124497988e+00 7.226634632660999098e-14
4.162650602409638800e+00 1.238415010054678855e-13
4.182730923694778724e+00 2.073869473095411316e-13
4.202811244979919536e+00 3.397373043491740755e-13
4.222891566265060348e+00 5.449952549943950511e-13
4.242971887550201160e+00 8.569419398300842692e-13
4.263052208835341084e+00 1.321971581156219382e-12
4.283132530120481896e+00 2.002580008458543497e-12
4.303212851405622708e+00 2.981416004968386583e-12
4.323293172690762631e+00 4.365879884164696606e-12
4.343373493975903443e+00 6.293226899553320108e-12
4.363453815261044255e+00 8.936105774340163884e-12
4.383534136546185067e+00 1.250843672371362963e-11
4.403614457831324991e+00 1.727151072632802009e-11
4.423694779116465803e+00 2.354017404416096009e-11
4.443775100401606615e+00 3.168895028268750475e-11
4.463855421686746539e+00 4.215794715798222716e-11
4.483935742971887350e+00 5.545839689943962742e-11
4.504016064257028162e+00 7.217768867004266219e-11
4.524096385542168974e+00 9.298376362035820701e-11
4.544176706827309786e+00 1.186287617079517139e-10
