# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 7.421201809112215386e-192
3.520080321285140368e+00 1.208308664515479526e-183
3.540160642570281180e+00 8.380579474321275604e-176
3.560240963855421548e+00 2.573399379501403761e-168
3.580321285140562360e+00 3.629653456255172189e-161
3.600401606425702727e+00 2.435641477473831442e-154
3.620481927710843539e+00 8.041320776563837376e-148
3.640562248995983907e+00 1.348727468106802596e-141
3.660642570281124719e+00 1.184927810688369546e-135
3.680722891566265087e+00 5.614590389468371998e-130
3.700803212851405455e+00 1.475424678871011905e-124
3.720883534136546267e+00 2.208287645540348722e-119
3.740963855421686635e+00 1.930981135313010272e-114
3.761044176706827447e+00 1.010716324840255001e-109
3.781124497991967814e+00 3.240991775596116797e-105
3.801204819277108626e+00 6.509348297839119689e-101
3.821285140562248994e+00 8.363481671665343046e-97
3.841365461847389362e+00 7.014407512570594895e-93
3.861445783132530174e+00 3.914870036829845613e-89
3.881526104417670542e+00 1.481003829018307696e-85
3.901606425702811354e+00 3.864883397540111901e-82
3.921686746987951722e+00 7.075255301877359259e-79
3.941767068273092534e+00 9.232690047957209539e-76
3.961847389558232901e+00 8.720379805335480225e-73
3.981927710843373269e+00 6.049284361543667093e-70
4.002008032128514081e+00 3.125272815671027336e-67
4.022088353413654893e+00 1.218617636088762875e-64
4.042168674698794817e+00 3.632131541036912819e-62
4.062248995983935629e+00 8.376060405637202900e-60
4.082329317269076441e+00 1.511936349696419983e-57
4.102409638554217253e+00 2.159964543683564005e-55
4.122489959839357176e+00 2.468118044242819244e-53
4.142570281124497988e+00 2.278614601992270846e-51
4.162650602409638800e+00 1.716101457290614612e-49
4.182730923694778724e+00 1.064080919858269453e-47
4.202811244979919536e+00 5.479967341743582336e-46
4.222891566265060348e+00 2.363701327353399035e-44
4.242971887550201160e+00 8.607830744229661180e-43
4.263052208835341084e+00 2.666855151399950604e-41
4.283132530120481896e+00 7.080727020105133464e-40
4.303212851405622708e+00 1.622385010847096948e-38
4.323293172690762631e+00 3.229355650200281694e-37
4.343373493975903443e+00 5.619807230376332468e-36
4.363453815261044255e+00 8.602083666384279279e-35
4.383534136546185067e+00 1.164868121721095608e-33
4.403614457831324991e+00 1.403270102275471504e-32
4.423694779116465803e+00 1.511782566385158347e-31
4.443775100401606615e+00 1.463893869166151476e-30
4.463855421686746539e+00 1.280241558774502626e-29
4.483935742971887350e+00 1.015855432589133141e-28
4.504016064257028162e+00 7.345731297304569337e-28
4.524096385542168974e+00 4.860945132634925594e-27
4.544176706827309786e+00 2.955468681005595512e-26
4.564257028112449710e+00 1.657338240558013743e-25
4.584337349397590522e+00 8.603192441834204308e-25
4.604417670682730446e+00 4.148443373747634732e-24
4.624497991967871258e+00 1.864372997098841721e-23
4.644578313253012070e+00 7.833970301582733875e-23
4.664658634538152882e+00 3.087094131890221410e-22
4.684738955823293693e+00 1.144181690056602464e-21
4.704819277108433617e+00 3.999625686094854866e-21
4.724899598393574429e+00 1.322121489078839373e-20
4.744979919678714353e+00 4.143318863150476497e-20
4.765060240963855165e+00 1.233951400551163113e-19
4.785140562248995977e+00 3.500410392758783267e-19
4.805220883534136789e+00 9.479044708922086634e-19
4.825301204819277601e+00 2.455533856201049792e-18
4.845381526104417524e+00 6.097245340611390893e-18
4.865461847389558336e+00 1.453985340210725615e-17
4.885542168674698260e+00 3.335958455426513607e-17
4.905622489959839072e+00 7.376940825153225057e-17
4.925702811244979884e+00 1.574904328322892091e-16
4.945783132530120696e+00 3.251206154023541495e-16
4.965863453815261508e+00 6.499861265669283637e-16
4.985943775100401432e+00 1.260261510163383167e-15
5.006024096385542244e+00 2.373090753296986897e-15
5.026104417670682167e+00 4.345489787956639208e-15
5.046184738955822979e+00 7.747869475040076806e-15
5.066265060240963791e+00 1.346696062764720313e-14
5.086345381526104603e+00 2.284559517894366120e-14
5.106425702811245415e+00 3.786703768333299148e-14
5.126506024096385339e+00 6.139127430998209933e-14
5.146586345381526151e+00 9.744833955681478775e-14
5.166666666666666963e+00 1.515914995885470608e-13
5.186746987951806886e+00 2.313124741164693903e-13
