# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 5.716341403517814256e-231
3.520080321285140368e+00 5.165588638914095251e-221
3.540160642570281180e+00 1.658508788681928435e-211
3.560240963855421548e+00 1.982520382257473154e-202
3.580321285140562360e+00 9.225875586849808550e-194
3.600401606425702727e+00 1.744213545662091718e-185
3.620481927710843539e+00 1.395305999834911447e-177
3.640562248995983907e+00 4.910140997174726487e-170
3.660642570281124719e+00 7.888374623711280541e-163
3.680722891566265087e+00 5.994271310407984567e-156
3.700803212851405455e+00 2.228597220902830885e-149
3.720883534136546267e+00 4.186974297609554814e-143
3.740963855421686635e+00 4.099547355581761970e-137
3.761044176706827447e+00 2.154401387215641973e-131
3.781124497991967814e+00 6.250039919460619334e-126
3.801204819277108626e+00 1.028165551985681700e-120
3.821285140562248994e+00 9.840093372036373728e-116
3.841365461847389362e+00 5.614616902755482316e-111
3.861445783132530174e+00 1.955124105472882192e-106
3.881526104417670542e+00 4.248658301349981472e-102
3.901606425702811354e+00 5.885788840128768378e-98
3.921686746987951722e+00 5.304775446036055093e-94
3.941767068273092534e+00 3.171565326256076908e-90
3.961847389558232901e+00 1.281381280739858798e-86
3.981927710843373269e+00 3.560991609842610941e-83
4.002008032128514081e+00 6.922990057778872546e-80
4.022088353413654893e+00 9.568793583404460972e-77
4.042168674698794817e+00 9.548939264165474060e-74
4.062248995983935629e+00 6.981983350484939110e-71
4.082329317269076441e+00 3.793417753532902577e-68
4.102409638554217253e+00 1.552163296815837851e-65
4.122489959839357176e+00 4.844649952909741572e-63
4.142570281124497988e+00 1.167663283456002595e-60
4.162650602409638800e+00 2.198745659110236286e-58
4.182730923694778724e+00 3.270975041504239829e-56
4.202811244979919536e+00 3.885511462245820319e-54
4.222891566265060348e+00 3.723083600765474595e-52
4.242971887550201160e+00 2.905737577034044015e-50
4.263052208835341084e+00 1.864377563097910134e-48
4.283132530120481896e+00 9.921519471516309631e-47
4.303212851405622708e+00 4.416300694522011121e-45
4.323293172690762631e+00 1.657595854243208640e-43
4.343373493975903443e+00 5.286683796318924098e-42
4.363453815261044255e+00 1.443333167338241171e-40
4.383534136546185067e+00 3.396862466362315571e-39
4.403614457831324991e+00 6.937917834043646644e-38
4.423694779116465803e+00 1.237656839335380751e-36
4.443775100401606615e+00 1.940196266899792023e-35
4.463855421686746539e+00 2.688436827436028067e-34
4.483935742971887350e+00 3.311178682323911288e-33
4.504016064257028162e+00 3.644219025654503109e-32
4.524096385542168974e+00 3.602229729202735385e-31
4.544176706827309786e+00 3.213584296525888803e-30
4.564257028112449710e+00 2.599383675667960379e-29
4.584337349397590522e+00 1.914844871256444773e-28
4.604417670682730446e+00 1.290068053403029964e-27
4.624497991967871258e+00 7.981010134934475983e-27
4.644578313253012070e+00 4.551353509364399999e-26
4.664658634538152882e+00 2.401355247639520903e-25
4.684738955823293693e+00 1.176329269867447391e-24
4.704819277108433617e+00 5.368001759119579849e-24
4.724899598393574429e+00 2.289267120604639429e-23
4.744979919678714353e+00 9.151796857439288712e-23
4.765060240963855165e+00 3.439603469860925281e-22
4.785140562248995977e+00 1.218740521770953951e-21
4.805220883534136789e+00 4.081963064682232635e-21
4.825301204819277601e+00 1.295638099171905336e-20
4.845381526104417524e+00 3.906674208250675163e-20
4.865461847389558336e+00 1.121615382057450606e-19
4.885542168674698260e+00 3.072932223538780464e-19
4.905622489959839072e+00 8.051000793728663836e-19
4.925702811244979884e+00 2.021197692804138517e-18
4.945783132530120696e+00 4.871518720807205664e-18
4.965863453815261508e+00 1.129310769052972472e-17
4.985943775100401432e+00 2.522416906656598437e-17
5.006024096385542244e+00 5.437520949835755243e-17
5.026104417670682167e+00 1.133076411510022625e-16
5.046184738955822979e+00 2.285881758646414142e-16
5.066265060240963791e+00 4.471124848771631435e-16
5.086345381526104603e+00 8.490862870989655350e-16
5.106425702811245415e+00 1.567599293290764625e-15
5.126506024096385339e+00 2.817193216616368642e-15
5.146586345381526151e+00 4.934257479552345393e-15
5.166666666666666963e+00 8.432417101417147984e-15
5.186746987951806886e+00 1.407622663844068012e-14
5.206827309236947698e+00 2.297636453160631965e-14
5.226907630522088510e+00 3.670908168783692625e-14
5.246987951807229322e+00 5.746182324905269833e-14
5.267068273092369246e+00 8.820570122881806201e-14
5.287148594377510058e+00 1.328938889659127044e-13
5.307228915662650870e+00 1.966830945071147894e-13
5.327309236947790794e+00 2.861731433894311214e-13
5.347389558232931606e+00 4.096572188449529059e-13
5.367469879518072418e+00 5.773738996286641859e-13
5.387550200803213230e+00 8.017503201774285598e-13
5.407630522088353153e+00 1.097624230931247224e-12
5.427710843373493965e+00 1.482432475532133195e-12
5.447791164658634777e+00 1.976353515485617709e-12
5.467871485943774701e+00 2.602392564195921443e-12
5.487951807228915513e+00 3.386399389057526809e-12
5.508032128514056325e+00 4.357005211289073311e-12
5.528112449799197137e+00 5.545474168308640559e-12
5.548192771084337949e+00 6.985481641451242639e-12
5.568273092369477872e+00 8.712808571526416470e-12
5.588353413654618684e+00 1.076495924580241400e-11
5.608433734939758608e+00 1.318071136728006498e-11
5.628514056224899420e+00 1.599960852308925063e-11
5.648594377510040232e+00 1.926140373705177114e-11
5.668674698795181044e+00 2.300548060110211333e-11
5.688755020080321856e+00 2.727026243475226429e-11
5.708835341365461780e+00 3.209259723832307340e-11
5.728915662650602592e+00 3.750706493628126968e-11
5.748995983935742515e+00 4.354548249859858215e-11
5.769076305220883327e+00 5.023635338896638730e-11
5.789156626506024139e+00 5.760446026674220793e-11
5.809236947791164951e+00 6.567044318158384638e-11
5.829317269076305763e+00 7.445047926471172629e-11
5.849397590361445687e+00 8.395654023907404732e-11
5.869477911646586499e+00 9.419506404012449163e-11
5.889558232931726423e+00 1.051679573598347467e-10
5.909638554216867234e+00 1.168723756745744107e-10
5.929718875502008046e+00 1.293007786606350909e-10
5.949799196787148858e+00 1.424435108206297540e-10
5.969879518072289670e+00 1.562850268664681974e-10
5.989959839357429594e+00 1.708022262105760405e-10
6.010040160642570406e+00 1.859699646771368063e-10
6.030120481927710330e+00 2.017591468905892486e-10
6.050200803212851142e+00 2.181372313936739104e-10
6.070281124497991954e+00 2.350809768098789139e-10
6.090361445783132766e+00 2.525664723142702832e-10
6.110441767068273577e+00 2.705307379608179485e-10
6.130522088353413501e+00 2.889308533905047800e-10
6.150602409638554313e+00 3.077221888482087792e-10
6.170682730923694237e+00 3.268587480149975314e-10
6.190763052208835049e+00 3.462934871463344578e-10
6.210843373493975861e+00 3.660271858630898658e-10
6.230923694779116673e+00 3.861049922025146253e-10
6.251004016064257485e+00 4.063537842731859207e-10
6.271084337349397408e+00 4.267251984299549015e-10
6.291164658634538220e+00 4.471705326876629430e-10
6.311244979919678144e+00 4.676406907340119751e-10
6.331325301204818956e+00 4.880870162662914638e-10
6.351405622489959768e+00 5.084618176168164109e-10
6.371485943775100580e+00 5.287182939993706399e-10
6.391566265060241392e+00 5.493672746092880579e-10
6.411646586345381316e+00 5.699071521395553571e-10
6.431726907630522128e+00 5.902311923705855515e-10
6.451807228915662051e+00 6.102956078327216943e-10
6.471887550200802863e+00 6.300580204237110299e-10
6.491967871485943675e+00 6.494780447769331621e-10
6.512048192771084487e+00 6.685174576326945349e-10
6.532128514056225299e+00 6.871403266072739349e-10
6.552208835341365223e+00 7.053131034795234316e-10
6.572289156626506035e+00 7.230041420732084934e-10
6.592369477911645959e+00 7.410036174344468262e-10
6.612449799196786770e+00 7.590691794537070861e-10
6.632530120481927582e+00 7.766224448190075943e-10
6.652610441767068394e+00 7.936362324498980631e-10
6.672690763052209206e+00 8.100857717814692281e-10
6.692771084337350018e+00 8.259483558755232596e-10
6.712851405622489942e+00 8.412037768123832393e-10
6.732931726907629866e+00 8.558342218139164158e-10
6.753012048192770678e+00 8.698240851039949048e-10
6.773092369477911490e+00 8.831591136729977415e-10
6.793172690763052302e+00 8.958273554537616107e-10
6.813253012048193114e+00 9.078191218808412945e-10
6.833333333333333925e+00 9.191247770048629815e-10
6.853413654618473849e+00 9.300118544264337583e-10
6.873493975903614661e+00 9.419055403065439246e-10
6.893574297188754585e+00 9.531427870430347600e-10
6.913654618473895397e+00 9.637201511835350907e-10
6.933734939759036209e+00 9.736363369753011717e-10
6.953815261044177021e+00 9.828915008991901661e-10
6.973895582329317833e+00 9.914848445466590604e-10
6.993975903614457756e+00 9.994163574185096869e-10
7.014056224899598568e+00 1.006688218651838596e-09
7.034136546184738492e+00 1.013304643711907027e-09
7.054216867469879304e+00 1.019271716263502282e-09
7.074297188755020116e+00 1.024597181694334530e-09
7.094377510040160928e+00 1.029288176288554772e-09
7.114457831325301740e+00 1.033350041235087698e-09
7.134538152610441664e+00 1.036789647902877310e-09
7.154618473895582476e+00 1.039615295758392897e-09
7.174698795180722399e+00 1.041836656803880409e-09
7.194779116465863211e+00 1.043464910958383645e-09
7.214859437751004023e+00 1.044512577136801226e-09
7.234939759036144835e+00 1.044991943691566127e-09
7.255020080321285647e+00 1.045919891069019240e-09
7.275100401606425571e+00 1.046870918713151490e-09
7.295180722891566383e+00 1.047307254804788114e-09
7.315261044176706307e+00 1.047241645295193445e-09
7.335341365461847118e+00 1.046687675422492749e-09
7.355421686746987930e+00 1.045659595306647683e-09
7.375502008032128742e+00 1.044172160380003082e-09
7.395582329317269554e+00 1.042240374870670959e-09
7.415662650602409478e+00 1.039879114493871156e-09
7.435742971887550290e+00 1.037102931856668809e-09
7.455823293172690214e+00 1.033926475407291201e-09
7.475903614457831026e+00 1.030364103870791067e-09
7.495983935742971838e+00 1.026427749264438995e-09
7.516064257028112650e+00 1.022128797742410588e-09
7.536144578313252573e+00 1.017479133337044223e-09
7.556224899598393385e+00 1.012491056987174378e-09
7.576305220883534197e+00 1.007177207397841591e-09
7.596385542168675009e+00 1.001550486815326136e-09
7.616465863453814933e+00 9.956237464575362406e-10
7.636546184738955745e+00 9.894080673820921481e-10
7.656626506024096557e+00 9.829140733962615321e-10
7.676706827309237369e+00 9.761528729313712882e-10
7.696787148594377292e+00 9.691358100047204856e-10
7.716867469879518104e+00 9.618745341945078012e-10
7.736947791164658916e+00 9.543809738500300072e-10
7.757028112449798840e+00 9.466672553399324298e-10
7.777108433734939652e+00 9.387456287197356143e-10
7.797188755020080464e+00 9.306283770973737460e-10
7.817269076305221276e+00 9.223274772290905335e-10
7.837349397590361200e+00 9.138546882575984360e-10
7.857429718875502012e+00 9.052217528979843064e-10
7.877510040160642824e+00 8.964403486578854623e-10
7.897590361445782747e+00 8.875220373612848926e-10
7.917670682730923559e+00 8.784782200359165765e-10
7.937751004016064371e+00 8.693200984860695206e-10
7.957831325301205183e+00 8.600586421747656392e-10
7.977911646586345107e+00 8.509906972558591207e-10
7.997991967871485919e+00 8.419789915538187354e-10
8.018072289156627619e+00 8.328971171596476651e-10
8.038152610441766655e+00 8.237544839282939381e-10
8.058232931726907466e+00 8.145601304604675494e-10
8.078313253012048278e+00 8.053227268379881934e-10
8.098393574297189090e+00 7.960505688778470003e-10
8.118473895582329902e+00 7.867515609580351244e-10
8.138554216867468938e+00 7.774332187202930128e-10
8.158634538152611526e+00 7.681026760142313671e-10
8.178714859437750562e+00 7.587666915764321223e-10
8.198795180722891374e+00 7.494315402787568688e-10
8.218875502008032186e+00 7.401024904602788470e-10
8.238955823293172998e+00 7.307843610379971224e-10
8.259036144578313809e+00 7.214818002239848238e-10
8.279116465863452845e+00 7.121992873276502624e-10
8.299196787148595433e+00 7.029411338993657236e-10
8.319277108433734469e+00 6.937114847287822361e-10
8.339357429718875281e+00 6.845142467684969870e-10
8.359437751004016093e+00 6.753526613182628629e-10
8.379518072289156905e+00 6.662296910531872922e-10
8.399598393574297717e+00 6.571482728755100725e-10
8.419678714859436752e+00 6.481113058856651468e-10
8.439759036144579341e+00 6.391216389818784195e-10
8.459839357429718376e+00 6.301820594789470047e-10
8.479919678714859188e+00 6.212952828273797237e-10
8.500000000000000000e+00 6.124639434771608736e-10
