# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 0.000000000000000000e+00
3.941767068273092534e+00 0.000000000000000000e+00
3.961847389558232901e+00 0.000000000000000000e+00
3.981927710843373269e+00 0.000000000000000000e+00
4.002008032128514081e+00 0.000000000000000000e+00
4.022088353413654893e+00 0.000000000000000000e+00
4.042168674698794817e+00 0.000000000000000000e+00
4.062248995983935629e+00 0.000000000000000000e+00
4.082329317269076441e+00 5.065655066810300817e-320
4.102409638554217253e+00 4.397324820774184081e-306
4.122489959839357176e+00 8.961619264396708292e-293
4.142570281124497988e+00 4.577946630104380920e-280
4.162650602409638800e+00 6.240117335522137874e-268
4.182730923694778724e+00 2.409224425655965975e-256
4.202811244979919536e+00 2.789186256282328089e-245
4.222891566265060348e+00 1.022417694007717410e-234
4.242971887550201160e+00 1.249961613161864724e-224
4.263052208835341084e+00 5.355865938007113193e-215
4.283132530120481896e+00 8.433367877247650076e-206
4.303212851405622708e+00 5.105693400214281698e-197
4.323293172690762631e+00 1.240929651784106169e-188
4.343373493975903443e+00 1.261790462559953168e-180
4.363453815261044255e+00 5.583090419286650253e-173
4.383534136546185067e+00 1.116185750212336645e-165
4.403614457831324991e+00 1.045109970602782811e-158
4.423694779116465803e+00 4.742814343126358031e-152
4.443775100401606615e+00 1.077881979165788125e-145
4.463855421686746539e+00 1.265719297933296540e-139
4.483935742971887350e+00 7.912098358675275010e-134
4.504016064257028162e+00 2.708978481002765404e-128
4.524096385542168974e+00 5.220252854061354800e-123
4.544176706827309786e+00 5.810699029478667193e-118
4.564257028112449710e+00 3.829880244411821510e-113
4.584337349397590522e+00 1.530539286132502397e-108
4.604417670682730446e+00 3.793360540958918146e-104
4.624497991967871258e+00 5.957970717949564387e-100
4.644578313253012070e+00 6.053657825546286957e-96
4.664658634538152882e+00 4.058157056730683892e-92
4.684738955823293693e+00 1.828905847148742448e-88
4.704819277108433617e+00 5.641527065756859722e-85
4.724899598393574429e+00 1.211669238362471887e-81
4.744979919678714353e+00 1.841860171699694137e-78
4.765060240963855165e+00 2.012780978766828008e-75
4.785140562248995977e+00 1.605015838684028578e-72
4.805220883534136789e+00 9.473012195644125627e-70
4.825301204819277601e+00 4.194946946865057086e-67
4.845381526104417524e+00 1.411988979131555640e-64
4.865461847389558336e+00 3.657503350820548889e-62
4.885542168674698260e+00 7.377779481339753382e-60
4.905622489959839072e+00 1.172089609219220354e-57
4.925702811244979884e+00 1.482433205827297219e-55
4.945783132530120696e+00 1.508140760088960379e-53
4.965863453815261508e+00 1.246327421252929495e-51
4.985943775100401432e+00 8.445474284020709153e-50
5.006024096385542244e+00 4.734905957230126101e-48
5.026104417670682167e+00 2.215194814812125908e-46
5.046184738955822979e+00 8.719178529134815574e-45
5.066265060240963791e+00 2.909991285209671665e-43
5.086345381526104603e+00 8.296530362734648796e-42
5.106425702811245415e+00 2.035073038460679504e-40
5.126506024096385339e+00 4.324067872150160911e-39
5.146586345381526151e+00 8.010341156298953562e-38
5.166666666666666963e+00 1.301802879930747016e-36
5.186746987951806886e+00 1.866995583564605518e-35
5.206827309236947698e+00 2.376278208429840768e-34
5.226907630522088510e+00 2.698661939982922776e-33
5.246987951807229322e+00 2.748731726546234071e-32
5.267068273092369246e+00 2.523384007026563124e-31
5.287148594377510058e+00 2.097681031662731775e-30
5.307228915662650870e+00 1.586158457393159592e-29
5.327309236947790794e+00 1.095626882106640938e-28
5.347389558232931606e+00 6.941635361907217269e-28
5.367469879518072418e+00 4.049839286705896991e-27
5.387550200803213230e+00 2.183775517439277769e-26
5.407630522088353153e+00 1.092236479193595814e-25
5.427710843373493965e+00 5.084384089172264819e-25
5.447791164658634777e+00 2.209942215886118931e-24
5.467871485943774701e+00 8.996813001386307095e-24
5.487951807228915513e+00 3.440687914227826190e-23
5.508032128514056325e+00 1.239585036655487405e-22
5.528112449799197137e+00 4.218442451167557742e-22
5.548192771084337949e+00 1.359534297517722082e-21
5.568273092369477872e+00 4.159656630407890623e-21
5.588353413654618684e+00 1.211080350740576006e-20
5.608433734939758608e+00 3.362865614490018472e-20
5.628514056224899420e+00 8.924752433508129471e-20
5.648594377510040232e+00 2.268402364096435344e-19
5.668674698795181044e+00 5.532588819867042672e-19
5.688755020080321856e+00 1.297269016258806651e-18
5.708835341365461780e+00 2.929527218698242215e-18
5.728915662650602592e+00 6.382172911076293011e-18
5.748995983935742515e+00 1.343530752027729350e-17
5.769076305220883327e+00 2.737205742395104549e-17
5.789156626506024139e+00 5.404935951330915472e-17
5.809236947791164951e+00 1.035882424196183465e-16
5.829317269076305763e+00 1.929536811712736661e-16
5.849397590361445687e+00 3.497662627771889531e-16
5.869477911646586499e+00 6.177594821348087739e-16
5.889558232931726423e+00 1.064358630983782177e-15
5.909638554216867234e+00 1.790898994694146158e-15
5.929718875502008046e+00 2.946009158345099662e-15
5.949799196787148858e+00 4.742651370632016832e-15
