# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 0.000000000000000000e+00
3.941767068273092534e+00 0.000000000000000000e+00
3.961847389558232901e+00 0.000000000000000000e+00
3.981927710843373269e+00 0.000000000000000000e+00
4.002008032128514081e+00 0.000000000000000000e+00
4.022088353413654893e+00 0.000000000000000000e+00
4.042168674698794817e+00 0.000000000000000000e+00
4.062248995983935629e+00 0.000000000000000000e+00
4.082329317269076441e+00 0.000000000000000000e+00
4.102409638554217253e+00 0.000000000000000000e+00
4.122489959839357176e+00 0.000000000000000000e+00
4.142570281124497988e+00 0.000000000000000000e+00
4.162650602409638800e+00 4.416414455341013140e-314
4.182730923694778724e+00 1.994694287792195927e-300
4.202811244979919536e+00 2.178478244077409748e-287
4.222891566265060348e+00 6.134194807664497505e-275
4.242971887550201160e+00 4.734648500580733218e-263
4.263052208835341084e+00 1.062038643386840055e-251
4.283132530120481896e+00 7.320897436767999496e-241
4.303212851405622708e+00 1.635735587307895934e-230
4.323293172690762631e+00 1.246504459899960345e-220
4.343373493975903443e+00 3.401063979264591642e-211
4.363453815261044255e+00 3.480410783435923126e-202
4.383534136546185067e+00 1.396319434773266231e-193
4.403614457831324991e+00 2.291141659902511488e-185
4.423694779116465803e+00 1.600943681810502016e-177
4.443775100401606615e+00 4.951177155450591118e-170
4.463855421686746539e+00 7.031429316825318932e-163
4.483935742971887350e+00 4.749558431483830228e-156
4.504016064257028162e+00 1.578043618760447536e-149
4.524096385542168974e+00 2.662954372873617467e-143
4.544176706827309786e+00 2.353320624720367711e-137
4.564257028112449710e+00 1.121409295180217645e-131
4.584337349397590522e+00 2.963004827465838822e-126
4.604417670682730446e+00 4.458179811276720829e-121
4.624497991967871258e+00 3.918219781548952785e-116
4.644578313253012070e+00 2.060989194268022583e-111
4.664658634538152882e+00 6.640356069232943253e-107
4.684738955823293693e+00 1.339842078139111322e-102
4.704819277108433617e+00 1.729201948948588714e-98
4.724899598393574429e+00 1.456585511933383419e-94
4.744979919678714353e+00 8.163878244224717671e-91
4.765060240963855165e+00 3.101138088459838693e-87
4.785140562248995977e+00 8.125354496786897184e-84
4.805220883534136789e+00 1.493302648589419989e-80
4.825301204819277601e+00 1.956122392389857190e-77
4.845381526104417524e+00 1.854516999060416529e-74
4.865461847389558336e+00 1.291207154336909076e-71
4.885542168674698260e+00 6.694966137770723882e-69
4.905622489959839072e+00 2.619820499684505504e-66
4.925702811244979884e+00 7.835872642286480365e-64
4.945783132530120696e+00 1.813294473067386274e-61
4.965863453815261508e+00 3.284343989899342286e-59
4.985943775100401432e+00 4.707983847785089988e-57
5.006024096385542244e+00 5.397800113240935050e-55
5.026104417670682167e+00 5.000071496297279387e-53
5.046184738955822979e+00 3.778307108487382105e-51
5.066265060240963791e+00 2.350579138741623842e-49
5.086345381526104603e+00 1.214572641963389184e-47
5.106425702811245415e+00 5.256360395250911287e-46
5.126506024096385339e+00 1.920601342653745105e-44
5.146586345381526151e+00 5.970353501956583176e-43
5.166666666666666963e+00 1.590537085250186327e-41
5.186746987951806886e+00 3.656751256958230987e-40
5.206827309236947698e+00 7.303735385329561811e-39
5.226907630522088510e+00 1.275416797663955880e-37
5.246987951807229322e+00 1.959076986174588103e-36
5.267068273092369246e+00 2.662311270633952573e-35
5.287148594377510058e+00 3.218667377875295751e-34
5.307228915662650870e+00 3.480140029090521989e-33
5.327309236947790794e+00 3.382286885839615792e-32
5.347389558232931606e+00 2.968985228270331854e-31
5.367469879518072418e+00 2.364752901045332237e-30
5.387550200803213230e+00 1.716523122438876812e-29
5.407630522088353153e+00 1.140301187825779346e-28
5.427710843373493965e+00 6.960382782056753215e-28
5.447791164658634777e+00 3.918766189122439207e-27
5.467871485943774701e+00 2.042454145560081986e-26
5.487951807228915513e+00 9.889047346251779592e-26
5.508032128514056325e+00 4.462722121771167122e-25
5.528112449799197137e+00 1.883073492218050513e-24
5.548192771084337949e+00 7.452005756378396255e-24
5.568273092369477872e+00 2.773795998247361944e-23
5.588353413654618684e+00 9.738036227223267514e-23
5.608433734939758608e+00 3.233029280342982752e-22
5.628514056224899420e+00 1.017614570624025580e-21
5.648594377510040232e+00 3.043946395742330237e-21
5.668674698795181044e+00 8.672973816961135539e-21
5.688755020080321856e+00 2.359003975397085686e-20
5.708835341365461780e+00 6.138017247463161378e-20
5.728915662650602592e+00 1.530856239581517690e-19
5.748995983935742515e+00 3.666708687817029545e-19
5.769076305220883327e+00 8.449780747941463096e-19
5.789156626506024139e+00 1.876709512484455854e-18
5.809236947791164951e+00 4.023950481584697580e-18
5.829317269076305763e+00 8.342590003273893777e-18
5.849397590361445687e+00 1.674940790777077444e-17
5.869477911646586499e+00 3.261190256464229871e-17
5.889558232931726423e+00 6.166380979877232336e-17
5.909638554216867234e+00 1.133794653236770773e-16
5.929718875502008046e+00 2.029713205144172629e-16
5.949799196787148858e+00 3.542034771702063269e-16
