# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 -1.625262825592294340e-46
3.520080321285140368e+00 -7.710811309281100606e-45
3.540160642570281180e+00 -3.063585730040675027e-43
3.560240963855421548e+00 -1.027115723198242366e-41
3.580321285140562360e+00 -2.926830355921634251e-40
3.600401606425702727e+00 -7.137060074173194136e-39
3.620481927710843539e+00 -1.498872371391670813e-37
3.640562248995983907e+00 -2.727315649244497647e-36
3.660642570281124719e+00 -4.323632693227714727e-35
3.680722891566265087e+00 -6.002398937657787533e-34
3.700803212851405455e+00 -7.331042284812163173e-33
3.720883534136546267e+00 -7.909002703794665353e-32
3.740963855421686635e+00 -7.561988642500791760e-31
3.761044176706827447e+00 -6.423212146314820537e-30
3.781124497991967814e+00 -4.852378256298544446e-29
3.801204819277108626e+00 -3.257430052546761636e-28
3.821285140562248994e+00 -1.935148542459867865e-27
3.841365461847389362e+00 -1.006853457718003539e-26
3.861445783132530174e+00 -4.478415086018105309e-26
3.881526104417670542e+00 -1.598442191001542318e-25
3.901606425702811354e+00 -3.588429010291988326e-25
3.921686746987951722e+00 5.323629613754422330e-25
3.941767068273092534e+00 1.255152023914201078e-23
3.961847389558232901e+00 9.548449706592161754e-23
3.981927710843373269e+00 5.452757319742320977e-22
4.002008032128514081e+00 2.650587380792224732e-21
4.022088353413654893e+00 1.148114561285957461e-20
4.042168674698794817e+00 4.533568518466847148e-20
4.062248995983935629e+00 1.654253136079663787e-19
4.082329317269076441e+00 5.628988647952129734e-19
4.102409638554217253e+00 1.798134670401538875e-18
4.122489959839357176e+00 5.420429857296116938e-18
4.142570281124497988e+00 1.548511331904512259e-17
4.162650602409638800e+00 4.207570666947936928e-17
4.182730923694778724e+00 1.090788299998362035e-16
4.202811244979919536e+00 2.705438187198438759e-16
4.222891566265060348e+00 6.435677126921438771e-16
4.242971887550201160e+00 1.471571140054380284e-15
4.263052208835341084e+00 3.241059165777678413e-15
4.283132530120481896e+00 6.888802894279377644e-15
4.303212851405622708e+00 1.415582231002581717e-14
4.323293172690762631e+00 2.817000482238378040e-14
4.343373493975903443e+00 5.437182990090169468e-14
4.363453815261044255e+00 1.019354807960397906e-13
4.383534136546185067e+00 1.858786229680465778e-13
4.403614457831324991e+00 3.300939766894730656e-13
4.423694779116465803e+00 5.715671119258836497e-13
4.443775100401606615e+00 9.660813644403894546e-13
4.463855421686746539e+00 1.595765908487914564e-12
4.483935742971887350e+00 2.578692277915832956e-12
4.504016064257028162e+00 4.080765310894012593e-12
4.524096385542168974e+00 6.330047132424511079e-12
4.544176706827309786e+00 9.633472808263044541e-12
4.564257028112449710e+00 1.439571536546256001e-11
4.584337349397590522e+00 2.113974797249672035e-11
4.604417670682730446e+00 3.052835863202301725e-11
4.624497991967871258e+00 4.338558031135144758e-11
4.644578313253012070e+00 6.071725009008020176e-11
4.664658634538152882e+00 8.373407906812968467e-11
4.684738955823293693e+00 1.138704149428581086e-10
4.704819277108433617e+00 1.527971655035085515e-10
4.724899598393574429e+00 2.024304726976422741e-10
4.744979919678714353e+00 2.649338086703218982e-10
4.765060240963855165e+00 3.427122533804900796e-10
4.785140562248995977e+00 4.383978639400863397e-10
4.805220883534136789e+00 5.548252094447343335e-10
4.825301204819277601e+00 6.950009894849808526e-10
4.845381526104417524e+00 8.620718464743749446e-10
4.865461847389558336e+00 1.059269490366222435e-09
4.885542168674698260e+00 1.289848619488741482e-09
4.905622489959839072e+00 1.557017015786321308e-09
4.925702811244979884e+00 1.863907258453521142e-09
4.945783132530120696e+00 2.213569611954739827e-09
4.965863453815261508e+00 2.608877426197114184e-09
4.985943775100401432e+00 3.052464154255621433e-09
5.006024096385542244e+00 3.546665890172341229e-09
5.026104417670682167e+00 4.093479325196464499e-09
5.046184738955822979e+00 4.694601548774237838e-09
5.066265060240963791e+00 5.351384152715249582e-09
5.086345381526104603e+00 6.064782533008225641e-09
5.106425702811245415e+00 6.835335118790141099e-09
5.126506024096385339e+00 7.663147314785750382e-09
5.146586345381526151e+00 8.547879537937473609e-09
5.166666666666666963e+00 9.488731100012351573e-09
5.186746987951806886e+00 1.048439568550976951e-08
5.206827309236947698e+00 1.153307344515357446e-08
5.226907630522088510e+00 1.263247989272953340e-08
5.246987951807229322e+00 1.377984368569158175e-08
5.267068273092369246e+00 1.497190434966654541e-08
5.287148594377510058e+00 1.620491480248051397e-08
5.307228915662650870e+00 1.747493077041211387e-08
5.327309236947790794e+00 1.877836537096231278e-08
5.347389558232931606e+00 2.011156785589970401e-08
5.367469879518072418e+00 2.147070700382979667e-08
5.387550200803213230e+00 2.285192513787139500e-08
5.407630522088353153e+00 2.425138465200866015e-08
5.427710843373493965e+00 2.566530598073585040e-08
5.447791164658634777e+00 2.709000083210947383e-08
5.467871485943774701e+00 2.852189993618060049e-08
5.487951807228915513e+00 2.995757709310117986e-08
5.508032128514056325e+00 3.139376743056677048e-08
5.528112449799197137e+00 3.282737862047494857e-08
5.548192771084337949e+00 3.425526511389199694e-08
5.568273092369477872e+00 3.567394303002245156e-08
5.588353413654618684e+00 3.707998758829046551e-08
5.608433734939758608e+00 3.847010568190377171e-08
5.628514056224899420e+00 3.984114538294833597e-08
5.648594377510040232e+00 4.119010001529105470e-08
5.668674698795181044e+00 4.251410935804899709e-08
5.688755020080321856e+00 4.381056257810433452e-08
5.708835341365461780e+00 4.507758879270282737e-08
5.728915662650602592e+00 4.631375088015253773e-08
5.748995983935742515e+00 4.751788258877615306e-08
5.769076305220883327e+00 4.868909041526431701e-08
5.789156626506024139e+00 4.982674073845382854e-08
5.809236947791164951e+00 5.093034372734651047e-08
5.829317269076305763e+00 5.199881038648966607e-08
5.849397590361445687e+00 5.303084088170756657e-08
5.869477911646586499e+00 5.402531270423594009e-08
5.889558232931726423e+00 5.498123707189875778e-08
5.909638554216867234e+00 5.589774395127623605e-08
5.929718875502008046e+00 5.677413437145794025e-08
5.949799196787148858e+00 5.760987496466274586e-08
5.969879518072289670e+00 5.840458560382009821e-08
5.989959839357429594e+00 5.915802461472685625e-08
6.010040160642570406e+00 5.987007173698909910e-08
6.030120481927710330e+00 6.054076209309485958e-08
6.050200803212851142e+00 6.117053374616667470e-08
6.070281124497991954e+00 6.176006554492606290e-08
6.090361445783132766e+00 6.231011923378752724e-08
6.110441767068273577e+00 6.282143280110815352e-08
6.130522088353413501e+00 6.329483370356414945e-08
6.150602409638554313e+00 6.373125007701743391e-08
6.170682730923694237e+00 6.413169202552031115e-08
6.190763052208835049e+00 6.449722891118345569e-08
6.210843373493975861e+00 6.482858600162471316e-08
6.230923694779116673e+00 6.512582229328255052e-08
6.251004016064257485e+00 6.538896821512711892e-08
6.271084337349397408e+00 6.561809788127669615e-08
6.291164658634538220e+00 6.581332572332899603e-08
6.311244979919678144e+00 6.597480321049882478e-08
6.331325301204818956e+00 6.610271569853120194e-08
6.351405622489959768e+00 6.619726712741970509e-08
6.371485943775100580e+00 6.625853398431562486e-08
6.391566265060241392e+00 6.628653303028888236e-08
6.411646586345381316e+00 6.628138315038245053e-08
6.431726907630522128e+00 6.624349009672308633e-08
6.451807228915662051e+00 6.617340636359615532e-08
6.471887550200802863e+00 6.607176236340952796e-08
6.491967871485943675e+00 6.593926159899127282e-08
6.512048192771084487e+00 6.577667570246442731e-08
6.532128514056225299e+00 6.558483934790259643e-08
6.552208835341365223e+00 6.536464505675446258e-08
6.572289156626506035e+00 6.511703791299366792e-08
6.592369477911645959e+00 6.484301020382540622e-08
6.612449799196786770e+00 6.454359600150320791e-08
6.632530120481927582e+00 6.421986570229475175e-08
6.652610441767068394e+00 6.387292053977525941e-08
6.672690763052209206e+00 6.350388709128701493e-08
6.692771084337350018e+00 6.311391179843179814e-08
6.712851405622489942e+00 6.270415552469569404e-08
6.732931726907629866e+00 6.227578808042822003e-08
6.753012048192770678e+00 6.182993093445496888e-08
6.773092369477911490e+00 6.136757742299428923e-08
6.793172690763052302e+00 6.088971925693874696e-08
6.813253012048193114e+00 6.039736434044978388e-08
6.833333333333333925e+00 5.989153013850040228e-08
6.853413654618473849e+00 5.937323728540729939e-08
6.873493975903614661e+00 5.884350348848285952e-08
6.893574297188754585e+00 5.830333777525016166e-08
6.913654618473895397e+00 5.775373349227180535e-08
6.933734939759036209e+00 5.719554561384718098e-08
6.953815261044177021e+00 5.662941462269432896e-08
6.973895582329317833e+00 5.605595223275814274e-08
6.993975903614457756e+00 5.547575944347143748e-08
7.014056224899598568e+00 5.488942542224504658e-08
7.034136546184738492e+00 5.429752655841373842e-08
7.054216867469879304e+00 5.370062567341147072e-08
7.074297188755020116e+00 5.309927137212698628e-08
