# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 2.287208115154314314e-313
3.821285140562248994e+00 1.071230790425884282e-299
3.841365461847389362e+00 1.211253216806463887e-286
3.861445783132530174e+00 3.525743117132864750e-274
3.881526104417670542e+00 2.809049456523020341e-262
3.901606425702811354e+00 6.495118523794572436e-251
3.921686746987951722e+00 4.609044602150100535e-240
3.941767068273092534e+00 1.058793150200308269e-229
3.961847389558232901e+00 8.285536121083982933e-220
3.981927710843373269e+00 2.318847887930780766e-210
4.002008032128514081e+00 2.431331047596837436e-201
4.022088353413654893e+00 9.983951514355857288e-193
4.042168674698794817e+00 1.675109518441105548e-184
4.062248995983935629e+00 1.195724160507881377e-176
4.082329317269076441e+00 3.774304444957212850e-169
4.102409638554217253e+00 5.466058813113650676e-162
4.122489959839357176e+00 3.762122495338321080e-155
4.142570281124497988e+00 1.272658314574010084e-148
4.162650602409638800e+00 2.184994529655669922e-142
4.182730923694778724e+00 1.963171006079883415e-136
4.202811244979919536e+00 9.504809263083213929e-131
4.222891566265060348e+00 2.550000497733889391e-125
4.242971887550201160e+00 3.893449731582776720e-120
4.263052208835341084e+00 3.470473541420042378e-115
4.283132530120481896e+00 1.850398958148607990e-110
4.303212851405622708e+00 6.040180009803055541e-106
4.323293172690762631e+00 1.234161523158564481e-101
4.343373493975903443e+00 1.612227854839306080e-97
4.363453815261044255e+00 1.374017972352116900e-93
4.383534136546185067e+00 7.788478515486081208e-90
4.403614457831324991e+00 2.990962661042291151e-86
4.423694779116465803e+00 7.919720257720125459e-83
4.443775100401606615e+00 1.470436413505632257e-79
4.463855421686746539e+00 1.945304649916124400e-76
4.483935742971887350e+00 1.862029752373525207e-73
4.504016064257028162e+00 1.308565078469571429e-70
4.524096385542168974e+00 6.846662109673497424e-68
4.544176706827309786e+00 2.702890591710806059e-65
4.564257028112449710e+00 8.154053632368814200e-63
4.584337349397590522e+00 1.902803373054000666e-60
4.604417670682730446e+00 3.474807311132984508e-58
4.624497991967871258e+00 5.021083936205971784e-56
4.644578313253012070e+00 5.802166718751780841e-54
4.664658634538152882e+00 5.416232433379664291e-52
4.684738955823293693e+00 4.123907390557497004e-50
4.704819277108433617e+00 2.584793749349656848e-48
4.724899598393574429e+00 1.345452539707377714e-46
4.744979919678714353e+00 5.865214561623658009e-45
4.765060240963855165e+00 2.158515680593634430e-43
4.785140562248995977e+00 6.757836767846845566e-42
4.805220883534136789e+00 1.813078190107374951e-40
4.825301204819277601e+00 4.197719539059199103e-39
4.845381526104417524e+00 8.442927714388868081e-38
4.865461847389558336e+00 1.484634016954213676e-36
4.885542168674698260e+00 2.296314909063753685e-35
4.905622489959839072e+00 3.142309370363647023e-34
4.925702811244979884e+00 3.825408008470401957e-33
4.945783132530120696e+00 4.165000283247719723e-32
4.965863453815261508e+00 4.076186412295714138e-31
4.985943775100401432e+00 3.603204270800177508e-30
5.006024096385542244e+00 2.890140774201841738e-29
5.026104417670682167e+00 2.112775595829673152e-28
5.046184738955822979e+00 1.413561303462023783e-27
5.066265060240963791e+00 8.690464682063672011e-27
5.086345381526104603e+00 4.928330737881612635e-26
5.106425702811245415e+00 2.587446610035908810e-25
5.126506024096385339e+00 1.262036854305676741e-24
5.146586345381526151e+00 5.737828353431698757e-24
5.166666666666666963e+00 2.439373008143716063e-23
5.186746987951806886e+00 9.727062927478915007e-23
5.206827309236947698e+00 3.648514108831185871e-22
5.226907630522088510e+00 1.290868476100284694e-21
5.246987951807229322e+00 4.319425365285508803e-21
5.267068273092369246e+00 1.370383915464952807e-20
5.287148594377510058e+00 4.132143379406148508e-20
5.307228915662650870e+00 1.186922645976499747e-19
5.327309236947790794e+00 3.254880397279722048e-19
5.347389558232931606e+00 8.539286421220427203e-19
5.367469879518072418e+00 2.147578259873843256e-18
5.387550200803213230e+00 5.187339742415895472e-18
5.407630522088353153e+00 1.205586325856833805e-17
5.427710843373493965e+00 2.700619820089262605e-17
5.447791164658634777e+00 5.840623777929764168e-17
5.467871485943774701e+00 1.221439237982047333e-16
5.487951807228915513e+00 2.473751799807020154e-16
5.508032128514056325e+00 4.858886730749769842e-16
5.528112449799197137e+00 9.268512695840995456e-16
5.548192771084337949e+00 1.719272808915184236e-15
5.568273092369477872e+00 3.105157853088802768e-15
5.588353413654618684e+00 5.466940962806432889e-15
5.608433734939758608e+00 9.393354066427572727e-15
5.628514056224899420e+00 1.576825756969698118e-14
5.648594377510040232e+00 2.588709292343530013e-14
5.668674698795181044e+00 4.160529779847462683e-14
5.688755020080321856e+00 6.552229075892798757e-14
5.708835341365461780e+00 1.012033517014827805e-13
5.728915662650602592e+00 1.534398836957219814e-13
5.748995983935742515e+00 2.285462022472079902e-13
5.769076305220883327e+00 3.346884162309484767e-13
5.789156626506024139e+00 4.822392073217810289e-13
5.809236947791164951e+00 6.841465981819218635e-13
5.829317269076305763e+00 9.563034947180364572e-13
5.849397590361445687e+00 1.317903111594845546e-12
5.869477911646586499e+00 1.791762497337067370e-12
5.889558232931726423e+00 2.404595706706634211e-12
5.909638554216867234e+00 3.187218098657169956e-12
5.929718875502008046e+00 4.174664048563849082e-12
5.949799196787148858e+00 5.406225550519540039e-12
