# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 6.798476345084874579e-151
3.520080321285140368e+00 1.524399943450274723e-144
3.540160642570281180e+00 1.767184073402376185e-138
3.560240963855421548e+00 1.091202153717684818e-132
3.580321285140562360e+00 3.692574819842365896e-127
3.600401606425702727e+00 7.036483314992036945e-122
3.620481927710843539e+00 7.749124375691635757e-117
3.640562248995983907e+00 5.055677755730036483e-112
3.660642570281124719e+00 2.000824196464148527e-107
3.680722891566265087e+00 4.913037528329069801e-103
3.700803212851405455e+00 7.648361805984547647e-99
3.720883534136546267e+00 7.705597981737658405e-95
3.740963855421686635e+00 5.123917891886008341e-91
3.761044176706827447e+00 2.291439304322343820e-87
3.781124497991967814e+00 7.016314335147303492e-84
3.801204819277108626e+00 1.496361605506372145e-80
3.821285140562248994e+00 2.259370316382653891e-77
3.841365461847389362e+00 2.453225386357535318e-74
3.861445783132530174e+00 1.944268706792403030e-71
3.881526104417670542e+00 1.140830716354813254e-68
3.901606425702811354e+00 5.023776850926995268e-66
3.921686746987951722e+00 1.681958535879243006e-63
3.941767068273092534e+00 4.334641070751165674e-61
3.961847389558232901e+00 8.701177226371297294e-59
3.981927710843373269e+00 1.375916221239156653e-56
4.002008032128514081e+00 1.732509486748672339e-54
4.022088353413654893e+00 1.755084092249205357e-52
4.042168674698794817e+00 1.444528014255204216e-50
4.062248995983935629e+00 9.750658438338691027e-49
4.082329317269076441e+00 5.446429992172355788e-47
4.102409638554217253e+00 2.539067053174120274e-45
4.122489959839357176e+00 9.960177059107562581e-44
4.142570281124497988e+00 3.313421483637713202e-42
4.162650602409638800e+00 9.417509969583079451e-41
4.182730923694778724e+00 2.303202812090203112e-39
4.202811244979919536e+00 4.879915927625602857e-38
4.222891566265060348e+00 9.015518476843965052e-37
4.242971887550201160e+00 1.461349919107391999e-35
4.263052208835341084e+00 2.090587481184477371e-34
4.283132530120481896e+00 2.654499058836375094e-33
4.303212851405622708e+00 3.007707943791129578e-32
4.323293172690762631e+00 3.056754937980630938e-31
4.343373493975903443e+00 2.800202956457152606e-30
4.363453815261044255e+00 2.323046914455657692e-29
4.383534136546185067e+00 1.753111931206960165e-28
4.403614457831324991e+00 1.208649086430479866e-27
4.423694779116465803e+00 7.643663072583307110e-27
4.443775100401606615e+00 4.451488422287493661e-26
4.463855421686746539e+00 2.396219185460777900e-25
4.483935742971887350e+00 1.196485772272064838e-24
4.504016064257028162e+00 5.560586691548750682e-24
4.524096385542168974e+00 2.413079050612030501e-23
4.544176706827309786e+00 9.808498402335385644e-23
4.564257028112449710e+00 3.745372486269094348e-22
