# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 4.999944335913415027e-320
3.680722891566265087e+00 4.841142091062798429e-306
3.700803212851405455e+00 1.095037873028459273e-292
3.720883534136546267e+00 6.179584538652851068e-280
3.740963855421686635e+00 9.263651337532380157e-268
3.761044176706827447e+00 3.916615006357142561e-256
3.781124497991967814e+00 4.945189509768793388e-245
3.801204819277108626e+00 1.969308374653412353e-234
3.821285140562248994e+00 2.605835903126973817e-224
3.841365461847389362e+00 1.204213891516520300e-214
3.861445783132530174e+00 2.038108140188323887e-205
3.881526104417670542e+00 1.321992117136198407e-196
3.901606425702811354e+00 3.431855368522650411e-188
3.921686746987951722e+00 3.716187390499208213e-180
3.941767068273092534e+00 1.746195454333684212e-172
3.961847389558232901e+00 3.697409593528033772e-165
3.981927710843373269e+00 3.657247491716129266e-158
4.002008032128514081e+00 1.749037200139802349e-151
4.022088353413654893e+00 4.179195015867708886e-145
4.042168674698794817e+00 5.148156679451088999e-139
4.062248995983935629e+00 3.368819920165150439e-133
4.082329317269076441e+00 1.204993529780479688e-127
4.102409638554217253e+00 2.421171603490999285e-122
4.122489959839357176e+00 2.804903185286589143e-117
4.142570281124497988e+00 1.920736474192609923e-112
4.162650602409638800e+00 7.961468946227350783e-108
4.182730923694778724e+00 2.043364604220134510e-103
4.202811244979919536e+00 3.318427776000402039e-99
4.222891566265060348e+00 3.481242793625995117e-95
4.242971887550201160e+00 2.406176553028169157e-91
4.263052208835341084e+00 1.116606694786343259e-87
4.283132530120481896e+00 3.542182162791612421e-84
4.303212851405622708e+00 7.814561420824170685e-81
4.323293172690762631e+00 1.218790958500458592e-77
4.343373493975903443e+00 1.365056227085344164e-74
4.363453815261044255e+00 1.114466130774659333e-71
4.383534136546185067e+00 6.727952969824396317e-69
4.403614457831324991e+00 3.044550275871130014e-66
4.423694779116465803e+00 1.046271065147053490e-63
4.443775100401606615e+00 2.764695498009567328e-61
4.463855421686746539e+00 5.684464594013567500e-59
4.483935742971887350e+00 9.198036908872566804e-57
4.504016064257028162e+00 1.184038265281392192e-54
4.524096385542168974e+00 1.225153793183697698e-52
4.544176706827309786e+00 1.029096778286336047e-50
4.564257028112449710e+00 7.083621918480009314e-49
4.584337349397590522e+00 4.031772118963538084e-47
4.604417670682730446e+00 1.913856576074421920e-45
4.624497991967871258e+00 7.639384954412812188e-44
4.644578313253012070e+00 2.584311317025328494e-42
4.664658634538152882e+00 7.464777085716462471e-41
4.684738955823293693e+00 1.854282284336573097e-39
4.704819277108433617e+00 3.988257126643479165e-38
4.724899598393574429e+00 7.475947946363701631e-37
4.744979919678714353e+00 1.228923905787867238e-35
4.765060240963855165e+00 1.782120808839505485e-34
4.785140562248995977e+00 2.292788941074853513e-33
4.805220883534136789e+00 2.631212778620365249e-32
4.825301204819277601e+00 2.707427315237302769e-31
4.845381526104417524e+00 2.510205047884667690e-30
4.865461847389558336e+00 2.106972926135601727e-29
4.885542168674698260e+00 1.608271820430845844e-28
4.905622489959839072e+00 1.121181204373243712e-27
4.925702811244979884e+00 7.167849312732224926e-27
4.945783132530120696e+00 4.218897741904334152e-26
4.965863453815261508e+00 2.294720196008871816e-25
4.985943775100401432e+00 1.157527301066782538e-24
5.006024096385542244e+00 5.433549284481139469e-24
5.026104417670682167e+00 2.381222811770138634e-23
5.046184738955822979e+00 9.773043255813484501e-23
5.066265060240963791e+00 3.767569484058372006e-22
5.086345381526104603e+00 1.368120738468920312e-21
5.106425702811245415e+00 4.692385647308722251e-21
5.126506024096385339e+00 1.524018954773156829e-20
5.146586345381526151e+00 4.698778646958439704e-20
5.166666666666666963e+00 1.378477392739427892e-19
5.186746987951806886e+00 3.856649557614373166e-19
5.206827309236947698e+00 1.031212595565140935e-18
5.226907630522088510e+00 2.640603360223432427e-18
5.246987951807229322e+00 6.488199378133262294e-18
5.267068273092369246e+00 1.532575502824107958e-17
5.287148594377510058e+00 3.486342931230326407e-17
5.307228915662650870e+00 7.650813168482442137e-17
5.327309236947790794e+00 1.622331311323532325e-16
5.347389558232931606e+00 3.329194107000409870e-16
5.367469879518072418e+00 6.621385090449398276e-16
5.387550200803213230e+00 1.278150677334573254e-15
5.407630522088353153e+00 2.397861715085639888e-15
5.427710843373493965e+00 4.377577094956219166e-15
5.447791164658634777e+00 7.786536130716799660e-15
5.467871485943774701e+00 1.351028571084523415e-14
5.487951807228915513e+00 2.289181061089026248e-14
5.508032128514056325e+00 3.791879917782495520e-14
5.528112449799197137e+00 6.146530642670960744e-14
5.548192771084337949e+00 9.759521561187977693e-14
5.568273092369477872e+00 1.519331714737714124e-13
5.588353413654618684e+00 2.321060084153910491e-13
5.608433734939758608e+00 3.482541559325566480e-13
5.628514056224899420e+00 5.136081988931497845e-13
5.648594377510040232e+00 7.451209233785164663e-13
5.668674698795181044e+00 1.064140092485597081e-12
5.688755020080321856e+00 1.497102230074902726e-12
5.708835341365461780e+00 2.076223227335754139e-12
5.728915662650602592e+00 2.840157999352817951e-12
5.748995983935742515e+00 3.834599029346590247e-12
5.769076305220883327e+00 5.112782706954635196e-12
5.789156626506024139e+00 6.735873013795107331e-12
5.809236947791164951e+00 8.773194387808945708e-12
5.829317269076305763e+00 1.130228940000861346e-11
5.849397590361445687e+00 1.440878199235205271e-11
5.869477911646586499e+00 1.818603355941532540e-11
5.889558232931726423e+00 2.273458587033847900e-11
5.909638554216867234e+00 2.816139226764581134e-11
5.929718875502008046e+00 3.457884593038021242e-11
5.949799196787148858e+00 4.210361959635037337e-11
