# log10(T) rate(cm^3/s)
# Collisional Rates
3.500000000000000000e+00 0.000000000000000000e+00
3.520080321285140368e+00 0.000000000000000000e+00
3.540160642570281180e+00 0.000000000000000000e+00
3.560240963855421548e+00 0.000000000000000000e+00
3.580321285140562360e+00 0.000000000000000000e+00
3.600401606425702727e+00 0.000000000000000000e+00
3.620481927710843539e+00 0.000000000000000000e+00
3.640562248995983907e+00 0.000000000000000000e+00
3.660642570281124719e+00 0.000000000000000000e+00
3.680722891566265087e+00 0.000000000000000000e+00
3.700803212851405455e+00 0.000000000000000000e+00
3.720883534136546267e+00 0.000000000000000000e+00
3.740963855421686635e+00 0.000000000000000000e+00
3.761044176706827447e+00 0.000000000000000000e+00
3.781124497991967814e+00 0.000000000000000000e+00
3.801204819277108626e+00 0.000000000000000000e+00
3.821285140562248994e+00 0.000000000000000000e+00
3.841365461847389362e+00 0.000000000000000000e+00
3.861445783132530174e+00 0.000000000000000000e+00
3.881526104417670542e+00 0.000000000000000000e+00
3.901606425702811354e+00 0.000000000000000000e+00
3.921686746987951722e+00 6.468109067996794496e-316
3.941767068273092534e+00 3.862584336656491100e-302
3.961847389558232901e+00 5.507769009763303455e-289
3.981927710843373269e+00 2.000669230465435662e-276
4.002008032128514081e+00 1.969298498205811226e-264
4.022088353413654893e+00 5.571945224167053508e-253
4.042168674698794817e+00 4.794306491529248220e-242
4.062248995983935629e+00 1.323816069583419639e-231
4.082329317269076441e+00 1.234855599467079734e-221
4.102409638554217253e+00 4.086837609071415882e-212
4.122489959839357176e+00 5.028923637490180808e-203
4.142570281124497988e+00 2.405991977912784528e-194
4.162650602409638800e+00 4.670706334788662381e-186
4.182730923694778724e+00 3.832131284040536749e-178
4.202811244979919536e+00 1.381554569747036703e-170
4.222891566265060348e+00 2.271445675296931807e-163
4.242971887550201160e+00 1.764619169847660344e-156
4.263052208835341084e+00 6.700781671385805195e-150
4.283132530120481896e+00 1.284613767515074202e-143
4.303212851405622708e+00 1.282343626481068710e-137
4.323293172690762631e+00 6.864787718131810528e-132
4.343373493975903443e+00 2.027067175780646546e-126
4.363453815261044255e+00 3.391583502236541004e-121
4.383534136546185067e+00 3.298965132461479805e-116
4.403614457831324991e+00 1.911778580929833949e-111
4.423694779116465803e+00 6.756861370238575274e-107
4.443775100401606615e+00 1.489373706516945800e-102
4.463855421686746539e+00 2.091601174484161274e-98
4.483935742971887350e+00 1.909929006784156255e-94
4.504016064257028162e+00 1.156286996226120758e-90
4.524096385542168974e+00 4.728129783811445874e-87
4.544176706827309786e+00 1.329196894361669980e-83
4.564257028112449710e+00 2.612873193291195952e-80
4.584337349397590522e+00 3.650035739290136815e-77
4.604417670682730446e+00 3.679841708152714996e-74
4.624497991967871258e+00 2.717158568265476166e-71
4.644578313253012070e+00 1.490273740953229148e-68
4.664658634538152882e+00 6.153434729854145146e-66
4.684738955823293693e+00 1.937497914074472287e-63
4.704819277108433617e+00 4.709305413638329957e-61
4.724899598393574429e+00 8.940132247005176719e-59
4.744979919678714353e+00 1.340455810512431880e-56
4.765060240963855165e+00 1.604402733916073319e-54
4.785140562248995977e+00 1.548632048207756545e-52
4.805220883534136789e+00 1.217247493851484914e-50
4.825301204819277601e+00 7.863871608464246219e-49
4.845381526104417524e+00 4.212789492462577824e-47
4.865461847389558336e+00 1.887356536391522516e-45
4.885542168674698260e+00 7.128496786625245555e-44
4.905622489959839072e+00 2.287453106629859630e-42
4.925702811244979884e+00 6.282256949526284153e-41
4.945783132530120696e+00 1.487109372890856219e-39
4.965863453815261508e+00 3.054571423222695080e-38
4.985943775100401432e+00 5.479266964320533307e-37
5.006024096385542244e+00 8.636111548476740884e-36
5.026104417670682167e+00 1.203029494274801806e-34
5.046184738955822979e+00 1.489431262432383166e-33
5.066265060240963791e+00 1.647650784215930610e-32
5.086345381526104603e+00 1.636892406763205511e-31
5.106425702811245415e+00 1.467557814311685928e-30
5.126506024096385339e+00 1.192902383185565365e-29
5.146586345381526151e+00 8.830241917826693438e-29
5.166666666666666963e+00 5.977708705676031258e-28
5.186746987951806886e+00 3.715735095479991725e-27
5.206827309236947698e+00 2.129005066088735527e-26
5.226907630522088510e+00 1.128571251045003960e-25
5.246987951807229322e+00 5.554278939137506102e-25
5.267068273092369246e+00 2.546418829184285680e-24
5.287148594377510058e+00 1.091004474298950789e-23
5.307228915662650870e+00 4.381732942939975315e-23
5.327309236947790794e+00 1.654458826854885422e-22
5.347389558232931606e+00 5.889349090211431462e-22
5.367469879518072418e+00 1.981689751833170094e-21
5.387550200803213230e+00 6.319234220262196446e-21
5.407630522088353153e+00 1.914286998777806925e-20
5.427710843373493965e+00 5.521652642377732645e-20
5.447791164658634777e+00 1.519884445683390240e-19
5.467871485943774701e+00 4.000810451397161532e-19
5.487951807228915513e+00 1.009151016408579572e-18
5.508032128514056325e+00 2.443825893324023500e-18
5.528112449799197137e+00 5.692295963185366635e-18
5.548192771084337949e+00 1.277523097003674082e-17
5.568273092369477872e+00 2.767199584699280152e-17
5.588353413654618684e+00 5.794232843523096304e-17
5.608433734939758608e+00 1.174618592440910720e-16
5.628514056224899420e+00 2.308739083462004227e-16
5.648594377510040232e+00 4.405880844055908191e-16
5.668674698795181044e+00 8.174212333092716488e-16
5.688755020080321856e+00 1.476262032276304370e-15
5.708835341365461780e+00 2.598420039136111835e-15
5.728915662650602592e+00 4.462555932904463210e-15
5.748995983935742515e+00 7.486237042306367859e-15
5.769076305220883327e+00 1.228017657362042084e-14
5.789156626506024139e+00 1.971703332352041902e-14
5.809236947791164951e+00 3.101625004071283035e-14
5.829317269076305763e+00 4.784576974748024464e-14
5.849397590361445687e+00 7.244058011141383103e-14
5.869477911646586499e+00 1.077369353008688543e-13
5.889558232931726423e+00 1.575198591489397164e-13
5.909638554216867234e+00 2.265804721336771587e-13
5.929718875502008046e+00 3.208779019743095680e-13
5.949799196787148858e+00 4.476993670686254914e-13
