# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.157390505096749140e-12
3.520080321285140368e+00 1.134275179500030484e-12
3.540160642570281180e+00 1.113288720179311616e-12
3.560240963855421548e+00 1.094300607375411978e-12
3.580321285140562360e+00 1.077161878178444430e-12
3.600401606425702727e+00 1.061707289949473217e-12
3.620481927710843539e+00 1.047758098307327029e-12
3.640562248995983907e+00 1.035125313281686056e-12
3.660642570281124719e+00 1.023613283902651492e-12
3.680722891566265087e+00 1.013023457820763310e-12
3.700803212851405455e+00 1.003158168179475085e-12
3.720883534136546267e+00 9.938243144991270808e-13
3.740963855421686635e+00 9.848368276921431696e-13
3.761044176706827447e+00 9.760218420474599161e-13
3.781124497991967814e+00 9.672195403968657982e-13
3.801204819277108626e+00 9.582866946027782365e-13
3.821285140562248994e+00 9.490989938454182822e-13
3.841365461847389362e+00 9.395533385786401646e-13
3.861445783132530174e+00 9.295703762311449081e-13
3.881526104417670542e+00 9.190976587955867929e-13
3.901606425702811354e+00 9.081138992053443719e-13
3.921686746987951722e+00 8.966348730361323409e-13
3.941767068273092534e+00 8.847215294226673177e-13
3.961847389558232901e+00 8.724908130435023089e-13
3.981927710843373269e+00 8.601295339606945189e-13
4.002008032128514081e+00 8.479113404549151621e-13
4.022088353413654893e+00 8.362164547705874939e-13
4.042168674698794817e+00 8.255533470252599681e-13
4.062248995983935629e+00 8.165809948663917205e-13
4.082329317269076441e+00 8.101298711264835660e-13
4.102409638554217253e+00 8.072193951012719503e-13
4.122489959839357176e+00 8.090693510978870126e-13
4.142570281124497988e+00 8.171027830783372523e-13
4.162650602409638800e+00 8.329381535641126725e-13
4.182730923694778724e+00 8.583691113282821019e-13
4.202811244979919536e+00 8.953310111530617437e-13
4.222891566265060348e+00 9.458543007678460666e-13
4.242971887550201160e+00 1.012005939610765725e-12
4.263052208835341084e+00 1.095821032656112387e-12
4.283132530120481896e+00 1.199227743237544890e-12
4.303212851405622708e+00 1.323969200523863624e-12
4.323293172690762631e+00 1.471526476370457406e-12
4.343373493975903443e+00 1.643046743202089062e-12
4.363453815261044255e+00 1.839280445754214466e-12
4.383534136546185067e+00 2.060530763718038337e-12
4.403614457831324991e+00 2.306617873443522863e-12
4.423694779116465803e+00 2.576859613913185738e-12
4.443775100401606615e+00 2.870069208951588293e-12
4.463855421686746539e+00 3.184569772865315735e-12
4.483935742971887350e+00 3.518224496649684360e-12
4.504016064257028162e+00 3.868480725381014926e-12
4.524096385542168974e+00 4.232425623873202159e-12
4.544176706827309786e+00 4.606850797733932615e-12
4.564257028112449710e+00 4.988323084963134460e-12
4.584337349397590522e+00 5.373258741039328273e-12
4.604417670682730446e+00 5.757998381627794526e-12
4.624497991967871258e+00 6.138880291056762286e-12
4.644578313253012070e+00 6.512310020345181013e-12
4.664658634538152882e+00 6.874824556679287338e-12
4.684738955823293693e+00 7.223149721476767379e-12
4.704819277108433617e+00 7.554249825925654633e-12
4.724899598393574429e+00 7.865368965450879033e-12
4.744979919678714353e+00 8.154063656901160357e-12
4.765060240963855165e+00 8.418226807365667667e-12
4.785140562248995977e+00 8.656103247720269330e-12
4.805220883534136789e+00 8.866297266113302963e-12
4.825301204819277601e+00 9.047772737324436866e-12
4.845381526104417524e+00 9.199846565252341158e-12
4.865461847389558336e+00 9.322176240530742525e-12
4.885542168674698260e+00 9.414742366783847303e-12
4.905622489959839072e+00 9.477827030952336066e-12
4.925702811244979884e+00 9.511988889234619865e-12
4.945783132530120696e+00 9.518035814322453079e-12
4.965863453815261508e+00 9.496995905555372943e-12
4.985943775100401432e+00 9.450087605072315947e-12
5.006024096385542244e+00 9.378689593545453606e-12
5.026104417670682167e+00 9.284311061983827439e-12
5.046184738955822979e+00 9.168562874481715513e-12
5.066265060240963791e+00 9.033130053451297137e-12
5.086345381526104603e+00 8.879745936277095941e-12
5.106425702811245415e+00 8.710168272556843752e-12
5.126506024096385339e+00 8.526157455867135776e-12
5.146586345381526151e+00 8.329457014652491798e-12
5.166666666666666963e+00 8.121776424354854566e-12
5.186746987951806886e+00 7.904776247901736040e-12
5.206827309236947698e+00 7.680055564467105528e-12
5.226907630522088510e+00 7.449141607043253506e-12
5.246987951807229322e+00 7.213481497614656009e-12
5.267068273092369246e+00 6.974435944218968390e-12
5.287148594377510058e+00 6.733274746380602528e-12
5.307228915662650870e+00 6.491173943674153992e-12
5.327309236947790794e+00 6.249214435816202295e-12
5.347389558232931606e+00 6.008381900964956447e-12
5.367469879518072418e+00 5.769567841094418422e-12
5.387550200803213230e+00 5.533571588692001115e-12
5.407630522088353153e+00 5.301103116935861330e-12
5.427710843373493965e+00 5.072786505321460721e-12
5.447791164658634777e+00 4.849163923870682130e-12
5.467871485943774701e+00 4.630700011081089654e-12
5.487951807228915513e+00 4.417786533237209452e-12
5.508032128514056325e+00 4.210747225255403343e-12
5.528112449799197137e+00 4.009842725579353348e-12
5.548192771084337949e+00 3.815275529555083419e-12
5.568273092369477872e+00 3.627194897016281596e-12
5.588353413654618684e+00 3.445701660375446676e-12
5.608433734939758608e+00 3.270852889258732590e-12
5.628514056224899420e+00 3.102666376591858676e-12
5.648594377510040232e+00 2.941124919022432121e-12
5.668674698795181044e+00 2.786180371653124211e-12
5.688755020080321856e+00 2.637757463285509380e-12
5.708835341365461780e+00 2.495757363772709413e-12
5.728915662650602592e+00 2.360060999699763038e-12
5.748995983935742515e+00 2.230532118509700800e-12
5.769076305220883327e+00 2.107020104430454586e-12
5.789156626506024139e+00 1.989362552196488224e-12
5.809236947791164951e+00 1.877387606660452000e-12
5.829317269076305763e+00 1.770916078016873144e-12
5.849397590361445687e+00 1.669763343569582192e-12
5.869477911646586499e+00 1.573741047823206684e-12
5.889558232931726423e+00 1.482658613218284256e-12
5.909638554216867234e+00 1.396324574106404284e-12
5.929718875502008046e+00 1.314547746620172128e-12
5.949799196787148858e+00 1.237138246970597335e-12
5.969879518072289670e+00 1.163908370437167239e-12
5.989959839357429594e+00 1.094673342933173212e-12
6.010040160642570406e+00 1.029251956557754001e-12
6.030120481927710330e+00 9.674671000095831160e-13
6.050200803212851142e+00 9.091461941545486148e-13
6.070281124497991954e+00 8.541215424283474197e-13
6.090361445783132766e+00 8.022306051279563100e-13
6.110441767068273577e+00 7.533162060155420533e-13
6.130522088353413501e+00 7.072266790335348229e-13
6.150602409638554313e+00 6.638159623179673391e-13
6.170682730923694237e+00 6.229436461046891190e-13
6.190763052208835049e+00 5.844749805539450642e-13
6.210843373493975861e+00 5.482808489766816045e-13
6.230923694779116673e+00 5.142377114326178609e-13
6.251004016064257485e+00 4.822275231873906430e-13
6.271084337349397408e+00 4.521376320643650946e-13
6.291164658634538220e+00 4.238606583062375639e-13
6.311244979919678144e+00 3.972943601720008983e-13
6.331325301204818956e+00 3.723414881353855368e-13
6.351405622489959768e+00 3.489096302207161657e-13
6.371485943775100580e+00 3.269110507098045901e-13
6.391566265060241392e+00 3.062625241779115597e-13
6.411646586345381316e+00 2.868851665663080995e-13
6.431726907630522128e+00 2.687042647721600719e-13
6.451807228915662051e+00 2.516491060317582930e-13
6.471887550200802863e+00 2.356528081889587278e-13
6.491967871485943675e+00 2.206521517756542090e-13
6.512048192771084487e+00 2.065874146835714557e-13
6.532128514056225299e+00 1.934022100753763106e-13
6.552208835341365223e+00 1.810433280665257742e-13
6.572289156626506035e+00 1.694605816062783111e-13
6.592369477911645959e+00 1.586066568955517188e-13
6.612449799196786770e+00 1.484369685997093391e-13
6.632530120481927582e+00 1.389095200448785836e-13
6.652610441767068394e+00 1.299847685259624112e-13
6.672690763052209206e+00 1.216254958022822613e-13
6.692771084337350018e+00 1.137966838118611382e-13
6.712851405622489942e+00 1.064653955969924666e-13
6.732931726907629866e+00 9.960066140120428189e-14
6.753012048192770678e+00 9.317336987038947921e-14
6.773092369477911490e+00 8.715616426811618974e-14
6.793172690763052302e+00 8.152334359644369520e-14
