# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.409071227029348443e-11
3.520080321285140368e+00 1.368479700920793375e-11
3.540160642570281180e+00 1.327961848038334014e-11
3.560240963855421548e+00 1.287729524725514912e-11
3.580321285140562360e+00 1.247982289352470383e-11
3.600401606425702727e+00 1.208905297165905686e-11
3.620481927710843539e+00 1.170667272802932786e-11
3.640562248995983907e+00 1.133418631900995392e-11
3.660642570281124719e+00 1.097289831344870433e-11
3.680722891566265087e+00 1.062390028085499577e-11
3.700803212851405455e+00 1.028806119279749725e-11
3.720883534136546267e+00 9.966022226597427177e-12
3.740963855421686635e+00 9.658196371198848723e-12
3.761044176706827447e+00 9.364773015608519713e-12
3.781124497991967814e+00 9.085727474067710153e-12
3.801204819277108626e+00 8.820835194225031143e-12
3.821285140562248994e+00 8.569690230452371245e-12
3.841365461847389362e+00 8.331727468746451398e-12
3.861445783132530174e+00 8.106248084753952039e-12
3.881526104417670542e+00 7.892447819823427709e-12
3.901606425702811354e+00 7.689447880050306096e-12
3.921686746987951722e+00 7.496328593665352547e-12
3.941767068273092534e+00 7.312166375121921353e-12
3.961847389558232901e+00 7.136074985362185994e-12
3.981927710843373269e+00 6.967252463830960699e-12
4.002008032128514081e+00 6.805035331526183189e-12
4.022088353413654893e+00 6.648961606862913260e-12
4.042168674698794817e+00 6.498843727767049944e-12
4.062248995983935629e+00 6.354851560182047488e-12
4.082329317269076441e+00 6.217604283508203405e-12
4.102409638554217253e+00 6.088268149096775730e-12
4.122489959839357176e+00 5.968655071910194170e-12
4.142570281124497988e+00 5.861314983294845445e-12
4.162650602409638800e+00 5.769613144864193390e-12
4.182730923694778724e+00 5.697782512385801636e-12
4.202811244979919536e+00 5.650941018326467506e-12
4.222891566265060348e+00 5.635064498085359807e-12
4.242971887550201160e+00 5.656907976708913966e-12
4.263052208835341084e+00 5.723871071927553270e-12
4.283132530120481896e+00 5.843807123825703093e-12
4.303212851405622708e+00 6.024779981671434276e-12
4.323293172690762631e+00 6.274776741106663962e-12
4.343373493975903443e+00 6.601388688026901989e-12
4.363453815261044255e+00 7.011475864766604492e-12
4.383534136546185067e+00 7.510832712305582432e-12
4.403614457831324991e+00 8.103872963908222461e-12
4.423694779116465803e+00 8.793351314994301581e-12
4.443775100401606615e+00 9.580137452909809099e-12
4.463855421686746539e+00 1.046305499987901796e-11
4.483935742971887350e+00 1.143879409290106158e-11
4.504016064257028162e+00 1.250190203718447284e-11
4.524096385542168974e+00 1.364485207883665871e-11
4.544176706827309786e+00 1.485818617897119227e-11
4.564257028112449710e+00 1.613072401503420599e-11
4.584337349397590522e+00 1.744982749562486639e-11
4.604417670682730446e+00 1.880170798255224654e-11
4.624497991967871258e+00 2.017176221884646301e-11
4.644578313253012070e+00 2.154492264210910142e-11
4.664658634538152882e+00 2.290600823752341778e-11
4.684738955823293693e+00 2.424006322876427789e-11
4.704819277108433617e+00 2.553267256558918270e-11
4.724899598393574429e+00 2.677024518052542290e-11
4.744979919678714353e+00 2.794025819295880569e-11
4.765060240963855165e+00 2.903145748988739404e-11
4.785140562248995977e+00 3.003401228278974287e-11
4.805220883534136789e+00 3.093962322956507736e-11
4.825301204819277601e+00 3.174158544700683489e-11
4.845381526104417524e+00 3.243480917741111469e-11
4.865461847389558336e+00 3.301580199185737570e-11
4.885542168674698260e+00 3.348261721253651890e-11
4.905622489959839072e+00 3.383477373407547970e-11
4.925702811244979884e+00 3.407315264828729748e-11
4.945783132530120696e+00 3.419987606548148005e-11
4.965863453815261508e+00 3.421817332007592033e-11
4.985943775100401432e+00 3.413223939163453791e-11
5.006024096385542244e+00 3.394708990613369938e-11
5.026104417670682167e+00 3.366841654454547134e-11
5.046184738955822979e+00 3.330244611054723530e-11
5.066265060240963791e+00 3.285580592496884340e-11
5.086345381526104603e+00 3.233539764465115207e-11
5.106425702811245415e+00 3.174828106553966853e-11
5.126506024096385339e+00 3.110156897688734155e-11
5.146586345381526151e+00 3.040233369374856261e-11
5.166666666666666963e+00 2.965752551304846455e-11
5.186746987951806886e+00 2.887390301581735787e-11
5.206827309236947698e+00 2.805797487365278394e-11
5.226907630522088510e+00 2.721595260825278466e-11
5.246987951807229322e+00 2.635371359482426270e-11
5.267068273092369246e+00 2.547677348837817449e-11
5.287148594377510058e+00 2.459026718098962691e-11
5.307228915662650870e+00 2.369893736247623439e-11
5.327309236947790794e+00 2.280712975110156772e-11
5.347389558232931606e+00 2.191879407949286025e-11
5.367469879518072418e+00 2.103748995889090500e-11
5.387550200803213230e+00 2.016639679739603296e-11
5.407630522088353153e+00 1.930832701072370786e-11
5.427710843373493965e+00 1.846574183327725901e-11
5.447791164658634777e+00 1.764076910973097015e-11
5.467871485943774701e+00 1.683522251996587338e-11
5.487951807228915513e+00 1.605062176083305530e-11
5.508032128514056325e+00 1.528821327508837889e-11
5.528112449799197137e+00 1.454899117972391141e-11
5.548192771084337949e+00 1.383371810207410355e-11
5.568273092369477872e+00 1.314294568217757157e-11
5.588353413654618684e+00 1.247703454397096728e-11
5.608433734939758608e+00 1.183617357630457700e-11
5.628514056224899420e+00 1.122039839801739188e-11
5.648594377510040232e+00 1.062960891003877716e-11
5.668674698795181044e+00 1.006358586236566592e-11
5.688755020080321856e+00 9.522006385456198335e-12
