# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.892749814527919181e-11
3.520080321285140368e+00 5.747848432335152732e-11
3.540160642570281180e+00 5.600248384400648000e-11
3.560240963855421548e+00 5.450581982109699431e-11
3.580321285140562360e+00 5.299432672221861020e-11
3.600401606425702727e+00 5.147336831868599736e-11
3.620481927710843539e+00 4.994786129914690126e-11
3.640562248995983907e+00 4.842230264577846646e-11
3.660642570281124719e+00 4.690079938702753678e-11
3.680722891566265087e+00 4.538709993426375390e-11
3.700803212851405455e+00 4.388462687809826072e-11
3.720883534136546267e+00 4.239651185140275424e-11
3.740963855421686635e+00 4.092563382857481304e-11
3.761044176706827447e+00 3.947466296257822374e-11
3.781124497991967814e+00 3.804611266449664119e-11
3.801204819277108626e+00 3.664240297202435098e-11
3.821285140562248994e+00 3.526593817981268224e-11
3.841365461847389362e+00 3.391920106728223294e-11
3.861445783132530174e+00 3.260486475051461740e-11
3.881526104417670542e+00 3.132592117575029012e-11
3.901606425702811354e+00 3.008582264662996304e-11
3.921686746987951722e+00 2.888862974838914868e-11
3.941767068273092534e+00 2.773915593473971485e-11
3.961847389558232901e+00 2.664309630106405651e-11
3.981927710843373269e+00 2.560712613673739274e-11
4.002008032128514081e+00 2.463895414628141977e-11
4.022088353413654893e+00 2.374731605724792008e-11
4.042168674698794817e+00 2.294189682244633755e-11
4.062248995983935629e+00 2.223317369641540028e-11
4.082329317269076441e+00 2.163217782944545277e-11
4.102409638554217253e+00 2.115017820330921240e-11
4.122489959839357176e+00 2.079829813402640575e-11
4.142570281124497988e+00 2.058708054493993573e-11
4.162650602409638800e+00 2.052602316063495048e-11
4.182730923694778724e+00 2.062310819212795468e-11
4.202811244979919536e+00 2.088435264685461692e-11
4.222891566265060348e+00 2.131340497225588050e-11
4.242971887550201160e+00 2.191121140038331410e-11
4.263052208835341084e+00 2.267577135496671833e-11
4.283132530120481896e+00 2.360199600390465107e-11
4.303212851405622708e+00 2.468167796862514111e-11
4.323293172690762631e+00 2.590357384778931040e-11
4.343373493975903443e+00 2.725359506548619319e-11
4.363453815261044255e+00 2.871509703793084740e-11
4.383534136546185067e+00 3.026925209740242719e-11
4.403614457831324991e+00 3.189548823628542222e-11
4.423694779116465803e+00 3.357197364204682690e-11
4.443775100401606615e+00 3.527612618418608998e-11
4.463855421686746539e+00 3.698512739518336411e-11
4.483935742971887350e+00 3.867642189895417389e-11
4.504016064257028162e+00 4.032818547610637169e-11
4.524096385542168974e+00 4.191974778558445742e-11
