# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 9.346029504644416813e-13
3.520080321285140368e+00 9.057464355554397601e-13
3.540160642570281180e+00 8.777281859674262777e-13
3.560240963855421548e+00 8.505246815539748105e-13
3.580321285140562360e+00 8.241130525359618331e-13
3.600401606425702727e+00 7.984710619152333265e-13
3.620481927710843539e+00 7.735770883397794220e-13
3.640562248995983907e+00 7.494101094097881319e-13
3.660642570281124719e+00 7.259496854141167367e-13
3.680722891566265087e+00 7.031759434869721351e-13
3.700803212851405455e+00 6.810695621747509017e-13
3.720883534136546267e+00 6.596117564032253711e-13
3.740963855421686635e+00 6.387842628354460401e-13
3.761044176706827447e+00 6.185693256109283907e-13
3.781124497991967814e+00 5.989496824569008467e-13
3.801204819277108626e+00 5.799085511625662737e-13
3.821285140562248994e+00 5.614296164075378426e-13
3.841365461847389362e+00 5.434970169357843566e-13
3.861445783132530174e+00 5.260953330666228005e-13
3.881526104417670542e+00 5.092095745344653011e-13
3.901606425702811354e+00 4.928251686492145949e-13
3.921686746987951722e+00 4.769279487693946547e-13
3.941767068273092534e+00 4.615041430802501459e-13
3.961847389558232901e+00 4.465403636692586617e-13
3.981927710843373269e+00 4.320235958916431210e-13
4.002008032128514081e+00 4.179411880186543743e-13
4.022088353413654893e+00 4.042808411615638012e-13
4.042168674698794817e+00 3.910305994644529528e-13
4.062248995983935629e+00 3.781788405590701078e-13
4.082329317269076441e+00 3.657142662751699213e-13
4.102409638554217253e+00 3.536258935999056254e-13
4.122489959839357176e+00 3.419030458800086842e-13
4.142570281124497988e+00 3.305353442606279839e-13
4.162650602409638800e+00 3.195126993548641620e-13
4.182730923694778724e+00 3.088253031381613529e-13
4.202811244979919536e+00 2.984636210618760488e-13
4.222891566265060348e+00 2.884183843804821145e-13
4.242971887550201160e+00 2.786805826869936317e-13
4.263052208835341084e+00 2.692414566513425446e-13
4.283132530120481896e+00 2.600924909565600604e-13
4.303212851405622708e+00 2.512254074277594912e-13
4.323293172690762631e+00 2.426321583490247042e-13
4.343373493975903443e+00 2.343049199634447097e-13
4.363453815261044255e+00 2.262360861516584092e-13
4.383534136546185067e+00 2.184182622843753340e-13
4.403614457831324991e+00 2.108442592444730030e-13
4.423694779116465803e+00 2.035070876143701578e-13
4.443775100401606615e+00 1.963999520244955672e-13
4.463855421686746539e+00 1.895162456587688285e-13
4.483935742971887350e+00 1.828495449131211943e-13
4.504016064257028162e+00 1.763936042031896938e-13
4.524096385542168974e+00 1.701423509174037713e-13
4.544176706827309786e+00 1.640898805117945345e-13
4.564257028112449710e+00 1.582304517429425101e-13
4.584337349397590522e+00 1.525584820355707519e-13
4.604417670682730446e+00 1.470685429813854973e-13
4.624497991967871258e+00 1.417553559658408807e-13
4.644578313253012070e+00 1.366137879195997106e-13
4.664658634538152882e+00 1.316388471915333268e-13
4.684738955823293693e+00 1.268256795401861010e-13
4.704819277108433617e+00 1.221695642407057477e-13
4.724899598393574429e+00 1.176659103043097047e-13
4.744979919678714353e+00 1.133102528074338882e-13
4.765060240963855165e+00 1.090982493277703334e-13
4.785140562248995977e+00 1.050256764844746121e-13
4.805220883534136789e+00 1.010884265798778251e-13
4.825301204819277601e+00 9.728250434010528158e-14
4.845381526104417524e+00 9.360402375205898035e-14
4.865461847389558336e+00 9.004920499427664677e-14
4.885542168674698260e+00 8.661437145923739384e-14
4.905622489959839072e+00 8.329594686472926207e-14
4.925702811244979884e+00 8.009045245195128371e-14
4.945783132530120696e+00 7.699450426806271568e-14
4.965863453815261508e+00 7.400481053094330440e-14
4.985943775100401432e+00 7.111816907396878512e-14
5.006024096385542244e+00 6.833146486864869442e-14
5.026104417670682167e+00 6.564166762301561762e-14
5.046184738955822979e+00 6.304582945368846595e-14
5.066265060240963791e+00 6.054108262957738745e-14
5.086345381526104603e+00 5.812463738522462325e-14
5.106425702811245415e+00 5.579377980181803016e-14
5.126506024096385339e+00 5.354586975394168251e-14
5.146586345381526151e+00 5.137833892016273921e-14
5.166666666666666963e+00 4.928868885558467928e-14
5.186746987951806886e+00 4.727448912452589983e-14
5.206827309236947698e+00 4.533337549151346818e-14
5.226907630522088510e+00 4.346304816881134796e-14
5.246987951807229322e+00 4.166127011872783341e-14
5.267068273092369246e+00 3.992586540897848006e-14
5.287148594377510058e+00 3.825471761940552759e-14
5.307228915662650870e+00 3.664576829838464182e-14
5.327309236947790794e+00 3.509701546727466162e-14
5.347389558232931606e+00 3.360651217129514855e-14
5.367469879518072418e+00 3.217236507524398945e-14
5.387550200803213230e+00 3.079273310249363109e-14
5.407630522088353153e+00 2.946582611573355635e-14
5.427710843373493965e+00 2.818990363795459976e-14
5.447791164658634777e+00 2.696327361220007169e-14
5.467871485943774701e+00 2.578429119863618465e-14
5.487951807228915513e+00 2.465135760752616802e-14
5.508032128514056325e+00 2.356291896672207082e-14
5.528112449799197137e+00 2.251746522231871810e-14
5.548192771084337949e+00 2.151352907114715059e-14
5.568273092369477872e+00 2.054968492381709101e-14
5.588353413654618684e+00 1.962454789705060778e-14
5.608433734939758608e+00 1.873677283408464253e-14
5.628514056224899420e+00 1.788505335195259402e-14
5.648594377510040232e+00 1.706812091449310163e-14
5.668674698795181044e+00 1.628474392996801062e-14
5.688755020080321856e+00 1.553372687220993451e-14
5.708835341365461780e+00 1.481390942425622196e-14
5.728915662650602592e+00 1.412416564346437270e-14
5.748995983935742515e+00 1.346340314714272652e-14
5.769076305220883327e+00 1.283056231776784426e-14
5.789156626506024139e+00 1.222461552690088840e-14
5.809236947791164951e+00 1.164456637695297078e-14
5.829317269076305763e+00 1.108944895999015320e-14
5.849397590361445687e+00 1.055832713280786939e-14
5.869477911646586499e+00 1.005029380754408152e-14
5.889558232931726423e+00 9.564470257140302444e-15
5.909638554216867234e+00 9.100005434998018544e-15
5.929718875502008046e+00 8.656075308217866274e-15
5.949799196787148858e+00 8.231882203846273138e-15
5.969879518072289670e+00 7.826654167592698969e-15
5.989959839357429594e+00 7.439644334517562194e-15
6.010040160642570406e+00 7.070130311227041103e-15
6.030120481927710330e+00 6.717413569146812001e-15
6.050200803212851142e+00 6.380818848480663783e-15
6.070281124497991954e+00 6.059693572494047463e-15
6.090361445783132766e+00 5.753407271794218613e-15
6.110441767068273577e+00 5.461351018310058880e-15
6.130522088353413501e+00 5.182936868704323116e-15
6.150602409638554313e+00 4.917597316979183150e-15
6.170682730923694237e+00 4.664784756063334776e-15
6.190763052208835049e+00 4.423970948193707129e-15
6.210843373493975861e+00 4.194646503929594905e-15
6.230923694779116673e+00 3.976320369658580039e-15
6.251004016064257485e+00 3.768519323475080665e-15
6.271084337349397408e+00 3.570787479331264712e-15
6.291164658634538220e+00 3.382685799377732827e-15
6.311244979919678144e+00 3.203791614427639649e-15
6.331325301204818956e+00 3.033698152491998100e-15
6.351405622489959768e+00 2.872014075347319243e-15
6.371485943775100580e+00 2.718363023107611541e-15
6.391566265060241392e+00 2.572383166783035506e-15
6.411646586345381316e+00 2.433726768815689431e-15
6.431726907630522128e+00 2.302059751590056661e-15
6.451807228915662051e+00 2.177061273921378342e-15
6.471887550200802863e+00 2.058423315529308927e-15
6.491967871485943675e+00 1.945850269507617681e-15
6.512048192771084487e+00 1.839058542802313011e-15
6.532128514056225299e+00 1.737776164711578558e-15
6.552208835341365223e+00 1.641742403420602147e-15
6.572289156626506035e+00 1.550707390583186314e-15
6.592369477911645959e+00 1.464431753960044564e-15
6.612449799196786770e+00 1.382686258120677609e-15
6.632530120481927582e+00 1.305251453212316148e-15
6.652610441767068394e+00 1.231917331794983369e-15
6.672690763052209206e+00 1.162482993737064616e-15
6.692771084337350018e+00 1.096756319160374879e-15
6.712851405622489942e+00 1.034553649418009339e-15
6.732931726907629866e+00 9.756994760821733469e-16
6.753012048192770678e+00 9.200261379128337771e-16
6.773092369477911490e+00 8.673735257714440275e-16
6.793172690763052302e+00 8.175887954372545152e-16
6.813253012048193114e+00 7.705260882769371087e-16
6.833333333333333925e+00 7.260462597113804637e-16
6.853413654618473849e+00 6.840166154166847491e-16
6.873493975903614661e+00 6.443106551896316026e-16
6.893574297188754585e+00 6.068078244012872028e-16
6.913654618473895397e+00 5.713932729558553085e-16
6.933734939759036209e+00 5.379576216657056400e-16
6.953815261044177021e+00 5.063967359473480911e-16
6.973895582329317833e+00 4.766115067374135792e-16
6.993975903614457756e+00 4.485076385221500468e-16
7.014056224899598568e+00 4.219954443687565464e-16
7.034136546184738492e+00 3.969896478420300537e-16
7.054216867469879304e+00 3.734091916852290913e-16
7.074297188755020116e+00 3.511770531399555771e-16
7.094377510040160928e+00 3.302200657759859140e-16
7.114457831325301740e+00 3.104687476986004393e-16
7.134538152610441664e+00 2.918571359978762054e-16
7.154618473895582476e+00 2.743226273017251942e-16
7.174698795180722399e+00 2.578058242921694125e-16
7.194779116465863211e+00 2.422503880423589031e-16
7.214859437751004023e+00 2.276028960303144768e-16
7.234939759036144835e+00 2.138127056840962558e-16
7.255020080321285647e+00 2.008318233122581930e-16
7.275100401606425571e+00 1.886147782728811715e-16
7.295180722891566383e+00 1.771185022342591436e-16
7.315261044176706307e+00 1.663022133804037576e-16
7.335341365461847118e+00 1.561273054148938515e-16
7.355421686746987930e+00 1.465572412172825736e-16
7.375502008032128742e+00 1.375574510071731331e-16
7.395582329317269554e+00 1.290952348722660521e-16
7.415662650602409478e+00 1.211396695180788752e-16
7.435742971887550290e+00 1.136615190986630401e-16
7.455823293172690214e+00 1.066331499894727932e-16
7.475903614457831026e+00 1.000284493655359775e-16
7.495983935742971838e+00 9.382274745027134242e-17
7.516064257028112650e+00 8.799274330260770652e-17
7.536144578313252573e+00 8.251643401254117649e-17
7.556224899598393385e+00 7.737304717784560627e-17
7.576305220883534197e+00 7.254297653735503192e-17
7.596385542168675009e+00 6.800772063901719389e-17
7.616465863453814933e+00 6.374982442379572601e-17
7.636546184738955745e+00 5.975282360942664481e-17
7.656626506024096557e+00 5.600119176103225942e-17
7.676706827309237369e+00 5.248028993862069413e-17
7.696787148594377292e+00 4.917631881457061522e-17
7.716867469879518104e+00 4.607627315728108859e-17
7.736947791164658916e+00 4.316789858026766142e-17
7.757028112449798840e+00 4.043965045907808333e-17
7.777108433734939652e+00 3.788065492149828602e-17
7.797188755020080464e+00 3.548067181959492279e-17
7.817269076305221276e+00 3.323005959519344532e-17
7.837349397590361200e+00 3.111974195342155420e-17
7.857429718875502012e+00 2.914117626193689671e-17
7.877510040160642824e+00 2.728632359641257327e-17
7.897590361445782747e+00 2.554762035575812195e-17
7.917670682730923559e+00 2.391795137341322228e-17
7.937751004016064371e+00 2.239062445385526673e-17
7.957831325301205183e+00 2.095934626620707643e-17
7.977911646586345107e+00 1.961819952952035102e-17
7.997991967871485919e+00 1.836162142693372821e-17
8.018072289156627619e+00 1.718438318846549530e-17
8.038152610441766655e+00 1.608157078469363503e-17
8.058232931726907466e+00 1.504856667600183864e-17
8.078313253012048278e+00 1.408103256443002450e-17
8.098393574297189090e+00 1.317489309745090988e-17
8.118473895582329902e+00 1.232632047521591826e-17
8.138554216867468938e+00 1.153171991495910991e-17
8.158634538152611526e+00 1.078771592832500862e-17
8.178714859437750562e+00 1.009113936939542910e-17
8.198795180722891374e+00 9.439015213124121779e-18
8.218875502008032186e+00 8.828551025762940111e-18
8.238955823293172998e+00 8.257126090658556263e-18
8.259036144578313809e+00 7.722281154536695152e-18
8.279116465863452845e+00 7.221708761057067941e-18
8.299196787148595433e+00 6.753244140025790192e-18
8.319277108433734469e+00 6.314856622192909335e-18
8.339357429718875281e+00 5.904641551037879923e-18
8.359437751004016093e+00 5.520812664366615237e-18
8.379518072289156905e+00 5.161694919898140952e-18
8.399598393574297717e+00 4.825717740321708090e-18
8.419678714859436752e+00 4.511408654548730736e-18
8.439759036144579341e+00 4.217387313074067065e-18
8.459839357429718376e+00 3.942359856499433806e-18
8.479919678714859188e+00 3.685113617356558203e-18
8.500000000000000000e+00 3.444512136407132934e-18
