# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 9.506879580722436422e-13
3.520080321285140368e+00 9.218583391862284000e-13
3.540160642570281180e+00 8.938758887481661405e-13
3.560240963855421548e+00 8.667162375289336666e-13
3.580321285140562360e+00 8.403557009538035744e-13
3.600401606425702727e+00 8.147712606386207641e-13
3.620481927710843539e+00 7.899405463876594307e-13
3.640562248995983907e+00 7.658418186432774805e-13
3.660642570281124719e+00 7.424539513775866024e-13
3.680722891566265087e+00 7.197564154165225213e-13
3.700803212851405455e+00 6.977292621868315355e-13
3.720883534136546267e+00 6.763531078766272654e-13
3.740963855421686635e+00 6.556091180003314883e-13
3.761044176706827447e+00 6.354789923589364214e-13
3.781124497991967814e+00 6.159449503867049458e-13
3.801204819277108626e+00 5.969897168755630946e-13
3.821285140562248994e+00 5.785965080686707593e-13
3.841365461847389362e+00 5.607490181148961861e-13
3.861445783132530174e+00 5.434314058763965272e-13
3.881526104417670542e+00 5.266282820822348417e-13
3.901606425702811354e+00 5.103246968223334505e-13
3.921686746987951722e+00 4.945061273784428063e-13
3.941767068273092534e+00 4.791584663928477437e-13
3.961847389558232901e+00 4.642680103820995264e-13
3.981927710843373269e+00 4.498214486130866786e-13
4.002008032128514081e+00 4.358058523732990803e-13
4.022088353413654893e+00 4.222086646868034213e-13
4.042168674698794817e+00 4.090176905523195187e-13
4.062248995983935629e+00 3.962210878087246393e-13
4.082329317269076441e+00 3.838073587637166047e-13
4.102409638554217253e+00 3.717653427488057879e-13
4.122489959839357176e+00 3.600842097823203368e-13
4.142570281124497988e+00 3.487534555245591487e-13
4.162650602409638800e+00 3.377628976887972632e-13
4.182730923694778724e+00 3.271026740237882083e-13
4.202811244979919536e+00 3.167632419085667193e-13
4.222891566265060348e+00 3.067353795100710937e-13
4.242971887550201160e+00 2.970101883791047458e-13
4.263052208835341084e+00 2.875790973650473172e-13
4.283132530120481896e+00 2.784338679353876636e-13
4.303212851405622708e+00 2.695666016020878307e-13
4.323293172690762631e+00 2.609697515188078654e-13
4.343373493975903443e+00 2.526361429168864641e-13
4.363453815261044255e+00 2.445590115560150685e-13
4.383534136546185067e+00 2.367320765559330212e-13
4.403614457831324991e+00 2.291496745991297688e-13
4.423694779116465803e+00 2.218069970164116846e-13
4.443775100401606615e+00 2.147004894998284194e-13
4.463855421686746539e+00 2.078284948715792088e-13
4.483935742971887350e+00 2.011922397804452422e-13
4.504016064257028162e+00 1.947972821194778537e-13
4.524096385542168974e+00 1.886555417034416728e-13
4.544176706827309786e+00 1.827880259549872041e-13
4.564257028112449710e+00 1.772283291103170199e-13
4.584337349397590522e+00 1.720269237632996207e-13
4.604417670682730446e+00 1.672561768387716101e-13
4.624497991967871258e+00 1.630159123534112254e-13
4.644578313253012070e+00 1.594392197420767286e-13
4.664658634538152882e+00 1.566980829398380361e-13
4.684738955823293693e+00 1.550082988810999283e-13
4.704819277108433617e+00 1.546330825720109754e-13
4.724899598393574429e+00 1.558847354515866692e-13
4.744979919678714353e+00 1.591237956860394744e-13
4.765060240963855165e+00 1.647551976473958517e-13
4.785140562248995977e+00 1.732211391550011423e-13
4.805220883534136789e+00 1.849905768757059835e-13
4.825301204819277601e+00 2.005455233472572200e-13
4.845381526104417524e+00 2.203645794986591194e-13
4.865461847389558336e+00 2.449043787133976414e-13
4.885542168674698260e+00 2.745798183613864423e-13
4.905622489959839072e+00 3.097440926650965267e-13
4.925702811244979884e+00 3.506696037005140235e-13
4.945783132530120696e+00 3.975308100019046425e-13
4.965863453815261508e+00 4.503899773514464293e-13
4.985943775100401432e+00 5.091866337821879178e-13
5.006024096385542244e+00 5.737313161249522961e-13
5.026104417670682167e+00 6.437039477065027424e-13
5.046184738955822979e+00 7.186569265802796195e-13
5.066265060240963791e+00 7.980227507822872211e-13
5.086345381526104603e+00 8.811257789622375305e-13
5.106425702811245415e+00 9.671975350491338713e-13
5.126506024096385339e+00 1.055394823645651859e-12
5.146586345381526151e+00 1.144819833247971230e-12
5.166666666666666963e+00 1.234541367424046735e-12
5.186746987951806886e+00 1.323616356256251399e-12
5.206827309236947698e+00 1.411110855239628287e-12
5.226907630522088510e+00 1.496119828019024645e-12
5.246987951807229322e+00 1.577785123401688842e-12
5.267068273092369246e+00 1.655311186366674330e-12
5.287148594377510058e+00 1.727978178207482521e-12
5.307228915662650870e+00 1.795152314450502993e-12
5.327309236947790794e+00 1.856293354165304199e-12
5.347389558232931606e+00 1.910959285690898405e-12
5.367469879518072418e+00 1.958808348232597423e-12
5.387550200803213230e+00 1.999598604351163975e-12
5.407630522088353153e+00 2.033185334533315802e-12
5.427710843373493965e+00 2.059516562381996029e-12
5.447791164658634777e+00 2.078627038940200515e-12
5.467871485943774701e+00 2.090631019314852006e-12
5.487951807228915513e+00 2.095714156517230975e-12
5.508032128514056325e+00 2.094124818864972170e-12
5.528112449799197137e+00 2.086165110968302825e-12
5.548192771084337949e+00 2.072181846677738545e-12
