# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.723845256724478007e-12
3.520080321285140368e+00 1.692529805606306008e-12
3.540160642570281180e+00 1.660614547800348967e-12
3.560240963855421548e+00 1.628037679454255990e-12
3.580321285140562360e+00 1.594767137297356949e-12
3.600401606425702727e+00 1.560797452702247717e-12
3.620481927710843539e+00 1.526146500185479009e-12
3.640562248995983907e+00 1.490852226094708438e-12
3.660642570281124719e+00 1.454969431932877666e-12
3.680722891566265087e+00 1.418566675022607498e-12
3.700803212851405455e+00 1.381723337606721245e-12
3.720883534136546267e+00 1.344526904550374626e-12
3.740963855421686635e+00 1.307070480092462594e-12
3.761044176706827447e+00 1.269450566196124018e-12
3.781124497991967814e+00 1.231765119721980356e-12
3.801204819277108626e+00 1.194111903831116425e-12
3.821285140562248994e+00 1.156587151804071619e-12
3.841365461847389362e+00 1.119284569900295277e-12
3.861445783132530174e+00 1.082294720676973705e-12
3.881526104417670542e+00 1.045704849158669520e-12
3.901606425702811354e+00 1.009599239748910845e-12
3.921686746987951722e+00 9.740602181517417397e-13
3.941767068273092534e+00 9.391699339482367902e-13
3.961847389558232901e+00 9.050130680517323884e-13
3.981927710843373269e+00 8.716805963268777526e-13
4.002008032128514081e+00 8.392746982588066254e-13
4.022088353413654893e+00 8.079148226999191887e-13
4.042168674698794817e+00 7.777448115384784981e-13
4.062248995983935629e+00 7.489408435169845946e-13
4.082329317269076441e+00 7.217198084842293421e-13
4.102409638554217253e+00 6.963475772899741689e-13
4.122489959839357176e+00 6.731465178429855775e-13
4.142570281124497988e+00 6.525015463250229193e-13
4.162650602409638800e+00 6.348640116174118946e-13
4.182730923694778724e+00 6.207527986252539495e-13
4.202811244979919536e+00 6.107521982739182732e-13
4.222891566265060348e+00 6.055063119725326149e-13
4.242971887550201160e+00 6.057100095203579654e-13
4.263052208835341084e+00 6.120967091786081231e-13
4.283132530120481896e+00 6.254234642948314315e-13
4.303212851405622708e+00 6.464539956744906455e-13
4.323293172690762631e+00 6.759403867470213528e-13
4.343373493975903443e+00 7.146041567159173364e-13
4.363453815261044255e+00 7.631173558995744779e-13
4.383534136546185067e+00 8.220842086944784226e-13
4.403614457831324991e+00 8.920236905554715716e-13
4.423694779116465803e+00 9.733532943331108053e-13
4.443775100401606615e+00 1.066374141922048782e-12
4.463855421686746539e+00 1.171257544549925047e-12
4.483935742971887350e+00 1.288033113547738846e-12
4.504016064257028162e+00 1.416578566767140423e-12
4.524096385542168974e+00 1.556611448881622123e-12
4.544176706827309786e+00 1.707683066150737400e-12
4.564257028112449710e+00 1.869175005918545804e-12
4.584337349397590522e+00 2.040298648627081453e-12
4.604417670682730446e+00 2.220098071375337673e-12
4.624497991967871258e+00 2.407456680309510008e-12
4.644578313253012070e+00 2.601107795555202284e-12
4.664658634538152882e+00 2.799649255384964430e-12
4.684738955823293693e+00 3.001561919819948512e-12
4.704819277108433617e+00 3.205231755216746876e-12
4.724899598393574429e+00 3.408974988861941786e-12
4.744979919678714353e+00 3.611065653182029111e-12
4.765060240963855165e+00 3.809764706805295681e-12
4.785140562248995977e+00 4.003349834061271463e-12
4.805220883534136789e+00 4.190144990460980050e-12
4.825301204819277601e+00 4.368548779418808626e-12
4.845381526104417524e+00 4.537060810923543720e-12
4.865461847389558336e+00 4.694305298706078820e-12
4.885542168674698260e+00 4.839051289112736431e-12
4.905622489959839072e+00 4.970229071666499076e-12
4.925702811244979884e+00 5.086942487351190646e-12
4.945783132530120696e+00 5.188477015886694334e-12
4.965863453815261508e+00 5.274303678941398846e-12
4.985943775100401432e+00 5.344078935396590145e-12
5.006024096385542244e+00 5.397640862449912864e-12
5.026104417670682167e+00 5.435002009509878719e-12
5.046184738955822979e+00 5.456339379309880588e-12
5.066265060240963791e+00 5.461982032860508413e-12
5.086345381526104603e+00 5.452396833438921102e-12
5.106425702811245415e+00 5.428172842399399558e-12
5.126506024096385339e+00 5.390004859408335957e-12
5.146586345381526151e+00 5.338676565302403160e-12
5.166666666666666963e+00 5.275043680741950365e-12
5.186746987951806886e+00 5.200017501638379091e-12
