# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.809045036127831496e-12
3.520080321285140368e+00 5.640723662439355619e-12
3.540160642570281180e+00 5.480389340304832796e-12
3.560240963855421548e+00 5.327601418795875656e-12
3.580321285140562360e+00 5.181905761204116211e-12
3.600401606425702727e+00 5.042838542585314466e-12
3.620481927710843539e+00 4.909930700563149510e-12
3.640562248995983907e+00 4.782712814495810247e-12
3.660642570281124719e+00 4.660720185614444281e-12
3.680722891566265087e+00 4.543497900687989073e-12
3.700803212851405455e+00 4.430605682184833617e-12
3.720883534136546267e+00 4.321622356605719434e-12
3.740963855421686635e+00 4.216149807646893638e-12
3.761044176706827447e+00 4.113816320708367498e-12
3.781124497991967814e+00 4.014279269604330875e-12
3.801204819277108626e+00 3.917227146169264213e-12
3.821285140562248994e+00 3.822380991363224549e-12
3.841365461847389362e+00 3.729495356400435958e-12
3.861445783132530174e+00 3.638359008824641551e-12
3.881526104417670542e+00 3.548795704701557606e-12
3.901606425702811354e+00 3.460665474048990539e-12
3.921686746987951722e+00 3.373867005731430185e-12
3.941767068273092534e+00 3.288341854699126181e-12
3.961847389558232901e+00 3.204081302569442458e-12
3.981927710843373269e+00 3.121136746520125388e-12
4.002008032128514081e+00 3.039634430290226109e-12
4.022088353413654893e+00 2.959795125857449832e-12
4.042168674698794817e+00 2.881958998271753733e-12
4.062248995983935629e+00 2.806615335134259555e-12
4.082329317269076441e+00 2.734436123789678853e-12
4.102409638554217253e+00 2.666311676473790619e-12
4.122489959839357176e+00 2.603385732158874025e-12
4.142570281124497988e+00 2.547086821482243586e-12
4.162650602409638800e+00 2.499152290256842749e-12
4.182730923694778724e+00 2.461641342657056686e-12
4.202811244979919536e+00 2.436933852877767408e-12
4.222891566265060348e+00 2.427712512517710671e-12
4.242971887550201160e+00 2.436927072854086822e-12
4.263052208835341084e+00 2.467740885893817049e-12
4.283132530120481896e+00 2.523461476182099536e-12
4.303212851405622708e+00 2.607458293366572204e-12
4.323293172690762631e+00 2.723071916637433348e-12
4.343373493975903443e+00 2.873519657147591597e-12
4.363453815261044255e+00 3.061802646971901859e-12
4.383534136546185067e+00 3.290619104238678894e-12
4.403614457831324991e+00 3.562287593691902865e-12
4.423694779116465803e+00 3.878682896495776407e-12
4.443775100401606615e+00 4.241185741990742935e-12
4.463855421686746539e+00 4.650646329957581469e-12
4.483935742971887350e+00 5.107360459863365053e-12
4.504016064257028162e+00 5.611056315167983032e-12
4.524096385542168974e+00 6.160889597014517141e-12
4.544176706827309786e+00 6.755444766724293918e-12
4.564257028112449710e+00 7.392740582995838993e-12
4.584337349397590522e+00 8.070238802612097299e-12
4.604417670682730446e+00 8.784855720416955881e-12
4.624497991967871258e+00 9.532977017543064053e-12
4.644578313253012070e+00 1.031047704340153201e-11
4.664658634538152882e+00 1.111274408429339124e-11
4.684738955823293693e+00 1.193471331691682381e-11
4.704819277108433617e+00 1.277090899803553287e-11
