# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 4.327414991347565518e-11
3.520080321285140368e+00 4.294659727446744960e-11
3.540160642570281180e+00 4.258312191161755692e-11
3.560240963855421548e+00 4.218305937980658764e-11
3.580321285140562360e+00 4.174661636104269114e-11
3.600401606425702727e+00 4.127478368503497356e-11
3.620481927710843539e+00 4.076922859711284800e-11
3.640562248995983907e+00 4.023217255621645140e-11
3.660642570281124719e+00 3.966626102741836555e-11
3.680722891566265087e+00 3.907443157201353270e-11
3.700803212851405455e+00 3.845978606066386361e-11
3.720883534136546267e+00 3.782547209003860031e-11
3.740963855421686635e+00 3.717457773622779866e-11
3.761044176706827447e+00 3.651004270479053952e-11
3.781124497991967814e+00 3.583458781719270288e-11
3.801204819277108626e+00 3.515066368334275513e-11
3.821285140562248994e+00 3.446041841822990291e-11
3.841365461847389362e+00 3.376568342260696197e-11
3.861445783132530174e+00 3.306797560226669107e-11
3.881526104417670542e+00 3.236851396834141543e-11
3.901606425702811354e+00 3.166824834340921627e-11
3.921686746987951722e+00 3.096789787709721924e-11
3.941767068273092534e+00 3.026799721523307692e-11
3.961847389558232901e+00 2.956894842004937961e-11
3.981927710843373269e+00 2.887107704992711371e-11
4.002008032128514081e+00 2.817469112066695736e-11
4.022088353413654893e+00 2.748014194010974835e-11
4.042168674698794817e+00 2.678788600368305377e-11
4.062248995983935629e+00 2.609854724906876157e-11
4.082329317269076441e+00 2.541297900063883552e-11
4.102409638554217253e+00 2.473232490710209456e-11
4.122489959839357176e+00 2.405807810884562807e-11
4.142570281124497988e+00 2.339213777526109832e-11
4.162650602409638800e+00 2.273686202065619760e-11
4.182730923694778724e+00 2.209511601643742433e-11
4.202811244979919536e+00 2.147031383368842143e-11
4.222891566265060348e+00 2.086645214601835667e-11
4.242971887550201160e+00 2.028813339359463671e-11
4.263052208835341084e+00 1.974057539208542973e-11
4.283132530120481896e+00 1.922960375026333113e-11
4.303212851405622708e+00 1.876162296787355375e-11
4.323293172690762631e+00 1.834356187953305650e-11
4.343373493975903443e+00 1.798278934899397226e-11
4.363453815261044255e+00 1.768699692509876074e-11
4.383534136546185067e+00 1.746404660448919334e-11
4.403614457831324991e+00 1.732178387688853527e-11
4.423694779116465803e+00 1.726781873118968821e-11
4.443775100401606615e+00 1.730928006300726565e-11
4.463855421686746539e+00 1.745255167382347992e-11
4.483935742971887350e+00 1.770300049022131423e-11
4.504016064257028162e+00 1.806470947638969794e-11
4.524096385542168974e+00 1.854022873558938215e-11
4.544176706827309786e+00 1.913035835207120324e-11
4.564257028112449710e+00 1.983397557079894287e-11
4.584337349397590522e+00 2.064791700913141543e-11
4.604417670682730446e+00 2.156692389657889184e-11
4.624497991967871258e+00 2.258365507175926015e-11
4.644578313253012070e+00 2.368876889882241915e-11
4.664658634538152882e+00 2.487107168038092896e-11
4.684738955823293693e+00 2.611772680530113781e-11
4.704819277108433617e+00 2.741451600210313731e-11
4.724899598393574429e+00 2.874614183966682262e-11
4.744979919678714353e+00 3.009655912824568370e-11
4.765060240963855165e+00 3.144932216064203720e-11
4.785140562248995977e+00 3.278793476995142425e-11
4.805220883534136789e+00 3.409619089009449808e-11
4.825301204819277601e+00 3.535849457463958406e-11
4.845381526104417524e+00 3.656015012146655215e-11
4.865461847389558336e+00 3.768761491980496973e-11
4.885542168674698260e+00 3.872870973930808144e-11
4.905622489959839072e+00 3.967278328803055880e-11
4.925702811244979884e+00 4.051082986695666302e-11
4.945783132530120696e+00 4.123556075622089184e-11
4.965863453815261508e+00 4.184143152061917982e-11
4.985943775100401432e+00 4.232462868218837361e-11
5.006024096385542244e+00 4.268302016054301316e-11
5.026104417670682167e+00 4.291607453127333161e-11
5.046184738955822979e+00 4.302475451805284063e-11
5.066265060240963791e+00 4.301139024521452257e-11
5.086345381526104603e+00 4.287953767158644244e-11
5.106425702811245415e+00 4.263382734411578607e-11
5.126506024096385339e+00 4.227980819273719986e-11
5.146586345381526151e+00 4.182379057589372885e-11
5.166666666666666963e+00 4.127269221559151440e-11
5.186746987951806886e+00 4.063389006386599738e-11
5.206827309236947698e+00 3.991508054595985108e-11
5.226907630522088510e+00 3.912415005094184800e-11
5.246987951807229322e+00 3.826905700432955945e-11
5.267068273092369246e+00 3.735772637109426410e-11
5.287148594377510058e+00 3.639795700850757362e-11
5.307228915662650870e+00 3.539734192024804590e-11
5.327309236947790794e+00 3.436320115661378669e-11
5.347389558232931606e+00 3.330252685879948320e-11
5.367469879518072418e+00 3.222193975442801069e-11
5.387550200803213230e+00 3.112765627207279374e-11
5.407630522088353153e+00 3.002546534878291988e-11
5.427710843373493965e+00 2.892071395063161270e-11
5.447791164658634777e+00 2.781830030595761497e-11
5.467871485943774701e+00 2.672267385828202297e-11
5.487951807228915513e+00 2.563784097519144697e-11
5.508032128514056325e+00 2.456737549553070690e-11
5.528112449799197137e+00 2.351443325531644798e-11
5.548192771084337949e+00 2.248176979873972584e-11
5.568273092369477872e+00 2.147176055097478843e-11
5.588353413654618684e+00 2.048642280144152525e-11
5.608433734939758608e+00 1.952743891753811358e-11
5.628514056224899420e+00 1.859618027816266549e-11
5.648594377510040232e+00 1.769373148265172967e-11
5.668674698795181044e+00 1.682091445360198323e-11
5.688755020080321856e+00 1.597831211127841459e-11
5.708835341365461780e+00 1.516629135299219093e-11
5.728915662650602592e+00 1.438502512306013036e-11
5.748995983935742515e+00 1.363451340778272284e-11
5.769076305220883327e+00 1.291460303521641005e-11
5.789156626506024139e+00 1.222500620114562622e-11
5.809236947791164951e+00 1.156531768021674308e-11
5.829317269076305763e+00 1.093503071426030185e-11
5.849397590361445687e+00 1.033355159797588080e-11
5.869477911646586499e+00 9.760213005064289491e-12
5.889558232931726423e+00 9.214286115404657733e-12
5.909638554216867234e+00 8.694991616044405930e-12
5.929718875502008046e+00 8.201509655893759261e-12
5.949799196787148858e+00 7.732988836603553397e-12
5.969879518072289670e+00 7.288554320860270975e-12
5.989959839357429594e+00 6.867315135077482310e-12
6.010040160642570406e+00 6.468370737082122586e-12
6.030120481927710330e+00 6.090816911757672776e-12
6.050200803212851142e+00 5.733751049508610771e-12
6.070281124497991954e+00 5.396276854529308934e-12
6.090361445783132766e+00 5.077508522714289736e-12
6.110441767068273577e+00 4.776574422996470250e-12
6.130522088353413501e+00 4.492620311138175232e-12
6.150602409638554313e+00 4.224812101577332504e-12
6.170682730923694237e+00 3.972338220777588103e-12
6.190763052208835049e+00 3.734411564484533650e-12
6.210843373493975861e+00 3.510271081134346745e-12
6.230923694779116673e+00 3.299183004146205863e-12
6.251004016064257485e+00 3.100441756709126103e-12
6.271084337349397408e+00 2.913370553713702535e-12
6.291164658634538220e+00 2.737321726481272146e-12
6.311244979919678144e+00 2.571676796748545645e-12
6.331325301204818956e+00 2.415846326860046823e-12
6.351405622489959768e+00 2.269269573234463600e-12
6.371485943775100580e+00 2.131413969872061788e-12
6.391566265060241392e+00 2.001774467963484338e-12
6.411646586345381316e+00 1.879872756574454650e-12
6.431726907630522128e+00 1.765256387966495360e-12
6.451807228915662051e+00 1.657497829432760244e-12
6.471887550200802863e+00 1.556193461648383870e-12
6.491967871485943675e+00 1.460962541526477041e-12
6.512048192771084487e+00 1.371446145498982905e-12
6.532128514056225299e+00 1.287306107066831231e-12
6.552208835341365223e+00 1.208223960437082174e-12
6.572289156626506035e+00 1.133899900128624150e-12
6.592369477911645959e+00 1.064051764615352557e-12
6.612449799196786770e+00 9.984140504097628785e-13
6.632530120481927582e+00 9.367369614861691604e-13
6.652610441767068394e+00 8.787854976080636351e-13
6.672690763052209206e+00 8.243385839602881633e-13
6.692771084337350018e+00 7.731882434891041411e-13
6.712851405622489942e+00 7.251388125141843492e-13
6.732931726907629866e+00 6.800061994848732483e-13
6.753012048192770678e+00 6.376171861959930372e-13
6.773092369477911490e+00 5.978087703418377510e-13
6.793172690763052302e+00 5.604275479565421482e-13
6.813253012048193114e+00 5.253291340503934555e-13
6.833333333333333925e+00 4.923776195911161692e-13
6.853413654618473849e+00 4.614450628839693189e-13
6.873493975903614661e+00 4.324110133627758352e-13
6.893574297188754585e+00 4.051620658053025970e-13
6.913654618473895397e+00 3.795914430211962509e-13
6.933734939759036209e+00 3.555986051210985166e-13
6.953815261044177021e+00 3.330888835543862035e-13
6.973895582329317833e+00 3.119731381946628617e-13
6.993975903614457756e+00 2.921674358516651079e-13
7.014056224899598568e+00 2.735927486918425588e-13
7.034136546184738492e+00 2.561746711544386254e-13
7.054216867469879304e+00 2.398431540529888760e-13
7.074297188755020116e+00 2.245322546520909673e-13
7.094377510040160928e+00 2.101799016046620661e-13
7.114457831325301740e+00 1.967276737249513523e-13
7.134538152610441664e+00 1.841205916566872761e-13
7.154618473895582476e+00 1.723069215737004112e-13
7.174698795180722399e+00 1.612379901221231387e-13
7.194779116465863211e+00 1.508680098788848445e-13
7.214859437751004023e+00 1.411539146610205798e-13
7.234939759036144835e+00 1.320552040744703878e-13
7.255020080321285647e+00 1.235337967400572772e-13
7.275100401606425571e+00 1.155538916784873091e-13
7.295180722891566383e+00 1.080818373759751046e-13
7.315261044176706307e+00 1.010860080878537484e-13
7.335341365461847118e+00 9.453668696965196917e-14
7.355421686746987930e+00 8.840595565403617184e-14
7.375502008032128742e+00 8.266758991800844289e-14
7.395582329317269554e+00 7.729696110821353520e-14
7.415662650602409478e+00 7.227094301338651986e-14
7.435742971887550290e+00 6.756782389216654810e-14
7.455823293172690214e+00 6.316722338194566106e-14
7.475903614457831026e+00 5.905001403031761168e-14
7.495983935742971838e+00 5.519824720526370364e-14
7.516064257028112650e+00 5.159508315358110591e-14
7.536144578313252573e+00 4.822472498941915689e-14
7.556224899598393385e+00 4.507235640622819180e-14
7.576305220883534197e+00 4.212408291607968771e-14
7.596385542168675009e+00 3.936687643026018159e-14
7.616465863453814933e+00 3.678852300437400764e-14
7.636546184738955745e+00 3.437757357996261348e-14
7.656626506024096557e+00 3.212329756293238454e-14
7.676706827309237369e+00 3.001563908691746184e-14
7.696787148594377292e+00 2.804517581714215755e-14
7.716867469879518104e+00 2.620308015741243738e-14
7.736947791164658916e+00 2.448108272959790430e-14
7.757028112449798840e+00 2.287143800138017636e-14
7.777108433734939652e+00 2.136689194417223093e-14
7.797188755020080464e+00 1.996065160896556861e-14
7.817269076305221276e+00 1.864635651345628300e-14
7.837349397590361200e+00 1.741805173915445193e-14
7.857429718875502012e+00 1.627016264229887519e-14
7.877510040160642824e+00 1.519747108729685157e-14
7.897590361445782747e+00 1.419509311609121504e-14
7.917670682730923559e+00 1.325845797133652134e-14
7.937751004016064371e+00 1.238328839554826661e-14
7.957831325301205183e+00 1.156558213247898917e-14
7.977911646586345107e+00 1.080159456088456120e-14
7.997991967871485919e+00 1.008782239457356336e-14
