# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 5.366001969220320277e-11
3.520080321285140368e+00 5.212207609529228547e-11
3.540160642570281180e+00 5.062609605473508301e-11
3.560240963855421548e+00 4.917100734291197153e-11
3.580321285140562360e+00 4.775576260635711076e-11
3.600401606425702727e+00 4.637933886076793056e-11
3.620481927710843539e+00 4.504073699535669198e-11
3.640562248995983907e+00 4.373898128630358122e-11
3.660642570281124719e+00 4.247311891907990032e-11
3.680722891566265087e+00 4.124221951942345089e-11
3.700803212851405455e+00 4.004537469275616180e-11
3.720883534136546267e+00 3.888169757184630366e-11
3.740963855421686635e+00 3.775032237252570407e-11
3.761044176706827447e+00 3.665040395728229745e-11
3.781124497991967814e+00 3.558111740655713207e-11
3.801204819277108626e+00 3.454165759758291836e-11
3.821285140562248994e+00 3.353123879060970727e-11
3.841365461847389362e+00 3.254909422236984011e-11
3.861445783132530174e+00 3.159447570664271877e-11
3.881526104417670542e+00 3.066665324178547073e-11
3.901606425702811354e+00 2.976491462510222636e-11
3.921686746987951722e+00 2.888856507393136943e-11
3.941767068273092534e+00 2.803692685333411864e-11
3.961847389558232901e+00 2.720933891027489368e-11
3.981927710843373269e+00 2.640515651418695019e-11
4.002008032128514081e+00 2.562375090382267127e-11
4.022088353413654893e+00 2.486450894029122488e-11
4.042168674698794817e+00 2.412683276619046800e-11
4.062248995983935629e+00 2.341013947074358418e-11
4.082329317269076441e+00 2.271386076085438268e-11
4.102409638554217253e+00 2.203744263799758767e-11
4.122489959839357176e+00 2.138034508086412677e-11
4.142570281124497988e+00 2.074204173368294652e-11
4.162650602409638800e+00 2.012201960014444005e-11
4.182730923694778724e+00 1.951977874285113108e-11
4.202811244979919536e+00 1.893483198822445749e-11
4.222891566265060348e+00 1.836670463679762181e-11
4.242971887550201160e+00 1.781493417882577525e-11
4.263052208835341084e+00 1.727907001514682752e-11
4.283132530120481896e+00 1.675867318322647551e-11
4.303212851405622708e+00 1.625331608832325051e-11
4.323293172690762631e+00 1.576258223970910916e-11
4.343373493975903443e+00 1.528606599188265070e-11
4.363453815261044255e+00 1.482337229071288318e-11
4.383534136546185067e+00 1.437411642445129017e-11
4.403614457831324991e+00 1.393792377955129172e-11
4.423694779116465803e+00 1.351442960123417122e-11
4.443775100401606615e+00 1.310327875874111598e-11
4.463855421686746539e+00 1.270412551521126878e-11
4.483935742971887350e+00 1.231663330212570643e-11
4.504016064257028162e+00 1.194047449825826346e-11
4.524096385542168974e+00 1.157533021307310594e-11
4.544176706827309786e+00 1.122089007451021730e-11
4.564257028112449710e+00 1.087685202109937489e-11
4.584337349397590522e+00 1.054292209834354505e-11
4.604417670682730446e+00 1.021881425931283250e-11
4.624497991967871258e+00 9.904250169389700436e-12
4.644578313253012070e+00 9.598959015106936401e-12
4.664658634538152882e+00 9.302677317019240049e-12
4.684738955823293693e+00 9.015148746549751407e-12
4.704819277108433617e+00 8.736123946752854438e-12
4.724899598393574429e+00 8.465360356934401678e-12
4.744979919678714353e+00 8.202622041071100268e-12
4.765060240963855165e+00 7.947679519970150213e-12
4.785140562248995977e+00 7.700309607111159547e-12
