# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 4.211804961875467655e-12
3.520080321285140368e+00 4.067596344388960536e-12
3.540160642570281180e+00 3.930006993547939945e-12
3.560240963855421548e+00 3.798727734172682361e-12
3.580321285140562360e+00 3.673443909092950476e-12
3.600401606425702727e+00 3.553837181505981622e-12
3.620481927710843539e+00 3.439587678491850624e-12
3.640562248995983907e+00 3.330376375019558823e-12
3.660642570281124719e+00 3.225887612134794443e-12
3.680722891566265087e+00 3.125811643848747034e-12
3.700803212851405455e+00 3.029847113705772867e-12
3.720883534136546267e+00 2.937703372991775738e-12
3.740963855421686635e+00 2.849102566812595700e-12
3.761044176706827447e+00 2.763781430558366321e-12
3.781124497991967814e+00 2.681492756384496309e-12
3.801204819277108626e+00 2.602006506233810140e-12
3.821285140562248994e+00 2.525110563737951975e-12
3.841365461847389362e+00 2.450611131419258039e-12
3.861445783132530174e+00 2.378332791530214198e-12
3.881526104417670542e+00 2.308118258377609981e-12
3.901606425702811354e+00 2.239827857019078378e-12
3.921686746987951722e+00 2.173338767870688432e-12
3.941767068273092534e+00 2.108544079216231418e-12
3.961847389558232901e+00 2.045351690132673278e-12
3.981927710843373269e+00 1.983683105266740605e-12
4.002008032128514081e+00 1.923472160581597027e-12
4.022088353413654893e+00 1.864663716052855413e-12
4.042168674698794817e+00 1.807212347822741149e-12
4.062248995983935629e+00 1.751081069165870968e-12
4.082329317269076441e+00 1.696240107692780613e-12
4.102409638554217253e+00 1.642665766847867372e-12
4.122489959839357176e+00 1.590339404834440251e-12
4.142570281124497988e+00 1.539246576121280046e-12
4.162650602409638800e+00 1.489376402613060327e-12
4.182730923694778724e+00 1.440721276325328602e-12
4.202811244979919536e+00 1.393277044941897395e-12
4.222891566265060348e+00 1.347043895548706170e-12
4.242971887550201160e+00 1.302028225777773577e-12
4.263052208835341084e+00 1.258245865815477068e-12
4.283132530120481896e+00 1.215727073431638133e-12
4.303212851405622708e+00 1.174523746223150345e-12
4.323293172690762631e+00 1.134719256666052875e-12
4.343373493975903443e+00 1.096441193900452969e-12
4.363453815261044255e+00 1.059877076211343051e-12
4.383534136546185067e+00 1.025292777791507328e-12
4.403614457831324991e+00 9.930530081954429859e-13
4.423694779116465803e+00 9.636427281868095175e-13
4.443775100401606615e+00 9.376879345022480200e-13
