# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 6.518188885983381836e-11
3.520080321285140368e+00 6.338802042178029376e-11
3.540160642570281180e+00 6.165311129253327119e-11
3.560240963855421548e+00 5.997113953923122743e-11
3.580321285140562360e+00 5.833646525374315606e-11
3.600401606425702727e+00 5.674390598108892131e-11
3.620481927710843539e+00 5.518879765088918152e-11
3.640562248995983907e+00 5.366704064292923091e-11
3.660642570281124719e+00 5.217513105455282132e-11
3.680722891566265087e+00 5.071017753353545389e-11
3.700803212851405455e+00 4.926990422099855289e-11
3.720883534136546267e+00 4.785264045250684740e-11
3.740963855421686635e+00 4.645729793459582863e-11
3.761044176706827447e+00 4.508333618928963418e-11
3.781124497991967814e+00 4.373071717245915164e-11
3.801204819277108626e+00 4.239985014098711376e-11
3.821285140562248994e+00 4.109152807010207739e-11
3.841365461847389362e+00 3.980685719129684289e-11
3.861445783132530174e+00 3.854718150526787731e-11
3.881526104417670542e+00 3.731400438748762303e-11
3.901606425702811354e+00 3.610890960845436994e-11
3.921686746987951722e+00 3.493348420237087160e-11
3.941767068273092534e+00 3.378924561199668880e-11
3.961847389558232901e+00 3.267757540114159968e-11
3.981927710843373269e+00 3.159966156103203630e-11
4.002008032128514081e+00 3.055645105726114058e-11
4.022088353413654893e+00 2.954861379604199753e-11
4.042168674698794817e+00 2.857651866568371107e-11
4.062248995983935629e+00 2.764022176925851084e-11
4.082329317269076441e+00 2.673946644528542284e-11
4.102409638554217253e+00 2.587369421007772254e-11
4.122489959839357176e+00 2.504206537837145156e-11
4.142570281124497988e+00 2.424348785190770195e-11
4.162650602409638800e+00 2.347665242592272151e-11
4.182730923694778724e+00 2.274007296092486086e-11
4.202811244979919536e+00 2.203212990359985659e-11
4.222891566265060348e+00 2.135111590832147943e-11
4.242971887550201160e+00 2.069528268926038876e-11
4.263052208835341084e+00 2.006288868667480858e-11
4.283132530120481896e+00 1.945224760605935958e-11
4.303212851405622708e+00 1.886177831443453015e-11
4.323293172690762631e+00 1.829005687037903016e-11
4.343373493975903443e+00 1.773587153678587183e-11
4.363453815261044255e+00 1.719828140313923050e-11
4.383534136546185067e+00 1.667667868261994623e-11
4.403614457831324991e+00 1.617085385083841955e-11
4.423694779116465803e+00 1.568106161879427694e-11
4.443775100401606615e+00 1.520808440591938613e-11
4.463855421686746539e+00 1.475328867561628195e-11
4.483935742971887350e+00 1.431866842302511428e-11
4.504016064257028162e+00 1.390686947158204144e-11
4.524096385542168974e+00 1.352118821683544851e-11
4.544176706827309786e+00 1.316553916322032364e-11
4.564257028112449710e+00 1.284438705354074204e-11
4.584337349397590522e+00 1.256264151448117263e-11
4.604417670682730446e+00 1.232551476407394980e-11
4.624497991967871258e+00 1.213834580536223818e-11
4.644578313253012070e+00 1.200639737983064866e-11
4.664658634538152882e+00 1.193463448561760812e-11
4.684738955823293693e+00 1.192749522251464728e-11
4.704819277108433617e+00 1.198866591441439372e-11
4.724899598393574429e+00 1.212087276894818005e-11
4.744979919678714353e+00 1.232570174254193732e-11
4.765060240963855165e+00 1.260345685174212547e-11
4.785140562248995977e+00 1.295306504452589140e-11
4.805220883534136789e+00 1.337203310513586314e-11
4.825301204819277601e+00 1.385645912686652498e-11
4.845381526104417524e+00 1.440109806845114142e-11
4.865461847389558336e+00 1.499947801713328770e-11
4.885542168674698260e+00 1.564406119402313759e-11
4.905622489959839072e+00 1.632644159825956773e-11
4.925702811244979884e+00 1.703756959938462553e-11
4.945783132530120696e+00 1.776799281491860150e-11
4.965863453815261508e+00 1.850810227517733974e-11
4.985943775100401432e+00 1.924837316480667605e-11
5.006024096385542244e+00 1.997959029027615047e-11
5.026104417670682167e+00 2.069304977358979482e-11
5.046184738955822979e+00 2.138073020782073706e-11
5.066265060240963791e+00 2.203542850378175332e-11
5.086345381526104603e+00 2.265085777253860030e-11
5.106425702811245415e+00 2.322170668770083376e-11
5.126506024096385339e+00 2.374366172540062685e-11
5.146586345381526151e+00 2.421339537759862582e-11
5.166666666666666963e+00 2.462852479063446208e-11
5.186746987951806886e+00 2.498754624152279413e-11
5.206827309236947698e+00 2.528975140820045468e-11
5.226907630522088510e+00 2.553513152757180119e-11
5.246987951807229322e+00 2.572427530564638861e-11
5.267068273092369246e+00 2.585826590809110825e-11
5.287148594377510058e+00 2.593858159232272514e-11
5.307228915662650870e+00 2.596700362555595907e-11
5.327309236947790794e+00 2.594553414779557698e-11
5.347389558232931606e+00 2.587632565821752137e-11
5.367469879518072418e+00 2.576162288944254188e-11
5.387550200803213230e+00 2.560371703382373288e-11
5.407630522088353153e+00 2.540491163012331273e-11
5.427710843373493965e+00 2.516749892347540125e-11
5.447791164658634777e+00 2.489374517815436791e-11
5.467871485943774701e+00 2.458588324189519641e-11
5.487951807228915513e+00 2.424611061442359753e-11
5.508032128514056325e+00 2.387659133808239948e-11
5.528112449799197137e+00 2.347946017896755111e-11
5.548192771084337949e+00 2.305682777653486992e-11
5.568273092369477872e+00 2.261078568355994483e-11
5.588353413654618684e+00 2.214341047496508305e-11
5.608433734939758608e+00 2.165676635550238477e-11
5.628514056224899420e+00 2.115290592888767038e-11
5.648594377510040232e+00 2.063386899513473511e-11
5.668674698795181044e+00 2.010167941276621493e-11
5.688755020080321856e+00 1.955834019582242747e-11
5.708835341365461780e+00 1.900582711238830190e-11
5.728915662650602592e+00 1.844608111401681572e-11
5.748995983935742515e+00 1.788099995768106125e-11
5.769076305220883327e+00 1.731242938835069551e-11
5.789156626506024139e+00 1.674215423597467746e-11
5.809236947791164951e+00 1.617188975057898879e-11
5.829317269076305763e+00 1.560327345810448702e-11
5.849397590361445687e+00 1.503785777177878970e-11
5.869477911646586499e+00 1.447710354290617319e-11
5.889558232931726423e+00 1.392237468398346463e-11
5.909638554216867234e+00 1.337493394835835799e-11
5.929718875502008046e+00 1.283593990597163159e-11
5.949799196787148858e+00 1.230644511522395093e-11
5.969879518072289670e+00 1.178739545735992294e-11
5.989959839357429594e+00 1.127963057222898817e-11
6.010040160642570406e+00 1.078388531280910759e-11
6.030120481927710330e+00 1.030079212016157199e-11
6.050200803212851142e+00 9.830884210044536383e-12
6.070281124497991954e+00 9.374599456662742476e-12
6.090361445783132766e+00 8.932284857316789712e-12
6.110441767068273577e+00 8.504201463372426432e-12
6.130522088353413501e+00 8.090529667340235709e-12
6.150602409638554313e+00 7.691374742321720286e-12
6.170682730923694237e+00 7.306772538074163739e-12
6.190763052208835049e+00 6.936695246970103859e-12
6.210843373493975861e+00 6.581057162746454393e-12
6.230923694779116673e+00 6.239720364784034493e-12
6.251004016064257485e+00 5.912500270434904358e-12
6.271084337349397408e+00 5.599171007382906886e-12
6.291164658634538220e+00 5.299470567003162932e-12
6.311244979919678144e+00 5.013105708048227621e-12
6.331325301204818956e+00 4.739756587644336595e-12
6.351405622489959768e+00 4.479081103481946272e-12
6.371485943775100580e+00 4.230718937207656846e-12
6.391566265060241392e+00 3.994295294376159935e-12
6.411646586345381316e+00 3.769424340921643496e-12
6.431726907630522128e+00 3.555712339996168292e-12
6.451807228915662051e+00 3.352760496244536839e-12
6.471887550200802863e+00 3.160167517193973338e-12
6.491967871485943675e+00 2.977531903491004322e-12
6.512048192771084487e+00 2.804453981274254311e-12
6.532128514056225299e+00 2.640537691090294905e-12
6.552208835341365223e+00 2.485392148495472167e-12
6.572289156626506035e+00 2.338632991894019977e-12
6.592369477911645959e+00 2.199883533291826207e-12
6.612449799196786770e+00 2.068775727541678789e-12
6.632530120481927582e+00 1.944950975362444316e-12
6.652610441767068394e+00 1.828060774967912249e-12
6.672690763052209206e+00 1.717767236575528004e-12
6.692771084337350018e+00 1.613743473409319903e-12
6.712851405622489942e+00 1.515673882090868232e-12
6.732931726907629866e+00 1.423254324548763375e-12
6.753012048192770678e+00 1.336192222789217698e-12
6.773092369477911490e+00 1.254206577073508350e-12
6.793172690763052302e+00 1.177027917254664141e-12
6.813253012048193114e+00 1.104398196246487419e-12
6.833333333333333925e+00 1.036070633840579639e-12
6.853413654618473849e+00 9.718095183580731025e-13
6.873493975903614661e+00 9.113899729267341994e-13
6.893574297188754585e+00 8.545976925144970011e-13
6.913654618473895397e+00 8.012286572292293153e-13
6.933734939759036209e+00 7.510888268132193955e-13
6.953815261044177021e+00 7.039938207194059622e-13
6.973895582329317833e+00 6.597685876550343842e-13
6.993975903614457756e+00 6.182470680160390077e-13
7.014056224899598568e+00 5.792718522111177669e-13
7.034136546184738492e+00 5.426938374866362437e-13
7.054216867469879304e+00 5.083718855104081431e-13
7.074297188755020116e+00 4.761724826524121262e-13
