# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.710537618699093894e-10
3.520080321285140368e+00 1.668036867411775620e-10
3.540160642570281180e+00 1.626234231499628511e-10
3.560240963855421548e+00 1.585185437953929450e-10
3.580321285140562360e+00 1.544922883646426467e-10
3.600401606425702727e+00 1.505458232870222752e-10
3.620481927710843539e+00 1.466785377297275499e-10
3.640562248995983907e+00 1.428883606411336247e-10
3.660642570281124719e+00 1.391720848251826971e-10
3.680722891566265087e+00 1.355256857419116360e-10
3.700803212851405455e+00 1.319446248081630250e-10
3.720883534136546267e+00 1.284241292491766887e-10
3.740963855421686635e+00 1.249594428612871321e-10
3.761044176706827447e+00 1.215460442364758674e-10
3.781124497991967814e+00 1.181798309395793275e-10
3.801204819277108626e+00 1.148572697152354928e-10
3.821285140562248994e+00 1.115755139666558189e-10
3.841365461847389362e+00 1.083324904666297009e-10
3.861445783132530174e+00 1.051269575531893237e-10
3.881526104417670542e+00 1.019585369932654490e-10
3.901606425702811354e+00 9.882772137099045854e-11
3.921686746987951722e+00 9.573585840259243316e-11
3.941767068273092534e+00 9.268511313567493468e-11
3.961847389558232901e+00 8.967840868550456108e-11
3.981927710843373269e+00 8.671934609440779964e-11
4.002008032128514081e+00 8.381210412894877753e-11
4.022088353413654893e+00 8.096132035833603419e-11
4.042168674698794817e+00 7.817195564026789331e-11
4.062248995983935629e+00 7.544914508742174566e-11
4.082329317269076441e+00 7.279803958014266590e-11
4.102409638554217253e+00 7.022364279898208989e-11
4.122489959839357176e+00 6.773064945375212364e-11
4.142570281124497988e+00 6.532329078911995132e-11
4.162650602409638800e+00 6.300519349522942166e-11
4.182730923694778724e+00 6.077925783609169999e-11
4.202811244979919536e+00 5.864756016458416461e-11
4.222891566265060348e+00 5.661128409419585481e-11
4.242971887550201160e+00 5.467068354047335349e-11
4.263052208835341084e+00 5.282507972985831200e-11
4.283132530120481896e+00 5.107289318442963109e-11
4.303212851405622708e+00 4.941171067799094300e-11
4.323293172690762631e+00 4.783838622642777950e-11
4.343373493975903443e+00 4.634917428102966456e-11
4.363453815261044255e+00 4.493989235954276875e-11
4.383534136546185067e+00 4.360610928511740991e-11
4.403614457831324991e+00 4.234335393478773330e-11
4.423694779116465803e+00 4.114733790338227633e-11
4.443775100401606615e+00 4.001418381838344694e-11
4.463855421686746539e+00 3.894064933648269760e-11
4.483935742971887350e+00 3.792433533411170228e-11
4.504016064257028162e+00 3.696386574577978072e-11
4.524096385542168974e+00 3.605902618854261421e-11
4.544176706827309786e+00 3.521084917817950485e-11
4.564257028112449710e+00 3.442163553879582385e-11
4.584337349397590522e+00 3.369490454674953354e-11
4.604417670682730446e+00 3.303526929621130848e-11
4.624497991967871258e+00 3.244823844799303789e-11
4.644578313253012070e+00 3.193995053284377058e-11
4.664658634538152882e+00 3.151685186772906062e-11
4.684738955823293693e+00 3.118533344497079068e-11
4.704819277108433617e+00 3.095134545834914103e-11
4.724899598393574429e+00 3.082001012849387695e-11
4.744979919678714353e+00 3.079525400930101910e-11
4.765060240963855165e+00 3.087947997480821889e-11
4.785140562248995977e+00 3.107329672265282151e-11
4.805220883534136789e+00 3.137532012651558039e-11
4.825301204819277601e+00 3.178205645039644767e-11
4.845381526104417524e+00 3.228787266897051871e-11
4.865461847389558336e+00 3.288505428848500648e-11
4.885542168674698260e+00 3.356394646548126693e-11
4.905622489959839072e+00 3.431317015044689581e-11
4.925702811244979884e+00 3.511990164128647011e-11
4.945783132530120696e+00 3.597020144166939092e-11
4.965863453815261508e+00 3.684937673532340991e-11
4.985943775100401432e+00 3.774236110290300305e-11
5.006024096385542244e+00 3.863409527058665502e-11
