# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 7.098226035300999827e-11
3.520080321285140368e+00 6.909587090859973499e-11
3.540160642570281180e+00 6.730386438468609276e-11
3.560240963855421548e+00 6.561090331985156704e-11
3.580321285140562360e+00 6.402170579797010992e-11
3.600401606425702727e+00 6.254084641813737802e-11
3.620481927710843539e+00 6.117254903776246075e-11
3.640562248995983907e+00 5.992048261994046724e-11
3.660642570281124719e+00 5.878757123303301022e-11
3.680722891566265087e+00 5.777582797807299480e-11
3.700803212851405455e+00 5.688622054083859448e-11
3.720883534136546267e+00 5.611857345387095124e-11
3.740963855421686635e+00 5.547150933039623046e-11
3.761044176706827447e+00 5.494242861773077736e-11
3.781124497991967814e+00 5.452752508876395418e-11
3.801204819277108626e+00 5.422183254565714755e-11
3.821285140562248994e+00 5.401929715360640511e-11
3.841365461847389362e+00 5.391286946060938457e-11
3.861445783132530174e+00 5.389461041321076559e-11
3.881526104417670542e+00 5.395580640874752831e-11
3.901606425702811354e+00 5.408708946080762118e-11
3.921686746987951722e+00 5.427855972415765260e-11
3.941767068273092534e+00 5.451990878014736338e-11
3.961847389558232901e+00 5.480054311685701115e-11
3.981927710843373269e+00 5.510970809138525679e-11
4.002008032128514081e+00 5.543661331949758194e-11
4.022088353413654893e+00 5.577056091410428482e-11
4.042168674698794817e+00 5.610107831030299106e-11
4.062248995983935629e+00 5.641805757793040832e-11
4.082329317269076441e+00 5.671190310721666666e-11
4.102409638554217253e+00 5.697368929419266718e-11
4.122489959839357176e+00 5.719532925320954193e-11
4.142570281124497988e+00 5.736975453931226444e-11
4.162650602409638800e+00 5.749110429578677587e-11
4.182730923694778724e+00 5.755492014227319217e-11
4.202811244979919536e+00 5.755834057888228377e-11
4.222891566265060348e+00 5.750028591426817612e-11
4.242971887550201160e+00 5.738162205643760822e-11
4.263052208835341084e+00 5.720528933939465771e-11
4.283132530120481896e+00 5.697638132339299887e-11
4.303212851405622708e+00 5.670215857856108845e-11
4.323293172690762631e+00 5.639198409620005196e-11
4.343373493975903443e+00 5.605717024511126370e-11
4.363453815261044255e+00 5.571073196750359893e-11
4.383534136546185067e+00 5.536704684779922604e-11
4.403614457831324991e+00 5.504142927305282658e-11
4.423694779116465803e+00 5.474963251170315433e-11
4.443775100401606615e+00 5.450729851477234284e-11
4.463855421686746539e+00 5.432937999110729030e-11
4.483935742971887350e+00 5.422956235368047950e-11
4.504016064257028162e+00 5.421971418542566346e-11
4.524096385542168974e+00 5.430939384553323285e-11
4.544176706827309786e+00 5.450543685118984301e-11
4.564257028112449710e+00 5.481164402553464705e-11
4.584337349397590522e+00 5.522858453484367134e-11
4.604417670682730446e+00 5.575352136031699088e-11
4.624497991967871258e+00 5.638045999683827403e-11
4.644578313253012070e+00 5.710031474484257834e-11
4.664658634538152882e+00 5.790118128889718944e-11
4.684738955823293693e+00 5.876869966030249413e-11
4.704819277108433617e+00 5.968648836448813297e-11
4.724899598393574429e+00 6.063662850080245469e-11
4.744979919678714353e+00 6.160017608643299146e-11
4.765060240963855165e+00 6.255768140041952362e-11
4.785140562248995977e+00 6.348969580268530369e-11
4.805220883534136789e+00 6.437724892794408680e-11
4.825301204819277601e+00 6.520228215662091433e-11
4.845381526104417524e+00 6.594802757692005934e-11
4.865461847389558336e+00 6.659932504409936313e-11
4.885542168674698260e+00 6.714287321556314925e-11
4.905622489959839072e+00 6.756741343311651703e-11
4.925702811244979884e+00 6.786384791950623743e-11
4.945783132530120696e+00 6.802529588242848518e-11
4.965863453815261508e+00 6.804709274504403518e-11
4.985943775100401432e+00 6.792673885496429976e-11
5.006024096385542244e+00 6.766380470191770638e-11
5.026104417670682167e+00 6.725979995888410537e-11
5.046184738955822979e+00 6.671801362706079412e-11
5.066265060240963791e+00 6.604333229079870134e-11
5.086345381526104603e+00 6.524204305011735695e-11
5.106425702811245415e+00 6.432162716079755811e-11
5.126506024096385339e+00 6.329054982605596578e-11
5.146586345381526151e+00 6.215805098394293904e-11
5.166666666666666963e+00 6.093394134007502690e-11
5.186746987951806886e+00 5.962840731295407493e-11
5.206827309236947698e+00 5.825182798766407564e-11
5.226907630522088510e+00 5.681460660847604102e-11
5.246987951807229322e+00 5.532701857793875284e-11
5.267068273092369246e+00 5.379907736940204784e-11
5.287148594377510058e+00 5.224041920704170617e-11
5.307228915662650870e+00 5.066020683314232172e-11
5.327309236947790794e+00 4.906705218137438332e-11
5.347389558232931606e+00 4.746895732342732628e-11
5.367469879518072418e+00 4.587327266994740190e-11
5.387550200803213230e+00 4.428667109719069813e-11
5.407630522088353153e+00 4.271513644492150287e-11
5.427710843373493965e+00 4.116396468970226145e-11
5.447791164658634777e+00 3.963777603588393555e-11
5.467871485943774701e+00 3.814053617450629634e-11
5.487951807228915513e+00 3.667558502481161243e-11
5.508032128514056325e+00 3.524567137939558041e-11
5.528112449799197137e+00 3.385299200748298588e-11
5.548192771084337949e+00 3.249923391821638923e-11
5.568273092369477872e+00 3.118561863640425930e-11
5.588353413654618684e+00 2.991294748904333550e-11
5.608433734939758608e+00 2.868164703721505181e-11
5.628514056224899420e+00 2.749181391240051053e-11
5.648594377510040232e+00 2.634325842871081551e-11
5.668674698795181044e+00 2.523554644424911506e-11
5.688755020080321856e+00 2.416803903786868822e-11
5.708835341365461780e+00 2.313992965419637139e-11
5.728915662650602592e+00 2.215027845191510721e-11
5.748995983935742515e+00 2.119804366927959785e-11
5.769076305220883327e+00 2.028210989716584319e-11
5.789156626506024139e+00 1.940131322319207086e-11
5.809236947791164951e+00 1.855446327921804472e-11
5.829317269076305763e+00 1.774036228669355328e-11
5.849397590361445687e+00 1.695782124722021073e-11
5.869477911646586499e+00 1.620567346655365143e-11
5.889558232931726423e+00 1.548278562673531103e-11
5.909638554216867234e+00 1.478806663166049958e-11
5.929718875502008046e+00 1.412047444613788206e-11
5.949799196787148858e+00 1.347902112905829460e-11
5.969879518072289670e+00 1.286277623114318010e-11
5.989959839357429594e+00 1.227086869185843671e-11
6.010040160642570406e+00 1.170248733438018717e-11
6.030120481927710330e+00 1.115688002803942632e-11
6.050200803212851142e+00 1.063335156973465918e-11
6.070281124497991954e+00 1.013126033306493623e-11
6.090361445783132766e+00 9.650013747840627379e-12
6.110441767068273577e+00 9.189062702121877779e-12
6.130522088353413501e+00 8.747895000559568556e-12
6.150602409638554313e+00 8.326028061216034247e-12
6.170682730923694237e+00 7.923001081727933168e-12
6.190763052208835049e+00 7.538366947922511430e-12
6.210843373493975861e+00 7.171684187785658006e-12
6.230923694779116673e+00 6.822509286430470179e-12
6.251004016064257485e+00 6.490389670841624512e-12
6.271084337349397408e+00 6.174857646283279660e-12
6.291164658634538220e+00 5.875425521095864199e-12
6.311244979919678144e+00 5.591582096697932043e-12
6.331325301204818956e+00 5.322790629752535653e-12
6.351405622489959768e+00 5.068488299117338280e-12
6.371485943775100580e+00 4.828087136881210582e-12
6.391566265060241392e+00 4.600976315514250940e-12
6.411646586345381316e+00 4.386525626020888489e-12
6.431726907630522128e+00 4.184089937907709328e-12
6.451807228915662051e+00 3.993014402386972518e-12
6.471887550200802863e+00 3.812640145902897569e-12
6.491967871485943675e+00 3.642310201047231427e-12
6.512048192771084487e+00 3.481375434584963870e-12
6.532128514056225299e+00 3.329200255376178132e-12
6.552208835341365223e+00 3.185167915830221325e-12
6.572289156626506035e+00 3.048685256432459459e-12
6.592369477911645959e+00 2.919186781216275188e-12
6.612449799196786770e+00 2.796137990457311133e-12
6.632530120481927582e+00 2.679037933369544176e-12
6.652610441767068394e+00 2.567420976649592554e-12
6.672690763052209206e+00 2.460857813272097600e-12
6.692771084337350018e+00 2.358955759346330551e-12
6.712851405622489942e+00 2.261358404856059363e-12
6.732931726907629866e+00 2.167744696802670361e-12
6.753012048192770678e+00 2.077827540995272312e-12
