# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 7.042021231749622766e-12
3.520080321285140368e+00 6.801712436493260103e-12
3.540160642570281180e+00 6.569312176115143720e-12
3.560240963855421548e+00 6.344603564686354967e-12
3.580321285140562360e+00 6.127406129277328556e-12
3.600401606425702727e+00 5.917569331893328024e-12
3.620481927710843539e+00 5.714965990567121026e-12
3.640562248995983907e+00 5.519485697465522928e-12
3.660642570281124719e+00 5.331028360267006164e-12
3.680722891566265087e+00 5.149498014455334085e-12
3.700803212851405455e+00 4.974797065515078672e-12
3.720883534136546267e+00 4.806821119514828188e-12
3.740963855421686635e+00 4.645454547809183433e-12
3.761044176706827447e+00 4.490566907507258339e-12
3.781124497991967814e+00 4.342010306004635096e-12
3.801204819277108626e+00 4.199617758138406839e-12
3.821285140562248994e+00 4.063202541733970155e-12
3.841365461847389362e+00 3.932558514887203168e-12
3.861445783132530174e+00 3.807461319476717920e-12
3.881526104417670542e+00 3.687670362936306657e-12
3.901606425702811354e+00 3.572931446601062187e-12
3.921686746987951722e+00 3.462979896001263713e-12
3.941767068273092534e+00 3.357544048260241833e-12
3.961847389558232901e+00 3.256348966430682057e-12
3.981927710843373269e+00 3.159120282825326232e-12
4.002008032128514081e+00 3.065588126251595145e-12
4.022088353413654893e+00 2.975491164533870863e-12
4.042168674698794817e+00 2.888580895452918613e-12
4.062248995983935629e+00 2.804626444603763587e-12
4.082329317269076441e+00 2.723420270309143442e-12
4.102409638554217253e+00 2.644785318265219660e-12
4.122489959839357176e+00 2.568584287438647673e-12
4.142570281124497988e+00 2.494731730812729430e-12
4.162650602409638800e+00 2.423209681920696609e-12
4.182730923694778724e+00 2.354087334310394584e-12
4.202811244979919536e+00 2.287544980069594295e-12
4.222891566265060348e+00 2.223901928891452356e-12
4.242971887550201160e+00 2.163647501910802710e-12
4.263052208835341084e+00 2.107473476996083039e-12
4.283132530120481896e+00 2.056305635946026973e-12
4.303212851405622708e+00 2.011331431582085441e-12
4.323293172690762631e+00 1.974020363208812512e-12
4.343373493975903443e+00 1.946133520511608059e-12
4.363453815261044255e+00 1.929718997893786326e-12
4.383534136546185067e+00 1.927090519083519503e-12
4.403614457831324991e+00 1.940787619114334176e-12
4.423694779116465803e+00 1.973517028951038046e-12
4.443775100401606615e+00 2.028076374949236137e-12
4.463855421686746539e+00 2.107262791005166580e-12
4.483935742971887350e+00 2.213770388134712475e-12
4.504016064257028162e+00 2.350081590623129582e-12
4.524096385542168974e+00 2.518358018892516244e-12
4.544176706827309786e+00 2.720336812225409031e-12
4.564257028112449710e+00 2.957238027444904057e-12
4.584337349397590522e+00 3.229688061763501724e-12
4.604417670682730446e+00 3.537663011386974177e-12
4.624497991967871258e+00 3.880454603897584088e-12
4.644578313253012070e+00 4.256659957667349679e-12
4.664658634538152882e+00 4.664195049494921244e-12
4.684738955823293693e+00 5.100330520957023730e-12
4.704819277108433617e+00 5.561747408269210199e-12
4.724899598393574429e+00 6.044609593220623388e-12
4.744979919678714353e+00 6.544649266505346624e-12
4.765060240963855165e+00 7.057261464103841610e-12
4.785140562248995977e+00 7.577603754565986178e-12
4.805220883534136789e+00 8.100697377181098475e-12
4.825301204819277601e+00 8.621526507185796254e-12
4.845381526104417524e+00 9.135132802037232831e-12
4.865461847389558336e+00 9.636702913793671289e-12
4.885542168674698260e+00 1.012164719549530100e-11
4.905622489959839072e+00 1.058566835195418948e-11
4.925702811244979884e+00 1.102481926490296357e-11
4.945783132530120696e+00 1.143554964523085249e-11
4.965863453815261508e+00 1.181474152469853010e-11
4.985943775100401432e+00 1.215973389542298809e-11
5.006024096385542244e+00 1.246833704082582189e-11
5.026104417670682167e+00 1.273883728223546303e-11
5.046184738955822979e+00 1.296999299755595015e-11
5.066265060240963791e+00 1.316102285909843141e-11
5.086345381526104603e+00 1.331158729308853832e-11
5.106425702811245415e+00 1.342176418901914299e-11
5.126506024096385339e+00 1.349201988759885458e-11
5.146586345381526151e+00 1.352317645548464742e-11
5.166666666666666963e+00 1.351637621661991404e-11
5.186746987951806886e+00 1.347304445674106262e-11
5.206827309236947698e+00 1.339485115211570412e-11
5.226907630522088510e+00 1.328367249833322007e-11
5.246987951807229322e+00 1.314155293240825698e-11
5.267068273092369246e+00 1.297066825395000826e-11
5.287148594377510058e+00 1.277329036100352263e-11
5.307228915662650870e+00 1.255175402559008190e-11
5.327309236947790794e+00 1.230842604501586687e-11
5.347389558232931606e+00 1.204567701953062315e-11
5.367469879518072418e+00 1.176585592649430963e-11
5.387550200803213230e+00 1.147126758715364444e-11
5.407630522088353153e+00 1.116415305543515984e-11
5.427710843373493965e+00 1.084667289950285186e-11
5.447791164658634777e+00 1.052089329657733009e-11
5.467871485943774701e+00 1.018877481975534410e-11
5.487951807228915513e+00 9.852163762141349398e-12
5.508032128514056325e+00 9.512785818129054446e-12
5.528112449799197137e+00 9.172241923606644957e-12
5.548192771084337949e+00 8.832006045535432986e-12
5.568273092369477872e+00 8.493424706012660216e-12
5.588353413654618684e+00 8.157718025775687983e-12
5.608433734939758608e+00 7.825982076325062690e-12
5.628514056224899420e+00 7.499192337639353491e-12
5.648594377510040232e+00 7.178208069069303290e-12
5.668674698795181044e+00 6.863777413724992471e-12
5.688755020080321856e+00 6.556543070873927793e-12
5.708835341365461780e+00 6.257048385983265553e-12
5.728915662650602592e+00 5.965743723580801328e-12
5.748995983935742515e+00 5.682993003665999767e-12
5.769076305220883327e+00 5.409080297637192085e-12
5.789156626506024139e+00 5.144216394349058704e-12
5.809236947791164951e+00 4.888545260769526342e-12
5.829317269076305763e+00 4.642150334622860406e-12
5.849397590361445687e+00 4.405060598287072283e-12
5.869477911646586499e+00 4.177256394004330627e-12
5.889558232931726423e+00 3.958674950143621822e-12
5.909638554216867234e+00 3.749215596833550532e-12
5.929718875502008046e+00 3.548744656793466694e-12
5.949799196787148858e+00 3.357100003680443910e-12
5.969879518072289670e+00 3.174095285801806363e-12
5.989959839357429594e+00 2.999523817687002341e-12
6.010040160642570406e+00 2.833162145844969643e-12
