# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.386993784327500520e-11
3.520080321285140368e+00 3.291879533686103608e-11
3.540160642570281180e+00 3.200622298768831346e-11
3.560240963855421548e+00 3.113365249825345191e-11
3.580321285140562360e+00 3.030270770629622470e-11
3.600401606425702727e+00 2.951515788351783016e-11
3.620481927710843539e+00 2.877285618409150622e-11
3.640562248995983907e+00 2.807766436744335436e-11
3.660642570281124719e+00 2.743136604288567907e-11
3.680722891566265087e+00 2.683557174303717723e-11
3.700803212851405455e+00 2.629162002228286135e-11
3.720883534136546267e+00 2.580047940423940363e-11
3.740963855421686635e+00 2.536265630370954192e-11
3.761044176706827447e+00 2.497811399522543673e-11
3.781124497991967814e+00 2.464620730354692937e-11
3.801204819277108626e+00 2.436563700256882298e-11
3.821285140562248994e+00 2.413442701302970829e-11
3.841365461847389362e+00 2.394992649443156058e-11
3.861445783132530174e+00 2.380883794910416924e-11
3.881526104417670542e+00 2.370727160266167327e-11
3.901606425702811354e+00 2.364082567148326210e-11
3.921686746987951722e+00 2.360469170212268625e-11
3.941767068273092534e+00 2.359378393595413829e-11
3.961847389558232901e+00 2.360289151623336769e-11
3.981927710843373269e+00 2.362685216075000094e-11
4.002008032128514081e+00 2.366074548871871002e-11
4.022088353413654893e+00 2.370010334219173437e-11
4.042168674698794817e+00 2.374113306208163522e-11
4.062248995983935629e+00 2.378094774812851384e-11
4.082329317269076441e+00 2.381779516231183720e-11
4.102409638554217253e+00 2.385127437620432662e-11
4.122489959839357176e+00 2.388252688267664789e-11
4.142570281124497988e+00 2.391438712904048952e-11
4.162650602409638800e+00 2.395147672019941912e-11
4.182730923694778724e+00 2.400022724647892623e-11
4.202811244979919536e+00 2.406881902105519491e-11
4.222891566265060348e+00 2.416702697426385382e-11
4.242971887550201160e+00 2.430597033305769303e-11
4.263052208835341084e+00 2.449776909441208559e-11
4.283132530120481896e+00 2.475511710593438676e-11
4.303212851405622708e+00 2.509078813678130333e-11
4.323293172690762631e+00 2.551709700120129634e-11
4.343373493975903443e+00 2.604534201532910362e-11
4.363453815261044255e+00 2.668525740916719627e-11
4.383534136546185067e+00 2.744450456253426322e-11
4.403614457831324991e+00 2.832822908340093053e-11
4.423694779116465803e+00 2.933870699958345214e-11
4.443775100401606615e+00 3.047509805787252361e-11
4.463855421686746539e+00 3.173331780209258507e-11
4.483935742971887350e+00 3.310603327411644945e-11
4.504016064257028162e+00 3.458278038898970989e-11
4.524096385542168974e+00 3.615019476433501759e-11
4.544176706827309786e+00 3.779234243154944512e-11
4.564257028112449710e+00 3.949113270352695789e-11
4.584337349397590522e+00 4.122679267804067090e-11
4.604417670682730446e+00 4.297838145439932546e-11
4.624497991967871258e+00 4.472432206421765204e-11
4.644578313253012070e+00 4.644293021079646638e-11
4.664658634538152882e+00 4.811292096144924301e-11
4.684738955823293693e+00 4.971387729469288781e-11
4.704819277108433617e+00 5.122666761115514700e-11
4.724899598393574429e+00 5.263380272581958140e-11
4.744979919678714353e+00 5.391972624965639850e-11
4.765060240963855165e+00 5.507103545940297417e-11
4.785140562248995977e+00 5.607663260909795581e-11
4.805220883534136789e+00 5.692780906666552224e-11
4.825301204819277601e+00 5.761826661847186545e-11
4.845381526104417524e+00 5.814408176802678402e-11
4.865461847389558336e+00 5.850361988613520309e-11
4.885542168674698260e+00 5.869740669454937788e-11
4.905622489959839072e+00 5.872796484164558575e-11
4.925702811244979884e+00 5.859962331921923998e-11
4.945783132530120696e+00 5.831830723438976631e-11
4.965863453815261508e+00 5.789131504353436346e-11
4.985943775100401432e+00 5.732708982110317812e-11
5.006024096385542244e+00 5.663499051097287826e-11
5.026104417670682167e+00 5.582506841947996047e-11
5.046184738955822979e+00 5.490785347906529880e-11
5.066265060240963791e+00 5.389415405716215590e-11
5.086345381526104603e+00 5.279487332207076674e-11
5.106425702811245415e+00 5.162084442093792010e-11
5.126506024096385339e+00 5.038268598951538655e-11
5.146586345381526151e+00 4.909067881420625138e-11
5.166666666666666963e+00 4.775466381884520411e-11
5.186746987951806886e+00 4.638396096547218671e-11
5.206827309236947698e+00 4.498730815188799111e-11
5.226907630522088510e+00 4.357281876808651554e-11
5.246987951807229322e+00 4.214795624441108222e-11
5.267068273092369246e+00 4.071952368842450142e-11
5.287148594377510058e+00 3.929366656316824941e-11
5.307228915662650870e+00 3.787588630136313828e-11
5.327309236947790794e+00 3.647106276974708795e-11
5.347389558232931606e+00 3.508348358434893292e-11
5.367469879518072418e+00 3.371687841857533131e-11
5.387550200803213230e+00 3.237445662819468485e-11
5.407630522088353153e+00 3.105894672718848642e-11
5.427710843373493965e+00 2.977263647314821588e-11
5.447791164658634777e+00 2.851741254878205371e-11
5.467871485943774701e+00 2.729479904717322641e-11
5.487951807228915513e+00 2.610599417471543321e-11
5.508032128514056325e+00 2.495190477126621038e-11
5.528112449799197137e+00 2.383317840824904848e-11
5.548192771084337949e+00 2.275023296037070198e-11
5.568273092369477872e+00 2.170328365508245989e-11
5.588353413654618684e+00 2.069236768692297416e-11
5.608433734939758608e+00 1.971736654326257923e-11
5.628514056224899420e+00 1.877802622597527417e-11
5.648594377510040232e+00 1.787397557260123480e-11
5.668674698795181044e+00 1.700474288300791102e-11
5.688755020080321856e+00 1.616977104579543072e-11
5.708835341365461780e+00 1.536843133518531978e-11
5.728915662650602592e+00 1.460003601662381138e-11
5.748995983935742515e+00 1.386384986098058883e-11
5.769076305220883327e+00 1.315910062665713993e-11
5.789156626506024139e+00 1.248498853013609211e-11
5.809236947791164951e+00 1.184069469258011235e-11
5.829317269076305763e+00 1.122538852678754139e-11
5.849397590361445687e+00 1.063823401807011418e-11
5.869477911646586499e+00 1.007839485611691642e-11
5.889558232931726423e+00 9.545038392743377710e-12
5.909638554216867234e+00 9.037338430990434969e-12
5.929718875502008046e+00 8.554476891173708158e-12
5.949799196787148858e+00 8.095644444810811037e-12
5.969879518072289670e+00 7.660040252847729087e-12
5.989959839357429594e+00 7.246870985188546734e-12
