# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 4.838656688077585658e-11
3.520080321285140368e+00 4.697887736086271870e-11
3.540160642570281180e+00 4.560879713309026669e-11
3.560240963855421548e+00 4.427542379032914323e-11
3.580321285140562360e+00 4.297787414740977972e-11
3.600401606425702727e+00 4.171528384652303893e-11
3.620481927710843539e+00 4.048680697292304308e-11
3.640562248995983907e+00 3.929161568060003584e-11
3.660642570281124719e+00 3.812889982759442203e-11
3.680722891566265087e+00 3.699786662063160125e-11
3.700803212851405455e+00 3.589774026876092745e-11
3.720883534136546267e+00 3.482776164569046289e-11
3.740963855421686635e+00 3.378718796051401566e-11
3.761044176706827447e+00 3.277529243653489265e-11
3.781124497991967814e+00 3.179136399789730026e-11
3.801204819277108626e+00 3.083470696374313720e-11
3.821285140562248994e+00 2.990464074961993002e-11
3.841365461847389362e+00 2.900049957587242516e-11
3.861445783132530174e+00 2.812163218275824172e-11
3.881526104417670542e+00 2.726740155203590878e-11
3.901606425702811354e+00 2.643718463478079085e-11
3.921686746987951722e+00 2.563037208519329373e-11
3.941767068273092534e+00 2.484636800017058716e-11
3.961847389558232901e+00 2.408458966442225655e-11
3.981927710843373269e+00 2.334446730091728256e-11
4.002008032128514081e+00 2.262544382645893613e-11
4.022088353413654893e+00 2.192697461219130174e-11
4.042168674698794817e+00 2.124852724884969122e-11
4.062248995983935629e+00 2.058958131657519127e-11
4.082329317269076441e+00 1.994962815912163063e-11
4.102409638554217253e+00 1.932817066229061951e-11
4.122489959839357176e+00 1.872472303643889281e-11
4.142570281124497988e+00 1.813881060290895175e-11
4.162650602409638800e+00 1.756996958424262522e-11
4.182730923694778724e+00 1.701774689804331849e-11
4.202811244979919536e+00 1.648169995436087833e-11
4.222891566265060348e+00 1.596139645647991865e-11
4.242971887550201160e+00 1.545641420499868351e-11
4.263052208835341084e+00 1.496634090509318563e-11
4.283132530120481896e+00 1.449077397686683510e-11
4.303212851405622708e+00 1.402932036869305969e-11
4.323293172690762631e+00 1.358159637346330656e-11
4.343373493975903443e+00 1.314722744765957329e-11
4.363453815261044255e+00 1.272584803317582330e-11
4.383534136546185067e+00 1.231710138181771357e-11
4.403614457831324991e+00 1.192063938241557809e-11
4.423694779116465803e+00 1.153612239049011341e-11
4.443775100401606615e+00 1.116321906041520923e-11
4.463855421686746539e+00 1.080160618002602843e-11
4.483935742971887350e+00 1.045096850762524835e-11
4.504016064257028162e+00 1.011099861134391860e-11
4.524096385542168974e+00 9.781396710816770276e-12
4.544176706827309786e+00 9.461870521135701622e-12
4.564257028112449710e+00 9.152135099047803857e-12
4.584337349397590522e+00 8.851912691367482882e-12
4.604417670682730446e+00 8.560932585574938905e-12
4.624497991967871258e+00 8.278930962575345223e-12
4.644578313253012070e+00 8.005650751595977087e-12
4.664658634538152882e+00 7.740841487199861486e-12
4.684738955823293693e+00 7.484259168396914627e-12
4.704819277108433617e+00 7.235666119834935409e-12
4.724899598393574429e+00 6.994830855054320808e-12
4.744979919678714353e+00 6.761527941791788429e-12
4.765060240963855165e+00 6.535537869319319598e-12
4.785140562248995977e+00 6.316646917805748883e-12
4.805220883534136789e+00 6.104647029689092359e-12
4.825301204819277601e+00 5.899335683048423447e-12
4.845381526104417524e+00 5.700515766964782891e-12
4.865461847389558336e+00 5.507995458860844505e-12
4.885542168674698260e+00 5.321588103809649640e-12
4.905622489959839072e+00 5.141112095802566587e-12
4.925702811244979884e+00 4.966390760967232953e-12
4.945783132530120696e+00 4.797252242725802034e-12
4.965863453815261508e+00 4.633529388884058147e-12
4.985943775100401432e+00 4.475059640641797070e-12
5.006024096385542244e+00 4.321684923514513911e-12
5.026104417670682167e+00 4.173251540156494872e-12
5.046184738955822979e+00 4.029610065074702517e-12
5.066265060240963791e+00 3.890615241222947595e-12
5.086345381526104603e+00 3.756125878465017290e-12
5.106425702811245415e+00 3.626004753895359520e-12
5.126506024096385339e+00 3.500118514005230197e-12
5.146586345381526151e+00 3.378337578681853745e-12
5.166666666666666963e+00 3.260536047027672983e-12
5.186746987951806886e+00 3.146591604986121887e-12
5.206827309236947698e+00 3.036385434759982741e-12
5.226907630522088510e+00 2.929802126007896061e-12
5.246987951807229322e+00 2.826729588803997100e-12
5.267068273092369246e+00 2.727058968345745268e-12
5.287148594377510058e+00 2.630684561395518864e-12
5.307228915662650870e+00 2.537503734445156343e-12
5.327309236947790794e+00 2.447416843603279325e-12
5.347389558232931606e+00 2.360327156235364068e-12
5.367469879518072418e+00 2.276140774462410227e-12
5.387550200803213230e+00 2.194766560801439928e-12
5.407630522088353153e+00 2.116116066618044992e-12
5.427710843373493965e+00 2.040103464848204342e-12
5.447791164658634777e+00 1.966645489943849509e-12
5.467871485943774701e+00 1.895661390660273838e-12
5.487951807228915513e+00 1.827072905734145523e-12
5.508032128514056325e+00 1.760804279380173752e-12
5.528112449799197137e+00 1.696782343472388317e-12
5.548192771084337949e+00 1.634936706553478769e-12
5.568273092369477872e+00 1.575200106036554336e-12
5.588353413654618684e+00 1.517508997686502541e-12
5.608433734939758608e+00 1.461804472922661554e-12
5.628514056224899420e+00 1.408033605520894282e-12
5.648594377510040232e+00 1.356151329693779426e-12
5.668674698795181044e+00 1.306122935749239691e-12
5.688755020080321856e+00 1.257927232840165355e-12
5.708835341365461780e+00 1.211560368158131219e-12
5.728915662650602592e+00 1.167040209190437005e-12
5.748995983935742515e+00 1.124411095586524407e-12
5.769076305220883327e+00 1.083748659497063298e-12
5.789156626506024139e+00 1.045164311431726962e-12
5.809236947791164951e+00 1.008808908301655704e-12
5.829317269076305763e+00 9.748750767204928272e-13
5.849397590361445687e+00 9.435976703709648230e-13
5.869477911646586499e+00 9.152519026589676856e-13
5.889558232931726423e+00 8.901488154750157785e-13
5.909638554216867234e+00 8.686279146737796700e-13
5.929718875502008046e+00 8.510470089324223082e-13
5.949799196787148858e+00 8.377695117229893204e-13
5.969879518072289670e+00 8.291496841544372936e-13
5.989959839357429594e+00 8.255164873296713670e-13
6.010040160642570406e+00 8.271568573258010792e-13
6.030120481927710330e+00 8.342992997123676210e-13
6.050200803212851142e+00 8.470987160065448942e-13
6.070281124497991954e+00 8.656233210800124857e-13
6.090361445783132766e+00 8.898443944814929054e-13
6.110441767068273577e+00 9.196294417216037691e-13
6.130522088353413501e+00 9.547391394896092232e-13
6.150602409638554313e+00 9.948282192014106907e-13
6.170682730923694237e+00 1.039450223908747740e-12
6.190763052208835049e+00 1.088065870465329915e-12
6.210843373493975861e+00 1.140054575034373221e-12
6.230923694779116673e+00 1.194728564872977692e-12
6.251004016064257485e+00 1.251348908116964706e-12
6.271084337349397408e+00 1.309142747351169351e-12
6.291164658634538220e+00 1.367321019949734659e-12
6.311244979919678144e+00 1.425095983606834221e-12
6.331325301204818956e+00 1.481697932304927361e-12
6.351405622489959768e+00 1.536390578236302352e-12
6.371485943775100580e+00 1.588484680630036602e-12
6.391566265060241392e+00 1.637349615094506178e-12
6.411646586345381316e+00 1.682422689850280180e-12
6.431726907630522128e+00 1.723216122152306530e-12
6.451807228915662051e+00 1.759321684685699906e-12
6.471887550200802863e+00 1.790413114562099492e-12
6.491967871485943675e+00 1.816246444868279957e-12
6.512048192771084487e+00 1.836658469836267571e-12
6.532128514056225299e+00 1.851563589916232828e-12
6.552208835341365223e+00 1.860949303415850076e-12
6.572289156626506035e+00 1.864870618551532051e-12
6.592369477911645959e+00 1.863443655713926252e-12
6.612449799196786770e+00 1.856838696623265420e-12
6.632530120481927582e+00 1.845272916994632813e-12
6.652610441767068394e+00 1.829003014401559490e-12
6.672690763052209206e+00 1.808317915083735519e-12
6.692771084337350018e+00 1.783531714115685840e-12
6.712851405622489942e+00 1.754976973993748245e-12
6.732931726907629866e+00 1.722998478389299411e-12
6.753012048192770678e+00 1.687947511372386894e-12
6.773092369477911490e+00 1.650176708403224704e-12
6.793172690763052302e+00 1.610035504176310615e-12
6.813253012048193114e+00 1.567866184157697251e-12
6.833333333333333925e+00 1.524000531406318428e-12
6.853413654618473849e+00 1.478757047925684434e-12
6.873493975903614661e+00 1.432438720177207221e-12
6.893574297188754585e+00 1.385331291266542333e-12
6.913654618473895397e+00 1.337701997418504602e-12
6.933734939759036209e+00 1.289798723395948247e-12
6.953815261044177021e+00 1.241849530201569108e-12
6.973895582329317833e+00 1.194062508446134533e-12
6.993975903614457756e+00 1.146625911905390421e-12
7.014056224899598568e+00 1.099708527776715184e-12
7.034136546184738492e+00 1.053460242766757483e-12
7.054216867469879304e+00 1.008012767201088194e-12
7.074297188755020116e+00 9.634804826824329938e-13
7.094377510040160928e+00 9.199613822972787520e-13
7.114457831325301740e+00 8.775380758692931271e-13
7.134538152610441664e+00 8.362788361920691062e-13
7.154618473895582476e+00 7.962386654742227913e-13
7.174698795180722399e+00 7.574603643458007202e-13
7.194779116465863211e+00 7.199755886707016983e-13
7.214859437751004023e+00 6.838058820634545204e-13
7.234939759036144835e+00 6.489636744084307529e-13
7.255020080321285647e+00 6.154532388232200037e-13
7.275100401606425571e+00 5.832716013995226630e-13
7.295180722891566383e+00 5.524093997041970251e-13
7.315261044176706307e+00 5.228516874434808080e-13
7.335341365461847118e+00 4.945786839007210181e-13
