# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.065977609116122026e-10
3.520080321285140368e+00 1.036384080325986214e-10
3.540160642570281180e+00 1.007582761148334095e-10
3.560240963855421548e+00 9.795534064704593173e-11
3.580321285140562360e+00 9.522762532627775690e-11
3.600401606425702727e+00 9.257320102671436936e-11
3.620481927710843539e+00 8.999018478789032877e-11
3.640562248995983907e+00 8.747673882188732424e-11
3.660642570281124719e+00 8.503106953915268428e-11
3.680722891566265087e+00 8.265142659258542098e-11
3.700803212851405455e+00 8.033610193954443471e-11
3.720883534136546267e+00 7.808342892145073400e-11
3.740963855421686635e+00 7.589178136066275062e-11
3.761044176706827447e+00 7.375957267431768468e-11
3.781124497991967814e+00 7.168525500484060377e-11
3.801204819277108626e+00 6.966731836683298482e-11
3.821285140562248994e+00 6.770428981006137016e-11
3.841365461847389362e+00 6.579473259827531366e-11
3.861445783132530174e+00 6.393724540359168990e-11
3.881526104417670542e+00 6.213046151618971572e-11
3.901606425702811354e+00 6.037304806906797442e-11
3.921686746987951722e+00 5.866370527762162127e-11
3.941767068273092534e+00 5.700116569380291259e-11
3.961847389558232901e+00 5.538419347463558018e-11
3.981927710843373269e+00 5.381158366485644905e-11
4.002008032128514081e+00 5.228216149346486917e-11
4.022088353413654893e+00 5.079478168396380888e-11
4.042168674698794817e+00 4.934832777808049607e-11
4.062248995983935629e+00 4.794171147275924985e-11
4.082329317269076441e+00 4.657387197022274486e-11
4.102409638554217253e+00 4.524377534090004415e-11
4.122489959839357176e+00 4.395041389902502281e-11
4.142570281124497988e+00 4.269280559070946360e-11
4.162650602409638800e+00 4.146999339430060545e-11
4.182730923694778724e+00 4.028104473283227281e-11
4.202811244979919536e+00 3.912505089838395494e-11
4.222891566265060348e+00 3.800112648816330278e-11
4.242971887550201160e+00 3.690840885212914592e-11
4.263052208835341084e+00 3.584605755197552524e-11
4.283132530120481896e+00 3.481325383129763044e-11
4.303212851405622708e+00 3.380920009676408663e-11
4.323293172690762631e+00 3.283311941012002711e-11
4.343373493975903443e+00 3.188425499084805233e-11
4.363453815261044255e+00 3.096186972931646256e-11
4.383534136546185067e+00 3.006524571024360245e-11
4.403614457831324991e+00 2.919368374631109133e-11
4.423694779116465803e+00 2.834650292175841903e-11
4.443775100401606615e+00 2.752304014579406882e-11
4.463855421686746539e+00 2.672264971565885581e-11
4.483935742971887350e+00 2.594470288917874605e-11
4.504016064257028162e+00 2.518858746664704815e-11
4.524096385542168974e+00 2.445370738187491669e-11
4.544176706827309786e+00 2.373948230225291228e-11
4.564257028112449710e+00 2.304534723766621500e-11
4.584337349397590522e+00 2.237075215810794904e-11
4.604417670682730446e+00 2.171516161983699859e-11
4.624497991967871258e+00 2.107805439992678276e-11
4.644578313253012070e+00 2.045892313905471708e-11
4.664658634538152882e+00 1.985727399238171800e-11
4.684738955823293693e+00 1.927262628837385282e-11
4.704819277108433617e+00 1.870451219541919442e-11
4.724899598393574429e+00 1.815247639609418053e-11
4.744979919678714353e+00 1.761607576893628485e-11
4.765060240963855165e+00 1.709487907757964254e-11
4.785140562248995977e+00 1.658846666711387531e-11
4.805220883534136789e+00 1.609643016752597040e-11
4.825301204819277601e+00 1.561837220408808560e-11
4.845381526104417524e+00 1.515390611455504761e-11
4.865461847389558336e+00 1.470265567303686514e-11
4.885542168674698260e+00 1.426425482041394174e-11
4.905622489959839072e+00 1.383834740116305311e-11
4.925702811244979884e+00 1.342458690646533786e-11
4.945783132530120696e+00 1.302263622346777855e-11
4.965863453815261508e+00 1.263216739057244807e-11
4.985943775100401432e+00 1.225286135862882698e-11
5.006024096385542244e+00 1.188440775790642187e-11
5.026104417670682167e+00 1.152650467072687268e-11
5.046184738955822979e+00 1.117885840963581784e-11
5.066265060240963791e+00 1.084118330099732410e-11
5.086345381526104603e+00 1.051320147389483835e-11
5.106425702811245415e+00 1.019464265422455253e-11
5.126506024096385339e+00 9.885243963868912685e-12
5.146586345381526151e+00 9.584749724839586910e-12
5.166666666666666963e+00 9.292911268281193729e-12
5.186746987951806886e+00 9.009486748228503008e-12
5.206827309236947698e+00 8.734240960011828096e-12
5.226907630522088510e+00 8.466945163207214806e-12
5.246987951807229322e+00 8.207376909029231683e-12
5.267068273092369246e+00 7.955319872066584501e-12
5.287148594377510058e+00 7.710563686261928245e-12
5.307228915662650870e+00 7.472903785039514877e-12
5.327309236947790794e+00 7.242141245485509125e-12
5.347389558232931606e+00 7.018082636487844181e-12
5.367469879518072418e+00 6.800539870744337450e-12
5.387550200803213230e+00 6.589330060548923869e-12
5.407630522088353153e+00 6.384275377268160027e-12
5.427710843373493965e+00 6.185202914421406069e-12
5.447791164658634777e+00 5.991944554280080294e-12
5.467871485943774701e+00 5.804336837902626201e-12
5.487951807228915513e+00 5.622220838523849596e-12
5.508032128514056325e+00 5.445442038218768893e-12
5.528112449799197137e+00 5.273850207762540248e-12
