# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.160396081857785236e-11
3.520080321285140368e+00 1.121599386115058888e-11
3.540160642570281180e+00 1.084442772024972062e-11
3.560240963855421548e+00 1.048830720056188441e-11
3.580321285140562360e+00 1.014667851288689282e-11
3.600401606425702727e+00 9.818602020394427727e-12
3.620481927710843539e+00 9.503166025063037700e-12
3.640562248995983907e+00 9.199500904224983956e-12
3.660642570281124719e+00 8.906792918355979428e-12
3.680722891566265087e+00 8.624297029833592565e-12
3.700803212851405455e+00 8.351348101383823149e-12
3.720883534136546267e+00 8.087369887903717894e-12
3.740963855421686635e+00 7.831881302777246678e-12
3.761044176706827447e+00 7.584499535208578416e-12
3.781124497991967814e+00 7.344939721207762861e-12
3.801204819277108626e+00 7.113011026279604773e-12
3.821285140562248994e+00 6.888609176494464947e-12
3.841365461847389362e+00 6.671705666001156622e-12
3.861445783132530174e+00 6.462334059555291054e-12
3.881526104417670542e+00 6.260573983387750879e-12
3.901606425702811354e+00 6.066533542890683569e-12
3.921686746987951722e+00 5.880331010837179586e-12
3.941767068273092534e+00 5.702076690688504168e-12
3.961847389558232901e+00 5.531855879167798246e-12
3.981927710843373269e+00 5.369713842570594477e-12
4.002008032128514081e+00 5.215643702538386971e-12
4.022088353413654893e+00 5.069578125816997184e-12
4.042168674698794817e+00 4.931385757176976467e-12
4.062248995983935629e+00 4.800873448092837246e-12
4.082329317269076441e+00 4.677795524132159867e-12
4.102409638554217253e+00 4.561871584728234025e-12
4.122489959839357176e+00 4.452814590682564188e-12
4.142570281124497988e+00 4.350371182152979767e-12
4.162650602409638800e+00 4.254376167436218581e-12
4.182730923694778724e+00 4.164822800224794025e-12
4.202811244979919536e+00 4.081949700524669008e-12
4.222891566265060348e+00 4.006343994580539978e-12
4.242971887550201160e+00 3.939058448122171463e-12
4.263052208835341084e+00 3.881738138257314661e-12
4.283132530120481896e+00 3.836749750734839348e-12
4.303212851405622708e+00 3.807304192202009780e-12
4.323293172690762631e+00 3.797561222009314083e-12
4.343373493975903443e+00 3.812703594784517346e-12
4.363453815261044255e+00 3.858968073601088712e-12
4.383534136546185067e+00 3.943621828508087473e-12
4.403614457831324991e+00 4.074875232136195561e-12
4.423694779116465803e+00 4.261725788925239313e-12
4.443775100401606615e+00 4.513732608499046816e-12
4.463855421686746539e+00 4.840726044262219126e-12
4.483935742971887350e+00 5.252462370009766559e-12
4.504016064257028162e+00 5.758238144642745023e-12
4.524096385542168974e+00 6.366482746291684814e-12
4.544176706827309786e+00 7.084350070345798250e-12
4.564257028112449710e+00 7.917331349013481422e-12
4.584337349397590522e+00 8.868910390857749706e-12
4.604417670682730446e+00 9.940280343783330901e-12
4.624497991967871258e+00 1.113013757970792500e-11
4.644578313253012070e+00 1.243456381422748114e-11
4.664658634538152882e+00 1.384700250363918039e-11
4.684738955823293693e+00 1.535833031730016083e-11
4.704819277108433617e+00 1.695701945632766881e-11
4.724899598393574429e+00 1.862938211602042691e-11
4.744979919678714353e+00 2.035988472699958491e-11
4.765060240963855165e+00 2.213151692656831307e-11
4.785140562248995977e+00 2.392619858264385200e-11
4.805220883534136789e+00 2.572520760802898724e-11
4.825301204819277601e+00 2.750961168097793100e-11
4.845381526104417524e+00 2.926068819259161611e-11
4.865461847389558336e+00 3.096031860044552591e-11
4.885542168674698260e+00 3.259134569168581905e-11
4.905622489959839072e+00 3.413788485753961225e-11
4.925702811244979884e+00 3.558558317730837405e-11
4.945783132530120696e+00 3.692182274852473051e-11
4.965863453815261508e+00 3.813586715483550149e-11
4.985943775100401432e+00 3.921895213978734285e-11
5.006024096385542244e+00 4.016432339016566403e-11
5.026104417670682167e+00 4.096722579354644966e-11
5.046184738955822979e+00 4.162484961375183453e-11
5.066265060240963791e+00 4.213623973861558922e-11
5.086345381526104603e+00 4.250217452670420150e-11
5.106425702811245415e+00 4.272502085445404824e-11
5.126506024096385339e+00 4.280857179031091829e-11
5.146586345381526151e+00 4.275787294835522035e-11
5.166666666666666963e+00 4.257904305054136874e-11
5.186746987951806886e+00 4.227909360109555084e-11
5.206827309236947698e+00 4.186575189114386841e-11
