# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 4.167164729504893721e-11
3.520080321285140368e+00 4.040937336035384014e-11
3.540160642570281180e+00 3.918237764543687265e-11
3.560240963855421548e+00 3.798977885038685179e-11
3.580321285140562360e+00 3.683071464157249746e-11
3.600401606425702727e+00 3.570434129124098980e-11
3.620481927710843539e+00 3.460983332565620349e-11
3.640562248995983907e+00 3.354638318144115213e-11
3.660642570281124719e+00 3.251320086979703368e-11
3.680722891566265087e+00 3.150951364828259694e-11
3.700803212851405455e+00 3.053456569984678979e-11
3.720883534136546267e+00 2.958761781881890767e-11
3.740963855421686635e+00 2.866794710357040594e-11
3.761044176706827447e+00 2.777484665557296400e-11
3.781124497991967814e+00 2.690762528458892386e-11
3.801204819277108626e+00 2.606560721973961281e-11
3.821285140562248994e+00 2.524813182620910220e-11
3.841365461847389362e+00 2.445455332735048636e-11
3.861445783132530174e+00 2.368424053197334619e-11
3.881526104417670542e+00 2.293657656660091715e-11
3.901606425702811354e+00 2.221095861249616996e-11
3.921686746987951722e+00 2.150679764726681417e-11
3.941767068273092534e+00 2.082351819086844694e-11
3.961847389558232901e+00 2.016055805583611986e-11
3.981927710843373269e+00 1.951736810158372471e-11
4.002008032128514081e+00 1.889341199262045106e-11
4.022088353413654893e+00 1.828816596054309394e-11
4.042168674698794817e+00 1.770111856967161389e-11
4.062248995983935629e+00 1.713177048620480933e-11
4.082329317269076441e+00 1.657963425078121366e-11
4.102409638554217253e+00 1.604423405433846548e-11
4.122489959839357176e+00 1.552510551717260122e-11
4.142570281124497988e+00 1.502179547110626404e-11
4.162650602409638800e+00 1.453386174468224995e-11
4.182730923694778724e+00 1.406087295130548097e-11
4.202811244979919536e+00 1.360240828026338276e-11
4.222891566265060348e+00 1.315805729056110770e-11
4.242971887550201160e+00 1.272741970751345208e-11
4.263052208835341084e+00 1.231010522204151989e-11
4.283132530120481896e+00 1.190573329262694973e-11
4.303212851405622708e+00 1.151393294988203112e-11
4.323293172690762631e+00 1.113434260369787284e-11
4.343373493975903443e+00 1.076660985293766552e-11
4.363453815261044255e+00 1.041039129764592877e-11
