# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 8.168490401590881223e-11
3.520080321285140368e+00 7.944729402378313203e-11
3.540160642570281180e+00 7.725181299694985984e-11
3.560240963855421548e+00 7.509768454896371127e-11
3.580321285140562360e+00 7.298433464590661528e-11
3.600401606425702727e+00 7.091136282648078061e-11
3.620481927710843539e+00 6.887851208868589094e-11
3.640562248995983907e+00 6.688563876351930970e-11
3.660642570281124719e+00 6.493268348965939289e-11
3.680722891566265087e+00 6.301964417667231831e-11
3.700803212851405455e+00 6.114655161275169022e-11
3.720883534136546267e+00 5.931344814927932052e-11
3.740963855421686635e+00 5.752036968901398389e-11
3.761044176706827447e+00 5.576733102514379191e-11
3.781124497991967814e+00 5.405431442960771454e-11
3.801204819277108626e+00 5.238126127318947251e-11
3.821285140562248994e+00 5.074806637677363537e-11
3.841365461847389362e+00 4.915457474080282975e-11
3.861445783132530174e+00 4.760058027498418226e-11
3.881526104417670542e+00 4.608582614835371866e-11
3.901606425702811354e+00 4.461000639618932635e-11
3.921686746987951722e+00 4.317276845019347457e-11
3.941767068273092534e+00 4.177371629734594388e-11
3.961847389558232901e+00 4.041241401688080159e-11
3.981927710843373269e+00 3.908838949064981706e-11
4.002008032128514081e+00 3.780113812715469397e-11
4.022088353413654893e+00 3.655012648199895153e-11
4.042168674698794817e+00 3.533479569644801051e-11
4.062248995983935629e+00 3.415456471090466518e-11
4.082329317269076441e+00 3.300883324166575575e-11
4.102409638554217253e+00 3.189698453790320113e-11
4.122489959839357176e+00 3.081838796199487330e-11
4.142570281124497988e+00 2.977240146031541992e-11
4.162650602409638800e+00 2.875837401282613440e-11
4.182730923694778724e+00 2.777564816664495161e-11
4.202811244979919536e+00 2.682356276845286550e-11
4.222891566265060348e+00 2.590145600939194064e-11
4.242971887550201160e+00 2.500866887999591974e-11
4.263052208835341084e+00 2.414454909825324580e-11
4.283132530120481896e+00 2.330845551944625531e-11
4.303212851405622708e+00 2.249976296308120256e-11
4.323293172690762631e+00 2.171786730469338431e-11
4.343373493975903443e+00 2.096219058693671696e-11
4.363453815261044255e+00 2.023218581653807649e-11
4.383534136546185067e+00 1.952734104447739415e-11
4.403614457831324991e+00 1.884718228895206284e-11
4.423694779116465803e+00 1.819127486469181160e-11
4.443775100401606615e+00 1.755922273405229459e-11
4.463855421686746539e+00 1.695066559535952322e-11
4.483935742971887350e+00 1.636527356636231856e-11
4.504016064257028162e+00 1.580273949391274019e-11
4.524096385542168974e+00 1.526276910956922265e-11
4.544176706827309786e+00 1.474506943726524385e-11
4.564257028112449710e+00 1.424933602676255354e-11
4.584337349397590522e+00 1.377523972172203916e-11
4.604417670682730446e+00 1.332241376531372688e-11
4.624497991967871258e+00 1.289044209668509647e-11
4.644578313253012070e+00 1.247884970116050382e-11
4.664658634538152882e+00 1.208709585235527168e-11
4.684738955823293693e+00 1.171457103298545827e-11
4.704819277108433617e+00 1.136059824807688068e-11
4.724899598393574429e+00 1.102443934899324673e-11
4.744979919678714353e+00 1.070530686129996041e-11
4.765060240963855165e+00 1.040238163905001175e-11
4.785140562248995977e+00 1.011483643377485361e-11
4.805220883534136789e+00 9.841865151021893571e-12
4.825301204819277601e+00 9.582717162095518539e-12
4.845381526104417524e+00 9.336735550737846231e-12
4.865461847389558336e+00 9.103397631418425979e-12
4.885542168674698260e+00 8.882355527049051960e-12
4.905622489959839072e+00 8.673474106839314836e-12
4.925702811244979884e+00 8.476863237017340255e-12
4.945783132530120696e+00 8.292901163516866899e-12
4.965863453815261508e+00 8.122245986330411604e-12
4.985943775100401432e+00 7.965832632441216722e-12
5.006024096385542244e+00 7.824853484722370436e-12
5.026104417670682167e+00 7.700721836123576487e-12
5.046184738955822979e+00 7.595018535124374891e-12
5.066265060240963791e+00 7.509423467335899511e-12
5.086345381526104603e+00 7.445634764115282569e-12
5.106425702811245415e+00 7.405279728776740240e-12
5.126506024096385339e+00 7.389822326219246289e-12
5.146586345381526151e+00 7.400472619313188795e-12
5.166666666666666963e+00 7.438103712070188496e-12
5.186746987951806886e+00 7.503181562645151655e-12
5.206827309236947698e+00 7.595712472366600210e-12
5.226907630522088510e+00 7.715212174813087719e-12
5.246987951807229322e+00 7.860699290906692675e-12
5.267068273092369246e+00 8.030714542226821437e-12
5.287148594377510058e+00 8.223365594332585979e-12
5.307228915662650870e+00 8.436395813157833441e-12
5.327309236947790794e+00 8.667273649186508833e-12
5.347389558232931606e+00 8.913297915029613636e-12
5.367469879518072418e+00 9.171712998241804200e-12
5.387550200803213230e+00 9.439827158810252788e-12
5.407630522088353153e+00 9.715126594958957056e-12
5.427710843373493965e+00 9.995377992994835415e-12
5.447791164658634777e+00 1.027871284120701916e-11
5.467871485943774701e+00 1.056368787183488283e-11
5.487951807228915513e+00 1.084931753519666293e-11
5.508032128514056325e+00 1.113507629408671777e-11
5.528112449799197137e+00 1.142087060372025402e-11
5.548192771084337949e+00 1.170698253910082321e-11
5.568273092369477872e+00 1.199398897027545785e-11
5.588353413654618684e+00 1.228266180516327463e-11
5.608433734939758608e+00 1.257385599161410718e-11
5.628514056224899420e+00 1.286839261329381283e-11
5.648594377510040232e+00 1.316694449861231911e-11
5.668674698795181044e+00 1.346993131118667315e-11
5.688755020080321856e+00 1.377743017328554892e-11
5.708835341365461780e+00 1.408910659462086829e-11
5.728915662650602592e+00 1.440416896378229697e-11
5.748995983935742515e+00 1.472134824211738545e-11
5.769076305220883327e+00 1.503890290780831409e-11
5.789156626506024139e+00 1.535464774259865942e-11
5.809236947791164951e+00 1.566600382220849028e-11
5.829317269076305763e+00 1.597006612274033261e-11
5.849397590361445687e+00 1.626368451899508942e-11
5.869477911646586499e+00 1.654355362914506081e-11
5.889558232931726423e+00 1.680630693320909665e-11
5.909638554216867234e+00 1.704861082219980669e-11
5.929718875502008046e+00 1.726725467093215661e-11
5.949799196787148858e+00 1.745923361466093037e-11
5.969879518072289670e+00 1.762182139154577887e-11
5.989959839357429594e+00 1.775263133644420817e-11
6.010040160642570406e+00 1.784966433021189154e-11
6.030120481927710330e+00 1.791134318448572610e-11
6.050200803212851142e+00 1.793653354612011796e-11
6.070281124497991954e+00 1.792455191869284264e-11
6.090361445783132766e+00 1.787516181017582016e-11
6.110441767068273577e+00 1.778855932297932247e-11
6.130522088353413501e+00 1.766534970836193274e-11
6.150602409638554313e+00 1.750651651963416744e-11
6.170682730923694237e+00 1.731338502893842132e-11
6.190763052208835049e+00 1.708758153387197236e-11
6.210843373493975861e+00 1.683099008684252390e-11
6.230923694779116673e+00 1.654570804567188031e-11
