# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.988895486023410080e-10
3.520080321285140368e+00 3.955294256496026168e-10
3.540160642570281180e+00 3.919608010859002767e-10
3.560240963855421548e+00 3.881292545646671201e-10
3.580321285140562360e+00 3.839907282119393801e-10
3.600401606425702727e+00 3.795114609667627456e-10
3.620481927710843539e+00 3.746677044377193486e-10
3.640562248995983907e+00 3.694452537133757283e-10
3.660642570281124719e+00 3.638388269113927056e-10
3.680722891566265087e+00 3.578513262855255966e-10
3.700803212851405455e+00 3.514930117889024734e-10
3.720883534136546267e+00 3.447806154567847185e-10
3.740963855421686635e+00 3.377364221200780654e-10
3.761044176706827447e+00 3.303873390276108537e-10
3.781124497991967814e+00 3.227639741046707742e-10
3.801204819277108626e+00 3.148997399007435979e-10
3.821285140562248994e+00 3.068299978122490526e-10
3.841365461847389362e+00 2.985912548909572329e-10
3.861445783132530174e+00 2.902204234218192015e-10
3.881526104417670542e+00 2.817541514210622368e-10
3.901606425702811354e+00 2.732282302181951193e-10
3.921686746987951722e+00 2.646770833128436499e-10
3.941767068273092534e+00 2.561333387313560551e-10
3.961847389558232901e+00 2.476274851657018715e-10
3.981927710843373269e+00 2.391876102962036904e-10
4.002008032128514081e+00 2.308392179326044535e-10
4.022088353413654893e+00 2.226051190136872550e-10
4.042168674698794817e+00 2.145053901410669736e-10
4.062248995983935629e+00 2.065573922354643306e-10
4.082329317269076441e+00 1.987758411267109197e-10
4.102409638554217253e+00 1.911729214369933883e-10
4.122489959839357176e+00 1.837584349869157882e-10
4.142570281124497988e+00 1.765399751248436398e-10
4.162650602409638800e+00 1.695231188161694976e-10
4.182730923694778724e+00 1.627116289842721717e-10
4.202811244979919536e+00 1.561076604162747247e-10
4.222891566265060348e+00 1.497119634791780208e-10
4.242971887550201160e+00 1.435240808820230899e-10
4.263052208835341084e+00 1.375425337185143665e-10
4.283132530120481896e+00 1.317649939898436889e-10
4.303212851405622708e+00 1.261884417054598262e-10
4.323293172690762631e+00 1.208093054652186811e-10
4.343373493975903443e+00 1.156235861238157280e-10
4.363453815261044255e+00 1.106269637203754864e-10
4.383534136546185067e+00 1.058148883234632514e-10
4.403614457831324991e+00 1.011826558029398594e-10
4.423694779116465803e+00 9.672546980974598466e-11
4.443775100401606615e+00 9.243849144281937382e-11
4.463855421686746539e+00 8.831687823192294131e-11
4.483935742971887350e+00 8.435581418946007817e-11
4.504016064257028162e+00 8.055053280276735181e-11
4.524096385542168974e+00 7.689633496160739235e-11
4.544176706827309786e+00 7.338860394059676103e-11
4.564257028112449710e+00 7.002281966229796407e-11
4.584337349397590522e+00 6.679457451397657069e-11
4.604417670682730446e+00 6.369959292388735208e-11
4.624497991967871258e+00 6.073375665793262530e-11
4.644578313253012070e+00 5.789313731642541417e-11
4.664658634538152882e+00 5.517403675657469079e-11
4.684738955823293693e+00 5.257303513968703033e-11
4.704819277108433617e+00 5.008704505265256496e-11
4.724899598393574429e+00 4.771336878414965113e-11
4.744979919678714353e+00 4.544975449728374491e-11
4.765060240963855165e+00 4.329444591221818549e-11
4.785140562248995977e+00 4.124621937929256247e-11
4.805220883534136789e+00 3.930440204402648531e-11
4.825301204819277601e+00 3.746886528482978078e-11
4.845381526104417524e+00 3.573998877049659122e-11
4.865461847389558336e+00 3.411859227926431319e-11
4.885542168674698260e+00 3.260583470228279928e-11
4.905622489959839072e+00 3.120308221222271317e-11
4.925702811244979884e+00 2.991175016212475580e-11
4.945783132530120696e+00 2.873312563178270762e-11
4.965863453815261508e+00 2.766817942498719306e-11
4.985943775100401432e+00 2.671737755986211821e-11
5.006024096385542244e+00 2.588050277811510627e-11
5.026104417670682167e+00 2.515649630063725580e-11
5.046184738955822979e+00 2.454332902877082402e-11
5.066265060240963791e+00 2.403790975115108520e-11
5.086345381526104603e+00 2.363603582990446082e-11
5.106425702811245415e+00 2.333238949420605037e-11
5.126506024096385339e+00 2.312058044983792175e-11
5.146586345381526151e+00 2.299323318591330965e-11
5.166666666666666963e+00 2.294211525591090187e-11
5.186746987951806886e+00 2.295830102153649604e-11
5.206827309236947698e+00 2.303236392837266785e-11
5.226907630522088510e+00 2.315458935392769934e-11
5.246987951807229322e+00 2.331519943150090323e-11
5.267068273092369246e+00 2.350458099413758780e-11
5.287148594377510058e+00 2.371350788230857812e-11
5.307228915662650870e+00 2.393334929378441584e-11
5.327309236947790794e+00 2.415625659743887874e-11
5.347389558232931606e+00 2.437532205066638441e-11
5.367469879518072418e+00 2.458470410933872895e-11
5.387550200803213230e+00 2.477971544526687532e-11
5.407630522088353153e+00 2.495687132453261026e-11
5.427710843373493965e+00 2.511389758025365638e-11
5.447791164658634777e+00 2.524969896431001693e-11
5.467871485943774701e+00 2.536429011882934656e-11
5.487951807228915513e+00 2.545869271487734090e-11
5.508032128514056325e+00 2.553480342123716929e-11
5.528112449799197137e+00 2.559523826245950824e-11
5.548192771084337949e+00 2.564315958645767985e-11
5.568273092369477872e+00 2.568209228066237984e-11
5.588353413654618684e+00 2.571573605090951273e-11
5.608433734939758608e+00 2.574778051144151039e-11
5.628514056224899420e+00 2.578172953353372145e-11
5.648594377510040232e+00 2.582074077430508078e-11
5.668674698795181044e+00 2.586748557220240443e-11
5.688755020080321856e+00 2.592403347550601698e-11
5.708835341365461780e+00 2.599176459864018589e-11
5.728915662650602592e+00 2.607131182163978934e-11
5.748995983935742515e+00 2.616253361300760462e-11
5.769076305220883327e+00 2.626451702338691132e-11
5.789156626506024139e+00 2.637560922675698785e-11
5.809236947791164951e+00 2.649347493417696044e-11
5.829317269076305763e+00 2.661517612198186743e-11
5.849397590361445687e+00 2.673726983998180431e-11
5.869477911646586499e+00 2.685591941979197131e-11
5.889558232931726423e+00 2.696701419774442409e-11
5.909638554216867234e+00 2.706629289456840800e-11
5.929718875502008046e+00 2.714946603522252011e-11
5.949799196787148858e+00 2.721233321592631424e-11
5.969879518072289670e+00 2.725089159278057171e-11
5.989959839357429594e+00 2.726143263430684211e-11
6.010040160642570406e+00 2.724062490482080851e-11
6.030120481927710330e+00 2.718558138496411563e-11
6.050200803212851142e+00 2.709391055269061570e-11
6.070281124497991954e+00 2.696375111154057866e-11
6.090361445783132766e+00 2.679379083939372980e-11
6.110441767068273577e+00 2.658327052388762664e-11
6.130522088353413501e+00 2.633197434143592630e-11
6.150602409638554313e+00 2.604020832299169394e-11
6.170682730923694237e+00 2.570876873466531161e-11
6.190763052208835049e+00 2.533890229272714322e-11
