# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 6.884664088888983637e-10
3.520080321285140368e+00 6.665643237646317650e-10
3.540160642570281180e+00 6.454076704622440454e-10
3.560240963855421548e+00 6.249721432202917592e-10
3.580321285140562360e+00 6.052276120338154324e-10
3.600401606425702727e+00 5.861397821225729107e-10
3.620481927710843539e+00 5.676717322380669303e-10
3.640562248995983907e+00 5.497853066392913317e-10
3.660642570281124719e+00 5.324423445466081167e-10
3.680722891566265087e+00 5.156057392410943454e-10
3.700803212851405455e+00 4.992403262492121159e-10
3.720883534136546267e+00 4.833136058763632107e-10
3.740963855421686635e+00 4.677963094941716936e-10
3.761044176706827447e+00 4.526628213672119540e-10
3.781124497991967814e+00 4.378914685184273520e-10
3.801204819277108626e+00 4.234646904412315387e-10
3.821285140562248994e+00 4.093690987792902028e-10
3.841365461847389362e+00 3.955954349215216958e-10
3.861445783132530174e+00 3.821384313452295838e-10
3.881526104417670542e+00 3.689965809911368399e-10
3.901606425702811354e+00 3.561718183665410216e-10
3.921686746987951722e+00 3.436691166746658212e-10
3.941767068273092534e+00 3.314960070865000032e-10
3.961847389558232901e+00 3.196620291302208848e-10
3.981927710843373269e+00 3.081781247228597395e-10
4.002008032128514081e+00 2.970559921398194435e-10
4.022088353413654893e+00 2.863074196909759228e-10
4.042168674698794817e+00 2.759436215526427491e-10
4.062248995983935629e+00 2.659745996885653939e-10
4.082329317269076441e+00 2.564085558167596063e-10
4.102409638554217253e+00 2.472513758463383980e-10
4.122489959839357176e+00 2.385062061942147501e-10
4.142570281124497988e+00 2.301731371223842537e-10
4.162650602409638800e+00 2.222490030560082259e-10
4.182730923694778724e+00 2.147273041659202679e-10
4.202811244979919536e+00 2.075982477654475178e-10
4.222891566265060348e+00 2.008489026982229056e-10
4.242971887550201160e+00 1.944634552401149485e-10
4.263052208835341084e+00 1.884235513777279895e-10
4.283132530120481896e+00 1.827087078285911542e-10
4.303212851405622708e+00 1.772967728953077462e-10
4.323293172690762631e+00 1.721644181515639749e-10
4.343373493975903443e+00 1.672876428991983371e-10
4.363453815261044255e+00 1.626422750903330552e-10
4.383534136546185067e+00 1.582044546997490249e-10
4.403614457831324991e+00 1.539510880585467098e-10
