# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 4.203899999999999863e-45
3.600000000000000089e+00 2.073920000000000005e-43
3.620000000000000107e+00 7.955170000000000444e-42
3.640000000000000124e+00 2.599030000000000085e-40
3.660000000000000142e+00 7.261100000000000268e-39
3.680000000000000160e+00 1.747019999999999978e-37
3.700000000000000178e+00 3.644499999999999932e-36
3.720000000000000195e+00 6.634690000000000320e-35
3.740000000000000213e+00 1.060509999999999929e-33
3.759999999999999787e+00 1.497179999999999979e-32
3.779999999999999805e+00 1.877299999999999967e-31
3.799999999999999822e+00 2.101909999999999906e-30
3.819999999999999840e+00 2.112380000000000047e-29
3.839999999999999858e+00 1.914589999999999966e-28
3.859999999999999876e+00 1.572540000000000085e-27
3.879999999999999893e+00 1.175539999999999967e-26
3.899999999999999911e+00 8.032730000000000160e-26
3.919999999999999929e+00 5.037679999999999549e-25
3.939999999999999947e+00 2.910890000000000180e-24
3.959999999999999964e+00 1.555429999999999958e-23
3.979999999999999982e+00 7.713390000000000192e-23
4.000000000000000000e+00 3.561810000000000034e-22
4.019999999999999574e+00 1.536520000000000047e-21
4.040000000000000036e+00 6.210930000000000344e-21
4.059999999999999609e+00 2.359579999999999853e-20
4.080000000000000071e+00 8.448099999999999559e-20
4.099999999999999645e+00 2.858319999999999806e-19
4.120000000000000107e+00 9.162390000000000132e-19
4.139999999999999680e+00 2.789350000000000107e-18
4.160000000000000142e+00 8.083380000000000201e-18
4.179999999999999716e+00 2.234889999999999977e-17
4.200000000000000178e+00 5.907850000000000192e-17
4.219999999999999751e+00 1.496170000000000013e-16
4.240000000000000213e+00 3.636970000000000208e-16
4.259999999999999787e+00 8.502059999999999948e-16
4.280000000000000249e+00 1.914729999999999856e-15
4.299999999999999822e+00 4.161070000000000382e-15
4.320000000000000284e+00 8.740419999999999349e-15
4.339999999999999858e+00 1.777229999999999890e-14
4.360000000000000320e+00 3.503380000000000063e-14
4.379999999999999893e+00 6.704399999999999685e-14
4.400000000000000355e+00 1.247260000000000029e-13
4.419999999999999929e+00 2.258499999999999919e-13
4.440000000000000391e+00 3.985589999999999984e-13
4.459999999999999964e+00 6.862250000000000370e-13
4.480000000000000426e+00 1.154089999999999983e-12
4.500000000000000000e+00 1.897820000000000086e-12
4.519999999999999574e+00 3.004340000000000101e-12
4.540000000000000036e+00 4.672709999999999786e-12
4.559999999999999609e+00 7.148110000000000326e-12
4.580000000000000071e+00 1.075709999999999987e-11
4.599999999999999645e+00 1.592929999999999999e-11
4.620000000000000107e+00 2.321849999999999845e-11
4.639999999999999680e+00 3.332509999999999822e-11
4.660000000000000142e+00 4.711720000000000041e-11
4.679999999999999716e+00 6.565390000000000321e-11
4.700000000000000178e+00 9.020019999999999526e-11
4.719999999999999751e+00 1.222480000000000001e-10
4.740000000000000213e+00 1.635210000000000033e-10
4.769999999999999574e+00 2.159829999999999871e-10
4.790000000000000036e+00 2.818330000000000234e-10
4.809999999999999609e+00 3.635030000000000113e-10
4.830000000000000071e+00 4.636390000000000054e-10
4.849999999999999645e+00 5.850710000000000365e-10
4.870000000000000107e+00 7.307910000000000255e-10
4.889999999999999680e+00 9.039210000000000263e-10
4.910000000000000142e+00 1.107669999999999960e-09
4.929999999999999716e+00 1.345259999999999964e-09
4.950000000000000178e+00 1.619919999999999923e-09
4.969999999999999751e+00 1.934809999999999856e-09
4.990000000000000213e+00 2.293010000000000129e-09
5.009999999999999787e+00 2.697380000000000047e-09
5.030000000000000249e+00 3.150629999999999903e-09
5.049999999999999822e+00 3.655150000000000142e-09
5.070000000000000284e+00 4.213109999999999733e-09
5.089999999999999858e+00 4.826300000000000177e-09
5.110000000000000320e+00 5.496180000000000350e-09
5.129999999999999893e+00 6.223790000000000073e-09
5.150000000000000355e+00 7.009839999999999856e-09
5.169999999999999929e+00 7.854530000000000586e-09
5.190000000000000391e+00 8.757729999999999700e-09
5.209999999999999964e+00 9.718829999999999618e-09
5.230000000000000426e+00 1.073690000000000001e-08
5.250000000000000000e+00 1.181039999999999967e-08
5.269999999999999574e+00 1.293759999999999966e-08
5.290000000000000036e+00 1.411649999999999938e-08
5.309999999999999609e+00 1.534440000000000008e-08
5.330000000000000071e+00 1.661859999999999967e-08
5.349999999999999645e+00 1.793590000000000048e-08
5.370000000000000107e+00 1.929310000000000155e-08
5.389999999999999680e+00 2.068639999999999921e-08
5.410000000000000142e+00 2.211220000000000063e-08
5.429999999999999716e+00 2.356650000000000129e-08
5.450000000000000178e+00 2.504529999999999994e-08
5.469999999999999751e+00 2.654449999999999989e-08
5.490000000000000213e+00 2.805970000000000144e-08
5.509999999999999787e+00 2.958690000000000006e-08
5.530000000000000249e+00 3.112190000000000024e-08
5.549999999999999822e+00 3.266050000000000318e-08
5.570000000000000284e+00 3.419859999999999893e-08
5.589999999999999858e+00 3.573220000000000282e-08
5.610000000000000320e+00 3.725750000000000126e-08
5.629999999999999893e+00 3.877060000000000175e-08
5.650000000000000355e+00 4.026809999999999911e-08
5.669999999999999929e+00 4.174650000000000261e-08
5.690000000000000391e+00 4.320259999999999803e-08
5.709999999999999964e+00 4.463340000000000181e-08
5.730000000000000426e+00 4.603589999999999733e-08
5.750000000000000000e+00 4.740770000000000039e-08
5.769999999999999574e+00 4.874620000000000275e-08
5.790000000000000036e+00 5.004940000000000214e-08
5.809999999999999609e+00 5.131519999999999750e-08
5.830000000000000071e+00 5.254190000000000278e-08
5.849999999999999645e+00 5.372779999999999886e-08
5.870000000000000107e+00 5.487170000000000026e-08
5.889999999999999680e+00 5.597230000000000285e-08
5.910000000000000142e+00 5.702869999999999767e-08
5.929999999999999716e+00 5.804010000000000102e-08
5.950000000000000178e+00 5.900570000000000273e-08
5.969999999999999751e+00 5.992519999999999982e-08
5.990000000000000213e+00 6.079810000000000494e-08
6.009999999999999787e+00 6.162429999999999946e-08
6.030000000000000249e+00 6.240379999999999661e-08
6.049999999999999822e+00 6.313639999999999882e-08
6.070000000000000284e+00 6.382250000000000124e-08
6.089999999999999858e+00 6.446210000000000387e-08
6.110000000000000320e+00 6.505569999999999404e-08
6.129999999999999893e+00 6.560369999999999339e-08
6.150000000000000355e+00 6.610660000000000248e-08
6.169999999999999929e+00 6.656489999999999541e-08
6.190000000000000391e+00 6.697920000000000462e-08
6.209999999999999964e+00 6.735020000000000178e-08
6.230000000000000426e+00 6.767870000000000370e-08
6.250000000000000000e+00 6.796539999999999528e-08
6.269999999999999574e+00 6.821110000000000654e-08
6.290000000000000036e+00 6.841660000000000133e-08
6.309999999999999609e+00 6.858289999999999402e-08
6.330000000000000071e+00 6.871089999999999358e-08
6.349999999999999645e+00 6.880140000000000356e-08
6.370000000000000107e+00 6.885539999999999861e-08
6.389999999999999680e+00 6.887399999999999853e-08
6.410000000000000142e+00 6.885799999999999362e-08
6.429999999999999716e+00 6.880850000000000367e-08
6.450000000000000178e+00 6.872650000000000333e-08
6.469999999999999751e+00 6.861299999999999374e-08
6.490000000000000213e+00 6.846909999999999468e-08
6.509999999999999787e+00 6.829570000000000188e-08
6.530000000000000249e+00 6.809400000000000081e-08
6.549999999999999822e+00 6.786500000000000584e-08
6.570000000000000284e+00 6.760959999999999946e-08
6.589999999999999858e+00 6.732899999999999363e-08
6.610000000000000320e+00 6.702409999999999730e-08
6.629999999999999893e+00 6.669589999999999837e-08
6.650000000000000355e+00 6.634559999999999556e-08
6.669999999999999929e+00 6.597390000000000024e-08
6.690000000000000391e+00 6.558210000000000331e-08
6.709999999999999964e+00 6.517090000000000291e-08
6.730000000000000426e+00 6.474140000000000558e-08
6.750000000000000000e+00 6.429440000000000165e-08
6.769999999999999574e+00 6.383090000000000547e-08
6.790000000000000036e+00 6.335169999999999414e-08
6.809999999999999609e+00 6.285779999999999525e-08
6.830000000000000071e+00 6.234980000000000156e-08
6.849999999999999645e+00 6.182880000000000636e-08
6.870000000000000107e+00 6.129529999999999698e-08
6.889999999999999680e+00 6.075030000000000103e-08
6.910000000000000142e+00 6.019439999999999802e-08
6.929999999999999716e+00 5.962829999999999932e-08
6.950000000000000178e+00 5.905280000000000188e-08
6.969999999999999751e+00 5.846839999999999964e-08
6.990000000000000213e+00 5.787579999999999736e-08
7.009999999999999787e+00 5.727560000000000103e-08
7.030000000000000249e+00 5.666839999999999675e-08
7.049999999999999822e+00 5.605469999999999835e-08
7.070000000000000284e+00 5.543509999999999854e-08
7.089999999999999858e+00 5.481009999999999791e-08
7.110000000000000320e+00 5.418019999999999701e-08
7.129999999999999893e+00 5.354590000000000304e-08
7.150000000000000355e+00 5.290749999999999912e-08
7.169999999999999929e+00 5.226559999999999785e-08
7.190000000000000391e+00 5.162060000000000101e-08
7.209999999999999964e+00 5.097289999999999714e-08
7.230000000000000426e+00 5.032280000000000245e-08
7.259999999999999787e+00 4.967079999999999767e-08
7.280000000000000249e+00 4.901719999999999902e-08
7.299999999999999822e+00 4.836250000000000045e-08
7.320000000000000284e+00 4.770680000000000073e-08
7.339999999999999858e+00 4.705069999999999925e-08
7.360000000000000320e+00 4.639440000000000018e-08
7.379999999999999893e+00 4.573819999999999990e-08
7.400000000000000355e+00 4.508250000000000019e-08
7.419999999999999929e+00 4.442749999999999863e-08
7.440000000000000391e+00 4.377370000000000239e-08
7.459999999999999964e+00 4.312119999999999705e-08
7.480000000000000426e+00 4.247039999999999760e-08
7.500000000000000000e+00 4.182160000000000042e-08
7.519999999999999574e+00 4.117500000000000309e-08
7.540000000000000036e+00 4.053100000000000076e-08
7.559999999999999609e+00 3.988969999999999885e-08
7.580000000000000071e+00 3.925149999999999913e-08
7.599999999999999645e+00 3.861669999999999797e-08
7.620000000000000107e+00 3.798540000000000078e-08
7.639999999999999680e+00 3.735789999999999732e-08
7.660000000000000142e+00 3.673449999999999717e-08
7.679999999999999716e+00 3.611539999999999794e-08
7.700000000000000178e+00 3.550090000000000259e-08
7.719999999999999751e+00 3.489099999999999790e-08
7.740000000000000213e+00 3.428619999999999768e-08
7.759999999999999787e+00 3.368640000000000312e-08
7.780000000000000249e+00 3.309200000000000277e-08
7.799999999999999822e+00 3.250310000000000204e-08
7.820000000000000284e+00 3.191999999999999731e-08
7.839999999999999858e+00 3.134270000000000179e-08
7.860000000000000320e+00 3.077139999999999985e-08
7.879999999999999893e+00 3.020619999999999688e-08
7.900000000000000355e+00 2.964739999999999918e-08
7.919999999999999929e+00 2.909500000000000013e-08
7.940000000000000391e+00 2.854920000000000063e-08
7.959999999999999964e+00 2.800989999999999858e-08
7.980000000000000426e+00 2.747740000000000026e-08
8.000000000000000000e+00 2.695180000000000117e-08
8.019999999999999574e+00 2.643310000000000129e-08
8.039999999999999147e+00 2.592130000000000064e-08
8.060000000000000497e+00 2.541660000000000010e-08
8.080000000000000071e+00 2.491890000000000088e-08
8.099999999999999645e+00 2.442840000000000055e-08
8.119999999999999218e+00 2.394509999999999913e-08
8.140000000000000568e+00 2.346890000000000113e-08
8.160000000000000142e+00 2.300000000000000081e-08
8.179999999999999716e+00 2.253820000000000061e-08
8.199999999999999289e+00 2.208370000000000140e-08
8.220000000000000639e+00 2.163629999999999900e-08
8.240000000000000213e+00 2.119620000000000090e-08
8.259999999999999787e+00 2.076329999999999839e-08
8.279999999999999361e+00 2.033749999999999930e-08
8.300000000000000711e+00 1.991889999999999912e-08
8.320000000000000284e+00 1.950730000000000025e-08
8.339999999999999858e+00 1.910280000000000149e-08
8.359999999999999432e+00 1.870530000000000074e-08
8.380000000000000782e+00 1.831480000000000132e-08
8.400000000000000355e+00 1.793120000000000111e-08
8.419999999999999929e+00 1.755450000000000013e-08
8.439999999999999503e+00 1.718459999999999957e-08
8.460000000000000853e+00 1.682129999999999856e-08
8.480000000000000426e+00 1.646480000000000129e-08
8.500000000000000000e+00 1.611480000000000147e-08
