# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 1.541429999999999888e-44
3.779999999999999805e+00 6.179730000000000364e-43
3.799999999999999822e+00 2.191350000000000049e-41
3.819999999999999840e+00 6.621249999999999769e-40
3.839999999999999858e+00 1.716789999999999913e-38
3.859999999999999876e+00 3.846790000000000338e-37
3.879999999999999893e+00 7.497029999999999543e-36
3.899999999999999911e+00 1.278999999999999901e-34
3.919999999999999929e+00 1.921489999999999899e-33
3.939999999999999947e+00 2.556770000000000100e-32
3.959999999999999964e+00 3.029740000000000077e-31
3.979999999999999982e+00 3.214110000000000201e-30
4.000000000000000000e+00 3.067769999999999899e-29
4.019999999999999574e+00 2.647179999999999777e-28
4.040000000000000036e+00 2.074369999999999967e-27
4.059999999999999609e+00 1.482730000000000052e-26
4.080000000000000071e+00 9.706860000000000370e-26
4.099999999999999645e+00 5.843550000000000123e-25
4.120000000000000107e+00 3.247289999999999962e-24
4.139999999999999680e+00 1.671719999999999859e-23
4.160000000000000142e+00 7.999999999999999683e-23
4.179999999999999716e+00 3.570659999999999841e-22
4.200000000000000178e+00 1.491140000000000034e-21
4.219999999999999751e+00 5.843809999999999829e-21
4.240000000000000213e+00 2.155310000000000128e-20
4.259999999999999787e+00 7.501840000000000232e-20
4.280000000000000249e+00 2.470679999999999918e-19
4.299999999999999822e+00 7.718240000000000386e-19
4.320000000000000284e+00 2.292619999999999900e-18
4.339999999999999858e+00 6.489719999999999700e-18
4.360000000000000320e+00 1.754539999999999910e-17
4.379999999999999893e+00 4.539730000000000110e-17
4.400000000000000355e+00 1.126429999999999945e-16
4.419999999999999929e+00 2.685269999999999949e-16
4.440000000000000391e+00 6.161549999999999512e-16
4.459999999999999964e+00 1.363129999999999926e-15
4.480000000000000426e+00 2.912499999999999896e-15
4.500000000000000000e+00 6.019240000000000361e-15
4.519999999999999574e+00 1.205129999999999922e-14
4.540000000000000036e+00 2.340709999999999967e-14
4.559999999999999609e+00 4.416679999999999816e-14
4.580000000000000071e+00 8.106480000000000411e-14
4.599999999999999645e+00 1.449139999999999972e-13
4.620000000000000107e+00 2.526039999999999907e-13
4.639999999999999680e+00 4.298499999999999809e-13
4.660000000000000142e+00 7.148619999999999886e-13
4.679999999999999716e+00 1.153179999999999939e-12
4.700000000000000178e+00 1.807850000000000016e-12
4.719999999999999751e+00 2.787510000000000105e-12
4.740000000000000213e+00 4.227959999999999687e-12
4.769999999999999574e+00 6.309650000000000282e-12
4.790000000000000036e+00 9.267220000000000169e-12
4.809999999999999609e+00 1.340040000000000013e-11
4.830000000000000071e+00 1.908440000000000055e-11
4.849999999999999645e+00 2.678019999999999932e-11
4.870000000000000107e+00 3.704379999999999852e-11
4.889999999999999680e+00 5.053469999999999792e-11
4.910000000000000142e+00 6.802289999999999523e-11
4.929999999999999716e+00 9.039079999999999406e-11
4.950000000000000178e+00 1.186330000000000080e-10
4.969999999999999751e+00 1.538569999999999992e-10
4.990000000000000213e+00 1.972779999999999985e-10
5.009999999999999787e+00 2.501990000000000166e-10
5.030000000000000249e+00 3.140120000000000009e-10
5.049999999999999822e+00 3.901710000000000168e-10
5.070000000000000284e+00 4.801830000000000157e-10
5.089999999999999858e+00 5.855709999999999831e-10
5.110000000000000320e+00 7.078719999999999726e-10
5.129999999999999893e+00 8.485919999999999788e-10
5.150000000000000355e+00 1.009210000000000075e-09
5.169999999999999929e+00 1.191099999999999950e-09
5.190000000000000391e+00 1.395600000000000020e-09
5.209999999999999964e+00 1.623870000000000101e-09
5.230000000000000426e+00 1.876990000000000153e-09
5.250000000000000000e+00 2.155860000000000039e-09
5.269999999999999574e+00 2.461219999999999903e-09
5.290000000000000036e+00 2.793639999999999878e-09
5.309999999999999609e+00 3.153490000000000036e-09
5.330000000000000071e+00 3.540949999999999854e-09
5.349999999999999645e+00 3.955980000000000229e-09
5.370000000000000107e+00 4.398400000000000031e-09
5.389999999999999680e+00 4.867769999999999621e-09
5.410000000000000142e+00 5.363469999999999884e-09
5.429999999999999716e+00 5.884709999999999627e-09
5.450000000000000178e+00 6.430550000000000298e-09
5.469999999999999751e+00 6.999820000000000339e-09
5.490000000000000213e+00 7.591230000000000472e-09
5.509999999999999787e+00 8.203349999999999801e-09
5.530000000000000249e+00 8.834650000000000299e-09
5.549999999999999822e+00 9.483429999999999376e-09
5.570000000000000284e+00 1.014790000000000049e-08
5.589999999999999858e+00 1.082640000000000058e-08
5.610000000000000320e+00 1.151680000000000060e-08
5.629999999999999893e+00 1.221739999999999960e-08
5.650000000000000355e+00 1.292599999999999941e-08
5.669999999999999929e+00 1.364090000000000074e-08
5.690000000000000391e+00 1.435999999999999922e-08
5.709999999999999964e+00 1.508139999999999964e-08
5.730000000000000426e+00 1.580310000000000140e-08
5.750000000000000000e+00 1.652349999999999903e-08
5.769999999999999574e+00 1.724060000000000021e-08
5.790000000000000036e+00 1.795280000000000112e-08
5.809999999999999609e+00 1.865839999999999918e-08
5.830000000000000071e+00 1.935589999999999930e-08
5.849999999999999645e+00 2.004379999999999979e-08
5.870000000000000107e+00 2.072079999999999983e-08
5.889999999999999680e+00 2.138559999999999861e-08
5.910000000000000142e+00 2.203689999999999863e-08
5.929999999999999716e+00 2.267389999999999963e-08
5.950000000000000178e+00 2.329530000000000082e-08
5.969999999999999751e+00 2.390049999999999951e-08
5.990000000000000213e+00 2.448850000000000120e-08
6.009999999999999787e+00 2.505879999999999871e-08
6.030000000000000249e+00 2.561059999999999839e-08
6.049999999999999822e+00 2.614349999999999849e-08
6.070000000000000284e+00 2.665689999999999963e-08
6.089999999999999858e+00 2.715060000000000093e-08
6.110000000000000320e+00 2.762420000000000062e-08
6.129999999999999893e+00 2.807739999999999902e-08
6.150000000000000355e+00 2.850999999999999854e-08
6.169999999999999929e+00 2.892199999999999918e-08
6.190000000000000391e+00 2.931310000000000127e-08
6.209999999999999964e+00 2.968340000000000029e-08
6.230000000000000426e+00 3.003279999999999745e-08
6.250000000000000000e+00 3.036139999999999816e-08
6.269999999999999574e+00 3.066929999999999789e-08
6.290000000000000036e+00 3.095639999999999786e-08
6.309999999999999609e+00 3.122309999999999985e-08
6.330000000000000071e+00 3.146939999999999723e-08
6.349999999999999645e+00 3.169550000000000082e-08
6.370000000000000107e+00 3.190170000000000038e-08
6.389999999999999680e+00 3.208800000000000252e-08
6.410000000000000142e+00 3.225490000000000119e-08
6.429999999999999716e+00 3.240260000000000058e-08
6.450000000000000178e+00 3.253139999999999708e-08
6.469999999999999751e+00 3.264150000000000148e-08
6.490000000000000213e+00 3.273330000000000235e-08
6.509999999999999787e+00 3.280720000000000144e-08
6.530000000000000249e+00 3.286350000000000175e-08
6.549999999999999822e+00 3.290259999999999844e-08
6.570000000000000284e+00 3.292480000000000112e-08
6.589999999999999858e+00 3.293070000000000251e-08
6.610000000000000320e+00 3.292050000000000021e-08
6.629999999999999893e+00 3.289470000000000140e-08
6.650000000000000355e+00 3.285370000000000123e-08
6.669999999999999929e+00 3.279800000000000027e-08
6.690000000000000391e+00 3.272800000000000031e-08
6.709999999999999964e+00 3.264420000000000190e-08
6.730000000000000426e+00 3.254700000000000021e-08
6.750000000000000000e+00 3.243690000000000242e-08
6.769999999999999574e+00 3.231440000000000248e-08
6.790000000000000036e+00 3.217979999999999676e-08
6.809999999999999609e+00 3.203380000000000326e-08
6.830000000000000071e+00 3.187669999999999850e-08
6.849999999999999645e+00 3.170889999999999749e-08
6.870000000000000107e+00 3.153109999999999837e-08
6.889999999999999680e+00 3.134349999999999873e-08
6.910000000000000142e+00 3.114669999999999792e-08
6.929999999999999716e+00 3.094109999999999772e-08
6.950000000000000178e+00 3.072709999999999991e-08
6.969999999999999751e+00 3.050509999999999964e-08
6.990000000000000213e+00 3.027570000000000289e-08
7.009999999999999787e+00 3.003900000000000184e-08
7.030000000000000249e+00 2.979559999999999914e-08
7.049999999999999822e+00 2.954589999999999989e-08
7.070000000000000284e+00 2.929009999999999835e-08
7.089999999999999858e+00 2.902880000000000051e-08
7.110000000000000320e+00 2.876209999999999852e-08
7.129999999999999893e+00 2.849049999999999958e-08
7.150000000000000355e+00 2.821420000000000127e-08
7.169999999999999929e+00 2.793370000000000085e-08
7.190000000000000391e+00 2.764910000000000040e-08
7.209999999999999964e+00 2.736079999999999841e-08
7.230000000000000426e+00 2.706899999999999907e-08
7.259999999999999787e+00 2.677410000000000084e-08
7.280000000000000249e+00 2.647630000000000131e-08
7.299999999999999822e+00 2.617590000000000015e-08
7.320000000000000284e+00 2.587299999999999947e-08
7.339999999999999858e+00 2.556789999999999894e-08
7.360000000000000320e+00 2.526090000000000156e-08
7.379999999999999893e+00 2.495209999999999948e-08
7.400000000000000355e+00 2.464179999999999901e-08
7.419999999999999929e+00 2.433009999999999894e-08
7.440000000000000391e+00 2.401740000000000104e-08
7.459999999999999964e+00 2.370369999999999870e-08
7.480000000000000426e+00 2.338930000000000153e-08
7.500000000000000000e+00 2.307429999999999837e-08
7.519999999999999574e+00 2.275890000000000006e-08
7.540000000000000036e+00 2.244330000000000086e-08
7.559999999999999609e+00 2.212769999999999835e-08
7.580000000000000071e+00 2.181220000000000125e-08
7.599999999999999645e+00 2.149689999999999842e-08
7.620000000000000107e+00 2.118220000000000157e-08
7.639999999999999680e+00 2.086799999999999866e-08
7.660000000000000142e+00 2.055450000000000052e-08
7.679999999999999716e+00 2.024200000000000020e-08
7.700000000000000178e+00 1.993050000000000102e-08
7.719999999999999751e+00 1.962020000000000055e-08
7.740000000000000213e+00 1.931120000000000089e-08
7.759999999999999787e+00 1.900369999999999963e-08
7.780000000000000249e+00 1.869779999999999886e-08
7.799999999999999822e+00 1.839349999999999857e-08
7.820000000000000284e+00 1.809109999999999846e-08
7.839999999999999858e+00 1.779070000000000061e-08
7.860000000000000320e+00 1.749229999999999842e-08
7.879999999999999893e+00 1.719609999999999938e-08
7.900000000000000355e+00 1.690219999999999898e-08
7.919999999999999929e+00 1.661069999999999931e-08
7.940000000000000391e+00 1.632160000000000038e-08
7.959999999999999964e+00 1.603509999999999977e-08
7.980000000000000426e+00 1.575129999999999957e-08
8.000000000000000000e+00 1.547019999999999979e-08
8.019999999999999574e+00 1.519200000000000131e-08
8.039999999999999147e+00 1.491659999999999872e-08
8.060000000000000497e+00 1.464419999999999954e-08
8.080000000000000071e+00 1.437480000000000045e-08
8.099999999999999645e+00 1.410860000000000068e-08
8.119999999999999218e+00 1.384539999999999936e-08
8.140000000000000568e+00 1.358540000000000067e-08
8.160000000000000142e+00 1.332870000000000010e-08
8.179999999999999716e+00 1.307520000000000051e-08
8.199999999999999289e+00 1.282500000000000069e-08
8.220000000000000639e+00 1.257819999999999943e-08
8.240000000000000213e+00 1.233480000000000005e-08
8.259999999999999787e+00 1.209470000000000043e-08
8.279999999999999361e+00 1.185799999999999938e-08
8.300000000000000711e+00 1.162470000000000019e-08
8.320000000000000284e+00 1.139490000000000001e-08
8.339999999999999858e+00 1.116850000000000005e-08
8.359999999999999432e+00 1.094550000000000030e-08
8.380000000000000782e+00 1.072599999999999956e-08
8.400000000000000355e+00 1.050990000000000069e-08
8.419999999999999929e+00 1.029730000000000083e-08
8.439999999999999503e+00 1.008809999999999952e-08
8.460000000000000853e+00 9.882240000000000814e-09
8.480000000000000426e+00 9.679820000000000184e-09
8.500000000000000000e+00 9.480789999999999890e-09
