# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 4.203899999999999863e-45
3.939999999999999947e+00 1.583470000000000018e-43
3.959999999999999964e+00 5.785960000000000090e-42
3.979999999999999982e+00 1.798260000000000091e-40
4.000000000000000000e+00 4.790219999999999917e-39
4.019999999999999574e+00 1.101340000000000029e-37
4.040000000000000036e+00 2.199829999999999980e-36
4.059999999999999609e+00 3.842189999999999994e-35
4.080000000000000071e+00 5.902909999999999901e-34
4.099999999999999645e+00 8.024160000000000027e-33
4.120000000000000107e+00 9.705180000000000285e-32
4.139999999999999680e+00 1.049890000000000021e-30
4.160000000000000142e+00 1.020910000000000069e-29
4.179999999999999716e+00 8.967040000000000496e-29
4.200000000000000178e+00 7.147419999999999711e-28
4.219999999999999751e+00 5.192399999999999659e-27
4.240000000000000213e+00 3.452290000000000208e-26
4.259999999999999787e+00 2.109250000000000227e-25
4.280000000000000249e+00 1.188780000000000069e-24
4.299999999999999822e+00 6.202730000000000337e-24
4.320000000000000284e+00 3.006859999999999917e-23
4.339999999999999858e+00 1.358649999999999990e-22
4.360000000000000320e+00 5.740849999999999595e-22
4.379999999999999893e+00 2.275120000000000150e-21
4.400000000000000355e+00 8.481579999999999421e-21
4.419999999999999929e+00 2.982420000000000002e-20
4.440000000000000391e+00 9.918669999999999758e-20
4.459999999999999964e+00 3.127510000000000239e-19
4.480000000000000426e+00 9.372909999999999764e-19
4.500000000000000000e+00 2.675800000000000045e-18
4.519999999999999574e+00 7.293100000000000120e-18
4.540000000000000036e+00 1.901679999999999884e-17
4.559999999999999609e+00 4.753590000000000295e-17
4.580000000000000071e+00 1.141220000000000033e-16
4.599999999999999645e+00 2.636319999999999913e-16
4.620000000000000107e+00 5.870009999999999906e-16
4.639999999999999680e+00 1.261900000000000054e-15
4.660000000000000142e+00 2.623349999999999921e-15
4.679999999999999716e+00 5.281760000000000060e-15
4.700000000000000178e+00 1.031370000000000033e-14
4.719999999999999751e+00 1.956030000000000035e-14
4.740000000000000213e+00 3.607730000000000269e-14
4.769999999999999574e+00 6.479389999999999920e-14
4.790000000000000036e+00 1.134469999999999961e-13
4.809999999999999609e+00 1.938710000000000077e-13
4.830000000000000071e+00 3.237250000000000166e-13
4.849999999999999645e+00 5.259859999999999764e-13
4.870000000000000107e+00 8.269850000000000350e-13
4.889999999999999680e+00 1.278740000000000062e-12
4.910000000000000142e+00 1.944899999999999922e-12
4.929999999999999716e+00 2.910299999999999827e-12
4.950000000000000178e+00 4.285610000000000356e-12
4.969999999999999751e+00 6.212689999999999855e-12
4.990000000000000213e+00 8.869669999999999303e-12
5.009999999999999787e+00 1.247550000000000031e-11
5.030000000000000249e+00 1.729609999999999857e-11
5.049999999999999822e+00 2.364649999999999946e-11
5.070000000000000284e+00 3.189609999999999856e-11
5.089999999999999858e+00 4.246860000000000263e-11
5.110000000000000320e+00 5.584380000000000081e-11
5.129999999999999893e+00 7.255559999999999913e-11
5.150000000000000355e+00 9.319119999999999816e-11
5.169999999999999929e+00 1.183830000000000088e-10
5.190000000000000391e+00 1.488059999999999926e-10
5.209999999999999964e+00 1.851660000000000097e-10
5.230000000000000426e+00 2.281969999999999979e-10
5.250000000000000000e+00 2.786409999999999894e-10
5.269999999999999574e+00 3.372470000000000246e-10
5.290000000000000036e+00 4.047560000000000238e-10
5.309999999999999609e+00 4.818830000000000202e-10
5.330000000000000071e+00 5.693089999999999621e-10
5.349999999999999645e+00 6.676779999999999974e-10
5.370000000000000107e+00 7.775769999999999919e-10
5.389999999999999680e+00 8.995210000000000208e-10
5.410000000000000142e+00 1.033949999999999930e-09
5.429999999999999716e+00 1.181250000000000031e-09
5.450000000000000178e+00 1.341669999999999979e-09
5.469999999999999751e+00 1.515419999999999922e-09
5.490000000000000213e+00 1.702570000000000046e-09
5.509999999999999787e+00 1.903119999999999938e-09
5.530000000000000249e+00 2.116969999999999980e-09
5.549999999999999822e+00 2.343919999999999905e-09
5.570000000000000284e+00 2.583670000000000033e-09
5.589999999999999858e+00 2.835830000000000122e-09
5.610000000000000320e+00 3.099949999999999826e-09
5.629999999999999893e+00 3.375470000000000132e-09
5.650000000000000355e+00 3.661769999999999857e-09
5.669999999999999929e+00 3.958170000000000198e-09
5.690000000000000391e+00 4.263940000000000064e-09
5.709999999999999964e+00 4.578290000000000327e-09
5.730000000000000426e+00 4.900380000000000401e-09
5.750000000000000000e+00 5.229359999999999817e-09
5.769999999999999574e+00 5.564360000000000004e-09
5.790000000000000036e+00 5.904480000000000273e-09
5.809999999999999609e+00 6.248829999999999813e-09
5.830000000000000071e+00 6.596509999999999589e-09
5.849999999999999645e+00 6.946640000000000322e-09
5.870000000000000107e+00 7.298340000000000256e-09
5.889999999999999680e+00 7.650769999999999627e-09
5.910000000000000142e+00 8.003109999999999260e-09
5.929999999999999716e+00 8.354549999999999858e-09
5.950000000000000178e+00 8.704340000000000570e-09
5.969999999999999751e+00 9.051750000000000304e-09
5.990000000000000213e+00 9.396100000000000671e-09
6.009999999999999787e+00 9.736729999999999732e-09
6.030000000000000249e+00 1.007300000000000027e-08
6.049999999999999822e+00 1.040440000000000018e-08
6.070000000000000284e+00 1.073039999999999926e-08
6.089999999999999858e+00 1.105039999999999981e-08
6.110000000000000320e+00 1.136410000000000049e-08
6.129999999999999893e+00 1.167090000000000030e-08
6.150000000000000355e+00 1.197049999999999956e-08
6.169999999999999929e+00 1.226260000000000023e-08
6.190000000000000391e+00 1.254680000000000055e-08
6.209999999999999964e+00 1.282279999999999919e-08
6.230000000000000426e+00 1.309029999999999976e-08
6.250000000000000000e+00 1.334920000000000018e-08
6.269999999999999574e+00 1.359910000000000032e-08
6.290000000000000036e+00 1.383989999999999974e-08
6.309999999999999609e+00 1.407149999999999964e-08
6.330000000000000071e+00 1.429360000000000035e-08
6.349999999999999645e+00 1.450620000000000022e-08
6.370000000000000107e+00 1.470910000000000001e-08
6.389999999999999680e+00 1.490220000000000092e-08
6.410000000000000142e+00 1.508549999999999966e-08
6.429999999999999716e+00 1.525889999999999908e-08
6.450000000000000178e+00 1.542230000000000040e-08
6.469999999999999751e+00 1.557579999999999909e-08
6.490000000000000213e+00 1.571929999999999968e-08
6.509999999999999787e+00 1.585290000000000096e-08
6.530000000000000249e+00 1.597650000000000082e-08
6.549999999999999822e+00 1.609020000000000137e-08
6.570000000000000284e+00 1.619410000000000139e-08
6.589999999999999858e+00 1.628809999999999879e-08
6.610000000000000320e+00 1.637249999999999987e-08
6.629999999999999893e+00 1.644730000000000130e-08
6.650000000000000355e+00 1.651249999999999980e-08
6.669999999999999929e+00 1.656840000000000164e-08
6.690000000000000391e+00 1.661509999999999901e-08
6.709999999999999964e+00 1.665259999999999852e-08
6.730000000000000426e+00 1.668119999999999984e-08
6.750000000000000000e+00 1.670110000000000057e-08
6.769999999999999574e+00 1.671230000000000070e-08
6.790000000000000036e+00 1.671519999999999869e-08
6.809999999999999609e+00 1.670980000000000117e-08
6.830000000000000071e+00 1.669649999999999999e-08
6.849999999999999645e+00 1.667540000000000055e-08
6.870000000000000107e+00 1.664670000000000043e-08
6.889999999999999680e+00 1.661060000000000052e-08
6.910000000000000142e+00 1.656749999999999930e-08
6.929999999999999716e+00 1.651740000000000006e-08
6.950000000000000178e+00 1.646070000000000128e-08
6.969999999999999751e+00 1.639760000000000053e-08
6.990000000000000213e+00 1.632840000000000081e-08
7.009999999999999787e+00 1.625320000000000091e-08
7.030000000000000249e+00 1.617230000000000049e-08
7.049999999999999822e+00 1.608599999999999925e-08
7.070000000000000284e+00 1.599439999999999928e-08
7.089999999999999858e+00 1.589780000000000025e-08
7.110000000000000320e+00 1.579649999999999855e-08
7.129999999999999893e+00 1.569069999999999835e-08
7.150000000000000355e+00 1.558049999999999846e-08
7.169999999999999929e+00 1.546630000000000066e-08
7.190000000000000391e+00 1.534810000000000162e-08
7.209999999999999964e+00 1.522629999999999983e-08
7.230000000000000426e+00 1.510100000000000069e-08
7.259999999999999787e+00 1.497250000000000056e-08
7.280000000000000249e+00 1.484079999999999946e-08
7.299999999999999822e+00 1.470630000000000080e-08
7.320000000000000284e+00 1.456899999999999963e-08
7.339999999999999858e+00 1.442929999999999938e-08
7.360000000000000320e+00 1.428709999999999960e-08
7.379999999999999893e+00 1.414269999999999998e-08
7.400000000000000355e+00 1.399629999999999974e-08
7.419999999999999929e+00 1.384790000000000054e-08
7.440000000000000391e+00 1.369789999999999920e-08
7.459999999999999964e+00 1.354620000000000023e-08
7.480000000000000426e+00 1.339299999999999956e-08
7.500000000000000000e+00 1.323849999999999973e-08
7.519999999999999574e+00 1.308279999999999953e-08
7.540000000000000036e+00 1.292599999999999941e-08
7.559999999999999609e+00 1.276819999999999981e-08
7.580000000000000071e+00 1.260959999999999997e-08
7.599999999999999645e+00 1.245030000000000032e-08
7.620000000000000107e+00 1.229029999999999922e-08
7.639999999999999680e+00 1.212979999999999920e-08
7.660000000000000142e+00 1.196890000000000072e-08
7.679999999999999716e+00 1.180769999999999925e-08
7.700000000000000178e+00 1.164630000000000020e-08
7.719999999999999751e+00 1.148480000000000071e-08
7.740000000000000213e+00 1.132320000000000077e-08
7.759999999999999787e+00 1.116169999999999962e-08
7.780000000000000249e+00 1.100039999999999936e-08
7.799999999999999822e+00 1.083929999999999999e-08
7.820000000000000284e+00 1.067850000000000030e-08
7.839999999999999858e+00 1.051810000000000073e-08
7.860000000000000320e+00 1.035820000000000007e-08
7.879999999999999893e+00 1.019890000000000042e-08
7.900000000000000355e+00 1.004020000000000013e-08
7.919999999999999929e+00 9.882140000000000370e-09
7.940000000000000391e+00 9.724920000000000369e-09
7.959999999999999964e+00 9.568520000000000372e-09
7.980000000000000426e+00 9.413029999999999288e-09
8.000000000000000000e+00 9.258509999999999702e-09
8.019999999999999574e+00 9.105009999999999353e-09
8.039999999999999147e+00 8.952600000000000704e-09
8.060000000000000497e+00 8.801319999999999960e-09
8.080000000000000071e+00 8.651229999999999706e-09
8.099999999999999645e+00 8.502379999999999336e-09
8.119999999999999218e+00 8.354819999999999900e-09
8.140000000000000568e+00 8.208589999999999258e-09
8.160000000000000142e+00 8.063730000000000236e-09
8.179999999999999716e+00 7.920280000000000695e-09
8.199999999999999289e+00 7.778280000000000151e-09
8.220000000000000639e+00 7.637759999999999896e-09
8.240000000000000213e+00 7.498769999999999325e-09
8.259999999999999787e+00 7.361310000000000091e-09
8.279999999999999361e+00 7.225439999999999815e-09
8.300000000000000711e+00 7.091150000000000271e-09
8.320000000000000284e+00 6.958480000000000149e-09
8.339999999999999858e+00 6.827459999999999913e-09
8.359999999999999432e+00 6.698090000000000390e-09
8.380000000000000782e+00 6.570410000000000268e-09
8.400000000000000355e+00 6.444409999999999669e-09
8.419999999999999929e+00 6.320119999999999884e-09
8.439999999999999503e+00 6.197540000000000087e-09
8.460000000000000853e+00 6.076680000000000154e-09
8.480000000000000426e+00 5.957540000000000088e-09
8.500000000000000000e+00 5.840139999999999646e-09
