# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 4.203899999999999863e-45
4.809999999999999609e+00 1.611490000000000050e-43
4.830000000000000071e+00 5.298309999999999911e-42
4.849999999999999645e+00 1.487999999999999921e-40
4.870000000000000107e+00 3.598089999999999972e-39
4.889999999999999680e+00 7.542019999999999551e-38
4.910000000000000142e+00 1.379359999999999932e-36
4.929999999999999716e+00 2.214559999999999899e-35
4.950000000000000178e+00 3.139449999999999972e-34
4.969999999999999751e+00 3.952219999999999910e-33
4.990000000000000213e+00 4.442249999999999803e-32
5.009999999999999787e+00 4.480399999999999894e-31
5.030000000000000249e+00 4.075259999999999955e-30
5.049999999999999822e+00 3.358170000000000215e-29
5.070000000000000284e+00 2.518479999999999831e-28
5.089999999999999858e+00 1.726120000000000035e-27
5.110000000000000320e+00 1.085679999999999976e-26
5.129999999999999893e+00 6.290509999999999436e-26
5.150000000000000355e+00 3.370289999999999981e-25
5.169999999999999929e+00 1.675499999999999940e-24
5.190000000000000391e+00 7.755750000000000035e-24
5.209999999999999964e+00 3.353300000000000148e-23
5.230000000000000426e+00 1.358489999999999961e-22
5.250000000000000000e+00 5.171649999999999869e-22
5.269999999999999574e+00 1.855340000000000139e-21
5.290000000000000036e+00 6.289499999999999712e-21
5.309999999999999609e+00 2.019789999999999977e-20
5.330000000000000071e+00 6.159460000000000359e-20
5.349999999999999645e+00 1.787940000000000056e-19
5.370000000000000107e+00 4.951289999999999675e-19
5.389999999999999680e+00 1.310829999999999981e-18
5.410000000000000142e+00 3.324430000000000190e-18
5.429999999999999716e+00 8.092369999999999411e-18
5.450000000000000178e+00 1.894270000000000013e-17
5.469999999999999751e+00 4.271400000000000244e-17
5.490000000000000213e+00 9.293730000000000544e-17
5.509999999999999787e+00 1.954379999999999919e-16
5.530000000000000249e+00 3.978340000000000172e-16
5.549999999999999822e+00 7.850549999999999939e-16
5.570000000000000284e+00 1.503859999999999947e-15
5.589999999999999858e+00 2.800349999999999839e-15
5.610000000000000320e+00 5.075480000000000187e-15
5.629999999999999893e+00 8.964509999999999407e-15
5.650000000000000355e+00 1.544759999999999960e-14
5.669999999999999929e+00 2.599980000000000095e-14
5.690000000000000391e+00 4.278800000000000029e-14
5.709999999999999964e+00 6.790739999999999901e-14
5.730000000000000426e+00 1.057610000000000049e-13
5.750000000000000000e+00 1.619190000000000091e-13
5.769999999999999574e+00 2.437659999999999935e-13
5.790000000000000036e+00 3.609860000000000231e-13
5.809999999999999609e+00 5.260469999999999495e-13
5.830000000000000071e+00 7.546939999999999748e-13
5.849999999999999645e+00 1.066399999999999980e-12
5.870000000000000107e+00 1.484869999999999912e-12
5.889999999999999680e+00 2.038409999999999995e-12
5.910000000000000142e+00 2.760290000000000146e-12
5.929999999999999716e+00 3.688880000000000332e-12
5.950000000000000178e+00 4.867840000000000390e-12
5.969999999999999751e+00 6.345989999999999701e-12
5.990000000000000213e+00 8.177170000000000790e-12
6.009999999999999787e+00 1.041969999999999931e-11
6.030000000000000249e+00 1.313610000000000014e-11
6.049999999999999822e+00 1.639189999999999925e-11
6.070000000000000284e+00 2.025569999999999900e-11
6.089999999999999858e+00 2.479710000000000063e-11
6.110000000000000320e+00 3.008619999999999998e-11
6.129999999999999893e+00 3.619299999999999977e-11
6.150000000000000355e+00 4.318550000000000173e-11
6.169999999999999929e+00 5.112870000000000124e-11
6.190000000000000391e+00 6.008330000000000592e-11
6.209999999999999964e+00 7.010550000000000415e-11
6.230000000000000426e+00 8.124559999999999704e-11
6.250000000000000000e+00 9.354649999999999848e-11
6.269999999999999574e+00 1.070429999999999994e-10
6.290000000000000036e+00 1.217630000000000013e-10
6.309999999999999609e+00 1.377239999999999992e-10
6.330000000000000071e+00 1.549360000000000014e-10
6.349999999999999645e+00 1.733979999999999993e-10
6.370000000000000107e+00 1.931000000000000104e-10
6.389999999999999680e+00 2.140230000000000012e-10
6.410000000000000142e+00 2.361400000000000241e-10
6.429999999999999716e+00 2.594120000000000033e-10
6.450000000000000178e+00 2.837960000000000093e-10
6.469999999999999751e+00 3.092359999999999752e-10
6.490000000000000213e+00 3.356730000000000153e-10
6.509999999999999787e+00 3.630380000000000030e-10
6.530000000000000249e+00 3.912600000000000013e-10
6.549999999999999822e+00 4.202579999999999874e-10
6.570000000000000284e+00 4.499499999999999817e-10
6.589999999999999858e+00 4.802499999999999701e-10
6.610000000000000320e+00 5.110689999999999647e-10
6.629999999999999893e+00 5.423150000000000034e-10
6.650000000000000355e+00 5.738940000000000036e-10
6.669999999999999929e+00 6.057150000000000119e-10
6.690000000000000391e+00 6.376849999999999543e-10
6.709999999999999964e+00 6.697109999999999634e-10
6.730000000000000426e+00 7.017039999999999997e-10
6.750000000000000000e+00 7.335740000000000147e-10
6.769999999999999574e+00 7.652380000000000204e-10
6.790000000000000036e+00 7.966120000000000198e-10
6.809999999999999609e+00 8.276160000000000504e-10
6.830000000000000071e+00 8.581759999999999945e-10
6.849999999999999645e+00 8.882209999999999668e-10
6.870000000000000107e+00 9.176850000000000213e-10
6.889999999999999680e+00 9.465049999999999280e-10
6.910000000000000142e+00 9.746230000000000164e-10
6.929999999999999716e+00 1.001989999999999970e-09
6.950000000000000178e+00 1.028549999999999928e-09
6.969999999999999751e+00 1.054269999999999917e-09
6.990000000000000213e+00 1.079099999999999924e-09
7.009999999999999787e+00 1.103019999999999982e-09
7.030000000000000249e+00 1.125989999999999955e-09
7.049999999999999822e+00 1.147980000000000000e-09
7.070000000000000284e+00 1.168980000000000031e-09
7.089999999999999858e+00 1.188979999999999962e-09
7.110000000000000320e+00 1.207940000000000070e-09
7.129999999999999893e+00 1.225879999999999907e-09
7.150000000000000355e+00 1.242779999999999921e-09
7.169999999999999929e+00 1.258630000000000026e-09
7.190000000000000391e+00 1.273440000000000102e-09
7.209999999999999964e+00 1.287209999999999942e-09
7.230000000000000426e+00 1.299939999999999959e-09
7.259999999999999787e+00 1.311649999999999911e-09
7.280000000000000249e+00 1.322340000000000006e-09
7.299999999999999822e+00 1.332019999999999915e-09
7.320000000000000284e+00 1.340710000000000016e-09
7.339999999999999858e+00 1.348419999999999982e-09
7.360000000000000320e+00 1.355169999999999985e-09
7.379999999999999893e+00 1.360979999999999988e-09
7.400000000000000355e+00 1.365860000000000079e-09
7.419999999999999929e+00 1.369840000000000100e-09
7.440000000000000391e+00 1.372940000000000017e-09
7.459999999999999964e+00 1.375180000000000001e-09
7.480000000000000426e+00 1.376580000000000017e-09
7.500000000000000000e+00 1.377169999999999909e-09
7.519999999999999574e+00 1.376970000000000054e-09
7.540000000000000036e+00 1.376000000000000005e-09
7.559999999999999609e+00 1.374290000000000018e-09
7.580000000000000071e+00 1.371869999999999937e-09
7.599999999999999645e+00 1.368759999999999935e-09
7.620000000000000107e+00 1.364979999999999974e-09
7.639999999999999680e+00 1.360569999999999987e-09
7.660000000000000142e+00 1.355540000000000057e-09
7.679999999999999716e+00 1.349920000000000029e-09
7.700000000000000178e+00 1.343739999999999953e-09
7.719999999999999751e+00 1.337020000000000001e-09
7.740000000000000213e+00 1.329800000000000102e-09
7.759999999999999787e+00 1.322080000000000050e-09
7.780000000000000249e+00 1.313899999999999981e-09
7.799999999999999822e+00 1.305289999999999946e-09
7.820000000000000284e+00 1.296260000000000030e-09
7.839999999999999858e+00 1.286829999999999991e-09
7.860000000000000320e+00 1.277039999999999966e-09
7.879999999999999893e+00 1.266900000000000040e-09
7.900000000000000355e+00 1.256440000000000058e-09
7.919999999999999929e+00 1.245669999999999897e-09
7.940000000000000391e+00 1.234620000000000023e-09
7.959999999999999964e+00 1.223299999999999901e-09
7.980000000000000426e+00 1.211750000000000081e-09
8.000000000000000000e+00 1.199960000000000062e-09
8.019999999999999574e+00 1.187969999999999983e-09
8.039999999999999147e+00 1.175780000000000049e-09
8.060000000000000497e+00 1.163419999999999897e-09
8.080000000000000071e+00 1.150909999999999906e-09
8.099999999999999645e+00 1.138250000000000076e-09
8.119999999999999218e+00 1.125459999999999958e-09
8.140000000000000568e+00 1.112550000000000051e-09
8.160000000000000142e+00 1.099549999999999993e-09
8.179999999999999716e+00 1.086449999999999903e-09
8.199999999999999289e+00 1.073280000000000041e-09
8.220000000000000639e+00 1.060039999999999991e-09
8.240000000000000213e+00 1.046740000000000048e-09
8.259999999999999787e+00 1.033399999999999968e-09
8.279999999999999361e+00 1.020030000000000044e-09
8.300000000000000711e+00 1.006630000000000069e-09
8.320000000000000284e+00 9.932070000000000011e-10
8.339999999999999858e+00 9.797780000000000881e-10
8.359999999999999432e+00 9.663469999999999511e-10
8.380000000000000782e+00 9.529229999999999776e-10
8.400000000000000355e+00 9.395120000000000123e-10
8.419999999999999929e+00 9.261200000000000031e-10
8.439999999999999503e+00 9.127540000000000101e-10
8.460000000000000853e+00 8.994199999999999815e-10
8.480000000000000426e+00 8.861229999999999601e-10
8.500000000000000000e+00 8.728700000000000060e-10
