# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 9.809089999999999426e-45
4.870000000000000107e+00 3.503250000000000098e-43
4.889999999999999680e+00 1.093150000000000051e-41
4.910000000000000142e+00 2.928590000000000195e-40
4.929999999999999716e+00 6.769379999999999530e-39
4.950000000000000178e+00 1.359049999999999992e-37
4.969999999999999751e+00 2.385170000000000062e-36
4.990000000000000213e+00 3.681819999999999905e-35
5.009999999999999787e+00 5.027180000000000149e-34
5.030000000000000249e+00 6.106240000000000250e-33
5.049999999999999822e+00 6.632089999999999497e-32
5.070000000000000284e+00 6.474450000000000384e-31
5.089999999999999858e+00 5.707849999999999925e-30
5.110000000000000320e+00 4.565660000000000007e-29
5.129999999999999893e+00 3.327899999999999966e-28
5.150000000000000355e+00 2.219870000000000072e-27
5.169999999999999929e+00 1.360449999999999971e-26
5.190000000000000391e+00 7.690079999999999569e-26
5.209999999999999964e+00 4.023739999999999830e-25
5.230000000000000426e+00 1.955790000000000037e-24
5.250000000000000000e+00 8.859849999999999572e-24
5.269999999999999574e+00 3.752670000000000165e-23
5.290000000000000036e+00 1.490709999999999950e-22
5.309999999999999609e+00 5.569709999999999973e-22
5.330000000000000071e+00 1.962679999999999860e-21
5.349999999999999645e+00 6.540330000000000127e-21
5.370000000000000107e+00 2.066319999999999875e-20
5.389999999999999680e+00 6.204070000000000136e-20
5.410000000000000142e+00 1.774289999999999892e-19
5.429999999999999716e+00 4.843990000000000061e-19
5.450000000000000178e+00 1.265140000000000034e-18
5.469999999999999751e+00 3.167300000000000087e-18
5.490000000000000213e+00 7.615110000000000150e-18
5.509999999999999787e+00 1.761580000000000144e-17
5.530000000000000249e+00 3.927650000000000205e-17
5.549999999999999822e+00 8.454410000000000298e-17
5.570000000000000284e+00 1.759679999999999930e-16
5.589999999999999858e+00 3.546960000000000053e-16
5.610000000000000320e+00 6.933989999999999694e-16
5.629999999999999893e+00 1.316460000000000096e-15
5.650000000000000355e+00 2.430539999999999850e-15
5.669999999999999929e+00 4.369349999999999893e-15
5.690000000000000391e+00 7.657409999999999920e-15
5.709999999999999964e+00 1.309760000000000047e-14
5.730000000000000426e+00 2.188839999999999966e-14
5.750000000000000000e+00 3.563750000000000213e-14
5.769999999999999574e+00 5.617499999999999793e-14
5.790000000000000036e+00 8.702850000000000121e-14
5.809999999999999609e+00 1.325480000000000073e-13
5.830000000000000071e+00 1.985299999999999881e-13
5.849999999999999645e+00 2.925289999999999948e-13
5.870000000000000107e+00 4.242159999999999970e-13
5.889999999999999680e+00 6.057150000000000095e-13
5.910000000000000142e+00 8.519719999999999971e-13
5.929999999999999716e+00 1.181019999999999950e-12
5.950000000000000178e+00 1.614360000000000000e-12
5.969999999999999751e+00 2.177030000000000065e-12
5.990000000000000213e+00 2.897889999999999883e-12
6.009999999999999787e+00 3.809530000000000227e-12
6.030000000000000249e+00 4.948210000000000380e-12
6.049999999999999822e+00 6.353750000000000063e-12
6.070000000000000284e+00 8.069210000000000511e-12
6.089999999999999858e+00 1.014030000000000032e-11
6.110000000000000320e+00 1.261499999999999986e-11
6.129999999999999893e+00 1.554299999999999870e-11
6.150000000000000355e+00 1.897479999999999868e-11
6.169999999999999929e+00 2.296099999999999960e-11
6.190000000000000391e+00 2.755140000000000153e-11
6.209999999999999964e+00 3.279470000000000283e-11
6.230000000000000426e+00 3.873709999999999980e-11
6.250000000000000000e+00 4.542139999999999708e-11
6.269999999999999574e+00 5.288679999999999877e-11
6.290000000000000036e+00 6.116780000000000357e-11
6.309999999999999609e+00 7.029420000000000475e-11
6.330000000000000071e+00 8.028980000000000227e-11
6.349999999999999645e+00 9.117170000000000581e-11
6.370000000000000107e+00 1.029519999999999951e-10
6.389999999999999680e+00 1.156340000000000010e-10
6.410000000000000142e+00 1.292169999999999944e-10
6.429999999999999716e+00 1.436910000000000056e-10
6.450000000000000178e+00 1.590419999999999922e-10
6.469999999999999751e+00 1.752460000000000067e-10
6.490000000000000213e+00 1.922740000000000073e-10
6.509999999999999787e+00 2.100929999999999951e-10
6.530000000000000249e+00 2.286629999999999889e-10
6.549999999999999822e+00 2.479390000000000162e-10
6.570000000000000284e+00 2.678690000000000187e-10
6.589999999999999858e+00 2.884010000000000156e-10
6.610000000000000320e+00 3.094769999999999747e-10
6.629999999999999893e+00 3.310359999999999930e-10
6.650000000000000355e+00 3.530160000000000039e-10
6.669999999999999929e+00 3.753510000000000100e-10
6.690000000000000391e+00 3.979760000000000224e-10
6.709999999999999964e+00 4.208229999999999746e-10
6.730000000000000426e+00 4.438260000000000243e-10
6.750000000000000000e+00 4.669169999999999501e-10
6.769999999999999574e+00 4.900320000000000300e-10
6.790000000000000036e+00 5.131059999999999650e-10
6.809999999999999609e+00 5.360740000000000246e-10
6.830000000000000071e+00 5.588770000000000130e-10
6.849999999999999645e+00 5.814569999999999495e-10
6.870000000000000107e+00 6.037569999999999656e-10
6.889999999999999680e+00 6.257220000000000029e-10
6.910000000000000142e+00 6.473049999999999686e-10
6.929999999999999716e+00 6.684569999999999593e-10
6.950000000000000178e+00 6.891360000000000282e-10
6.969999999999999751e+00 7.093000000000000218e-10
6.990000000000000213e+00 7.289130000000000450e-10
7.009999999999999787e+00 7.479420000000000214e-10
7.030000000000000249e+00 7.663559999999999952e-10
7.049999999999999822e+00 7.841289999999999503e-10
7.070000000000000284e+00 8.012379999999999994e-10
7.089999999999999858e+00 8.176619999999999626e-10
7.110000000000000320e+00 8.333829999999999954e-10
7.129999999999999893e+00 8.483879999999999865e-10
7.150000000000000355e+00 8.626650000000000397e-10
7.169999999999999929e+00 8.762059999999999829e-10
7.190000000000000391e+00 8.890029999999999543e-10
7.209999999999999964e+00 9.010540000000000402e-10
7.230000000000000426e+00 9.123560000000000080e-10
7.259999999999999787e+00 9.229099999999999697e-10
7.280000000000000249e+00 9.327180000000000458e-10
7.299999999999999822e+00 9.417840000000000640e-10
7.320000000000000284e+00 9.501139999999999721e-10
7.339999999999999858e+00 9.577149999999999338e-10
7.360000000000000320e+00 9.645959999999999227e-10
7.379999999999999893e+00 9.707650000000000076e-10
7.400000000000000355e+00 9.762360000000001017e-10
7.419999999999999929e+00 9.810190000000000841e-10
7.440000000000000391e+00 9.851269999999999628e-10
7.459999999999999964e+00 9.885740000000000647e-10
7.480000000000000426e+00 9.913759999999999068e-10
7.500000000000000000e+00 9.935459999999999107e-10
7.519999999999999574e+00 9.951009999999999120e-10
7.540000000000000036e+00 9.960570000000000481e-10
7.559999999999999609e+00 9.964309999999999477e-10
7.580000000000000071e+00 9.962400000000000670e-10
7.599999999999999645e+00 9.955019999999999399e-10
7.620000000000000107e+00 9.942340000000000224e-10
7.639999999999999680e+00 9.924540000000000555e-10
7.660000000000000142e+00 9.901799999999999866e-10
7.679999999999999716e+00 9.874310000000000822e-10
7.700000000000000178e+00 9.842239999999999712e-10
7.719999999999999751e+00 9.805779999999999199e-10
7.740000000000000213e+00 9.765119999999999879e-10
7.759999999999999787e+00 9.720430000000000109e-10
7.780000000000000249e+00 9.671889999999999364e-10
7.799999999999999822e+00 9.619679999999999190e-10
7.820000000000000284e+00 9.563990000000000181e-10
7.839999999999999858e+00 9.504970000000000524e-10
7.860000000000000320e+00 9.442810000000000813e-10
7.879999999999999893e+00 9.377679999999999405e-10
7.900000000000000355e+00 9.309729999999999655e-10
7.919999999999999929e+00 9.239129999999999920e-10
7.940000000000000391e+00 9.166049999999999589e-10
7.959999999999999964e+00 9.090629999999999864e-10
7.980000000000000426e+00 9.013030000000000049e-10
8.000000000000000000e+00 8.933390000000000312e-10
8.019999999999999574e+00 8.851859999999999871e-10
8.039999999999999147e+00 8.768559999999999755e-10
8.060000000000000497e+00 8.683630000000000132e-10
8.080000000000000071e+00 8.597210000000000135e-10
8.099999999999999645e+00 8.509409999999999673e-10
8.119999999999999218e+00 8.420349999999999776e-10
8.140000000000000568e+00 8.330140000000000353e-10
8.160000000000000142e+00 8.238890000000000280e-10
8.179999999999999716e+00 8.146710000000000501e-10
8.199999999999999289e+00 8.053689999999999720e-10
8.220000000000000639e+00 7.959929999999999829e-10
8.240000000000000213e+00 7.865519999999999532e-10
8.259999999999999787e+00 7.770539999999999514e-10
8.279999999999999361e+00 7.675070000000000463e-10
8.300000000000000711e+00 7.579189999999999963e-10
8.320000000000000284e+00 7.482979999999999734e-10
8.339999999999999858e+00 7.386490000000000205e-10
8.359999999999999432e+00 7.289799999999999994e-10
8.380000000000000782e+00 7.192979999999999701e-10
8.400000000000000355e+00 7.096069999999999671e-10
8.419999999999999929e+00 6.999140000000000503e-10
8.439999999999999503e+00 6.902239999999999525e-10
8.460000000000000853e+00 6.805420000000000266e-10
8.480000000000000426e+00 6.708719999999999969e-10
8.500000000000000000e+00 6.612200000000000183e-10
