# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 2.382210000000000234e-44
4.990000000000000213e+00 8.043450000000000416e-43
5.009999999999999787e+00 2.340589999999999884e-41
5.030000000000000249e+00 5.858810000000000292e-40
5.049999999999999822e+00 1.269160000000000063e-38
5.070000000000000284e+00 2.395269999999999892e-37
5.089999999999999858e+00 3.962500000000000213e-36
5.110000000000000320e+00 5.780959999999999806e-35
5.129999999999999893e+00 7.479420000000000407e-34
5.150000000000000355e+00 8.629219999999999945e-33
5.169999999999999929e+00 8.923110000000000316e-32
5.190000000000000391e+00 8.311820000000000730e-31
5.209999999999999964e+00 7.006769999999999639e-30
5.230000000000000426e+00 5.370059999999999636e-29
5.250000000000000000e+00 3.757609999999999784e-28
5.269999999999999574e+00 2.410580000000000111e-27
5.290000000000000036e+00 1.423409999999999969e-26
5.309999999999999609e+00 7.765059999999999761e-26
5.330000000000000071e+00 3.927410000000000112e-25
5.349999999999999645e+00 1.848040000000000021e-24
5.370000000000000107e+00 8.116990000000000592e-24
5.389999999999999680e+00 3.338049999999999888e-23
5.410000000000000142e+00 1.289089999999999989e-22
5.429999999999999716e+00 4.688300000000000123e-22
5.450000000000000178e+00 1.610190000000000046e-21
5.469999999999999751e+00 5.235739999999999675e-21
5.490000000000000213e+00 1.615779999999999873e-20
5.509999999999999787e+00 4.743839999999999914e-20
5.530000000000000249e+00 1.328019999999999897e-19
5.549999999999999822e+00 3.552509999999999904e-19
5.570000000000000284e+00 9.099099999999999986e-19
5.589999999999999858e+00 2.235939999999999906e-18
5.610000000000000320e+00 5.281320000000000029e-18
5.629999999999999893e+00 1.201190000000000000e-17
5.650000000000000355e+00 2.635119999999999888e-17
5.669999999999999929e+00 5.585060000000000078e-17
5.690000000000000391e+00 1.145449999999999956e-16
5.709999999999999964e+00 2.276569999999999835e-16
5.730000000000000426e+00 4.390919999999999867e-16
5.750000000000000000e+00 8.229889999999999709e-16
5.769999999999999574e+00 1.500940000000000088e-15
5.790000000000000036e+00 2.666799999999999868e-15
5.809999999999999609e+00 4.621599999999999998e-15
5.830000000000000071e+00 7.820990000000000105e-15
5.849999999999999645e+00 1.293790000000000065e-14
5.870000000000000107e+00 2.071389999999999921e-14
5.889999999999999680e+00 3.240310000000000306e-14
5.910000000000000142e+00 4.982250000000000051e-14
5.929999999999999716e+00 7.531930000000000098e-14
5.950000000000000178e+00 1.119869999999999953e-13
5.969999999999999751e+00 1.638280000000000013e-13
5.990000000000000213e+00 2.359209999999999900e-13
6.009999999999999787e+00 3.345720000000000005e-13
6.030000000000000249e+00 4.674920000000000037e-13
6.049999999999999822e+00 6.439409999999999519e-13
6.070000000000000284e+00 8.748230000000000176e-13
6.089999999999999858e+00 1.172790000000000095e-12
6.110000000000000320e+00 1.552290000000000043e-12
6.129999999999999893e+00 2.029549999999999970e-12
6.150000000000000355e+00 2.622530000000000135e-12
6.169999999999999929e+00 3.350760000000000154e-12
6.190000000000000391e+00 4.235250000000000154e-12
6.209999999999999964e+00 5.298179999999999948e-12
6.230000000000000426e+00 6.562759999999999796e-12
6.250000000000000000e+00 8.052709999999999521e-12
6.269999999999999574e+00 9.792070000000000300e-12
6.290000000000000036e+00 1.180490000000000032e-11
6.309999999999999609e+00 1.411459999999999965e-11
6.330000000000000071e+00 1.674380000000000142e-11
6.349999999999999645e+00 1.971390000000000145e-11
6.370000000000000107e+00 2.304449999999999859e-11
6.389999999999999680e+00 2.675370000000000141e-11
6.410000000000000142e+00 3.085669999999999877e-11
6.429999999999999716e+00 3.536659999999999836e-11
6.450000000000000178e+00 4.029360000000000109e-11
6.469999999999999751e+00 4.564510000000000066e-11
6.490000000000000213e+00 5.142480000000000035e-11
6.509999999999999787e+00 5.763390000000000143e-11
6.530000000000000249e+00 6.427050000000000569e-11
6.549999999999999822e+00 7.132869999999999999e-11
6.570000000000000284e+00 7.879980000000000276e-11
6.589999999999999858e+00 8.667230000000000582e-11
6.610000000000000320e+00 9.493179999999999420e-11
6.629999999999999893e+00 1.035609999999999979e-10
6.650000000000000355e+00 1.125389999999999978e-10
6.669999999999999929e+00 1.218439999999999982e-10
6.690000000000000391e+00 1.314529999999999957e-10
6.709999999999999964e+00 1.413380000000000086e-10
6.730000000000000426e+00 1.514710000000000035e-10
6.750000000000000000e+00 1.618250000000000073e-10
6.769999999999999574e+00 1.723680000000000039e-10
6.790000000000000036e+00 1.830699999999999944e-10
6.809999999999999609e+00 1.938989999999999888e-10
6.830000000000000071e+00 2.048240000000000053e-10
6.849999999999999645e+00 2.158130000000000022e-10
6.870000000000000107e+00 2.268349999999999979e-10
6.889999999999999680e+00 2.378599999999999934e-10
6.910000000000000142e+00 2.488560000000000245e-10
6.929999999999999716e+00 2.597949999999999802e-10
6.950000000000000178e+00 2.706499999999999908e-10
6.969999999999999751e+00 2.813920000000000143e-10
6.990000000000000213e+00 2.919949999999999827e-10
7.009999999999999787e+00 3.024370000000000176e-10
7.030000000000000249e+00 3.126930000000000078e-10
7.049999999999999822e+00 3.227429999999999886e-10
7.070000000000000284e+00 3.325659999999999867e-10
7.089999999999999858e+00 3.421450000000000112e-10
7.110000000000000320e+00 3.514620000000000112e-10
7.129999999999999893e+00 3.605030000000000216e-10
7.150000000000000355e+00 3.692540000000000258e-10
7.169999999999999929e+00 3.777030000000000243e-10
7.190000000000000391e+00 3.858399999999999828e-10
7.209999999999999964e+00 3.936559999999999794e-10
7.230000000000000426e+00 4.011419999999999885e-10
7.259999999999999787e+00 4.082930000000000189e-10
7.280000000000000249e+00 4.151039999999999761e-10
7.299999999999999822e+00 4.215700000000000238e-10
7.320000000000000284e+00 4.276879999999999814e-10
7.339999999999999858e+00 4.334580000000000039e-10
7.360000000000000320e+00 4.388770000000000138e-10
7.379999999999999893e+00 4.439469999999999767e-10
7.400000000000000355e+00 4.486679999999999958e-10
7.419999999999999929e+00 4.530419999999999851e-10
7.440000000000000391e+00 4.570720000000000218e-10
7.459999999999999964e+00 4.607600000000000198e-10
7.480000000000000426e+00 4.641100000000000134e-10
7.500000000000000000e+00 4.671280000000000024e-10
7.519999999999999574e+00 4.698170000000000124e-10
7.540000000000000036e+00 4.721830000000000433e-10
7.559999999999999609e+00 4.742310000000000346e-10
7.580000000000000071e+00 4.759689999999999515e-10
7.599999999999999645e+00 4.774020000000000436e-10
7.620000000000000107e+00 4.785369999999999575e-10
7.639999999999999680e+00 4.793809999999999600e-10
7.660000000000000142e+00 4.799420000000000162e-10
7.679999999999999716e+00 4.802279999999999882e-10
7.700000000000000178e+00 4.802450000000000306e-10
7.719999999999999751e+00 4.800020000000000140e-10
7.740000000000000213e+00 4.795070000000000069e-10
7.759999999999999787e+00 4.787679999999999746e-10
7.780000000000000249e+00 4.777929999999999857e-10
7.799999999999999822e+00 4.765920000000000226e-10
7.820000000000000284e+00 4.751710000000000334e-10
7.839999999999999858e+00 4.735400000000000005e-10
7.860000000000000320e+00 4.717059999999999839e-10
7.879999999999999893e+00 4.696789999999999660e-10
7.900000000000000355e+00 4.674670000000000154e-10
7.919999999999999929e+00 4.650769999999999854e-10
7.940000000000000391e+00 4.625180000000000049e-10
7.959999999999999964e+00 4.597989999999999959e-10
7.980000000000000426e+00 4.569270000000000187e-10
8.000000000000000000e+00 4.539109999999999952e-10
8.019999999999999574e+00 4.507569999999999769e-10
8.039999999999999147e+00 4.474729999999999808e-10
8.060000000000000497e+00 4.440679999999999807e-10
8.080000000000000071e+00 4.405479999999999763e-10
8.099999999999999645e+00 4.369199999999999760e-10
8.119999999999999218e+00 4.331909999999999882e-10
8.140000000000000568e+00 4.293680000000000211e-10
8.160000000000000142e+00 4.254570000000000229e-10
8.179999999999999716e+00 4.214639999999999934e-10
8.199999999999999289e+00 4.173959999999999926e-10
8.220000000000000639e+00 4.132580000000000116e-10
8.240000000000000213e+00 4.090570000000000072e-10
8.259999999999999787e+00 4.047960000000000050e-10
8.279999999999999361e+00 4.004820000000000135e-10
8.300000000000000711e+00 3.961190000000000153e-10
8.320000000000000284e+00 3.917120000000000014e-10
8.339999999999999858e+00 3.872650000000000063e-10
8.359999999999999432e+00 3.827830000000000212e-10
8.380000000000000782e+00 3.782690000000000200e-10
8.400000000000000355e+00 3.737290000000000026e-10
8.419999999999999929e+00 3.691649999999999861e-10
8.439999999999999503e+00 3.645810000000000048e-10
8.460000000000000853e+00 3.599790000000000243e-10
8.480000000000000426e+00 3.553649999999999924e-10
8.500000000000000000e+00 3.507390000000000127e-10
