# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 0.000000000000000000e+00
5.030000000000000249e+00 0.000000000000000000e+00
5.049999999999999822e+00 0.000000000000000000e+00
5.070000000000000284e+00 0.000000000000000000e+00
5.089999999999999858e+00 0.000000000000000000e+00
5.110000000000000320e+00 0.000000000000000000e+00
5.129999999999999893e+00 0.000000000000000000e+00
5.150000000000000355e+00 1.121039999999999964e-44
5.169999999999999929e+00 3.699430000000000252e-43
5.190000000000000391e+00 9.999669999999999676e-42
5.209999999999999964e+00 2.334180000000000111e-40
5.230000000000000426e+00 4.731239999999999999e-39
5.250000000000000000e+00 8.378969999999999499e-38
5.269999999999999574e+00 1.304560000000000083e-36
5.290000000000000036e+00 1.796160000000000016e-35
5.309999999999999609e+00 2.198970000000000024e-34
5.330000000000000071e+00 2.406409999999999937e-33
5.349999999999999645e+00 2.366019999999999916e-32
5.370000000000000107e+00 2.100350000000000202e-31
5.389999999999999680e+00 1.691120000000000088e-30
5.410000000000000142e+00 1.240390000000000016e-29
5.429999999999999716e+00 8.323230000000000518e-29
5.450000000000000178e+00 5.130309999999999946e-28
5.469999999999999751e+00 2.915819999999999930e-27
5.490000000000000213e+00 1.533620000000000006e-26
5.509999999999999787e+00 7.491229999999999857e-26
5.530000000000000249e+00 3.409829999999999979e-25
5.549999999999999822e+00 1.450870000000000034e-24
5.570000000000000284e+00 5.788220000000000197e-24
5.589999999999999858e+00 2.171520000000000023e-23
5.610000000000000320e+00 7.682539999999999462e-23
5.629999999999999893e+00 2.569830000000000201e-22
5.650000000000000355e+00 8.148000000000000352e-22
5.669999999999999929e+00 2.454759999999999934e-21
5.690000000000000391e+00 7.043499999999999285e-21
5.709999999999999964e+00 1.929030000000000101e-20
5.730000000000000426e+00 5.053130000000000041e-20
5.750000000000000000e+00 1.268649999999999938e-19
5.769999999999999574e+00 3.058579999999999887e-19
5.790000000000000036e+00 7.093740000000000358e-19
5.809999999999999609e+00 1.585540000000000077e-18
5.830000000000000071e+00 3.421030000000000123e-18
5.849999999999999645e+00 7.136719999999999416e-18
5.870000000000000107e+00 1.441650000000000029e-17
5.889999999999999680e+00 2.824070000000000104e-17
5.910000000000000142e+00 5.372270000000000149e-17
5.929999999999999716e+00 9.937430000000000285e-17
5.950000000000000178e+00 1.789649999999999903e-16
5.969999999999999751e+00 3.141759999999999898e-16
5.990000000000000213e+00 5.382620000000000283e-16
6.009999999999999787e+00 9.009540000000000456e-16
6.030000000000000249e+00 1.471240000000000020e-15
6.049999999999999822e+00 2.326060000000000172e-15
6.070000000000000284e+00 3.613380000000000351e-15
6.089999999999999858e+00 5.517029999999999641e-15
6.110000000000000320e+00 8.281900000000000726e-15
6.129999999999999893e+00 1.222889999999999958e-14
6.150000000000000355e+00 1.776889999999999889e-14
6.169999999999999929e+00 2.541900000000000067e-14
6.190000000000000391e+00 3.581740000000000019e-14
6.209999999999999964e+00 4.973760000000000104e-14
6.230000000000000426e+00 6.810410000000000159e-14
6.250000000000000000e+00 9.199649999999999832e-14
6.269999999999999574e+00 1.226619999999999978e-13
6.290000000000000036e+00 1.615170000000000124e-13
6.309999999999999609e+00 2.101450000000000098e-13
6.330000000000000071e+00 2.702889999999999805e-13
6.349999999999999645e+00 3.438350000000000187e-13
6.370000000000000107e+00 4.328110000000000225e-13
6.389999999999999680e+00 5.393490000000000478e-13
6.410000000000000142e+00 6.656609999999999845e-13
6.429999999999999716e+00 8.140209999999999703e-13
6.450000000000000178e+00 9.867229999999999750e-13
6.469999999999999751e+00 1.186049999999999980e-12
6.490000000000000213e+00 1.414220000000000006e-12
6.509999999999999787e+00 1.673380000000000085e-12
6.530000000000000249e+00 1.965580000000000193e-12
6.549999999999999822e+00 2.292660000000000048e-12
6.570000000000000284e+00 2.656329999999999850e-12
6.589999999999999858e+00 3.058059999999999997e-12
6.610000000000000320e+00 3.499090000000000189e-12
6.629999999999999893e+00 3.980410000000000404e-12
6.650000000000000355e+00 4.502700000000000191e-12
6.669999999999999929e+00 5.066409999999999613e-12
6.690000000000000391e+00 5.671670000000000207e-12
6.709999999999999964e+00 6.318309999999999964e-12
6.730000000000000426e+00 7.005869999999999914e-12
6.750000000000000000e+00 7.733639999999999750e-12
6.769999999999999574e+00 8.500629999999999898e-12
6.790000000000000036e+00 9.305579999999999210e-12
6.809999999999999609e+00 1.014700000000000028e-11
6.830000000000000071e+00 1.102310000000000056e-11
6.849999999999999645e+00 1.193210000000000002e-11
6.870000000000000107e+00 1.287199999999999927e-11
6.889999999999999680e+00 1.384040000000000068e-11
6.910000000000000142e+00 1.483509999999999926e-11
6.929999999999999716e+00 1.585369999999999898e-11
6.950000000000000178e+00 1.689379999999999896e-11
6.969999999999999751e+00 1.795270000000000124e-11
6.990000000000000213e+00 1.902800000000000010e-11
7.009999999999999787e+00 2.011719999999999995e-11
7.030000000000000249e+00 2.121769999999999914e-11
7.049999999999999822e+00 2.232720000000000123e-11
7.070000000000000284e+00 2.344310000000000136e-11
7.089999999999999858e+00 2.456319999999999938e-11
7.110000000000000320e+00 2.568509999999999927e-11
7.129999999999999893e+00 2.680670000000000047e-11
7.150000000000000355e+00 2.792579999999999961e-11
7.169999999999999929e+00 2.904039999999999892e-11
7.190000000000000391e+00 3.014850000000000063e-11
7.209999999999999964e+00 3.124830000000000287e-11
7.230000000000000426e+00 3.233820000000000290e-11
7.259999999999999787e+00 3.341630000000000252e-11
7.280000000000000249e+00 3.448120000000000135e-11
7.299999999999999822e+00 3.553120000000000030e-11
7.320000000000000284e+00 3.656519999999999772e-11
7.339999999999999858e+00 3.758170000000000010e-11
7.360000000000000320e+00 3.857940000000000018e-11
7.379999999999999893e+00 3.955720000000000274e-11
7.400000000000000355e+00 4.051409999999999920e-11
7.419999999999999929e+00 4.144890000000000123e-11
7.440000000000000391e+00 4.236069999999999983e-11
7.459999999999999964e+00 4.324859999999999890e-11
7.480000000000000426e+00 4.411180000000000193e-11
7.500000000000000000e+00 4.494939999999999990e-11
7.519999999999999574e+00 4.576080000000000187e-11
7.540000000000000036e+00 4.654519999999999841e-11
7.559999999999999609e+00 4.730199999999999858e-11
7.580000000000000071e+00 4.803079999999999765e-11
7.599999999999999645e+00 4.873079999999999911e-11
7.620000000000000107e+00 4.940169999999999780e-11
7.639999999999999680e+00 5.004300000000000235e-11
7.660000000000000142e+00 5.065450000000000070e-11
7.679999999999999716e+00 5.123570000000000149e-11
7.700000000000000178e+00 5.178649999999999870e-11
7.719999999999999751e+00 5.230650000000000053e-11
7.740000000000000213e+00 5.279580000000000007e-11
7.759999999999999787e+00 5.325399999999999906e-11
7.780000000000000249e+00 5.368140000000000267e-11
7.799999999999999822e+00 5.407769999999999928e-11
7.820000000000000284e+00 5.444320000000000050e-11
7.839999999999999858e+00 5.477780000000000031e-11
7.860000000000000320e+00 5.508179999999999739e-11
7.879999999999999893e+00 5.535539999999999736e-11
7.900000000000000355e+00 5.559889999999999890e-11
7.919999999999999929e+00 5.581250000000000114e-11
7.940000000000000391e+00 5.599670000000000191e-11
7.959999999999999964e+00 5.615170000000000034e-11
7.980000000000000426e+00 5.627810000000000028e-11
8.000000000000000000e+00 5.637620000000000044e-11
8.019999999999999574e+00 5.644669999999999777e-11
8.039999999999999147e+00 5.649010000000000302e-11
8.060000000000000497e+00 5.650690000000000109e-11
8.080000000000000071e+00 5.649770000000000230e-11
8.099999999999999645e+00 5.646319999999999714e-11
8.119999999999999218e+00 5.640390000000000284e-11
8.140000000000000568e+00 5.632060000000000298e-11
8.160000000000000142e+00 5.621380000000000186e-11
8.179999999999999716e+00 5.608430000000000246e-11
8.199999999999999289e+00 5.593280000000000174e-11
8.220000000000000639e+00 5.576000000000000313e-11
8.240000000000000213e+00 5.556659999999999711e-11
8.259999999999999787e+00 5.535320000000000046e-11
8.279999999999999361e+00 5.512049999999999722e-11
8.300000000000000711e+00 5.486940000000000286e-11
8.320000000000000284e+00 5.460040000000000229e-11
8.339999999999999858e+00 5.431419999999999893e-11
8.359999999999999432e+00 5.401160000000000222e-11
8.380000000000000782e+00 5.369320000000000309e-11
8.400000000000000355e+00 5.335959999999999894e-11
8.419999999999999929e+00 5.301159999999999921e-11
8.439999999999999503e+00 5.264970000000000173e-11
8.460000000000000853e+00 5.227470000000000302e-11
8.480000000000000426e+00 5.188700000000000135e-11
8.500000000000000000e+00 5.148739999999999970e-11
