# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 5.322859999999999467e-26
3.520000000000000018e+00 3.539050000000000219e-25
3.540000000000000036e+00 2.162259999999999921e-24
3.560000000000000053e+00 1.218620000000000058e-23
3.580000000000000071e+00 6.358380000000000272e-23
3.600000000000000089e+00 3.082210000000000054e-22
3.620000000000000107e+00 1.392699999999999935e-21
3.640000000000000124e+00 5.884550000000000226e-21
3.660000000000000142e+00 2.332070000000000030e-20
3.680000000000000160e+00 8.693650000000000392e-20
3.700000000000000178e+00 3.056999999999999892e-19
3.720000000000000195e+00 1.016650000000000095e-18
3.740000000000000213e+00 3.205639999999999838e-18
3.759999999999999787e+00 9.606810000000000114e-18
3.779999999999999805e+00 2.742590000000000134e-17
3.799999999999999822e+00 7.474880000000000088e-17
3.819999999999999840e+00 1.949109999999999885e-16
3.839999999999999858e+00 4.871989999999999912e-16
3.859999999999999876e+00 1.169659999999999959e-15
3.879999999999999893e+00 2.701930000000000105e-15
3.899999999999999911e+00 6.016130000000000198e-15
3.919999999999999929e+00 1.293319999999999961e-14
3.939999999999999947e+00 2.688619999999999895e-14
3.959999999999999964e+00 5.413079999999999993e-14
3.979999999999999982e+00 1.057019999999999998e-13
4.000000000000000000e+00 2.004659999999999912e-13
4.019999999999999574e+00 3.697419999999999910e-13
4.040000000000000036e+00 6.640340000000000360e-13
4.059999999999999609e+00 1.162660000000000016e-12
4.080000000000000071e+00 1.986869999999999995e-12
4.099999999999999645e+00 3.317610000000000037e-12
4.120000000000000107e+00 5.394819999999999827e-12
4.139999999999999680e+00 8.503449999999999274e-12
4.160000000000000142e+00 1.317170000000000051e-11
4.179999999999999716e+00 2.005629999999999967e-11
4.200000000000000178e+00 3.003090000000000121e-11
4.219999999999999751e+00 4.423439999999999900e-11
4.240000000000000213e+00 6.412199999999999839e-11
4.259999999999999787e+00 9.151990000000000467e-11
4.280000000000000249e+00 1.286749999999999977e-10
4.299999999999999822e+00 1.783020000000000115e-10
4.320000000000000284e+00 2.436319999999999813e-10
4.339999999999999858e+00 3.284309999999999798e-10
4.360000000000000320e+00 4.370349999999999803e-10
4.379999999999999893e+00 5.743379999999999868e-10
4.400000000000000355e+00 7.458039999999999818e-10
4.419999999999999929e+00 9.574119999999999194e-10
4.440000000000000391e+00 1.215639999999999950e-09
4.459999999999999964e+00 1.527359999999999987e-09
4.480000000000000426e+00 1.899809999999999874e-09
4.500000000000000000e+00 2.340450000000000122e-09
4.519999999999999574e+00 2.856909999999999805e-09
4.540000000000000036e+00 3.456810000000000184e-09
4.559999999999999609e+00 4.147730000000000110e-09
4.580000000000000071e+00 4.936950000000000410e-09
4.599999999999999645e+00 5.831499999999999973e-09
4.620000000000000107e+00 6.837869999999999673e-09
4.639999999999999680e+00 7.962030000000000060e-09
4.660000000000000142e+00 9.209299999999999621e-09
4.679999999999999716e+00 1.058409999999999946e-08
4.700000000000000178e+00 1.209020000000000029e-08
4.719999999999999751e+00 1.373029999999999921e-08
4.740000000000000213e+00 1.550620000000000090e-08
4.769999999999999574e+00 1.741880000000000110e-08
4.790000000000000036e+00 1.946760000000000089e-08
4.809999999999999609e+00 2.165159999999999914e-08
4.830000000000000071e+00 2.396850000000000052e-08
4.849999999999999645e+00 2.641499999999999864e-08
4.870000000000000107e+00 2.898690000000000130e-08
4.889999999999999680e+00 3.167919999999999954e-08
4.910000000000000142e+00 3.448590000000000310e-08
4.929999999999999716e+00 3.740030000000000039e-08
4.950000000000000178e+00 4.041490000000000279e-08
4.969999999999999751e+00 4.352160000000000241e-08
4.990000000000000213e+00 4.671200000000000165e-08
