# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 1.401299999999999954e-45
3.839999999999999858e+00 3.643380000000000006e-44
3.859999999999999876e+00 1.357859999999999946e-42
3.879999999999999893e+00 4.381579999999999761e-41
3.899999999999999911e+00 1.209879999999999927e-39
3.919999999999999929e+00 2.878710000000000186e-38
3.939999999999999947e+00 5.941690000000000019e-37
3.959999999999999964e+00 1.070710000000000021e-35
3.979999999999999982e+00 1.694890000000000011e-34
4.000000000000000000e+00 2.370649999999999998e-33
4.019999999999999574e+00 2.946399999999999755e-32
4.040000000000000036e+00 3.271089999999999872e-31
4.059999999999999609e+00 3.260839999999999847e-30
4.080000000000000071e+00 2.932719999999999816e-29
4.099999999999999645e+00 2.390900000000000140e-28
4.120000000000000107e+00 1.774779999999999850e-27
4.139999999999999680e+00 1.204589999999999994e-26
4.160000000000000142e+00 7.505480000000000046e-26
4.179999999999999716e+00 4.309869999999999837e-25
4.200000000000000178e+00 2.289350000000000084e-24
4.219999999999999751e+00 1.128829999999999954e-23
4.240000000000000213e+00 5.183990000000000043e-23
4.259999999999999787e+00 2.224470000000000048e-22
4.280000000000000249e+00 8.946599999999999362e-22
4.299999999999999822e+00 3.382210000000000140e-21
4.320000000000000284e+00 1.205300000000000074e-20
4.339999999999999858e+00 4.059510000000000124e-20
4.360000000000000320e+00 1.295580000000000100e-19
4.379999999999999893e+00 3.927400000000000091e-19
4.400000000000000355e+00 1.133499999999999977e-18
4.419999999999999929e+00 3.121439999999999932e-18
4.440000000000000391e+00 8.219579999999999523e-18
4.459999999999999964e+00 2.073770000000000021e-17
4.480000000000000426e+00 5.022800000000000113e-17
4.500000000000000000e+00 1.170009999999999955e-16
4.519999999999999574e+00 2.625850000000000060e-16
4.540000000000000036e+00 5.687289999999999572e-16
4.559999999999999609e+00 1.190709999999999976e-15
4.580000000000000071e+00 2.413380000000000179e-15
4.599999999999999645e+00 4.742549999999999725e-15
4.620000000000000107e+00 9.048179999999999443e-15
4.639999999999999680e+00 1.678260000000000098e-14
4.660000000000000142e+00 3.030160000000000313e-14
4.679999999999999716e+00 5.331200000000000169e-14
4.700000000000000178e+00 9.145649999999999506e-14
4.719999999999999751e+00 1.532860000000000094e-13
4.740000000000000213e+00 2.511659999999999922e-13
4.769999999999999574e+00 3.980620000000000158e-13
4.790000000000000036e+00 6.196319999999999996e-13
4.809999999999999609e+00 9.476979999999999469e-13
4.830000000000000071e+00 1.424779999999999913e-12
4.849999999999999645e+00 2.106419999999999823e-12
4.870000000000000107e+00 3.063899999999999900e-12
4.889999999999999680e+00 4.386919999999999648e-12
4.910000000000000142e+00 6.186289999999999886e-12
4.929999999999999716e+00 8.596249999999999848e-12
4.950000000000000178e+00 1.177700000000000041e-11
4.969999999999999751e+00 1.591609999999999920e-11
4.990000000000000213e+00 2.123039999999999888e-11
5.009999999999999787e+00 2.796529999999999919e-11
5.030000000000000249e+00 3.639579999999999725e-11
5.049999999999999822e+00 4.682410000000000119e-11
5.070000000000000284e+00 5.957870000000000179e-11
5.089999999999999858e+00 7.501029999999999997e-11
5.110000000000000320e+00 9.348930000000000151e-11
5.129999999999999893e+00 1.153990000000000013e-10
5.150000000000000355e+00 1.411349999999999991e-10
5.169999999999999929e+00 1.710919999999999919e-10
5.190000000000000391e+00 2.056669999999999992e-10
5.209999999999999964e+00 2.452429999999999978e-10
5.230000000000000426e+00 2.901939999999999907e-10
5.250000000000000000e+00 3.408680000000000165e-10
5.269999999999999574e+00 3.975869999999999941e-10
5.290000000000000036e+00 4.606419999999999898e-10
5.309999999999999609e+00 5.302849999999999943e-10
5.330000000000000071e+00 6.067239999999999823e-10
5.349999999999999645e+00 6.901260000000000423e-10
5.370000000000000107e+00 7.806080000000000407e-10
5.389999999999999680e+00 8.782340000000000094e-10
5.410000000000000142e+00 9.830159999999999481e-10
5.429999999999999716e+00 1.094910000000000100e-09
5.450000000000000178e+00 1.213840000000000019e-09
5.469999999999999751e+00 1.339650000000000022e-09
5.490000000000000213e+00 1.472149999999999926e-09
5.509999999999999787e+00 1.611099999999999948e-09
5.530000000000000249e+00 1.756219999999999959e-09
5.549999999999999822e+00 1.907170000000000146e-09
5.570000000000000284e+00 2.063580000000000023e-09
5.589999999999999858e+00 2.225060000000000172e-09
5.610000000000000320e+00 2.391189999999999887e-09
5.629999999999999893e+00 2.561490000000000013e-09
5.650000000000000355e+00 2.735499999999999911e-09
5.669999999999999929e+00 2.912709999999999964e-09
5.690000000000000391e+00 3.092629999999999897e-09
5.709999999999999964e+00 3.274739999999999799e-09
5.730000000000000426e+00 3.458509999999999878e-09
5.750000000000000000e+00 3.643430000000000104e-09
5.769999999999999574e+00 3.828999999999999909e-09
5.790000000000000036e+00 4.014700000000000209e-09
5.809999999999999609e+00 4.200039999999999902e-09
5.830000000000000071e+00 4.384549999999999712e-09
5.849999999999999645e+00 4.567770000000000244e-09
5.870000000000000107e+00 4.749239999999999618e-09
5.889999999999999680e+00 4.928560000000000194e-09
5.910000000000000142e+00 5.105330000000000195e-09
5.929999999999999716e+00 5.279179999999999962e-09
5.950000000000000178e+00 5.449749999999999715e-09
5.969999999999999751e+00 5.616729999999999897e-09
5.990000000000000213e+00 5.779829999999999882e-09
6.009999999999999787e+00 5.938769999999999749e-09
6.030000000000000249e+00 6.093309999999999920e-09
6.049999999999999822e+00 6.243239999999999629e-09
6.070000000000000284e+00 6.388370000000000347e-09
6.089999999999999858e+00 6.528520000000000116e-09
6.110000000000000320e+00 6.663559999999999683e-09
6.129999999999999893e+00 6.793340000000000035e-09
6.150000000000000355e+00 6.917790000000000365e-09
6.169999999999999929e+00 7.036820000000000108e-09
6.190000000000000391e+00 7.150350000000000232e-09
6.209999999999999964e+00 7.258340000000000394e-09
6.230000000000000426e+00 7.360770000000000008e-09
6.250000000000000000e+00 7.457609999999999438e-09
6.269999999999999574e+00 7.548870000000000217e-09
6.290000000000000036e+00 7.634560000000000569e-09
6.309999999999999609e+00 7.714710000000000132e-09
6.330000000000000071e+00 7.789340000000000318e-09
6.349999999999999645e+00 7.858500000000000522e-09
6.370000000000000107e+00 7.922250000000000017e-09
6.389999999999999680e+00 7.980639999999999854e-09
6.410000000000000142e+00 8.033739999999999184e-09
6.429999999999999716e+00 8.081640000000000229e-09
6.450000000000000178e+00 8.124410000000000485e-09
6.469999999999999751e+00 8.162140000000000519e-09
6.490000000000000213e+00 8.194930000000000775e-09
6.509999999999999787e+00 8.222870000000000164e-09
6.530000000000000249e+00 8.246060000000000784e-09
6.549999999999999822e+00 8.264619999999999529e-09
6.570000000000000284e+00 8.278640000000000272e-09
6.589999999999999858e+00 8.288249999999999787e-09
6.610000000000000320e+00 8.293540000000000293e-09
6.629999999999999893e+00 8.294659999999999975e-09
6.650000000000000355e+00 8.291709999999999277e-09
6.669999999999999929e+00 8.284810000000000056e-09
6.690000000000000391e+00 8.274090000000000738e-09
6.709999999999999964e+00 8.259669999999999871e-09
6.730000000000000426e+00 8.241669999999999313e-09
6.750000000000000000e+00 8.220220000000000799e-09
6.769999999999999574e+00 8.195439999999999567e-09
6.790000000000000036e+00 8.167460000000000662e-09
6.809999999999999609e+00 8.136399999999999324e-09
6.830000000000000071e+00 8.102390000000000597e-09
6.849999999999999645e+00 8.065539999999999840e-09
6.870000000000000107e+00 8.025980000000000444e-09
6.889999999999999680e+00 7.983829999999999302e-09
6.910000000000000142e+00 7.939200000000000046e-09
6.929999999999999716e+00 7.892209999999999571e-09
6.950000000000000178e+00 7.842979999999999731e-09
6.969999999999999751e+00 7.791609999999999318e-09
6.990000000000000213e+00 7.738210000000000309e-09
7.009999999999999787e+00 7.682889999999999719e-09
7.030000000000000249e+00 7.625759999999999524e-09
7.049999999999999822e+00 7.566900000000000412e-09
7.070000000000000284e+00 7.506429999999999275e-09
7.089999999999999858e+00 7.444420000000000231e-09
7.110000000000000320e+00 7.380980000000000293e-09
7.129999999999999893e+00 7.316190000000000147e-09
7.150000000000000355e+00 7.250129999999999654e-09
7.169999999999999929e+00 7.182890000000000205e-09
7.190000000000000391e+00 7.114540000000000125e-09
7.209999999999999964e+00 7.045160000000000102e-09
7.230000000000000426e+00 6.974820000000000116e-09
7.259999999999999787e+00 6.903580000000000266e-09
7.280000000000000249e+00 6.831530000000000293e-09
7.299999999999999822e+00 6.758709999999999711e-09
7.320000000000000284e+00 6.685190000000000155e-09
7.339999999999999858e+00 6.611030000000000072e-09
7.360000000000000320e+00 6.536290000000000390e-09
7.379999999999999893e+00 6.461009999999999798e-09
7.400000000000000355e+00 6.385259999999999930e-09
7.419999999999999929e+00 6.309080000000000303e-09
7.440000000000000391e+00 6.232530000000000190e-09
7.459999999999999964e+00 6.155640000000000055e-09
7.480000000000000426e+00 6.078470000000000000e-09
7.500000000000000000e+00 6.001060000000000368e-09
7.519999999999999574e+00 5.923449999999999847e-09
7.540000000000000036e+00 5.845690000000000314e-09
7.559999999999999609e+00 5.767809999999999752e-09
7.580000000000000071e+00 5.689860000000000036e-09
7.599999999999999645e+00 5.611879999999999857e-09
7.620000000000000107e+00 5.533910000000000384e-09
7.639999999999999680e+00 5.455979999999999599e-09
7.660000000000000142e+00 5.378130000000000328e-09
7.679999999999999716e+00 5.300389999999999726e-09
7.700000000000000178e+00 5.222820000000000375e-09
7.719999999999999751e+00 5.145419999999999795e-09
7.740000000000000213e+00 5.068259999999999619e-09
7.759999999999999787e+00 4.991339999999999847e-09
7.780000000000000249e+00 4.914719999999999754e-09
7.799999999999999822e+00 4.838419999999999924e-09
7.820000000000000284e+00 4.762469999999999995e-09
7.839999999999999858e+00 4.686910000000000310e-09
7.860000000000000320e+00 4.611759999999999799e-09
7.879999999999999893e+00 4.537049999999999754e-09
7.900000000000000355e+00 4.462819999999999691e-09
7.919999999999999929e+00 4.389080000000000316e-09
7.940000000000000391e+00 4.315870000000000317e-09
7.959999999999999964e+00 4.243200000000000402e-09
7.980000000000000426e+00 4.171110000000000085e-09
8.000000000000000000e+00 4.099619999999999953e-09
8.019999999999999574e+00 4.028739999999999883e-09
8.039999999999999147e+00 3.958510000000000220e-09
8.060000000000000497e+00 3.888930000000000135e-09
8.080000000000000071e+00 3.820039999999999973e-09
8.099999999999999645e+00 3.751839999999999733e-09
8.119999999999999218e+00 3.684350000000000000e-09
8.140000000000000568e+00 3.617590000000000119e-09
8.160000000000000142e+00 3.551569999999999969e-09
8.179999999999999716e+00 3.486310000000000134e-09
8.199999999999999289e+00 3.421810000000000202e-09
8.220000000000000639e+00 3.358089999999999929e-09
8.240000000000000213e+00 3.295160000000000024e-09
8.259999999999999787e+00 3.233020000000000071e-09
8.279999999999999361e+00 3.171689999999999829e-09
8.300000000000000711e+00 3.111159999999999832e-09
8.320000000000000284e+00 3.051460000000000131e-09
8.339999999999999858e+00 2.992570000000000141e-09
8.359999999999999432e+00 2.934510000000000034e-09
8.380000000000000782e+00 2.877279999999999808e-09
8.400000000000000355e+00 2.820879999999999879e-09
8.419999999999999929e+00 2.765299999999999953e-09
8.439999999999999503e+00 2.710570000000000081e-09
8.460000000000000853e+00 2.656659999999999799e-09
8.480000000000000426e+00 2.603579999999999812e-09
8.500000000000000000e+00 2.551340000000000001e-09
