# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 5.605190000000000185e-45
4.889999999999999680e+00 1.947800000000000113e-43
4.910000000000000142e+00 5.606599999999999941e-42
4.929999999999999716e+00 1.392269999999999906e-40
4.950000000000000178e+00 2.992930000000000169e-39
4.969999999999999751e+00 5.606890000000000273e-38
4.990000000000000213e+00 9.211489999999999896e-37
5.009999999999999787e+00 1.334850000000000068e-35
5.030000000000000249e+00 1.716150000000000013e-34
5.049999999999999822e+00 1.967840000000000001e-33
5.070000000000000284e+00 2.023179999999999886e-32
5.089999999999999858e+00 1.874049999999999963e-31
5.110000000000000320e+00 1.571530000000000083e-30
5.129999999999999893e+00 1.198300000000000052e-29
5.150000000000000355e+00 8.344859999999999739e-29
5.169999999999999929e+00 5.328740000000000325e-28
5.190000000000000391e+00 3.132710000000000160e-27
5.209999999999999964e+00 1.701730000000000120e-26
5.230000000000000426e+00 8.572810000000000459e-26
5.250000000000000000e+00 4.018490000000000074e-25
5.269999999999999574e+00 1.758499999999999888e-24
5.290000000000000036e+00 7.206470000000000268e-24
5.309999999999999609e+00 2.773820000000000209e-23
5.330000000000000071e+00 1.005600000000000003e-22
5.349999999999999645e+00 3.443110000000000138e-22
5.370000000000000107e+00 1.116330000000000085e-21
5.389999999999999680e+00 3.435610000000000134e-21
5.410000000000000142e+00 1.006000000000000024e-20
5.429999999999999716e+00 2.809100000000000016e-20
5.450000000000000178e+00 7.496279999999999729e-20
5.469999999999999751e+00 1.915659999999999924e-19
5.490000000000000213e+00 4.697029999999999727e-19
5.509999999999999787e+00 1.107089999999999939e-18
5.530000000000000249e+00 2.512929999999999924e-18
5.549999999999999822e+00 5.502340000000000105e-18
5.570000000000000284e+00 1.164070000000000000e-17
5.589999999999999858e+00 2.383200000000000076e-17
5.610000000000000320e+00 4.728699999999999806e-17
5.629999999999999893e+00 9.106079999999999851e-17
5.650000000000000355e+00 1.704150000000000042e-16
5.669999999999999929e+00 3.103439999999999997e-16
5.690000000000000391e+00 5.506460000000000142e-16
5.709999999999999964e+00 9.530249999999999406e-16
5.730000000000000426e+00 1.610720000000000070e-15
5.750000000000000000e+00 2.661280000000000125e-15
5.769999999999999574e+00 4.242060000000000146e-15
5.790000000000000036e+00 6.619459999999999689e-15
5.809999999999999609e+00 1.017030000000000041e-14
5.830000000000000071e+00 1.538480000000000024e-14
5.849999999999999645e+00 2.291480000000000072e-14
5.870000000000000107e+00 3.360979999999999958e-14
5.889999999999999680e+00 4.855570000000000130e-14
5.910000000000000142e+00 6.911360000000000350e-14
5.929999999999999716e+00 9.696390000000000247e-14
5.950000000000000178e+00 1.341280000000000117e-13
5.969999999999999751e+00 1.830189999999999899e-13
5.990000000000000213e+00 2.464610000000000138e-13
6.009999999999999787e+00 3.276949999999999986e-13
6.030000000000000249e+00 4.303980000000000206e-13
6.049999999999999822e+00 5.586799999999999984e-13
6.070000000000000284e+00 7.170629999999999911e-13
6.089999999999999858e+00 9.104589999999999679e-13
6.110000000000000320e+00 1.144119999999999976e-12
6.129999999999999893e+00 1.423589999999999996e-12
6.150000000000000355e+00 1.754670000000000035e-12
6.169999999999999929e+00 2.143310000000000083e-12
6.190000000000000391e+00 2.595540000000000066e-12
6.209999999999999964e+00 3.117429999999999975e-12
6.230000000000000426e+00 3.715000000000000225e-12
6.250000000000000000e+00 4.394029999999999605e-12
6.269999999999999574e+00 5.160129999999999743e-12
6.290000000000000036e+00 6.018530000000000205e-12
6.309999999999999609e+00 6.974170000000000362e-12
6.330000000000000071e+00 8.031400000000000695e-12
6.349999999999999645e+00 9.194080000000000745e-12
6.370000000000000107e+00 1.046550000000000059e-11
6.389999999999999680e+00 1.184830000000000072e-11
6.410000000000000142e+00 1.334450000000000074e-11
6.429999999999999716e+00 1.495520000000000074e-11
6.450000000000000178e+00 1.668109999999999927e-11
6.469999999999999751e+00 1.852189999999999926e-11
6.490000000000000213e+00 2.047659999999999860e-11
6.509999999999999787e+00 2.254350000000000143e-11
6.530000000000000249e+00 2.472030000000000161e-11
6.549999999999999822e+00 2.700370000000000054e-11
6.570000000000000284e+00 2.939010000000000096e-11
6.589999999999999858e+00 3.187480000000000066e-11
6.610000000000000320e+00 3.445310000000000069e-11
6.629999999999999893e+00 3.711929999999999997e-11
6.650000000000000355e+00 3.986719999999999960e-11
6.669999999999999929e+00 4.269040000000000154e-11
6.690000000000000391e+00 4.558199999999999702e-11
6.709999999999999964e+00 4.853489999999999749e-11
6.730000000000000426e+00 5.154139999999999766e-11
6.750000000000000000e+00 5.459399999999999780e-11
6.769999999999999574e+00 5.768479999999999993e-11
6.790000000000000036e+00 6.080580000000000007e-11
6.809999999999999609e+00 6.394909999999999375e-11
6.830000000000000071e+00 6.710669999999999637e-11
6.849999999999999645e+00 7.027089999999999616e-11
6.870000000000000107e+00 7.343379999999999513e-11
6.889999999999999680e+00 7.658769999999999444e-11
6.910000000000000142e+00 7.972530000000000644e-11
6.929999999999999716e+00 8.283950000000000381e-11
6.950000000000000178e+00 8.592330000000000406e-11
6.969999999999999751e+00 8.897000000000000399e-11
6.990000000000000213e+00 9.197329999999999868e-11
7.009999999999999787e+00 9.492729999999999437e-11
7.030000000000000249e+00 9.782620000000000335e-11
7.049999999999999822e+00 1.006649999999999957e-10
7.070000000000000284e+00 1.034380000000000025e-10
7.089999999999999858e+00 1.061410000000000034e-10
7.110000000000000320e+00 1.087700000000000028e-10
7.129999999999999893e+00 1.113210000000000052e-10
7.150000000000000355e+00 1.137909999999999977e-10
7.169999999999999929e+00 1.161759999999999977e-10
7.190000000000000391e+00 1.184730000000000054e-10
7.209999999999999964e+00 1.206799999999999906e-10
7.230000000000000426e+00 1.227949999999999880e-10
7.259999999999999787e+00 1.248160000000000061e-10
7.280000000000000249e+00 1.267420000000000107e-10
7.299999999999999822e+00 1.285700000000000017e-10
7.320000000000000284e+00 1.303009999999999877e-10
7.339999999999999858e+00 1.319340000000000120e-10
7.360000000000000320e+00 1.334670000000000055e-10
7.379999999999999893e+00 1.349020000000000114e-10
7.400000000000000355e+00 1.362370000000000125e-10
7.419999999999999929e+00 1.374740000000000001e-10
7.440000000000000391e+00 1.386130000000000000e-10
7.459999999999999964e+00 1.396540000000000122e-10
7.480000000000000426e+00 1.405979999999999936e-10
7.500000000000000000e+00 1.414469999999999873e-10
7.519999999999999574e+00 1.422009999999999932e-10
7.540000000000000036e+00 1.428630000000000111e-10
7.559999999999999609e+00 1.434329999999999895e-10
7.580000000000000071e+00 1.439129999999999972e-10
7.599999999999999645e+00 1.443049999999999995e-10
7.620000000000000107e+00 1.446100000000000052e-10
7.639999999999999680e+00 1.448319999999999968e-10
7.660000000000000142e+00 1.449710000000000001e-10
7.679999999999999716e+00 1.450309999999999979e-10
7.700000000000000178e+00 1.450119999999999900e-10
7.719999999999999751e+00 1.449180000000000108e-10
7.740000000000000213e+00 1.447509999999999999e-10
7.759999999999999787e+00 1.445140000000000088e-10
7.780000000000000249e+00 1.442070000000000119e-10
7.799999999999999822e+00 1.438350000000000001e-10
7.820000000000000284e+00 1.433999999999999908e-10
7.839999999999999858e+00 1.429029999999999924e-10
7.860000000000000320e+00 1.423479999999999876e-10
7.879999999999999893e+00 1.417369999999999935e-10
7.900000000000000355e+00 1.410720000000000015e-10
7.919999999999999929e+00 1.403560000000000114e-10
7.940000000000000391e+00 1.395900000000000060e-10
7.959999999999999964e+00 1.387790000000000023e-10
7.980000000000000426e+00 1.379230000000000003e-10
8.000000000000000000e+00 1.370249999999999999e-10
8.019999999999999574e+00 1.360869999999999924e-10
8.039999999999999147e+00 1.351120000000000035e-10
8.060000000000000497e+00 1.341009999999999901e-10
8.080000000000000071e+00 1.330570000000000038e-10
8.099999999999999645e+00 1.319810000000000016e-10
8.119999999999999218e+00 1.308750000000000004e-10
8.140000000000000568e+00 1.297420000000000003e-10
8.160000000000000142e+00 1.285820000000000012e-10
8.179999999999999716e+00 1.273980000000000030e-10
8.199999999999999289e+00 1.261919999999999971e-10
8.220000000000000639e+00 1.249640000000000092e-10
8.240000000000000213e+00 1.237160000000000048e-10
8.259999999999999787e+00 1.224510000000000097e-10
8.279999999999999361e+00 1.211679999999999894e-10
8.300000000000000711e+00 1.198699999999999955e-10
8.320000000000000284e+00 1.185580000000000108e-10
8.339999999999999858e+00 1.172320000000000094e-10
8.359999999999999432e+00 1.158950000000000041e-10
8.380000000000000782e+00 1.145469999999999949e-10
8.400000000000000355e+00 1.131890000000000033e-10
8.419999999999999929e+00 1.118219999999999991e-10
8.439999999999999503e+00 1.104470000000000039e-10
8.460000000000000853e+00 1.090650000000000003e-10
8.480000000000000426e+00 1.076780000000000055e-10
8.500000000000000000e+00 1.062849999999999980e-10
