# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 9.889670000000000471e-17
3.520000000000000018e+00 2.783920000000000083e-16
3.540000000000000036e+00 7.486440000000000418e-16
3.560000000000000053e+00 1.927240000000000133e-15
3.580000000000000071e+00 4.758780000000000386e-15
3.600000000000000089e+00 1.129199999999999968e-14
3.620000000000000107e+00 2.579550000000000037e-14
3.640000000000000124e+00 5.682749999999999817e-14
3.660000000000000142e+00 1.209289999999999990e-13
3.680000000000000160e+00 2.489629999999999965e-13
3.700000000000000178e+00 4.966189999999999865e-13
3.720000000000000195e+00 9.612030000000000999e-13
3.740000000000000213e+00 1.807600000000000093e-12
3.759999999999999787e+00 3.307120000000000150e-12
3.779999999999999805e+00 5.893830000000000141e-12
3.799999999999999822e+00 1.024370000000000006e-11
3.819999999999999840e+00 1.738320000000000130e-11
3.839999999999999858e+00 2.883170000000000123e-11
3.859999999999999876e+00 4.635179999999999885e-11
3.879999999999999893e+00 7.261870000000000277e-11
3.899999999999999911e+00 1.117970000000000044e-10
3.919999999999999929e+00 1.691810000000000127e-10
3.939999999999999947e+00 2.517559999999999835e-10
3.959999999999999964e+00 3.685509999999999922e-10
3.979999999999999982e+00 5.310110000000000185e-10
4.000000000000000000e+00 7.533699999999999534e-10
4.019999999999999574e+00 1.052999999999999983e-09
4.040000000000000036e+00 1.450710000000000050e-09
4.059999999999999609e+00 1.971050000000000137e-09
4.080000000000000071e+00 2.642450000000000114e-09
4.099999999999999645e+00 3.497259999999999977e-09
4.120000000000000107e+00 4.571839999999999796e-09
4.139999999999999680e+00 5.906250000000000361e-09
4.160000000000000142e+00 7.543960000000000075e-09
4.179999999999999716e+00 9.531620000000000220e-09
4.200000000000000178e+00 1.191839999999999971e-08
4.219999999999999751e+00 1.475519999999999967e-08
4.240000000000000213e+00 1.809399999999999976e-08
4.259999999999999787e+00 2.198729999999999996e-08
4.280000000000000249e+00 2.648700000000000087e-08
4.299999999999999822e+00 3.164309999999999964e-08
4.320000000000000284e+00 3.750389999999999743e-08
4.339999999999999858e+00 4.411380000000000291e-08
4.360000000000000320e+00 5.151380000000000299e-08
4.379999999999999893e+00 5.973909999999999526e-08
4.400000000000000355e+00 6.882070000000000162e-08
4.419999999999999929e+00 7.878219999999999457e-08
4.440000000000000391e+00 8.964180000000000533e-08
4.459999999999999964e+00 1.014100000000000061e-07
4.480000000000000426e+00 1.140899999999999979e-07
4.500000000000000000e+00 1.276779999999999870e-07
4.519999999999999574e+00 1.421640000000000017e-07
4.540000000000000036e+00 1.575290000000000072e-07
4.559999999999999609e+00 1.737480000000000018e-07
4.580000000000000071e+00 1.907880000000000008e-07
4.599999999999999645e+00 2.086129999999999901e-07
4.620000000000000107e+00 2.271769999999999967e-07
4.639999999999999680e+00 2.464309999999999916e-07
4.660000000000000142e+00 2.663220000000000206e-07
4.679999999999999716e+00 2.867910000000000168e-07
4.700000000000000178e+00 3.077740000000000136e-07
4.719999999999999751e+00 3.292080000000000187e-07
4.740000000000000213e+00 3.510259999999999829e-07
4.769999999999999574e+00 3.731590000000000131e-07
4.790000000000000036e+00 3.955349999999999747e-07
4.809999999999999609e+00 4.180860000000000024e-07
4.830000000000000071e+00 4.407400000000000145e-07
4.849999999999999645e+00 4.634289999999999869e-07
4.870000000000000107e+00 4.860830000000000520e-07
4.889999999999999680e+00 5.086360000000000290e-07
4.910000000000000142e+00 5.310240000000000042e-07
4.929999999999999716e+00 5.531840000000000386e-07
4.950000000000000178e+00 5.750550000000000363e-07
4.969999999999999751e+00 5.965819999999999617e-07
4.990000000000000213e+00 6.177129999999999674e-07
5.009999999999999787e+00 6.383949999999999669e-07
5.030000000000000249e+00 6.585840000000000162e-07
5.049999999999999822e+00 6.782359999999999595e-07
5.070000000000000284e+00 6.973130000000000184e-07
5.089999999999999858e+00 7.157790000000000463e-07
5.110000000000000320e+00 7.336030000000000344e-07
5.129999999999999893e+00 7.507569999999999509e-07
5.150000000000000355e+00 7.672169999999999805e-07
5.169999999999999929e+00 7.829619999999999670e-07
5.190000000000000391e+00 7.979740000000000488e-07
5.209999999999999964e+00 8.122410000000000004e-07
5.230000000000000426e+00 8.257489999999999649e-07
5.250000000000000000e+00 8.384930000000000161e-07
5.269999999999999574e+00 8.504650000000000388e-07
5.290000000000000036e+00 8.616650000000000332e-07
5.309999999999999609e+00 8.720910000000000500e-07
5.330000000000000071e+00 8.817450000000000383e-07
5.349999999999999645e+00 8.906320000000000305e-07
5.370000000000000107e+00 8.987579999999999803e-07
5.389999999999999680e+00 9.061310000000000027e-07
5.410000000000000142e+00 9.127600000000000285e-07
5.429999999999999716e+00 9.186569999999999655e-07
5.450000000000000178e+00 9.238330000000000113e-07
5.469999999999999751e+00 9.283030000000000507e-07
5.490000000000000213e+00 9.320800000000000189e-07
5.509999999999999787e+00 9.351819999999999894e-07
5.530000000000000249e+00 9.376220000000000033e-07
5.549999999999999822e+00 9.394199999999999774e-07
5.570000000000000284e+00 9.405920000000000358e-07
5.589999999999999858e+00 9.411560000000000401e-07
5.610000000000000320e+00 9.411320000000000129e-07
5.629999999999999893e+00 9.405389999999999493e-07
5.650000000000000355e+00 9.393950000000000285e-07
5.669999999999999929e+00 9.377199999999999556e-07
5.690000000000000391e+00 9.355339999999999650e-07
5.709999999999999964e+00 9.328560000000000518e-07
5.730000000000000426e+00 9.297069999999999486e-07
5.750000000000000000e+00 9.261059999999999682e-07
5.769999999999999574e+00 9.220730000000000273e-07
5.790000000000000036e+00 9.176270000000000151e-07
5.809999999999999609e+00 9.127879999999999544e-07
5.830000000000000071e+00 9.075750000000000519e-07
5.849999999999999645e+00 9.020080000000000127e-07
5.870000000000000107e+00 8.961039999999999884e-07
5.889999999999999680e+00 8.898830000000000018e-07
5.910000000000000142e+00 8.833630000000000201e-07
5.929999999999999716e+00 8.765609999999999834e-07
5.950000000000000178e+00 8.694949999999999650e-07
5.969999999999999751e+00 8.621820000000000107e-07
5.990000000000000213e+00 8.546389999999999543e-07
6.009999999999999787e+00 8.468809999999999983e-07
6.030000000000000249e+00 8.389249999999999765e-07
6.049999999999999822e+00 8.307870000000000131e-07
6.070000000000000284e+00 8.224790000000000157e-07
6.089999999999999858e+00 8.140180000000000302e-07
6.110000000000000320e+00 8.054159999999999641e-07
6.129999999999999893e+00 7.966880000000000199e-07
6.150000000000000355e+00 7.878449999999999718e-07
6.169999999999999929e+00 7.788999999999999668e-07
6.190000000000000391e+00 7.698639999999999909e-07
6.209999999999999964e+00 7.607489999999999520e-07
6.230000000000000426e+00 7.515650000000000201e-07
6.250000000000000000e+00 7.423229999999999695e-07
6.269999999999999574e+00 7.330320000000000486e-07
6.290000000000000036e+00 7.237009999999999765e-07
6.309999999999999609e+00 7.143379999999999740e-07
6.330000000000000071e+00 7.049519999999999719e-07
