# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 2.242079999999999927e-44
3.879999999999999893e+00 9.430740000000000678e-43
3.899999999999999911e+00 3.265590000000000186e-41
3.919999999999999929e+00 9.650419999999999245e-40
3.939999999999999947e+00 2.449880000000000133e-38
3.959999999999999964e+00 5.379349999999999876e-37
3.979999999999999982e+00 1.028370000000000021e-35
4.000000000000000000e+00 1.722360000000000077e-34
4.019999999999999574e+00 2.542499999999999884e-33
4.040000000000000036e+00 3.326599999999999967e-32
4.059999999999999609e+00 3.879329999999999933e-31
4.080000000000000071e+00 4.052710000000000232e-30
4.099999999999999645e+00 3.811929999999999965e-29
4.120000000000000107e+00 3.243679999999999925e-28
4.139999999999999680e+00 2.508239999999999902e-27
4.160000000000000142e+00 1.770090000000000058e-26
4.179999999999999716e+00 1.144800000000000111e-25
4.200000000000000178e+00 6.812460000000000346e-25
4.219999999999999751e+00 3.743980000000000181e-24
4.240000000000000213e+00 1.907050000000000010e-23
4.259999999999999787e+00 9.034379999999999896e-23
4.280000000000000249e+00 3.993749999999999799e-22
4.299999999999999822e+00 1.652479999999999976e-21
4.320000000000000284e+00 6.419360000000000333e-21
4.339999999999999858e+00 2.347789999999999972e-20
4.360000000000000320e+00 8.106719999999999695e-20
4.379999999999999893e+00 2.649450000000000181e-19
4.400000000000000355e+00 8.216629999999999858e-19
4.419999999999999929e+00 2.423610000000000079e-18
4.440000000000000391e+00 6.815109999999999784e-18
4.459999999999999964e+00 1.830780000000000053e-17
4.480000000000000426e+00 4.708399999999999999e-17
4.500000000000000000e+00 1.161490000000000065e-16
4.519999999999999574e+00 2.753630000000000038e-16
4.540000000000000036e+00 6.284910000000000002e-16
4.559999999999999609e+00 1.383450000000000027e-15
4.580000000000000071e+00 2.941630000000000036e-15
4.599999999999999645e+00 6.051609999999999741e-15
4.620000000000000107e+00 1.206269999999999937e-14
4.639999999999999680e+00 2.333119999999999857e-14
4.660000000000000142e+00 4.384739999999999853e-14
4.679999999999999716e+00 8.017230000000000312e-14
4.700000000000000178e+00 1.427940000000000022e-13
4.719999999999999751e+00 2.480409999999999929e-13
4.740000000000000213e+00 4.206880000000000044e-13
4.769999999999999574e+00 6.974010000000000088e-13
4.790000000000000036e+00 1.119219999999999951e-12
4.809999999999999609e+00 1.751730000000000049e-12
4.830000000000000071e+00 2.696670000000000060e-12
4.849999999999999645e+00 4.083800000000000027e-12
4.870000000000000107e+00 6.085179999999999724e-12
4.889999999999999680e+00 8.924459999999999315e-12
4.910000000000000142e+00 1.288660000000000044e-11
4.929999999999999716e+00 1.832799999999999864e-11
4.950000000000000178e+00 2.568560000000000033e-11
4.969999999999999751e+00 3.548699999999999853e-11
4.990000000000000213e+00 4.835659999999999693e-11
5.009999999999999787e+00 6.502229999999999528e-11
5.030000000000000249e+00 8.631930000000000197e-11
5.049999999999999822e+00 1.131890000000000033e-10
5.070000000000000284e+00 1.466800000000000043e-10
5.089999999999999858e+00 1.879369999999999994e-10
5.110000000000000320e+00 2.382010000000000235e-10
5.129999999999999893e+00 2.987850000000000182e-10
5.150000000000000355e+00 3.710749999999999826e-10
5.169999999999999929e+00 4.564949999999999834e-10
5.190000000000000391e+00 5.565030000000000169e-10
5.209999999999999964e+00 6.725600000000000019e-10
5.230000000000000426e+00 8.061169999999999781e-10
5.250000000000000000e+00 9.585779999999999958e-10
5.269999999999999574e+00 1.131300000000000012e-09
5.290000000000000036e+00 1.325539999999999953e-09
5.309999999999999609e+00 1.542480000000000034e-09
5.330000000000000071e+00 1.783149999999999989e-09
5.349999999999999645e+00 2.048470000000000062e-09
5.370000000000000107e+00 2.339190000000000067e-09
5.389999999999999680e+00 2.655899999999999897e-09
5.410000000000000142e+00 2.999000000000000087e-09
5.429999999999999716e+00 3.368740000000000094e-09
5.450000000000000178e+00 3.765179999999999606e-09
5.469999999999999751e+00 4.188159999999999732e-09
5.490000000000000213e+00 4.637350000000000328e-09
5.509999999999999787e+00 5.112259999999999880e-09
5.530000000000000249e+00 5.612190000000000242e-09
5.549999999999999822e+00 6.136290000000000117e-09
5.570000000000000284e+00 6.683519999999999684e-09
5.589999999999999858e+00 7.252719999999999745e-09
5.610000000000000320e+00 7.842599999999999367e-09
5.629999999999999893e+00 8.451710000000000379e-09
5.650000000000000355e+00 9.078489999999999325e-09
5.669999999999999929e+00 9.721299999999999507e-09
5.690000000000000391e+00 1.037849999999999926e-08
5.709999999999999964e+00 1.104819999999999996e-08
5.730000000000000426e+00 1.172860000000000022e-08
5.750000000000000000e+00 1.241779999999999986e-08
5.769999999999999574e+00 1.311399999999999918e-08
5.790000000000000036e+00 1.381529999999999964e-08
5.809999999999999609e+00 1.451979999999999943e-08
5.830000000000000071e+00 1.522559999999999838e-08
5.849999999999999645e+00 1.593099999999999886e-08
5.870000000000000107e+00 1.663410000000000070e-08
5.889999999999999680e+00 1.733330000000000010e-08
5.910000000000000142e+00 1.802690000000000110e-08
5.929999999999999716e+00 1.871339999999999868e-08
5.950000000000000178e+00 1.939110000000000017e-08
5.969999999999999751e+00 2.005889999999999905e-08
5.990000000000000213e+00 2.071530000000000021e-08
6.009999999999999787e+00 2.135910000000000165e-08
6.030000000000000249e+00 2.198920000000000013e-08
6.049999999999999822e+00 2.260440000000000023e-08
6.070000000000000284e+00 2.320400000000000052e-08
6.089999999999999858e+00 2.378699999999999985e-08
6.110000000000000320e+00 2.435270000000000008e-08
6.129999999999999893e+00 2.490019999999999886e-08
6.150000000000000355e+00 2.542919999999999983e-08
6.169999999999999929e+00 2.593900000000000152e-08
6.190000000000000391e+00 2.642919999999999886e-08
6.209999999999999964e+00 2.689930000000000119e-08
6.230000000000000426e+00 2.734919999999999981e-08
6.250000000000000000e+00 2.777849999999999956e-08
6.269999999999999574e+00 2.818710000000000165e-08
6.290000000000000036e+00 2.857479999999999856e-08
6.309999999999999609e+00 2.894150000000000144e-08
6.330000000000000071e+00 2.928720000000000036e-08
6.349999999999999645e+00 2.961200000000000073e-08
6.370000000000000107e+00 2.991579999999999713e-08
6.389999999999999680e+00 3.019870000000000161e-08
6.410000000000000142e+00 3.046099999999999728e-08
6.429999999999999716e+00 3.070259999999999859e-08
6.450000000000000178e+00 3.092390000000000071e-08
6.469999999999999751e+00 3.112510000000000122e-08
6.490000000000000213e+00 3.130629999999999890e-08
6.509999999999999787e+00 3.146790000000000215e-08
6.530000000000000249e+00 3.161020000000000071e-08
6.549999999999999822e+00 3.173339999999999880e-08
6.570000000000000284e+00 3.183789999999999818e-08
6.589999999999999858e+00 3.192410000000000063e-08
6.610000000000000320e+00 3.199230000000000253e-08
6.629999999999999893e+00 3.204289999999999902e-08
6.650000000000000355e+00 3.207639999999999730e-08
6.669999999999999929e+00 3.209310000000000036e-08
6.690000000000000391e+00 3.209339999999999673e-08
6.709999999999999964e+00 3.207780000000000021e-08
6.730000000000000426e+00 3.204679999999999815e-08
6.750000000000000000e+00 3.200089999999999772e-08
6.769999999999999574e+00 3.194030000000000312e-08
6.790000000000000036e+00 3.186579999999999805e-08
6.809999999999999609e+00 3.177759999999999995e-08
6.830000000000000071e+00 3.167630000000000155e-08
6.849999999999999645e+00 3.156250000000000221e-08
6.870000000000000107e+00 3.143639999999999951e-08
6.889999999999999680e+00 3.129869999999999822e-08
6.910000000000000142e+00 3.114980000000000011e-08
6.929999999999999716e+00 3.099019999999999913e-08
6.950000000000000178e+00 3.082040000000000247e-08
6.969999999999999751e+00 3.064079999999999866e-08
6.990000000000000213e+00 3.045180000000000273e-08
7.009999999999999787e+00 3.025400000000000078e-08
7.030000000000000249e+00 3.004780000000000123e-08
7.049999999999999822e+00 2.983350000000000043e-08
7.070000000000000284e+00 2.961170000000000105e-08
7.089999999999999858e+00 2.938269999999999946e-08
7.110000000000000320e+00 2.914699999999999954e-08
7.129999999999999893e+00 2.890490000000000097e-08
7.150000000000000355e+00 2.865670000000000011e-08
7.169999999999999929e+00 2.840299999999999963e-08
7.190000000000000391e+00 2.814390000000000163e-08
7.209999999999999964e+00 2.787999999999999885e-08
7.230000000000000426e+00 2.761140000000000000e-08
7.259999999999999787e+00 2.733850000000000025e-08
7.280000000000000249e+00 2.706159999999999928e-08
7.299999999999999822e+00 2.678100000000000006e-08
7.320000000000000284e+00 2.649699999999999897e-08
7.339999999999999858e+00 2.620989999999999900e-08
7.360000000000000320e+00 2.591979999999999894e-08
7.379999999999999893e+00 2.562710000000000056e-08
7.400000000000000355e+00 2.533200000000000144e-08
7.419999999999999929e+00 2.503469999999999917e-08
7.440000000000000391e+00 2.473550000000000004e-08
7.459999999999999964e+00 2.443449999999999953e-08
7.480000000000000426e+00 2.413200000000000063e-08
7.500000000000000000e+00 2.382809999999999881e-08
7.519999999999999574e+00 2.352319999999999917e-08
7.540000000000000036e+00 2.321719999999999961e-08
7.559999999999999609e+00 2.291049999999999859e-08
7.580000000000000071e+00 2.260309999999999942e-08
7.599999999999999645e+00 2.229540000000000058e-08
7.620000000000000107e+00 2.198729999999999996e-08
7.639999999999999680e+00 2.167919999999999933e-08
7.660000000000000142e+00 2.137120000000000081e-08
7.679999999999999716e+00 2.106330000000000108e-08
7.700000000000000178e+00 2.075579999999999981e-08
7.719999999999999751e+00 2.044879999999999912e-08
7.740000000000000213e+00 2.014249999999999987e-08
7.759999999999999787e+00 1.983700000000000088e-08
7.780000000000000249e+00 1.953249999999999971e-08
7.799999999999999822e+00 1.922899999999999967e-08
7.820000000000000284e+00 1.892670000000000165e-08
7.839999999999999858e+00 1.862579999999999993e-08
7.860000000000000320e+00 1.832639999999999991e-08
7.879999999999999893e+00 1.802850000000000159e-08
7.900000000000000355e+00 1.773240000000000134e-08
7.919999999999999929e+00 1.743809999999999916e-08
7.940000000000000391e+00 1.714579999999999925e-08
7.959999999999999964e+00 1.685550000000000161e-08
7.980000000000000426e+00 1.656740000000000051e-08
8.000000000000000000e+00 1.628160000000000135e-08
8.019999999999999574e+00 1.599810000000000083e-08
8.039999999999999147e+00 1.571700000000000104e-08
8.060000000000000497e+00 1.543859999999999836e-08
8.080000000000000071e+00 1.516269999999999852e-08
8.099999999999999645e+00 1.488959999999999954e-08
8.119999999999999218e+00 1.461929999999999976e-08
8.140000000000000568e+00 1.435179999999999918e-08
8.160000000000000142e+00 1.408730000000000035e-08
8.179999999999999716e+00 1.382569999999999952e-08
8.199999999999999289e+00 1.356719999999999922e-08
8.220000000000000639e+00 1.331170000000000067e-08
8.240000000000000213e+00 1.305950000000000024e-08
8.259999999999999787e+00 1.281040000000000035e-08
8.279999999999999361e+00 1.256449999999999978e-08
8.300000000000000711e+00 1.232190000000000064e-08
8.320000000000000284e+00 1.208259999999999961e-08
8.339999999999999858e+00 1.184660000000000002e-08
8.359999999999999432e+00 1.161390000000000019e-08
8.380000000000000782e+00 1.138460000000000058e-08
8.400000000000000355e+00 1.115869999999999953e-08
8.419999999999999929e+00 1.093609999999999990e-08
8.439999999999999503e+00 1.071690000000000049e-08
8.460000000000000853e+00 1.050120000000000009e-08
8.480000000000000426e+00 1.028879999999999946e-08
8.500000000000000000e+00 1.007970000000000025e-08
