# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 1.681559999999999945e-44
4.459999999999999964e+00 5.927489999999999783e-43
4.480000000000000426e+00 1.822110000000000114e-41
4.500000000000000000e+00 4.798690000000000192e-40
4.519999999999999574e+00 1.091349999999999996e-38
4.540000000000000036e+00 2.157359999999999956e-37
4.559999999999999609e+00 3.730849999999999912e-36
4.580000000000000071e+00 5.677829999999999861e-35
4.599999999999999645e+00 7.649240000000000282e-34
4.620000000000000107e+00 9.171600000000000544e-33
4.639999999999999680e+00 9.839699999999999559e-32
4.660000000000000142e+00 9.493609999999999799e-31
4.679999999999999716e+00 8.276609999999999572e-30
4.700000000000000178e+00 6.549589999999999595e-29
4.719999999999999751e+00 4.725429999999999887e-28
4.740000000000000213e+00 3.121479999999999932e-27
4.769999999999999574e+00 1.895330000000000020e-26
4.790000000000000036e+00 1.061819999999999942e-25
4.809999999999999609e+00 5.508839999999999574e-25
4.830000000000000071e+00 2.656020000000000065e-24
4.849999999999999645e+00 1.193950000000000063e-23
4.870000000000000107e+00 5.019779999999999765e-23
4.889999999999999680e+00 1.979970000000000090e-22
4.910000000000000142e+00 7.348019999999999976e-22
4.929999999999999716e+00 2.572769999999999992e-21
4.950000000000000178e+00 8.520880000000000028e-21
4.969999999999999751e+00 2.676220000000000032e-20
4.990000000000000213e+00 7.990359999999999703e-20
5.009999999999999787e+00 2.272939999999999786e-19
5.030000000000000249e+00 6.173899999999999558e-19
5.049999999999999822e+00 1.604599999999999921e-18
5.070000000000000284e+00 3.998469999999999956e-18
5.089999999999999858e+00 9.570830000000000710e-18
5.110000000000000320e+00 2.204650000000000052e-17
5.129999999999999893e+00 4.895550000000000116e-17
5.150000000000000355e+00 1.049710000000000002e-16
5.169999999999999929e+00 2.176799999999999942e-16
5.190000000000000391e+00 4.372349999999999942e-16
5.209999999999999964e+00 8.518689999999999590e-16
5.230000000000000426e+00 1.612149999999999977e-15
5.250000000000000000e+00 2.967349999999999989e-15
5.269999999999999574e+00 5.318870000000000381e-15
5.290000000000000036e+00 9.295690000000000185e-15
5.309999999999999609e+00 1.585799999999999854e-14
5.330000000000000071e+00 2.643599999999999964e-14
5.349999999999999645e+00 4.261670000000000005e-14
5.370000000000000107e+00 6.614320000000000083e-14
5.389999999999999680e+00 1.013189999999999947e-13
5.410000000000000142e+00 1.531029999999999889e-13
5.429999999999999716e+00 2.281699999999999759e-13
5.450000000000000178e+00 3.352800000000000113e-13
5.469999999999999751e+00 4.857650000000000006e-13
5.490000000000000213e+00 6.939259999999999656e-13
5.509999999999999787e+00 9.774860000000000215e-13
5.530000000000000249e+00 1.358190000000000092e-12
5.549999999999999822e+00 1.862020000000000178e-12
5.570000000000000284e+00 2.519720000000000092e-12
5.589999999999999858e+00 3.367030000000000043e-12
5.610000000000000320e+00 4.444929999999999721e-12
5.629999999999999893e+00 5.799809999999999699e-12
5.650000000000000355e+00 7.483480000000000340e-12
5.669999999999999929e+00 9.553300000000000501e-12
5.690000000000000391e+00 1.207170000000000076e-11
5.709999999999999964e+00 1.510639999999999953e-11
5.730000000000000426e+00 1.872910000000000024e-11
5.750000000000000000e+00 2.301660000000000029e-11
5.769999999999999574e+00 2.804869999999999861e-11
5.790000000000000036e+00 3.390829999999999679e-11
5.809999999999999609e+00 4.067990000000000239e-11
5.830000000000000071e+00 4.845060000000000198e-11
5.849999999999999645e+00 5.730660000000000221e-11
5.870000000000000107e+00 6.733450000000000152e-11
5.889999999999999680e+00 7.861939999999999840e-11
5.910000000000000142e+00 9.124299999999999966e-11
5.929999999999999716e+00 1.052850000000000014e-10
5.950000000000000178e+00 1.208170000000000027e-10
5.969999999999999751e+00 1.379099999999999922e-10
5.990000000000000213e+00 1.566240000000000063e-10
6.009999999999999787e+00 1.770150000000000086e-10
6.030000000000000249e+00 1.991269999999999887e-10
6.049999999999999822e+00 2.229970000000000055e-10
6.070000000000000284e+00 2.486539999999999977e-10
6.089999999999999858e+00 2.761159999999999903e-10
6.110000000000000320e+00 3.053869999999999919e-10
6.129999999999999893e+00 3.364639999999999767e-10
6.150000000000000355e+00 3.693349999999999969e-10
6.169999999999999929e+00 4.039739999999999845e-10
6.190000000000000391e+00 4.403439999999999840e-10
6.209999999999999964e+00 4.783980000000000059e-10
6.230000000000000426e+00 5.180839999999999658e-10
6.250000000000000000e+00 5.593340000000000043e-10
6.269999999999999574e+00 6.020719999999999864e-10
6.290000000000000036e+00 6.462160000000000358e-10
6.309999999999999609e+00 6.916780000000000179e-10
6.330000000000000071e+00 7.383580000000000056e-10
6.349999999999999645e+00 7.861520000000000373e-10
6.370000000000000107e+00 8.349499999999999963e-10
6.389999999999999680e+00 8.846419999999999732e-10
6.410000000000000142e+00 9.351060000000000587e-10
6.429999999999999716e+00 9.862230000000000591e-10
6.450000000000000178e+00 1.037870000000000057e-09
6.469999999999999751e+00 1.089929999999999978e-09
6.490000000000000213e+00 1.142270000000000027e-09
6.509999999999999787e+00 1.194759999999999915e-09
6.530000000000000249e+00 1.247289999999999939e-09
6.549999999999999822e+00 1.299730000000000019e-09
6.570000000000000284e+00 1.351959999999999951e-09
6.589999999999999858e+00 1.403870000000000034e-09
6.610000000000000320e+00 1.455340000000000064e-09
6.629999999999999893e+00 1.506250000000000046e-09
6.650000000000000355e+00 1.556510000000000036e-09
6.669999999999999929e+00 1.606000000000000038e-09
6.690000000000000391e+00 1.654639999999999985e-09
6.709999999999999964e+00 1.702319999999999970e-09
6.730000000000000426e+00 1.748959999999999924e-09
6.750000000000000000e+00 1.794479999999999991e-09
6.769999999999999574e+00 1.838800000000000102e-09
6.790000000000000036e+00 1.881850000000000072e-09
6.809999999999999609e+00 1.923559999999999921e-09
6.830000000000000071e+00 1.963870000000000168e-09
6.849999999999999645e+00 2.002730000000000176e-09
6.870000000000000107e+00 2.040090000000000138e-09
6.889999999999999680e+00 2.075910000000000124e-09
6.910000000000000142e+00 2.110139999999999912e-09
6.929999999999999716e+00 2.142760000000000157e-09
6.950000000000000178e+00 2.173730000000000103e-09
6.969999999999999751e+00 2.203039999999999870e-09
6.990000000000000213e+00 2.230679999999999994e-09
7.009999999999999787e+00 2.256620000000000010e-09
7.030000000000000249e+00 2.280859999999999918e-09
7.049999999999999822e+00 2.303410000000000010e-09
7.070000000000000284e+00 2.324250000000000116e-09
7.089999999999999858e+00 2.343399999999999993e-09
7.110000000000000320e+00 2.360869999999999934e-09
7.129999999999999893e+00 2.376659999999999938e-09
7.150000000000000355e+00 2.390800000000000057e-09
7.169999999999999929e+00 2.403300000000000169e-09
7.190000000000000391e+00 2.414189999999999911e-09
7.209999999999999964e+00 2.423489999999999869e-09
7.230000000000000426e+00 2.431230000000000092e-09
7.259999999999999787e+00 2.437439999999999805e-09
7.280000000000000249e+00 2.442149999999999885e-09
7.299999999999999822e+00 2.445399999999999848e-09
7.320000000000000284e+00 2.447209999999999865e-09
7.339999999999999858e+00 2.447630000000000160e-09
7.360000000000000320e+00 2.446689999999999954e-09
7.379999999999999893e+00 2.444430000000000005e-09
7.400000000000000355e+00 2.440900000000000122e-09
7.419999999999999929e+00 2.436129999999999941e-09
7.440000000000000391e+00 2.430159999999999805e-09
7.459999999999999964e+00 2.423030000000000059e-09
7.480000000000000426e+00 2.414799999999999974e-09
7.500000000000000000e+00 2.405490000000000138e-09
7.519999999999999574e+00 2.395149999999999944e-09
7.540000000000000036e+00 2.383820000000000150e-09
7.559999999999999609e+00 2.371550000000000149e-09
7.580000000000000071e+00 2.358379999999999873e-09
7.599999999999999645e+00 2.344340000000000199e-09
7.620000000000000107e+00 2.329480000000000108e-09
7.639999999999999680e+00 2.313839999999999942e-09
7.660000000000000142e+00 2.297460000000000047e-09
7.679999999999999716e+00 2.280379999999999936e-09
7.700000000000000178e+00 2.262639999999999954e-09
7.719999999999999751e+00 2.244280000000000030e-09
7.740000000000000213e+00 2.225319999999999921e-09
7.759999999999999787e+00 2.205820000000000144e-09
7.780000000000000249e+00 2.185809999999999920e-09
7.799999999999999822e+00 2.165309999999999836e-09
7.820000000000000284e+00 2.144370000000000113e-09
7.839999999999999858e+00 2.123019999999999975e-09
7.860000000000000320e+00 2.101280000000000006e-09
7.879999999999999893e+00 2.079200000000000017e-09
7.900000000000000355e+00 2.056800000000000177e-09
7.919999999999999929e+00 2.034110000000000124e-09
7.940000000000000391e+00 2.011150000000000029e-09
7.959999999999999964e+00 1.987959999999999823e-09
7.980000000000000426e+00 1.964569999999999969e-09
8.000000000000000000e+00 1.940989999999999932e-09
8.019999999999999574e+00 1.917239999999999885e-09
8.039999999999999147e+00 1.893370000000000049e-09
8.060000000000000497e+00 1.869370000000000132e-09
8.080000000000000071e+00 1.845289999999999942e-09
8.099999999999999645e+00 1.821130000000000100e-09
8.119999999999999218e+00 1.796920000000000036e-09
8.140000000000000568e+00 1.772670000000000042e-09
8.160000000000000142e+00 1.748400000000000083e-09
8.179999999999999716e+00 1.724129999999999918e-09
8.199999999999999289e+00 1.699879999999999924e-09
8.220000000000000639e+00 1.675659999999999981e-09
8.240000000000000213e+00 1.651479999999999967e-09
8.259999999999999787e+00 1.627349999999999969e-09
8.279999999999999361e+00 1.603300000000000037e-09
8.300000000000000711e+00 1.579329999999999963e-09
8.320000000000000284e+00 1.555450000000000042e-09
8.339999999999999858e+00 1.531680000000000030e-09
8.359999999999999432e+00 1.508019999999999927e-09
8.380000000000000782e+00 1.484489999999999906e-09
8.400000000000000355e+00 1.461089999999999966e-09
8.419999999999999929e+00 1.437829999999999987e-09
8.439999999999999503e+00 1.414720000000000053e-09
8.460000000000000853e+00 1.391759999999999958e-09
8.480000000000000426e+00 1.368979999999999961e-09
8.500000000000000000e+00 1.346360000000000095e-09
