# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 1.401299999999999954e-45
4.200000000000000178e+00 6.025579999999999860e-44
4.219999999999999751e+00 2.183220000000000131e-42
4.240000000000000213e+00 6.808209999999999961e-41
4.259999999999999787e+00 1.819079999999999932e-39
4.280000000000000249e+00 4.194579999999999943e-38
4.299999999999999822e+00 8.401719999999999857e-37
4.320000000000000284e+00 1.471340000000000056e-35
4.339999999999999858e+00 2.266270000000000184e-34
4.360000000000000320e+00 3.088340000000000193e-33
4.379999999999999893e+00 3.743789999999999838e-32
4.400000000000000355e+00 4.058939999999999965e-31
4.419999999999999929e+00 3.955270000000000043e-30
4.440000000000000391e+00 3.481279999999999990e-29
4.459999999999999964e+00 2.780059999999999813e-28
4.480000000000000426e+00 2.023369999999999868e-27
4.500000000000000000e+00 1.347650000000000041e-26
4.519999999999999574e+00 8.247930000000000102e-26
4.540000000000000036e+00 4.655860000000000207e-25
4.559999999999999609e+00 2.433110000000000118e-24
4.580000000000000071e+00 1.181170000000000044e-23
4.599999999999999645e+00 5.344740000000000461e-23
4.620000000000000107e+00 2.261299999999999802e-22
4.639999999999999680e+00 8.972990000000000167e-22
4.660000000000000142e+00 3.349190000000000081e-21
4.679999999999999716e+00 1.179100000000000071e-20
4.700000000000000178e+00 3.925569999999999847e-20
4.719999999999999751e+00 1.239100000000000016e-19
4.740000000000000213e+00 3.717239999999999970e-19
4.769999999999999574e+00 1.062260000000000001e-18
4.790000000000000036e+00 2.897860000000000079e-18
4.809999999999999609e+00 7.562840000000000042e-18
4.830000000000000071e+00 1.892050000000000036e-17
4.849999999999999645e+00 4.546110000000000225e-17
4.870000000000000107e+00 1.050969999999999947e-16
4.889999999999999680e+00 2.341790000000000233e-16
4.910000000000000142e+00 5.037869999999999957e-16
4.929999999999999716e+00 1.048010000000000043e-15
4.950000000000000178e+00 2.111340000000000107e-15
4.969999999999999751e+00 4.125330000000000318e-15
4.990000000000000213e+00 7.828449999999999639e-15
5.009999999999999787e+00 1.444669999999999866e-14
5.030000000000000249e+00 2.595960000000000002e-14
5.049999999999999822e+00 4.547529999999999960e-14
5.070000000000000284e+00 7.775189999999999558e-14
5.089999999999999858e+00 1.298879999999999964e-13
5.110000000000000320e+00 2.112159999999999958e-13
5.129999999999999893e+00 3.322010000000000099e-13
5.150000000000000355e+00 5.138399999999999592e-13
5.169999999999999929e+00 7.817880000000000005e-13
5.190000000000000391e+00 1.170220000000000036e-12
5.209999999999999964e+00 1.723820000000000020e-12
5.230000000000000426e+00 2.499759999999999842e-12
5.250000000000000000e+00 3.569829999999999946e-12
5.269999999999999574e+00 5.022639999999999690e-12
5.290000000000000036e+00 6.965390000000000070e-12
5.309999999999999609e+00 9.525549999999999937e-12
5.330000000000000071e+00 1.285210000000000014e-11
5.349999999999999645e+00 1.711650000000000042e-11
5.370000000000000107e+00 2.251300000000000151e-11
5.389999999999999680e+00 2.925740000000000254e-11
5.410000000000000142e+00 3.758689999999999689e-11
5.429999999999999716e+00 4.775800000000000067e-11
5.450000000000000178e+00 6.004369999999999708e-11
5.469999999999999751e+00 7.473050000000000110e-11
5.490000000000000213e+00 9.211439999999999936e-11
5.509999999999999787e+00 1.124969999999999994e-10
5.530000000000000249e+00 1.361829999999999887e-10
5.549999999999999822e+00 1.634719999999999965e-10
5.570000000000000284e+00 1.946520000000000119e-10
5.589999999999999858e+00 2.300019999999999984e-10
5.610000000000000320e+00 2.697850000000000150e-10
5.629999999999999893e+00 3.142350000000000011e-10
5.650000000000000355e+00 3.635640000000000176e-10
5.669999999999999929e+00 4.179549999999999800e-10
5.690000000000000391e+00 4.775590000000000463e-10
5.709999999999999964e+00 5.424880000000000399e-10
5.730000000000000426e+00 6.128180000000000442e-10
5.750000000000000000e+00 6.885889999999999886e-10
5.769999999999999574e+00 7.698060000000000195e-10
5.790000000000000036e+00 8.564290000000000004e-10
5.809999999999999609e+00 9.483810000000000982e-10
5.830000000000000071e+00 1.045560000000000058e-09
5.849999999999999645e+00 1.147809999999999989e-09
5.870000000000000107e+00 1.254959999999999976e-09
5.889999999999999680e+00 1.366789999999999992e-09
5.910000000000000142e+00 1.483090000000000097e-09
5.929999999999999716e+00 1.603579999999999957e-09
5.950000000000000178e+00 1.728000000000000030e-09
5.969999999999999751e+00 1.856030000000000052e-09
5.990000000000000213e+00 1.987390000000000103e-09
6.009999999999999787e+00 2.121740000000000161e-09
6.030000000000000249e+00 2.258749999999999877e-09
6.049999999999999822e+00 2.398089999999999936e-09
6.070000000000000284e+00 2.539440000000000073e-09
6.089999999999999858e+00 2.682449999999999975e-09
6.110000000000000320e+00 2.826789999999999913e-09
6.129999999999999893e+00 2.972130000000000158e-09
6.150000000000000355e+00 3.118159999999999911e-09
6.169999999999999929e+00 3.264549999999999857e-09
6.190000000000000391e+00 3.410999999999999905e-09
6.209999999999999964e+00 3.557200000000000082e-09
6.230000000000000426e+00 3.702889999999999814e-09
6.250000000000000000e+00 3.847770000000000249e-09
6.269999999999999574e+00 3.991580000000000396e-09
6.290000000000000036e+00 4.134060000000000094e-09
6.309999999999999609e+00 4.274990000000000351e-09
6.330000000000000071e+00 4.414110000000000177e-09
6.349999999999999645e+00 4.551209999999999631e-09
6.370000000000000107e+00 4.686079999999999600e-09
6.389999999999999680e+00 4.818529999999999903e-09
6.410000000000000142e+00 4.948359999999999650e-09
6.429999999999999716e+00 5.075400000000000072e-09
6.450000000000000178e+00 5.199479999999999916e-09
6.469999999999999751e+00 5.320450000000000172e-09
6.490000000000000213e+00 5.438150000000000292e-09
6.509999999999999787e+00 5.552450000000000198e-09
6.530000000000000249e+00 5.663229999999999685e-09
6.549999999999999822e+00 5.770370000000000206e-09
6.570000000000000284e+00 5.873759999999999784e-09
6.589999999999999858e+00 5.973299999999999628e-09
6.610000000000000320e+00 6.068909999999999880e-09
6.629999999999999893e+00 6.160499999999999975e-09
6.650000000000000355e+00 6.247999999999999931e-09
6.669999999999999929e+00 6.331360000000000354e-09
6.690000000000000391e+00 6.410520000000000317e-09
6.709999999999999964e+00 6.485440000000000302e-09
6.730000000000000426e+00 6.556070000000000088e-09
6.750000000000000000e+00 6.622409999999999675e-09
6.769999999999999574e+00 6.684430000000000253e-09
6.790000000000000036e+00 6.742120000000000288e-09
6.809999999999999609e+00 6.795479999999999782e-09
6.830000000000000071e+00 6.844530000000000145e-09
6.849999999999999645e+00 6.889279999999999602e-09
6.870000000000000107e+00 6.929739999999999688e-09
6.889999999999999680e+00 6.965969999999999676e-09
6.910000000000000142e+00 6.997990000000000150e-09
6.929999999999999716e+00 7.025849999999999680e-09
6.950000000000000178e+00 7.049610000000000020e-09
6.969999999999999751e+00 7.069329999999999616e-09
6.990000000000000213e+00 7.085070000000000226e-09
7.009999999999999787e+00 7.096900000000000174e-09
7.030000000000000249e+00 7.104910000000000025e-09
7.049999999999999822e+00 7.109169999999999760e-09
7.070000000000000284e+00 7.109779999999999823e-09
7.089999999999999858e+00 7.106810000000000194e-09
7.110000000000000320e+00 7.100370000000000370e-09
7.129999999999999893e+00 7.090550000000000087e-09
7.150000000000000355e+00 7.077449999999999791e-09
7.169999999999999929e+00 7.061169999999999926e-09
7.190000000000000391e+00 7.041829999999999867e-09
7.209999999999999964e+00 7.019510000000000299e-09
7.230000000000000426e+00 6.994329999999999772e-09
7.259999999999999787e+00 6.966400000000000262e-09
7.280000000000000249e+00 6.935809999999999854e-09
7.299999999999999822e+00 6.902690000000000283e-09
7.320000000000000284e+00 6.867119999999999753e-09
7.339999999999999858e+00 6.829220000000000122e-09
7.360000000000000320e+00 6.789090000000000179e-09
7.379999999999999893e+00 6.746840000000000247e-09
7.400000000000000355e+00 6.702560000000000065e-09
7.419999999999999929e+00 6.656350000000000077e-09
7.440000000000000391e+00 6.608319999999999778e-09
7.459999999999999964e+00 6.558549999999999856e-09
7.480000000000000426e+00 6.507139999999999927e-09
7.500000000000000000e+00 6.454179999999999730e-09
7.519999999999999574e+00 6.399759999999999829e-09
7.540000000000000036e+00 6.343960000000000083e-09
7.559999999999999609e+00 6.286860000000000353e-09
7.580000000000000071e+00 6.228560000000000254e-09
7.599999999999999645e+00 6.169119999999999889e-09
7.620000000000000107e+00 6.108629999999999822e-09
7.639999999999999680e+00 6.047150000000000154e-09
7.660000000000000142e+00 5.984750000000000039e-09
7.679999999999999716e+00 5.921520000000000041e-09
7.700000000000000178e+00 5.857499999999999677e-09
7.719999999999999751e+00 5.792769999999999632e-09
7.740000000000000213e+00 5.727390000000000009e-09
7.759999999999999787e+00 5.661420000000000081e-09
7.780000000000000249e+00 5.594910000000000070e-09
7.799999999999999822e+00 5.527920000000000077e-09
7.820000000000000284e+00 5.460510000000000203e-09
7.839999999999999858e+00 5.392729999999999843e-09
7.860000000000000320e+00 5.324630000000000048e-09
7.879999999999999893e+00 5.256250000000000331e-09
7.900000000000000355e+00 5.187649999999999968e-09
7.919999999999999929e+00 5.118870000000000129e-09
7.940000000000000391e+00 5.049960000000000209e-09
7.959999999999999964e+00 4.980959999999999724e-09
7.980000000000000426e+00 4.911909999999999843e-09
8.000000000000000000e+00 4.842850000000000084e-09
8.019999999999999574e+00 4.773819999999999961e-09
8.039999999999999147e+00 4.704859999999999819e-09
8.060000000000000497e+00 4.636010000000000000e-09
8.080000000000000071e+00 4.567300000000000141e-09
8.099999999999999645e+00 4.498769999999999758e-09
8.119999999999999218e+00 4.430450000000000143e-09
8.140000000000000568e+00 4.362360000000000226e-09
8.160000000000000142e+00 4.294560000000000109e-09
8.179999999999999716e+00 4.227049999999999791e-09
8.199999999999999289e+00 4.159880000000000322e-09
8.220000000000000639e+00 4.093069999999999805e-09
8.240000000000000213e+00 4.026650000000000359e-09
8.259999999999999787e+00 3.960649999999999966e-09
8.279999999999999361e+00 3.895080000000000161e-09
8.300000000000000711e+00 3.829979999999999631e-09
8.320000000000000284e+00 3.765359999999999910e-09
8.339999999999999858e+00 3.701249999999999807e-09
8.359999999999999432e+00 3.637660000000000030e-09
8.380000000000000782e+00 3.574619999999999801e-09
8.400000000000000355e+00 3.512159999999999998e-09
8.419999999999999929e+00 3.450269999999999915e-09
8.439999999999999503e+00 3.388980000000000016e-09
8.460000000000000853e+00 3.328310000000000059e-09
8.480000000000000426e+00 3.268260000000000044e-09
8.500000000000000000e+00 3.208860000000000022e-09
