# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 2.802599999999999909e-45
4.339999999999999858e+00 8.968310000000000325e-44
4.360000000000000320e+00 3.108080000000000199e-42
4.379999999999999893e+00 9.123150000000000285e-41
4.400000000000000355e+00 2.301499999999999865e-39
4.419999999999999929e+00 5.022939999999999620e-38
4.440000000000000391e+00 9.547529999999999992e-37
4.459999999999999964e+00 1.590239999999999908e-35
4.480000000000000426e+00 2.335159999999999994e-34
4.500000000000000000e+00 3.040030000000000138e-33
4.519999999999999574e+00 3.528209999999999873e-32
4.540000000000000036e+00 3.669079999999999891e-31
4.559999999999999609e+00 3.436240000000000293e-30
4.580000000000000071e+00 2.911680000000000234e-29
4.599999999999999645e+00 2.242570000000000021e-28
4.620000000000000107e+00 1.576599999999999980e-27
4.639999999999999680e+00 1.015970000000000054e-26
4.660000000000000142e+00 6.024890000000000087e-26
4.679999999999999716e+00 3.300209999999999959e-25
4.700000000000000178e+00 1.675709999999999875e-24
4.719999999999999751e+00 7.914590000000000430e-24
4.740000000000000213e+00 3.488660000000000059e-23
4.769999999999999574e+00 1.439579999999999902e-22
4.790000000000000036e+00 5.577449999999999785e-22
4.809999999999999609e+00 2.034760000000000059e-21
4.830000000000000071e+00 7.009090000000000003e-21
4.849999999999999645e+00 2.285560000000000058e-20
4.870000000000000107e+00 7.072439999999999988e-20
4.889999999999999680e+00 2.081780000000000056e-19
4.910000000000000142e+00 5.842239999999999737e-19
4.929999999999999716e+00 1.566489999999999975e-18
4.950000000000000178e+00 4.021300000000000319e-18
4.969999999999999751e+00 9.902839999999999917e-18
4.990000000000000213e+00 2.343850000000000051e-17
5.009999999999999787e+00 5.341189999999999850e-17
5.030000000000000249e+00 1.173939999999999903e-16
5.049999999999999822e+00 2.492569999999999795e-16
5.070000000000000284e+00 5.120740000000000256e-16
5.089999999999999858e+00 1.019380000000000010e-15
5.110000000000000320e+00 1.969209999999999906e-15
5.129999999999999893e+00 3.696359999999999976e-15
5.150000000000000355e+00 6.750830000000000086e-15
5.169999999999999929e+00 1.201069999999999931e-14
5.190000000000000391e+00 2.084180000000000036e-14
5.209999999999999964e+00 3.531310000000000025e-14
5.230000000000000426e+00 5.848520000000000458e-14
5.250000000000000000e+00 9.341260000000000174e-14
5.269999999999999574e+00 1.454790000000000054e-13
5.290000000000000036e+00 2.230380000000000085e-13
5.309999999999999609e+00 3.366109999999999881e-13
5.330000000000000071e+00 5.001360000000000411e-13
5.349999999999999645e+00 7.317079999999999756e-13
5.370000000000000107e+00 1.054350000000000046e-12
5.389999999999999680e+00 1.496739999999999941e-12
5.410000000000000142e+00 2.094019999999999997e-12
5.429999999999999716e+00 2.888459999999999993e-12
5.450000000000000178e+00 3.930019999999999848e-12
5.469999999999999751e+00 5.276570000000000002e-12
5.490000000000000213e+00 6.994480000000000303e-12
5.509999999999999787e+00 9.158209999999999606e-12
5.530000000000000249e+00 1.185049999999999923e-11
5.549999999999999822e+00 1.516139999999999960e-11
5.570000000000000284e+00 1.918799999999999942e-11
5.589999999999999858e+00 2.403340000000000137e-11
5.610000000000000320e+00 2.980600000000000285e-11
5.629999999999999893e+00 3.661739999999999703e-11
5.650000000000000355e+00 4.458200000000000047e-11
5.669999999999999929e+00 5.381550000000000147e-11
5.690000000000000391e+00 6.443360000000000123e-11
5.709999999999999964e+00 7.655019999999999586e-11
5.730000000000000426e+00 9.027620000000000099e-11
5.750000000000000000e+00 1.057190000000000022e-10
5.769999999999999574e+00 1.229810000000000068e-10
5.790000000000000036e+00 1.421580000000000120e-10
5.809999999999999609e+00 1.633380000000000102e-10
5.830000000000000071e+00 1.866030000000000069e-10
5.849999999999999645e+00 2.120249999999999994e-10
5.870000000000000107e+00 2.396659999999999766e-10
5.889999999999999680e+00 2.695790000000000056e-10
5.910000000000000142e+00 3.018079999999999984e-10
5.929999999999999716e+00 3.363830000000000056e-10
5.950000000000000178e+00 3.733229999999999835e-10
5.969999999999999751e+00 4.126370000000000093e-10
5.990000000000000213e+00 4.543230000000000140e-10
6.009999999999999787e+00 4.983639999999999553e-10
6.030000000000000249e+00 5.447319999999999548e-10
6.049999999999999822e+00 5.933890000000000485e-10
6.070000000000000284e+00 6.442840000000000056e-10
6.089999999999999858e+00 6.973540000000000095e-10
6.110000000000000320e+00 7.525220000000000200e-10
6.129999999999999893e+00 8.097040000000000403e-10
6.150000000000000355e+00 8.688069999999999964e-10
6.169999999999999929e+00 9.297240000000000043e-10
6.190000000000000391e+00 9.923380000000000943e-10
6.209999999999999964e+00 1.056530000000000073e-09
6.230000000000000426e+00 1.122159999999999980e-09
6.250000000000000000e+00 1.189110000000000043e-09
6.269999999999999574e+00 1.257210000000000046e-09
6.290000000000000036e+00 1.326329999999999906e-09
6.309999999999999609e+00 1.396309999999999907e-09
6.330000000000000071e+00 1.467000000000000001e-09
6.349999999999999645e+00 1.538240000000000056e-09
6.370000000000000107e+00 1.609860000000000064e-09
6.389999999999999680e+00 1.681720000000000061e-09
6.410000000000000142e+00 1.753639999999999954e-09
6.429999999999999716e+00 1.825479999999999987e-09
6.450000000000000178e+00 1.897079999999999822e-09
6.469999999999999751e+00 1.968280000000000156e-09
6.490000000000000213e+00 2.038930000000000113e-09
6.509999999999999787e+00 2.108890000000000149e-09
6.530000000000000249e+00 2.178019999999999888e-09
6.549999999999999822e+00 2.246180000000000199e-09
6.570000000000000284e+00 2.313250000000000051e-09
6.589999999999999858e+00 2.379080000000000019e-09
6.610000000000000320e+00 2.443579999999999951e-09
6.629999999999999893e+00 2.506630000000000059e-09
6.650000000000000355e+00 2.568120000000000020e-09
6.669999999999999929e+00 2.627939999999999923e-09
6.690000000000000391e+00 2.686030000000000081e-09
6.709999999999999964e+00 2.742269999999999878e-09
6.730000000000000426e+00 2.796609999999999920e-09
6.750000000000000000e+00 2.848960000000000055e-09
6.769999999999999574e+00 2.899279999999999939e-09
6.790000000000000036e+00 2.947490000000000127e-09
6.809999999999999609e+00 2.993549999999999863e-09
6.830000000000000071e+00 3.037420000000000043e-09
6.849999999999999645e+00 3.079059999999999912e-09
6.870000000000000107e+00 3.118450000000000124e-09
6.889999999999999680e+00 3.155559999999999803e-09
6.910000000000000142e+00 3.190370000000000016e-09
6.929999999999999716e+00 3.222879999999999938e-09
6.950000000000000178e+00 3.253089999999999982e-09
6.969999999999999751e+00 3.280989999999999854e-09
6.990000000000000213e+00 3.306589999999999849e-09
7.009999999999999787e+00 3.329899999999999844e-09
7.030000000000000249e+00 3.350949999999999890e-09
7.049999999999999822e+00 3.369749999999999866e-09
7.070000000000000284e+00 3.386319999999999945e-09
7.089999999999999858e+00 3.400709999999999933e-09
7.110000000000000320e+00 3.412940000000000004e-09
7.129999999999999893e+00 3.423050000000000086e-09
7.150000000000000355e+00 3.431080000000000109e-09
7.169999999999999929e+00 3.437070000000000002e-09
7.190000000000000391e+00 3.441069999999999988e-09
7.209999999999999964e+00 3.443140000000000168e-09
7.230000000000000426e+00 3.443299999999999886e-09
7.259999999999999787e+00 3.441629999999999829e-09
7.280000000000000249e+00 3.438169999999999926e-09
7.299999999999999822e+00 3.432979999999999864e-09
7.320000000000000284e+00 3.426109999999999866e-09
7.339999999999999858e+00 3.417620000000000033e-09
7.360000000000000320e+00 3.407560000000000173e-09
7.379999999999999893e+00 3.395999999999999853e-09
7.400000000000000355e+00 3.382990000000000123e-09
7.419999999999999929e+00 3.368579999999999963e-09
7.440000000000000391e+00 3.352840000000000180e-09
7.459999999999999964e+00 3.335820000000000171e-09
7.480000000000000426e+00 3.317580000000000035e-09
7.500000000000000000e+00 3.298169999999999996e-09
7.519999999999999574e+00 3.277639999999999861e-09
7.540000000000000036e+00 3.256060000000000024e-09
7.559999999999999609e+00 3.233479999999999881e-09
7.580000000000000071e+00 3.209940000000000188e-09
7.599999999999999645e+00 3.185499999999999805e-09
7.620000000000000107e+00 3.160210000000000195e-09
7.639999999999999680e+00 3.134119999999999926e-09
7.660000000000000142e+00 3.107270000000000169e-09
7.679999999999999716e+00 3.079720000000000197e-09
7.700000000000000178e+00 3.051509999999999940e-09
7.719999999999999751e+00 3.022680000000000154e-09
7.740000000000000213e+00 2.993269999999999942e-09
7.759999999999999787e+00 2.963329999999999940e-09
7.780000000000000249e+00 2.932900000000000077e-09
7.799999999999999822e+00 2.902019999999999870e-09
7.820000000000000284e+00 2.870720000000000195e-09
7.839999999999999858e+00 2.839040000000000155e-09
7.860000000000000320e+00 2.807020000000000094e-09
7.879999999999999893e+00 2.774690000000000062e-09
7.900000000000000355e+00 2.742080000000000110e-09
7.919999999999999929e+00 2.709219999999999874e-09
7.940000000000000391e+00 2.676150000000000111e-09
7.959999999999999964e+00 2.642900000000000045e-09
7.980000000000000426e+00 2.609489999999999847e-09
8.000000000000000000e+00 2.575940000000000102e-09
8.019999999999999574e+00 2.542300000000000206e-09
8.039999999999999147e+00 2.508570000000000158e-09
8.060000000000000497e+00 2.474789999999999888e-09
8.080000000000000071e+00 2.440979999999999981e-09
8.099999999999999645e+00 2.407160000000000195e-09
8.119999999999999218e+00 2.373349999999999874e-09
8.140000000000000568e+00 2.339570000000000018e-09
8.160000000000000142e+00 2.305839999999999970e-09
8.179999999999999716e+00 2.272179999999999902e-09
8.199999999999999289e+00 2.238609999999999986e-09
8.220000000000000639e+00 2.205140000000000101e-09
8.240000000000000213e+00 2.171790000000000004e-09
8.259999999999999787e+00 2.138579999999999867e-09
8.279999999999999361e+00 2.105519999999999984e-09
8.300000000000000711e+00 2.072619999999999818e-09
8.320000000000000284e+00 2.039899999999999956e-09
8.339999999999999858e+00 2.007369999999999862e-09
8.359999999999999432e+00 1.975039999999999830e-09
8.380000000000000782e+00 1.942930000000000031e-09
8.400000000000000355e+00 1.911040000000000051e-09
8.419999999999999929e+00 1.879380000000000183e-09
8.439999999999999503e+00 1.847969999999999979e-09
8.460000000000000853e+00 1.816819999999999936e-09
8.480000000000000426e+00 1.785919999999999970e-09
8.500000000000000000e+00 1.755299999999999925e-09
