# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 1.401299999999999954e-45
4.950000000000000178e+00 3.643380000000000006e-44
4.969999999999999751e+00 1.266770000000000065e-42
4.990000000000000213e+00 3.708959999999999827e-41
5.009999999999999787e+00 9.331670000000000598e-40
5.030000000000000249e+00 2.031760000000000035e-38
5.049999999999999822e+00 3.852579999999999884e-37
5.070000000000000284e+00 6.402910000000000346e-36
5.089999999999999858e+00 9.381530000000000194e-35
5.110000000000000320e+00 1.218910000000000085e-33
5.129999999999999893e+00 1.411819999999999892e-32
5.150000000000000355e+00 1.465520000000000079e-31
5.169999999999999929e+00 1.369999999999999974e-30
5.190000000000000391e+00 1.158949999999999997e-29
5.209999999999999964e+00 8.911330000000000093e-29
5.230000000000000426e+00 6.255510000000000073e-28
5.250000000000000000e+00 4.025120000000000098e-27
5.269999999999999574e+00 2.383510000000000109e-26
5.290000000000000036e+00 1.303840000000000000e-25
5.309999999999999609e+00 6.612070000000000298e-25
5.330000000000000071e+00 3.119099999999999893e-24
5.349999999999999645e+00 1.373200000000000006e-23
5.370000000000000107e+00 5.660089999999999449e-23
5.389999999999999680e+00 2.190659999999999958e-22
5.410000000000000142e+00 7.983760000000000038e-22
5.429999999999999716e+00 2.747370000000000134e-21
5.450000000000000178e+00 8.950419999999999453e-21
5.469999999999999751e+00 2.767239999999999849e-20
5.490000000000000213e+00 8.138460000000000576e-20
5.509999999999999787e+00 2.282049999999999829e-19
5.530000000000000249e+00 6.114169999999999607e-19
5.549999999999999822e+00 1.568430000000000058e-18
5.570000000000000284e+00 3.859659999999999845e-18
5.589999999999999858e+00 9.128889999999999501e-18
5.610000000000000320e+00 2.079000000000000108e-17
5.629999999999999893e+00 4.566629999999999866e-17
5.650000000000000355e+00 9.690370000000000615e-17
5.669999999999999929e+00 1.989649999999999948e-16
5.690000000000000391e+00 3.958719999999999963e-16
5.709999999999999964e+00 7.643420000000000456e-16
5.730000000000000426e+00 1.434019999999999979e-15
5.750000000000000000e+00 2.617769999999999937e-15
5.769999999999999574e+00 4.655399999999999877e-15
5.790000000000000036e+00 8.074820000000000524e-15
5.809999999999999609e+00 1.367589999999999963e-14
5.830000000000000071e+00 2.264109999999999945e-14
5.849999999999999645e+00 3.628539999999999753e-14
5.870000000000000107e+00 5.677599999999999961e-14
5.889999999999999680e+00 8.732300000000000313e-14
5.910000000000000142e+00 1.320570000000000047e-13
5.929999999999999716e+00 1.964249999999999935e-13
5.950000000000000178e+00 2.874740000000000229e-13
5.969999999999999751e+00 4.141480000000000141e-13
5.990000000000000213e+00 5.875760000000000199e-13
6.009999999999999787e+00 8.213659999999999759e-13
6.030000000000000249e+00 1.131830000000000035e-12
6.049999999999999822e+00 1.538239999999999916e-12
6.070000000000000284e+00 2.062929999999999975e-12
6.089999999999999858e+00 2.731450000000000039e-12
6.110000000000000320e+00 3.572380000000000173e-12
6.129999999999999893e+00 4.617459999999999997e-12
6.150000000000000355e+00 5.901269999999999956e-12
6.169999999999999929e+00 7.460870000000000701e-12
6.190000000000000391e+00 9.335410000000000103e-12
6.209999999999999964e+00 1.156580000000000066e-11
6.230000000000000426e+00 1.419409999999999987e-11
6.250000000000000000e+00 1.726270000000000156e-11
6.269999999999999574e+00 2.081380000000000003e-11
6.290000000000000036e+00 2.488869999999999996e-11
6.309999999999999609e+00 2.952759999999999790e-11
6.330000000000000071e+00 3.476780000000000297e-11
6.349999999999999645e+00 4.064399999999999686e-11
6.370000000000000107e+00 4.718739999999999904e-11
6.389999999999999680e+00 5.442549999999999988e-11
6.410000000000000142e+00 6.238049999999999981e-11
6.429999999999999716e+00 7.107040000000000461e-11
6.450000000000000178e+00 8.050770000000000520e-11
6.469999999999999751e+00 9.069939999999999701e-11
6.490000000000000213e+00 1.016470000000000058e-10
6.509999999999999787e+00 1.133449999999999974e-10
6.530000000000000249e+00 1.257849999999999953e-10
6.549999999999999822e+00 1.389510000000000044e-10
6.570000000000000284e+00 1.528210000000000040e-10
6.589999999999999858e+00 1.673700000000000124e-10
6.610000000000000320e+00 1.825669999999999962e-10
6.629999999999999893e+00 1.983760000000000086e-10
6.650000000000000355e+00 2.147569999999999906e-10
6.669999999999999929e+00 2.316679999999999955e-10
6.690000000000000391e+00 2.490600000000000167e-10
6.709999999999999964e+00 2.668870000000000215e-10
6.730000000000000426e+00 2.850939999999999773e-10
6.750000000000000000e+00 3.036279999999999983e-10
6.769999999999999574e+00 3.224359999999999917e-10
6.790000000000000036e+00 3.414619999999999940e-10
6.809999999999999609e+00 3.606480000000000247e-10
6.830000000000000071e+00 3.799390000000000256e-10
6.849999999999999645e+00 3.992789999999999816e-10
6.870000000000000107e+00 4.186150000000000066e-10
6.889999999999999680e+00 4.378909999999999823e-10
6.910000000000000142e+00 4.570549999999999794e-10
6.929999999999999716e+00 4.760589999999999998e-10
6.950000000000000178e+00 4.948530000000000281e-10
6.969999999999999751e+00 5.133910000000000317e-10
6.990000000000000213e+00 5.316299999999999519e-10
7.009999999999999787e+00 5.495299999999999625e-10
7.030000000000000249e+00 5.670510000000000305e-10
7.049999999999999822e+00 5.841589999999999677e-10
7.070000000000000284e+00 6.008220000000000165e-10
7.089999999999999858e+00 6.170090000000000145e-10
7.110000000000000320e+00 6.326930000000000402e-10
7.129999999999999893e+00 6.478509999999999996e-10
7.150000000000000355e+00 6.624620000000000229e-10
7.169999999999999929e+00 6.765079999999999556e-10
7.190000000000000391e+00 6.899709999999999534e-10
7.209999999999999964e+00 7.028390000000000169e-10
7.230000000000000426e+00 7.151009999999999483e-10
7.259999999999999787e+00 7.267489999999999892e-10
7.280000000000000249e+00 7.377749999999999674e-10
7.299999999999999822e+00 7.481759999999999608e-10
7.320000000000000284e+00 7.579490000000000469e-10
7.339999999999999858e+00 7.670940000000000189e-10
7.360000000000000320e+00 7.756119999999999889e-10
7.379999999999999893e+00 7.835039999999999653e-10
7.400000000000000355e+00 7.907759999999999998e-10
7.419999999999999929e+00 7.974330000000000317e-10
7.440000000000000391e+00 8.034820000000000177e-10
7.459999999999999964e+00 8.089290000000000094e-10
7.480000000000000426e+00 8.137839999999999890e-10
7.500000000000000000e+00 8.180570000000000424e-10
7.519999999999999574e+00 8.217580000000000485e-10
7.540000000000000036e+00 8.248979999999999984e-10
7.559999999999999609e+00 8.274889999999999949e-10
7.580000000000000071e+00 8.295449999999999514e-10
7.599999999999999645e+00 8.310769999999999623e-10
7.620000000000000107e+00 8.320999999999999493e-10
7.639999999999999680e+00 8.326270000000000241e-10
7.660000000000000142e+00 8.326730000000000051e-10
7.679999999999999716e+00 8.322520000000000125e-10
7.700000000000000178e+00 8.313799999999999766e-10
7.719999999999999751e+00 8.300700000000000091e-10
7.740000000000000213e+00 8.283390000000000488e-10
7.759999999999999787e+00 8.262020000000000179e-10
7.780000000000000249e+00 8.236740000000000448e-10
7.799999999999999822e+00 8.207690000000000429e-10
7.820000000000000284e+00 8.175059999999999685e-10
7.839999999999999858e+00 8.138960000000000192e-10
7.860000000000000320e+00 8.099570000000000393e-10
7.879999999999999893e+00 8.057039999999999507e-10
7.900000000000000355e+00 8.011509999999999769e-10
7.919999999999999929e+00 7.963130000000000397e-10
7.940000000000000391e+00 7.912059999999999662e-10
7.959999999999999964e+00 7.858409999999999543e-10
7.980000000000000426e+00 7.802359999999999514e-10
8.000000000000000000e+00 7.744029999999999572e-10
8.019999999999999574e+00 7.683539999999999711e-10
8.039999999999999147e+00 7.621050000000000271e-10
8.060000000000000497e+00 7.556680000000000213e-10
8.080000000000000071e+00 7.490540000000000481e-10
8.099999999999999645e+00 7.422770000000000208e-10
8.119999999999999218e+00 7.353470000000000250e-10
8.140000000000000568e+00 7.282769999999999657e-10
8.160000000000000142e+00 7.210760000000000233e-10
8.179999999999999716e+00 7.137569999999999993e-10
8.199999999999999289e+00 7.063279999999999622e-10
8.220000000000000639e+00 6.987989999999999978e-10
8.240000000000000213e+00 6.911809999999999937e-10
8.259999999999999787e+00 6.834810000000000100e-10
8.279999999999999361e+00 6.757080000000000204e-10
8.300000000000000711e+00 6.678709999999999987e-10
8.320000000000000284e+00 6.599759999999999965e-10
8.339999999999999858e+00 6.520309999999999790e-10
8.359999999999999432e+00 6.440440000000000147e-10
8.380000000000000782e+00 6.360209999999999484e-10
8.400000000000000355e+00 6.279680000000000384e-10
8.419999999999999929e+00 6.198910000000000259e-10
8.439999999999999503e+00 6.117959999999999623e-10
8.460000000000000853e+00 6.036869999999999854e-10
8.480000000000000426e+00 5.955709999999999485e-10
8.500000000000000000e+00 5.874519999999999893e-10
