# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 0.000000000000000000e+00
5.030000000000000249e+00 0.000000000000000000e+00
5.049999999999999822e+00 0.000000000000000000e+00
5.070000000000000284e+00 0.000000000000000000e+00
5.089999999999999858e+00 0.000000000000000000e+00
5.110000000000000320e+00 0.000000000000000000e+00
5.129999999999999893e+00 1.121039999999999964e-44
5.150000000000000355e+00 3.923639999999999823e-43
5.169999999999999929e+00 1.138979999999999991e-41
5.190000000000000391e+00 2.840379999999999823e-40
5.209999999999999964e+00 6.130920000000000444e-39
5.230000000000000426e+00 1.153120000000000104e-37
5.250000000000000000e+00 1.901389999999999979e-36
5.269999999999999574e+00 2.765170000000000100e-35
5.290000000000000036e+00 3.567139999999999890e-34
5.309999999999999609e+00 4.103840000000000252e-33
5.330000000000000071e+00 4.232109999999999761e-32
5.349999999999999645e+00 3.931749999999999816e-31
5.370000000000000107e+00 3.306390000000000216e-30
5.389999999999999680e+00 2.528080000000000101e-29
5.410000000000000142e+00 1.764990000000000021e-28
5.429999999999999716e+00 1.129840000000000034e-27
5.450000000000000178e+00 6.657789999999999397e-27
5.469999999999999751e+00 3.624869999999999825e-26
5.490000000000000213e+00 1.829939999999999934e-25
5.509999999999999787e+00 8.595410000000000211e-25
5.530000000000000249e+00 3.768840000000000092e-24
5.549999999999999822e+00 1.547380000000000119e-23
5.570000000000000284e+00 5.966349999999999996e-23
5.589999999999999858e+00 2.166679999999999794e-22
5.610000000000000320e+00 7.430839999999999613e-22
5.629999999999999893e+00 2.412959999999999921e-21
5.650000000000000355e+00 7.436929999999999697e-21
5.669999999999999929e+00 2.180730000000000006e-20
5.690000000000000391e+00 6.097680000000000436e-20
5.709999999999999964e+00 1.629309999999999999e-19
5.730000000000000426e+00 4.168679999999999954e-19
5.750000000000000000e+00 1.023329999999999970e-18
5.769999999999999574e+00 2.414729999999999938e-18
5.790000000000000036e+00 5.486839999999999687e-18
5.809999999999999609e+00 1.202600000000000057e-17
5.830000000000000071e+00 2.546750000000000103e-17
5.849999999999999645e+00 5.218909999999999912e-17
5.870000000000000107e+00 1.036429999999999962e-16
5.889999999999999680e+00 1.997529999999999940e-16
5.910000000000000142e+00 3.741359999999999820e-16
5.929999999999999716e+00 6.818749999999999620e-16
5.950000000000000178e+00 1.210740000000000027e-15
5.969999999999999751e+00 2.096920000000000160e-15
5.990000000000000213e+00 3.546469999999999822e-15
6.009999999999999787e+00 5.863429999999999906e-15
6.030000000000000249e+00 9.381029999999999320e-15
6.049999999999999822e+00 1.467239999999999916e-14
6.070000000000000284e+00 2.255509999999999923e-14
6.089999999999999858e+00 3.408840000000000069e-14
6.110000000000000320e+00 5.066969999999999739e-14
6.129999999999999893e+00 7.410380000000000479e-14
6.150000000000000355e+00 1.066800000000000059e-13
6.169999999999999929e+00 1.512440000000000066e-13
6.190000000000000391e+00 2.112670000000000024e-13
6.209999999999999964e+00 2.909199999999999862e-13
6.230000000000000426e+00 3.951170000000000217e-13
6.250000000000000000e+00 5.295590000000000460e-13
6.269999999999999574e+00 7.007430000000000162e-13
6.290000000000000036e+00 9.159769999999999854e-13
6.309999999999999609e+00 1.183350000000000001e-12
6.330000000000000071e+00 1.511649999999999925e-12
6.349999999999999645e+00 1.910330000000000000e-12
6.370000000000000107e+00 2.389390000000000182e-12
6.389999999999999680e+00 2.959270000000000173e-12
6.410000000000000142e+00 3.630650000000000085e-12
6.429999999999999716e+00 4.414390000000000136e-12
6.450000000000000178e+00 5.321289999999999836e-12
6.469999999999999751e+00 6.361949999999999968e-12
6.490000000000000213e+00 7.546510000000000728e-12
6.509999999999999787e+00 8.884670000000000350e-12
6.530000000000000249e+00 1.038539999999999975e-11
6.549999999999999822e+00 1.205660000000000014e-11
6.570000000000000284e+00 1.390550000000000047e-11
6.589999999999999858e+00 1.593769999999999902e-11
6.610000000000000320e+00 1.815810000000000035e-11
6.629999999999999893e+00 2.056999999999999979e-11
6.650000000000000355e+00 2.317509999999999967e-11
6.669999999999999929e+00 2.597400000000000060e-11
6.690000000000000391e+00 2.896589999999999959e-11
6.709999999999999964e+00 3.214830000000000106e-11
6.730000000000000426e+00 3.551720000000000299e-11
6.750000000000000000e+00 3.906769999999999760e-11
6.769999999999999574e+00 4.279320000000000066e-11
6.790000000000000036e+00 4.668590000000000083e-11
6.809999999999999609e+00 5.073679999999999844e-11
6.830000000000000071e+00 5.493619999999999688e-11
6.849999999999999645e+00 5.927309999999999873e-11
6.870000000000000107e+00 6.373570000000000356e-11
6.889999999999999680e+00 6.831160000000000066e-11
6.910000000000000142e+00 7.298790000000000084e-11
6.929999999999999716e+00 7.775099999999999858e-11
6.950000000000000178e+00 8.258730000000000131e-11
6.969999999999999751e+00 8.748260000000000611e-11
6.990000000000000213e+00 9.242289999999999628e-11
7.009999999999999787e+00 9.739419999999999389e-11
7.030000000000000249e+00 1.023820000000000038e-10
7.049999999999999822e+00 1.073739999999999954e-10
7.070000000000000284e+00 1.123549999999999961e-10
7.089999999999999858e+00 1.173139999999999890e-10
7.110000000000000320e+00 1.222360000000000006e-10
7.129999999999999893e+00 1.271109999999999967e-10
7.150000000000000355e+00 1.319259999999999950e-10
7.169999999999999929e+00 1.366719999999999960e-10
7.190000000000000391e+00 1.413370000000000001e-10
7.209999999999999964e+00 1.459120000000000075e-10
7.230000000000000426e+00 1.503890000000000015e-10
7.259999999999999787e+00 1.547590000000000081e-10
7.280000000000000249e+00 1.590140000000000105e-10
7.299999999999999822e+00 1.631489999999999915e-10
7.320000000000000284e+00 1.671560000000000119e-10
7.339999999999999858e+00 1.710310000000000115e-10
7.360000000000000320e+00 1.747679999999999904e-10
7.379999999999999893e+00 1.783629999999999919e-10
7.400000000000000355e+00 1.818139999999999989e-10
7.419999999999999929e+00 1.851159999999999944e-10
7.440000000000000391e+00 1.882670000000000128e-10
7.459999999999999964e+00 1.912659999999999938e-10
7.480000000000000426e+00 1.941109999999999979e-10
7.500000000000000000e+00 1.968009999999999907e-10
7.519999999999999574e+00 1.993359999999999980e-10
7.540000000000000036e+00 2.017140000000000026e-10
7.559999999999999609e+00 2.039380000000000044e-10
7.580000000000000071e+00 2.060060000000000122e-10
7.599999999999999645e+00 2.079199999999999913e-10
7.620000000000000107e+00 2.096810000000000021e-10
7.639999999999999680e+00 2.112910000000000100e-10
7.660000000000000142e+00 2.127509999999999977e-10
7.679999999999999716e+00 2.140639999999999910e-10
7.700000000000000178e+00 2.152299999999999898e-10
7.719999999999999751e+00 2.162540000000000113e-10
7.740000000000000213e+00 2.171370000000000123e-10
7.759999999999999787e+00 2.178810000000000100e-10
7.780000000000000249e+00 2.184909999999999954e-10
7.799999999999999822e+00 2.189680000000000032e-10
7.820000000000000284e+00 2.193159999999999900e-10
7.839999999999999858e+00 2.195389999999999902e-10
7.860000000000000320e+00 2.196389999999999950e-10
7.879999999999999893e+00 2.196190000000000044e-10
7.900000000000000355e+00 2.194849999999999922e-10
7.919999999999999929e+00 2.192379999999999930e-10
7.940000000000000391e+00 2.188819999999999892e-10
7.959999999999999964e+00 2.184219999999999981e-10
7.980000000000000426e+00 2.178600000000000108e-10
8.000000000000000000e+00 2.172009999999999927e-10
8.019999999999999574e+00 2.164490000000000039e-10
8.039999999999999147e+00 2.156060000000000101e-10
8.060000000000000497e+00 2.146770000000000022e-10
8.080000000000000071e+00 2.136650000000000061e-10
8.099999999999999645e+00 2.125740000000000044e-10
8.119999999999999218e+00 2.114080000000000055e-10
8.140000000000000568e+00 2.101700000000000094e-10
8.160000000000000142e+00 2.088639999999999986e-10
8.179999999999999716e+00 2.074929999999999989e-10
8.199999999999999289e+00 2.060600000000000101e-10
8.220000000000000639e+00 2.045699999999999977e-10
8.240000000000000213e+00 2.030250000000000046e-10
8.259999999999999787e+00 2.014280000000000048e-10
8.279999999999999361e+00 1.997830000000000069e-10
8.300000000000000711e+00 1.980920000000000021e-10
8.320000000000000284e+00 1.963589999999999989e-10
8.339999999999999858e+00 1.945869999999999971e-10
8.359999999999999432e+00 1.927770000000000054e-10
8.380000000000000782e+00 1.909339999999999892e-10
8.400000000000000355e+00 1.890580000000000000e-10
8.419999999999999929e+00 1.871540000000000033e-10
8.439999999999999503e+00 1.852219999999999990e-10
8.460000000000000853e+00 1.832659999999999956e-10
8.480000000000000426e+00 1.812880000000000103e-10
8.500000000000000000e+00 1.792889999999999999e-10
