# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 0.000000000000000000e+00
5.030000000000000249e+00 0.000000000000000000e+00
5.049999999999999822e+00 0.000000000000000000e+00
5.070000000000000284e+00 0.000000000000000000e+00
5.089999999999999858e+00 0.000000000000000000e+00
5.110000000000000320e+00 0.000000000000000000e+00
5.129999999999999893e+00 0.000000000000000000e+00
5.150000000000000355e+00 0.000000000000000000e+00
5.169999999999999929e+00 1.401300000000000079e-44
5.190000000000000391e+00 4.442119999999999625e-43
5.209999999999999964e+00 1.254160000000000072e-41
5.230000000000000426e+00 3.050050000000000041e-40
5.250000000000000000e+00 6.427670000000000106e-39
5.269999999999999574e+00 1.181539999999999947e-37
5.290000000000000036e+00 1.906289999999999953e-36
5.309999999999999609e+00 2.715269999999999796e-35
5.330000000000000071e+00 3.433529999999999934e-34
5.349999999999999645e+00 3.875529999999999872e-33
5.370000000000000107e+00 3.924999999999999758e-32
5.389999999999999680e+00 3.584020000000000029e-31
5.410000000000000142e+00 2.964349999999999878e-30
5.429999999999999716e+00 2.230919999999999987e-29
5.450000000000000178e+00 1.534290000000000010e-28
5.469999999999999751e+00 9.681559999999999113e-28
5.490000000000000213e+00 5.626890000000000267e-27
5.509999999999999787e+00 3.023520000000000104e-26
5.530000000000000249e+00 1.507410000000000076e-25
5.549999999999999822e+00 6.996439999999999770e-25
5.570000000000000284e+00 3.032760000000000119e-24
5.589999999999999858e+00 1.231609999999999938e-23
5.610000000000000320e+00 4.699780000000000083e-23
5.629999999999999893e+00 1.689870000000000114e-22
5.650000000000000355e+00 5.740629999999999731e-22
5.669999999999999929e+00 1.847229999999999889e-21
5.690000000000000391e+00 5.644360000000000183e-21
5.709999999999999964e+00 1.641509999999999959e-20
5.730000000000000426e+00 4.553720000000000069e-20
5.750000000000000000e+00 1.207590000000000001e-19
5.769999999999999574e+00 3.067619999999999917e-19
5.790000000000000036e+00 7.478800000000000218e-19
5.809999999999999609e+00 1.753189999999999913e-18
5.830000000000000071e+00 3.958850000000000316e-18
5.849999999999999645e+00 8.625429999999999562e-18
5.870000000000000107e+00 1.816160000000000049e-17
5.889999999999999680e+00 3.701460000000000024e-17
5.910000000000000142e+00 7.312729999999999760e-17
5.929999999999999716e+00 1.402419999999999969e-16
5.950000000000000178e+00 2.614250000000000029e-16
5.969999999999999751e+00 4.742940000000000310e-16
5.990000000000000213e+00 8.385300000000000394e-16
6.009999999999999787e+00 1.446310000000000027e-15
6.030000000000000249e+00 2.436449999999999980e-15
6.049999999999999822e+00 4.013019999999999879e-15
6.070000000000000284e+00 6.385100000000000354e-15
6.089999999999999858e+00 9.961629999999999327e-15
6.110000000000000320e+00 1.527419999999999880e-14
6.129999999999999893e+00 2.302530000000000123e-14
6.150000000000000355e+00 3.413760000000000314e-14
6.169999999999999929e+00 4.979989999999999892e-14
6.190000000000000391e+00 7.151339999999999647e-14
6.209999999999999964e+00 1.011399999999999987e-13
6.230000000000000426e+00 1.409480000000000018e-13
6.250000000000000000e+00 1.936499999999999877e-13
6.269999999999999574e+00 2.624340000000000105e-13
6.290000000000000036e+00 3.509900000000000019e-13
6.309999999999999609e+00 4.635249999999999863e-13
6.330000000000000071e+00 6.047479999999999794e-13
6.349999999999999645e+00 7.798519999999999975e-13
6.370000000000000107e+00 9.944940000000000233e-13
6.389999999999999680e+00 1.254750000000000081e-12
6.410000000000000142e+00 1.566989999999999970e-12
6.429999999999999716e+00 1.937900000000000053e-12
6.450000000000000178e+00 2.374309999999999806e-12
6.469999999999999751e+00 2.883140000000000173e-12
6.490000000000000213e+00 3.471229999999999942e-12
6.509999999999999787e+00 4.145329999999999665e-12
6.530000000000000249e+00 4.911940000000000172e-12
6.549999999999999822e+00 5.777140000000000160e-12
6.570000000000000284e+00 6.746580000000000117e-12
6.589999999999999858e+00 7.825340000000000258e-12
6.610000000000000320e+00 9.017869999999999823e-12
6.629999999999999893e+00 1.032789999999999924e-11
6.650000000000000355e+00 1.175819999999999972e-11
6.669999999999999929e+00 1.331089999999999976e-11
6.690000000000000391e+00 1.498730000000000017e-11
6.709999999999999964e+00 1.678749999999999890e-11
6.730000000000000426e+00 1.871100000000000135e-11
6.750000000000000000e+00 2.075599999999999920e-11
6.769999999999999574e+00 2.292029999999999878e-11
6.790000000000000036e+00 2.520049999999999869e-11
6.809999999999999609e+00 2.759230000000000149e-11
6.830000000000000071e+00 3.009089999999999894e-11
6.849999999999999645e+00 3.269070000000000246e-11
6.870000000000000107e+00 3.538520000000000153e-11
6.889999999999999680e+00 3.816750000000000029e-11
6.910000000000000142e+00 4.103029999999999815e-11
6.929999999999999716e+00 4.396580000000000316e-11
6.950000000000000178e+00 4.696569999999999970e-11
6.969999999999999751e+00 5.002139999999999929e-11
6.990000000000000213e+00 5.312440000000000010e-11
7.009999999999999787e+00 5.626590000000000161e-11
7.030000000000000249e+00 5.943689999999999769e-11
7.049999999999999822e+00 6.262869999999999384e-11
7.070000000000000284e+00 6.583270000000000160e-11
7.089999999999999858e+00 6.904020000000000060e-11
7.110000000000000320e+00 7.224269999999999549e-11
7.129999999999999893e+00 7.543219999999999518e-11
7.150000000000000355e+00 7.860089999999999479e-11
7.169999999999999929e+00 8.174129999999999462e-11
7.190000000000000391e+00 8.484600000000000097e-11
7.209999999999999964e+00 8.790849999999999685e-11
7.230000000000000426e+00 9.092239999999999717e-11
7.259999999999999787e+00 9.388170000000000214e-11
7.280000000000000249e+00 9.678079999999999733e-11
7.299999999999999822e+00 9.961450000000000534e-11
7.320000000000000284e+00 1.023779999999999953e-10
7.339999999999999858e+00 1.050680000000000010e-10
7.360000000000000320e+00 1.076790000000000011e-10
7.379999999999999893e+00 1.102090000000000043e-10
7.400000000000000355e+00 1.126540000000000020e-10
7.419999999999999929e+00 1.150120000000000031e-10
7.440000000000000391e+00 1.172800000000000076e-10
7.459999999999999964e+00 1.194560000000000112e-10
7.480000000000000426e+00 1.215389999999999925e-10
7.500000000000000000e+00 1.235270000000000119e-10
7.519999999999999574e+00 1.254190000000000091e-10
7.540000000000000036e+00 1.272150000000000100e-10
7.559999999999999609e+00 1.289129999999999973e-10
7.580000000000000071e+00 1.305140000000000055e-10
7.599999999999999645e+00 1.320170000000000002e-10
7.620000000000000107e+00 1.334229999999999900e-10
7.639999999999999680e+00 1.347320000000000006e-10
7.660000000000000142e+00 1.359449999999999891e-10
7.679999999999999716e+00 1.370609999999999985e-10
7.700000000000000178e+00 1.380830000000000028e-10
7.719999999999999751e+00 1.390110000000000021e-10
7.740000000000000213e+00 1.398460000000000049e-10
7.759999999999999787e+00 1.405889999999999940e-10
7.780000000000000249e+00 1.412429999999999950e-10
7.799999999999999822e+00 1.418069999999999995e-10
7.820000000000000284e+00 1.422849999999999900e-10
7.839999999999999858e+00 1.426780000000000009e-10
7.860000000000000320e+00 1.429869999999999892e-10
7.879999999999999893e+00 1.432150000000000064e-10
7.900000000000000355e+00 1.433630000000000094e-10
7.919999999999999929e+00 1.434339999999999981e-10
7.940000000000000391e+00 1.434290000000000069e-10
7.959999999999999964e+00 1.433500000000000013e-10
7.980000000000000426e+00 1.432009999999999897e-10
8.000000000000000000e+00 1.429819999999999980e-10
8.019999999999999574e+00 1.426970000000000088e-10
8.039999999999999147e+00 1.423479999999999876e-10
8.060000000000000497e+00 1.419359999999999946e-10
8.080000000000000071e+00 1.414640000000000039e-10
8.099999999999999645e+00 1.409349999999999895e-10
8.119999999999999218e+00 1.403500000000000116e-10
8.140000000000000568e+00 1.397130000000000013e-10
8.160000000000000142e+00 1.390240000000000102e-10
8.179999999999999716e+00 1.382869999999999951e-10
8.199999999999999289e+00 1.375039999999999989e-10
8.220000000000000639e+00 1.366769999999999872e-10
8.240000000000000213e+00 1.358080000000000029e-10
8.259999999999999787e+00 1.348999999999999943e-10
8.279999999999999361e+00 1.339529999999999871e-10
8.300000000000000711e+00 1.329709999999999899e-10
8.320000000000000284e+00 1.319559999999999939e-10
8.339999999999999858e+00 1.309090000000000077e-10
8.359999999999999432e+00 1.298319999999999969e-10
8.380000000000000782e+00 1.287270000000000043e-10
8.400000000000000355e+00 1.275959999999999955e-10
8.419999999999999929e+00 1.264400000000000049e-10
8.439999999999999503e+00 1.252609999999999979e-10
8.460000000000000853e+00 1.240620000000000003e-10
8.480000000000000426e+00 1.228420000000000034e-10
8.500000000000000000e+00 1.216049999999999900e-10
