# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.353250000000000001e-34
3.520000000000000018e+00 2.025500000000000095e-33
3.540000000000000036e+00 2.685589999999999748e-32
3.560000000000000053e+00 3.171640000000000020e-31
3.580000000000000071e+00 3.353759999999999993e-30
3.600000000000000089e+00 3.191189999999999921e-29
3.620000000000000107e+00 2.745489999999999976e-28
3.640000000000000124e+00 2.145400000000000050e-27
3.660000000000000142e+00 1.529340000000000108e-26
3.680000000000000160e+00 9.986499999999999964e-26
3.700000000000000178e+00 5.997280000000000321e-25
3.720000000000000195e+00 3.324870000000000238e-24
3.740000000000000213e+00 1.707799999999999977e-23
3.759999999999999787e+00 8.155340000000000327e-23
3.779999999999999805e+00 3.632640000000000059e-22
3.799999999999999822e+00 1.514019999999999940e-21
3.819999999999999840e+00 5.922460000000000105e-21
3.839999999999999858e+00 2.180440000000000026e-20
3.859999999999999876e+00 7.576700000000000531e-20
3.879999999999999893e+00 2.491229999999999782e-19
3.899999999999999911e+00 7.770510000000000301e-19
3.919999999999999929e+00 2.304709999999999888e-18
3.939999999999999947e+00 6.514839999999999918e-18
3.959999999999999964e+00 1.758950000000000028e-17
3.979999999999999982e+00 4.545340000000000190e-17
4.000000000000000000e+00 1.126420000000000020e-16
4.019999999999999574e+00 2.682180000000000129e-16
4.040000000000000036e+00 6.147439999999999762e-16
4.059999999999999609e+00 1.358590000000000053e-15
4.080000000000000071e+00 2.899770000000000180e-15
4.099999999999999645e+00 5.987099999999999803e-15
4.120000000000000107e+00 1.197580000000000026e-14
4.139999999999999680e+00 2.324030000000000019e-14
4.160000000000000142e+00 4.381419999999999949e-14
4.179999999999999716e+00 8.035260000000000489e-14
4.200000000000000178e+00 1.435299999999999953e-13
4.219999999999999751e+00 2.500100000000000121e-13
4.240000000000000213e+00 4.251369999999999787e-13
4.259999999999999787e+00 7.065389999999999644e-13
4.280000000000000249e+00 1.125980000000000015e-12
4.299999999999999822e+00 1.731690000000000066e-12
4.320000000000000284e+00 2.633990000000000169e-12
4.339999999999999858e+00 3.959989999999999972e-12
4.360000000000000320e+00 5.881829999999999788e-12
4.379999999999999893e+00 8.626620000000000657e-12
4.400000000000000355e+00 1.248979999999999955e-11
4.419999999999999929e+00 1.784560000000000143e-11
4.440000000000000391e+00 2.516229999999999993e-11
4.459999999999999964e+00 3.501149999999999718e-11
4.480000000000000426e+00 4.808210000000000088e-11
4.500000000000000000e+00 6.518459999999999429e-11
4.519999999999999574e+00 8.726280000000000497e-11
4.540000000000000036e+00 1.153900000000000017e-10
4.559999999999999609e+00 1.507820000000000124e-10
4.580000000000000071e+00 1.947720000000000073e-10
4.599999999999999645e+00 2.488250000000000170e-10
4.620000000000000107e+00 3.145059999999999994e-10
4.639999999999999680e+00 3.934840000000000032e-10
4.660000000000000142e+00 4.875059999999999707e-10
4.679999999999999716e+00 5.983650000000000322e-10
4.700000000000000178e+00 7.279080000000000055e-10
4.719999999999999751e+00 8.779519999999999684e-10
4.740000000000000213e+00 1.050369999999999962e-09
4.769999999999999574e+00 1.246949999999999918e-09
4.790000000000000036e+00 1.469440000000000046e-09
4.809999999999999609e+00 1.719490000000000025e-09
4.830000000000000071e+00 1.998710000000000018e-09
4.849999999999999645e+00 2.308560000000000143e-09
4.870000000000000107e+00 2.650380000000000106e-09
4.889999999999999680e+00 3.025369999999999862e-09
4.910000000000000142e+00 3.434619999999999871e-09
4.929999999999999716e+00 3.879070000000000337e-09
4.950000000000000178e+00 4.359459999999999750e-09
4.969999999999999751e+00 4.876410000000000121e-09
4.990000000000000213e+00 5.430399999999999776e-09
5.009999999999999787e+00 6.021739999999999928e-09
5.030000000000000249e+00 6.650590000000000295e-09
5.049999999999999822e+00 7.316979999999999687e-09
5.070000000000000284e+00 8.020780000000000503e-09
5.089999999999999858e+00 8.761679999999999878e-09
5.110000000000000320e+00 9.539400000000000373e-09
5.129999999999999893e+00 1.035329999999999981e-08
5.150000000000000355e+00 1.120280000000000023e-08
5.169999999999999929e+00 1.208720000000000020e-08
5.190000000000000391e+00 1.300560000000000067e-08
5.209999999999999964e+00 1.395690000000000006e-08
5.230000000000000426e+00 1.494009999999999890e-08
5.250000000000000000e+00 1.595410000000000057e-08
5.269999999999999574e+00 1.699759999999999929e-08
5.290000000000000036e+00 1.806919999999999877e-08
5.309999999999999609e+00 1.916749999999999942e-08
5.330000000000000071e+00 2.029090000000000073e-08
5.349999999999999645e+00 2.143790000000000101e-08
5.370000000000000107e+00 2.260669999999999887e-08
5.389999999999999680e+00 2.379570000000000045e-08
5.410000000000000142e+00 2.500310000000000106e-08
5.429999999999999716e+00 2.622700000000000053e-08
5.450000000000000178e+00 2.746549999999999868e-08
5.469999999999999751e+00 2.871669999999999866e-08
5.490000000000000213e+00 2.997849999999999941e-08
5.509999999999999787e+00 3.124910000000000286e-08
5.530000000000000249e+00 3.252639999999999802e-08
5.549999999999999822e+00 3.380829999999999708e-08
5.570000000000000284e+00 3.509269999999999897e-08
5.589999999999999858e+00 3.637770000000000022e-08
5.610000000000000320e+00 3.766119999999999977e-08
5.629999999999999893e+00 3.894120000000000197e-08
5.650000000000000355e+00 4.021569999999999793e-08
5.669999999999999929e+00 4.148259999999999983e-08
5.690000000000000391e+00 4.274010000000000299e-08
5.709999999999999964e+00 4.398650000000000149e-08
5.730000000000000426e+00 4.521960000000000213e-08
5.750000000000000000e+00 4.643779999999999778e-08
5.769999999999999574e+00 4.763950000000000118e-08
5.790000000000000036e+00 4.882299999999999984e-08
5.809999999999999609e+00 4.998679999999999865e-08
5.830000000000000071e+00 5.112929999999999714e-08
5.849999999999999645e+00 5.224930000000000319e-08
5.870000000000000107e+00 5.334549999999999947e-08
5.889999999999999680e+00 5.441670000000000049e-08
5.910000000000000142e+00 5.546170000000000091e-08
5.929999999999999716e+00 5.647980000000000260e-08
5.950000000000000178e+00 5.746980000000000021e-08
5.969999999999999751e+00 5.843119999999999981e-08
5.990000000000000213e+00 5.936309999999999904e-08
6.009999999999999787e+00 6.026509999999999613e-08
6.030000000000000249e+00 6.113669999999999713e-08
6.049999999999999822e+00 6.197739999999999486e-08
6.070000000000000284e+00 6.278700000000000497e-08
6.089999999999999858e+00 6.356530000000000341e-08
6.110000000000000320e+00 6.431219999999999801e-08
6.129999999999999893e+00 6.502759999999999659e-08
6.150000000000000355e+00 6.571160000000000457e-08
6.169999999999999929e+00 6.636419999999999547e-08
6.190000000000000391e+00 6.698569999999999875e-08
6.209999999999999964e+00 6.757629999999999876e-08
6.230000000000000426e+00 6.813620000000000631e-08
6.250000000000000000e+00 6.866580000000000332e-08
6.269999999999999574e+00 6.916530000000000061e-08
6.290000000000000036e+00 6.963530000000000416e-08
6.309999999999999609e+00 7.007610000000000371e-08
6.330000000000000071e+00 7.048800000000000226e-08
6.349999999999999645e+00 7.087169999999999795e-08
6.370000000000000107e+00 7.122740000000000159e-08
6.389999999999999680e+00 7.155560000000000052e-08
6.410000000000000142e+00 7.185679999999999530e-08
6.429999999999999716e+00 7.213130000000000216e-08
6.450000000000000178e+00 7.237959999999999519e-08
6.469999999999999751e+00 7.260200000000000385e-08
6.490000000000000213e+00 7.279889999999999683e-08
6.509999999999999787e+00 7.297060000000000359e-08
6.530000000000000249e+00 7.311740000000000065e-08
6.549999999999999822e+00 7.323960000000000422e-08
6.570000000000000284e+00 7.333750000000000405e-08
6.589999999999999858e+00 7.341120000000000557e-08
6.610000000000000320e+00 7.346090000000000634e-08
6.629999999999999893e+00 7.348689999999999611e-08
6.650000000000000355e+00 7.348920000000000137e-08
6.669999999999999929e+00 7.346800000000000645e-08
6.690000000000000391e+00 7.342329999999999811e-08
6.709999999999999964e+00 7.335519999999999501e-08
6.730000000000000426e+00 7.326380000000000254e-08
6.750000000000000000e+00 7.314909999999999424e-08
